pid,bb_nd_board_rank_final,bb_nd_board_rank_30d,bb_nd_board_rank_60d,bb_nd_board_change_60d,bb_nd_board_first_seen_days,bb_nd_mock_rank_final,bb_nd_crowd_mock_rank_final,bb_nd_fit_gap,bb_nd_unranked_board,bb_dx_board_rank_final,bb_dx_board_rank_30d,bb_dx_mock_pick_final,bb_dx_fit_gap,bb_dx_mock_volatility,bb_dx_board_momentum_30d,bb_dx_first_mock_lead_days,bb_dx_age_listed,bb_stepien_consensus_rank,bb_stepien_dispersion,bb_stepien_tier,bb_stepien_preseason_to_final_delta,bb_fit_gap_mean,bb_n_board_sources
P8cc9424d6a,44,34,30,62.0,208.6,45,31,1,0,,,,,,,,,,,,,1.0,1
Pdbf2a4e286,45,55,66,61.0,208.6,48,,3,0,,,,,,,,,,,,,3.0,1
Pa306b38c4f,46,49,45,60.0,113.5,,41,,0,,,,,,,,,,,,,,1
P816913601a,65,59,,41.0,37.0,,46,,0,,,,,,,,,,,,,,1
P26b4659b22,73,89,73,29.0,208.6,,,,0,,,,,,,,,,,,,,1
Pd3d2fde686,79,,,16.0,26.8,,,,0,,,,,,,,,,,,,,1
Pd4ca66045e,85,,,8.0,26.8,,,,0,,,,,,,,,,,,,,1
P0e202d21b8,84,92,,19.0,208.6,,,,0,,,,,,,,,,,,,,1
Pd3ead775c1,52,54,,54.0,37.0,,,,0,,,,,,,,,,,,,,1
P6696ce1e71,90,,,12.0,7.2,60,,-30,0,,,,,,,,,,,,,-30.0,1
P233044615c,100,,,1.0,7.2,,,,0,,,,,,,,,,,,,,1
Pe6c95cf044,89,,,1.0,7.2,,,,0,,,,,,,,,,,,,,1
P2c7c71307b,50,56,59,56.0,113.5,,56,,0,,,,,,,,,,,,,,1
P424c3aa3f2,8,13,16,98.0,208.6,12,13,4,0,,,,,,,,,,,,,4.0,1
P75990d7854,88,,,4.0,26.8,,,,0,,,,,,,,,,,,,,1
Pae3adc3ef4,70,82,86,35.0,208.6,,,,0,,,,,,,,,,,,,,1
P36a4ba5e62,77,,,31.0,26.8,,,,0,,,,,,,,,,,,,,1
Pf372901c0b,,97,,21.0,37.0,,,,,,,,,,,,,,,,,,0
P3d8ccdb639,1,1,1,2.0,235.3,1,1,0,0,,,,,,,,,,,,,0.0,1
Pf3b62cae3c,2,2,2,2.0,235.3,2,2,0,0,,,,,,,,,,,,,0.0,1
P4e09db2338,4,3,3,1.0,235.3,3,4,-1,0,,,,,,,,,,,,,-1.0,1
P07268bf0e1,7,10,10,0.0,235.3,4,7,-3,0,,,,,,,,,,,,,-3.0,1
P12ee990c18,3,4,4,3.0,235.3,6,3,3,0,,,,,,,,,,,,,3.0,1
P3ee6bf444e,5,6,6,4.0,235.3,8,5,3,0,,,,,,,,,,,,,3.0,1
P5f9ce00466,6,5,5,2.0,200.4,5,6,-1,0,,,,,,,,,,,,,-1.0,1
P1a135db58f,9,13,13,3.0,235.3,19,11,10,0,,,,,,,,,,,,,10.0,1
P5699f03b57,30,31,31,-2.0,235.3,,,,0,,,,,,,,,,,,,,1
Pb9eccb67f7,18,22,22,2.0,235.3,7,9,-11,0,,,,,,,,,,,,,-11.0,1
P7ba2fa977b,26,101,101,13.0,28.1,14,30,-12,0,,,,,,,,,,,,,-12.0,1
P32fecc73d2,10,14,14,3.0,235.3,9,12,-1,0,,,,,,,,,,,,,-1.0,1
P15b8c13058,14,12,12,7.0,200.4,10,10,-4,0,,,,,,,,,,,,,-4.0,1
Pf4e651b50c,24,29,29,2.0,200.4,11,17,-13,0,,,,,,,,,,,,,-13.0,1
P3f654a33fe,13,8,8,-2.0,200.4,22,14,9,0,,,,,,,,,,,,,9.0,1
P53f54898a1,101,101,101,,,,,,1,,,,,,,,,,,,,,0
Pdde13713ff,21,26,26,-2.0,84.3,15,22,-6,0,,,,,,,,,,,,,-6.0,1
P8048267828,23,19,19,6.0,235.3,20,25,-3,0,,,,,,,,,,,,,-3.0,1
Pd8f68848a0,8,7,7,2.0,235.3,18,13,10,0,,,,,,,,,,,,,10.0,1
Pf54bd6bbc8,17,16,16,0.0,200.4,,,,0,,,,,,,,,,,,,,1
P884e8ee6b6,16,20,20,2.0,235.3,26,23,10,0,,,,,,,,,,,,,10.0,1
P9b4a07a3b9,19,71,71,17.0,235.3,27,37,8,0,,,,,,,,,,,,,8.0,1
Pcb16689c6c,12,9,9,2.0,235.3,13,16,1,0,,,,,,,,,,,,,1.0,1
P318e86822c,15,15,15,1.0,235.3,17,18,2,0,,,,,,,,,,,,,2.0,1
P679974836f,25,18,18,2.0,235.3,25,21,0,0,,,,,,,,,,,,,0.0,1
Pec8256037d,39,52,52,4.0,200.4,35,33,-4,0,,,,,,,,,,,,,-4.0,1
P307cead4af,32,39,39,8.0,84.3,31,27,-1,0,,,,,,,,,,,,,-1.0,1
P6ddd309f80,28,27,27,2.0,235.3,24,28,-4,0,,,,,,,,,,,,,-4.0,1
Padf63a93ad,27,23,23,-5.0,235.3,21,20,-6,0,,,,,,,,,,,,,-6.0,1
P070f8d3585,101,101,101,,,,,,1,,,,,,,,,,,,,,0
P43b2e2aa2f,11,11,11,4.0,235.3,23,15,12,0,,,,,,,,,,,,,12.0,1
Pdec9ef7c46,22,37,37,9.0,200.4,28,29,6,0,,,,,,,,,,,,,6.0,1
P155e770e32,51,53,53,7.0,84.3,43,47,-8,0,,,,,,,,,,,,,-8.0,1
Pa29e5f68db,33,40,40,11.0,235.3,32,34,-1,0,,,,,,,,,,,,,-1.0,1
Pad9c27fcb6,44,43,43,6.0,62.2,41,38,-3,0,,,,,,,,,,,,,-3.0,1
P259fbebd69,38,42,42,3.0,235.3,44,35,6,0,,,,,,,,,,,,,6.0,1
Pc0a66d6cca,29,32,32,4.0,235.3,30,36,1,0,,,,,,,,,,,,,1.0,1
P495dd3afc8,52,61,61,-1.0,200.4,48,41,-4,0,,,,,,,,,,,,,-4.0,1
P41ae7c3c75,74,101,101,10.0,28.1,,,,0,,,,,,,,,,,,,,1
Pd4c3f94c64,37,41,41,-3.0,62.2,37,43,0,0,,,,,,,,,,,,,0.0,1
Pf25d15a954,46,70,70,11.0,235.3,46,58,0,0,,,,,,,,,,,,,0.0,1
P24c85e006b,31,51,51,14.0,200.4,29,32,-2,0,,,,,,,,,,,,,-2.0,1
P75527a2d8c,60,101,101,5.0,235.3,54,,-6,0,,,,,,,,,,,,,-6.0,1
P855a9cc2ba,101,101,101,,,,,,1,,,,,,,,,,,,,,0
Pb7270acc46,83,101,101,19.0,235.3,49,,-34,0,,,,,,,,,,,,,-34.0,1
P445f167264,47,38,38,5.0,84.3,58,46,11,0,,,,,,,,,,,,,11.0,1
P3651ab0a99,41,49,49,7.0,235.3,40,39,-1,0,,,,,,,,,,,,,-1.0,1
Pc2ef5dcf11,45,101,101,23.0,28.1,38,,-7,0,,,,,,,,,,,,,-7.0,1
P49b4c451ec,40,48,48,7.0,200.4,39,42,-1,0,,,,,,,,,,,,,-1.0,1
Pfc563b417e,58,101,101,45.0,28.1,,,,0,,,,,,,,,,,,,,1
P277e56e049,56,59,59,-1.0,200.4,51,59,-5,0,,,,,,,,,,,,,-5.0,1
P16dc90cb0b,67,101,101,9.0,28.1,,,,0,,,,,,,,,,,,,,1
P3a6abfac78,101,101,101,,,,,,1,,,,,,,,,,,,,,0
Pb74dcb5e35,50,101,101,53.0,28.1,52,,2,0,,,,,,,,,,,,,2.0,1
P34c7aa9885,93,95,95,9.0,84.3,,,,0,,,,,,,,,,,,,,1
P95c84fe799,87,101,101,7.0,28.1,,,,0,,,,,,,,,,,,,,1
P98436c11b0,101,101,101,,,,,,1,,,,,,,,,,,,,,0
P0a66817947,62,55,55,1.0,84.3,,54,,0,,,,,,,,,,,,,,1
P6146f5260f,,,,,235.3,,,,,,,,,,,,,,,,,,0
P8d3b3436aa,61,75,75,3.0,235.3,59,,-2,0,,,,,,,,,,,,,-2.0,1
Pf38ea886b7,53,73,73,17.0,235.3,50,60,-3,0,,,,,,,,,,,,,-3.0,1
P04c242f081,88,90,90,7.0,84.3,,,,0,,,,,,,,,,,,,,1
Pa0366802b4,80,,,22.0,235.3,,,,0,,,,,,,,,,,,,,1
P07109e12fd,71,,,31.0,235.3,,,,0,,,,,,,,,,,,,,1
P6ce9cb925d,72,67,67,8.0,235.3,,,,0,,,,,,,,,,,,,,1
Pcb59681372,68,60,60,10.0,84.3,,56,,0,,,,,,,,,,,,,,1
P03328260f7,70,,,32.0,15.3,56,,-14,0,,,,,,,,,,,,,-14.0,1
P1cb017a474,79,76,76,9.0,84.3,,,,0,,,,,,,,,,,,,,1
P648e1b1924,100,,,2.0,15.3,,,,0,,,,,,,,,,,,,,1
P694212af03,59,100,100,1.0,200.4,53,,-6,0,,,,,,,,,,,,,-6.0,1
P19a9559b15,54,,,5.0,28.1,,,,0,,,,,,,,,,,,,,1
P25ddbfff0e,96,,,6.0,235.3,,,,0,,,,,,,,,,,,,,1
P98f1a6546b,84,72,72,6.0,62.2,,,,0,,,,,,,,,,,,,,1
P0eb002afb8,49,82,82,25.0,84.3,47,,-2,0,,,,,,,,,,,,,-2.0,1
