pid,dx_id,n_events,event_years,sources,age_src,capture_ts
Pd72acae20f,2383,1,2002,?,,20170719202744
Pd51bbef7c1,5295,1,2002,NBA Pre-Draft Camp,3,20170719202744
Pb3ff680bd6,5299,1,2002,?,3,20170719202744
Pbc5a0470c9,2967,1,2003,?,3,20170602102303
P014b6ed928,3595,1,2003,?,,20170602102303
Pae0e6be256,1520,1,2003,?,3,20170602102303
Peab571b95d,1740,1,2003,?,3,20170602102303
P39c1b5b439,4726,1,2003,?,,20170602102303
P01056a0f18,3099,1,2003,?,,20170602102303
P7feaaeffcb,2836,1,2003,NBA Pre-Draft Camp,3,20170602102303
P0efa2b4f7d,2446,1,2003,NBA Pre-Draft Camp,3,20170602102303
P3d283763c2,4527,1,2003,?,3,20170602102303
Pced63c164c,2031,1,2003,?,3,20170602102303
P3c6c730bf2,4091,1,2003,NBA Pre-Draft Camp,3,20170602102303
P539180f113,1652,1,2003,NBA Pre-Draft Camp,,20170602102303
P37455198a4,4823,1,2003,?,,20170602102303
Pb7edd3ead7,3078,1,2003,?,,20170602102303
Pc441e97a64,2054,1,2003,?,3,20170602102303
P82d1799627,2887,1,2003,?,,20170602102303
P47846f7398,3101,1,2003,?,3,20170602102303
P08c56d3590,4760,1,2003,?,3,20170602102303
Pa3bf9b334b,1636,1,2003,?,,20170602102303
P4649b7d232,2715,1,2003,NBA Pre-Draft Camp,,20170602102303
Pa2e0858910,5300,1,2003,NBA Pre-Draft Camp,3,20170602102303
Pe4a1b20238,2634,1,2003,NBA Pre-Draft Camp,,20170602102303
P3a913af04c,1715,2,2001|2003,?|NBA Pre-Draft Camp,3,20170128164518|20170602102303
P624e80554f,1726,1,2003,?,3,20170602102303
P9f79255649,5290,1,2003,?,3,20170602102303
Pce38c03d45,3077,1,2003,?,,20170602102303
P3e7075c22e,3204,1,2003,?,,20170602102303
P1f926eb06b,2909,1,2003,?,,20170602102303
Pf436b2be04,4418,1,2003,?,,20170602102303
Pd073d30524,2754,1,2002,?,3,20170719202744
Ped90afeb58,3914,1,2003,?,,20170602102303
P7d6aa2dfe0,2986,1,2003,?,,20170602102303
Pae24459193,2297,1,2003,?,3,20170602102303
P78dd3f3917,1941,1,2003,?,3,20170602102303
P85bb3eb8b9,2134,1,2003,?,3,20170602102303
P26a739545e,5371,1,2003,?,,20170602102303
Pc1693478f0,32249,1,2003,?,3,20170602102303
P78473875c4,4926,1,2003,NBA Pre-Draft Camp,3,20170602102303
P269736d407,2888,1,2004,?,3,20170703214529
Pfb5ad97400,3810,1,2004,?,3,20170703214529
Pec20f0f060,2585,1,2004,NBA Pre-Draft Camp,3,20170609071858
Pd353deb783,3327,1,2004,?,3,20170626123447
P5246294b22,2746,1,2004,NBA Pre-Draft Camp,3,20170609071858
P6292223fd6,1988,1,2004,?,3,20170626123447
P8abebd0da5,2210,1,2004,?,3,20170628113652
Pff029e3151,2918,1,2004,?,3,20170609020653
P977a8945dd,2955,1,2004,?,,20170626123447
Pcca6045f01,2903,1,2004,?,3,20170609020653
P67b7122a99,2979,1,2004,?,3,20170827210628
P44f5111142,4427,1,2004,?,,20170128164518
P25c05d7b38,4421,1,2004,?,3,20170609015520
P0b1f22f2d4,3736,2,2003|2004,?|NBA Pre-Draft Camp,,20170602102303|20170609071858
