pid,draft_year,source_id,publisher,archive_url,source_url,capture_utc,draft_date,source_last_updated_date,table_sha256,html_sha256,rank_facts_sha256,cell_sha256,profile_href,source_row_ordinal,age_precision_years,layout,raw_typed_tokens_json,missing_reasons_json
P1c43036b93,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,fd1ddc944cb38107749e04c5669752e3273d102fec3ea2428e31f6c556fae874,/profile/Kevon-Looney-7156/,23,0.1,dx_text,{},{}
P1b292d5147,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,806777ec40a1efbd67d1271b66c39438c454b007f5821f298719a78fb2b7f96f,/profile/Montrezl-Harrell-7019/,24,0.1,dx_text,{},{}
Pd0eaa15469,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,0a2b8d207343cca1297a8cfa833b55e72049f414ccda7e07ed7754c2cb98c8bd,/profile/Jarell-Martin-7159/,25,0.1,dx_text,{},{}
Pcf63b744fe,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,927c7f3c126e21a6fabb058f6ff5ec823f532021cc34050b595353989516e404,/profile/Rashad-Vaughn-71472/,26,0.1,dx_text,{},{}
Pb067831a66,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,0e38f7d02a01d7c5deb998af875130d7174120a90b64b335239c026b778d780b,/profile/Justin-Anderson-5676/,27,0.1,dx_text,{},{}
P128f74a48f,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,cc2095eef2044455a89705e083c8a74d3ada6ce2d4082c49b65cfab6cef90437,/profile/Chris-McCullough-7163/,29,0.1,dx_text,{},{}
Pe71646e585,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,d013033e36b8e65d4966f0c23196ca2ce3d241e5a51d1024ad640c7125772b86,/profile/Terry-Rozier-58730/,30,0.1,dx_text,{},{}
Pf634b73f97,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,181feb8410c6cc99440a42a4bc4c621889d0401c7f002f01fd6c31158fd56729,/profile/Anthony-Brown-6222/,31,0.1,dx_text,{},{}
Pa24dadc449,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,314fb6087eb5727183cfe988d8d7865abb2da60ba801086b90f6ce3b8944e7f8,/profile/Cliff-Alexander-7138/,34,0.1,dx_text,{},{}
P2e8c779b09,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,89472fcdee36029decb8eca8550ddf481b852753d76a198d5036918b3cada329,/profile/Rakeem-Christmas-5722/,36,0.1,dx_text,{},{}
P4a125216bc,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,479d5e045f2bcf8f52fdfcd42f4cfcfe16efc27365b62b0f015360efb1ecd6ec,/profile/Jordan-Mickey-7104/,37,0.1,dx_text,{},{}
Pd3473cff83,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,3d6f8f2d4c5cb88f6dc47ff5668c62a805aaff1dd4b5c1f867ddba44bf5845eb,/profile/Robert-Upshaw-6447/,38,0.1,dx_text,{},{}
Pf21d262b1c,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,6d9071ef555c62f2a48392a2e97bbce7c1da505e6a29dc2d99a3a649c7090832,/profile/Dakari-Johnson-6470/,40,0.1,dx_text,{},{}
P83f630794b,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,8e4c321d47e05152839573f33e54341fbd2911ffef59e6538dd93fead7866fa3,/profile/J.P.-Tokoto-6285/,41,0.1,dx_text,{},{}
Pea73008ab4,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,da5cccdccf7f42141bc2b0a0d5a5c457ab0a6609da7dfa8b5a8cf6fb8e962cfb,/profile/Pat-Connaughton-40714/,42,0.1,dx_text,{},{}
P0ba0d4e186,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,1ab9aff974be46a3d332564260f7c2bba207f53de91e7b77fc7935c0b4096c78,/profile/Andrew-Harrison-6456/,43,0.1,dx_text,{},{}
P5849f19551,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,d338afd26cfa0e6634352cbc6c055c4c542fe4aeeadc415bb9dd65e75c9c9d4c,/profile/Cedi-Osman-7133/,44,0.1,dx_text,{},{}
P944090784f,2015,dx_2015,dx,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-23T17:50:13+00:00,2015-06-25,2015-06-22,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,715adc0f72355ac15e57b147fcb1621d2e7b9c338774522f08cbf78dcb056b79,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,c853ba58dda8f1f348d56d3d18264ed12a09f52b93310b3ab132b73bcc37b1a5,/profile/Josh-Richardson-42015/,45,0.1,dx_text,{},{}
