pid,draft_year,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
P6521ad0003,2022,,79.0,210.0,23.65720424999575,3.0,0.0,0.0,1.0,0.0,0.0
P70fa3dc827,2022,,80.0,205.0,22.52019747281682,1.0,0.0,1.0,1.0,0.0,0.0
P76ebdc8d77,2022,,76.0,195.0,23.735901667180762,4.0,1.0,0.0,0.0,0.0,0.0
P76f8234113,2022,,80.0,205.0,22.52019747281682,1.0,0.0,0.0,1.0,1.0,0.0
P7d4b1d6e8f,2022,,77.0,200.0,23.71629548453902,1.0,0.0,1.0,0.0,0.0,0.0
P86df290cda,2022,,80.0,225.0,24.717289909189194,2.0,0.0,0.0,1.0,1.0,0.0
P8c8d5105c2,2022,,73.0,170.0,22.42856606092271,1.0,1.0,0.0,0.0,0.0,0.0
P919e355315,2022,,77.0,195.0,23.123388097425547,2.0,0.0,1.0,0.0,0.0,0.0
P9345155d6a,2022,,84.0,220.0,21.921103673556555,3.0,0.0,0.0,0.0,0.0,1.0
P96bc00aaed,2022,,75.0,185.0,23.12317728591013,3.0,1.0,0.0,0.0,0.0,0.0
P97df826a61,2022,,80.0,225.0,24.717289909189194,3.0,0.0,0.0,1.0,1.0,0.0
P9d848af991,2022,,78.0,215.0,24.8454897472747,4.0,0.0,1.0,0.0,0.0,0.0
Pa067c50f94,2022,,74.0,190.0,24.394306086822546,1.0,1.0,1.0,0.0,0.0,0.0
Pa06f6a14b5,2022,,73.0,170.0,22.42856606092271,4.0,1.0,0.0,0.0,0.0,0.0
Pa2e8c74c1f,2022,,82.0,235.0,24.571884475788586,2.0,0.0,0.0,0.0,1.0,1.0
Pa5128e8532,2022,,85.0,255.0,24.814220457852688,2.0,0.0,0.0,0.0,0.0,1.0
Pa89859be17,2022,,78.0,210.0,24.267687660128775,3.0,0.0,1.0,1.0,0.0,0.0
Pa95793f720,2022,,78.0,220.0,25.423291834420624,1.0,0.0,0.0,1.0,0.0,0.0
Paac5dcb74c,2022,,77.0,190.0,22.53048071031207,1.0,0.0,1.0,0.0,0.0,0.0
Pab39ee5462,2022,,79.0,195.0,21.96740394642463,,0.0,1.0,1.0,0.0,0.0
Pae46fa4aa5,2022,,77.0,195.0,23.123388097425547,1.0,0.0,1.0,1.0,0.0,0.0
Pafb050f1ad,2022,,75.0,180.0,22.498226548453097,2.0,1.0,1.0,0.0,0.0,0.0
Pbccc770021,2022,,79.0,215.0,24.220471017852795,2.0,1.0,1.0,0.0,0.0,0.0
Pbfdaa31fd0,2022,,84.0,195.0,19.430069165197857,1.0,0.0,0.0,0.0,1.0,1.0
Pc69570e4d2,2022,,80.0,205.0,22.52019747281682,1.0,0.0,1.0,1.0,0.0,0.0
