pid,draft_year,source_id,publisher
P71b16faf7a,2017,dx_2017,dx
P74d19df6a2,2017,dx_2017,dx
P86ef73625c,2017,dx_2017,dx
P8a2034c01d,2017,dx_2017,dx
P964dd1e5f4,2017,dx_2017,dx
P9d178fdf5d,2017,dx_2017,dx
Pa76a1ce248,2017,dx_2017,dx
Pa79b34cca8,2017,dx_2017,dx
Pba3a4faeb9,2017,dx_2017,dx
Pc32fe4a167,2017,dx_2017,dx
Pc4f84bc197,2017,dx_2017,dx
Pcc7ddb9ab9,2017,dx_2017,dx
Pd59c0506ca,2017,nbadraft_2017,nbadraft
Pd808e1b5f8,2017,dx_2017,dx
Pdb3bcb3fc8,2017,dx_2017,dx
Pdb78b3595b,2017,dx_2017,dx
Pe3864f9800,2017,dx_2017,dx
Pe56ae9c7aa,2017,dx_2017,dx
Pe5fb05fea3,2017,dx_2017,dx
Pe6fe5c747b,2017,dx_2017,dx
Pea59b43adb,2017,dx_2017,dx
Pf18fe42b62,2017,dx_2017,dx
Pf62abcdcde,2017,dx_2017,dx
Pf781dda14b,2017,dx_2017,dx
Pfaef4e4fa0,2017,nbadraft_2017,nbadraft
P15b5ca7021,2018,nbadraft_2018,nbadraft
P17f11f33c2,2018,walter_serious_2018,walter_serious
P1a46c41bff,2018,nbadraft_2018,nbadraft
P1f3e01b488,2018,nbadraft_2018,nbadraft
P212def8838,2018,nbadraft_2018,nbadraft
P26d2a90c5b,2018,nbadraft_2018,nbadraft
P27d264f43c,2018,nbadraft_2018,nbadraft
P379ec45447,2018,nbadraft_2018,nbadraft
P3e065b4b4e,2018,nbadraft_2018,nbadraft
P3f77f707c0,2018,nbadraft_2018,nbadraft
P42b9d239c3,2018,walter_serious_2018,walter_serious
P4467431c36,2018,nbadraft_2018,nbadraft
P4d03279429,2018,nbadraft_2018,nbadraft
P4ebe015218,2018,nbadraft_2018,nbadraft
P50c2524b85,2018,walter_serious_2018,walter_serious
P55d017c927,2018,nbadraft_2018,nbadraft
P57ab80ef44,2018,nbadraft_2018,nbadraft
P58e5b2eaa8,2018,nbadraft_2018,nbadraft
P5da3d9ffcd,2018,nbadraft_2018,nbadraft
P5ff9cbca0f,2018,nbadraft_2018,nbadraft
P61add2364f,2018,nbadraft_2018,nbadraft
P6786e0dd88,2018,nbadraft_2018,nbadraft
P67e5a8f825,2018,nbadraft_2018,nbadraft
P688b157768,2018,nbadraft_2018,nbadraft
P6ab3598ab0,2018,nbadraft_2018,nbadraft
P6f990ff013,2018,walter_serious_2018,walter_serious
P75b2e5cfed,2018,nbadraft_2018,nbadraft
P82bbff96e6,2018,nbadraft_2018,nbadraft
P8ecb19c544,2018,nbadraft_2018,nbadraft
P8eec131338,2018,nbadraft_2018,nbadraft
P9106a597f3,2018,nbadraft_2018,nbadraft
P946b6a7bec,2018,nbadraft_2018,nbadraft
P9f769e6678,2018,nbadraft_2018,nbadraft
Pa08fe4841f,2018,nbadraft_2018,nbadraft
Pa129b1725d,2018,nbadraft_2018,nbadraft
Paa92a86ff3,2018,nbadraft_2018,nbadraft
Pae17b87a4a,2018,nbadraft_2018,nbadraft
Pbb5225b691,2018,nbadraft_2018,nbadraft
Pbe6b6d05a9,2018,nbadraft_2018,nbadraft
Pcaa6f4e965,2018,nbadraft_2018,nbadraft
Pd064221ae2,2018,nbadraft_2018,nbadraft
Pd4282e2cb6,2018,nbadraft_2018,nbadraft
Pdb9cad4004,2018,nbadraft_2018,nbadraft
Pe581c6d22f,2018,nbadraft_2018,nbadraft
Peb77360d78,2018,nbadraft_2018,nbadraft
Pefc5241948,2018,nbadraft_2018,nbadraft
Pf271325d7b,2018,nbadraft_2018,nbadraft
Pf507011aa5,2018,nbadraft_2018,nbadraft
Pf5ec6d144b,2018,nbadraft_2018,nbadraft
P00e7133fc6,2019,nbadraft_2019,nbadraft
P023bbe5ec1,2019,nbadraft_2019,nbadraft
P14a01dedf9,2019,nbadraft_2019,nbadraft
P18facb688d,2019,nbadraft_2019,nbadraft
P1a41a85440,2019,nbadraft_2019,nbadraft
P2084d7c5fc,2019,nbadraft_2019,nbadraft
P273938bb97,2019,nbadraft_2019,nbadraft
P297d12820e,2019,nbadraft_2019,nbadraft
P2f4b26e6e1,2019,nbadraft_2019,nbadraft
P338a42b9d0,2019,nbadraft_2019,nbadraft
P37457bff4f,2019,nbadraft_2019,nbadraft
P43dec358d1,2019,nbadraft_2019,nbadraft
P4832cf3ea3,2019,nbadraft_2019,nbadraft
P4a79c6caeb,2019,nbadraft_2019,nbadraft
P4ebfdd4833,2019,nbadraft_2019,nbadraft
P5277c76d51,2019,nbadraft_2019,nbadraft
P5cd98708f1,2019,nbadraft_2019,nbadraft
P6a3fce0af3,2019,nbadraft_2019,nbadraft
P6a5f6ac2d8,2019,nbadraft_2019,nbadraft
P6b5b70ee01,2019,nbadraft_2019,nbadraft
P6f1d3c64d2,2019,walter_serious_2019,walter_serious
P714602a9aa,2019,nbadraft_2019,nbadraft
P7c5888ec9d,2019,nbadraft_2019,nbadraft
P7ff4af5e7c,2019,nbadraft_2019,nbadraft
P8209ad6040,2019,nbadraft_2019,nbadraft
P846172a369,2019,nbadraft_2019,nbadraft
P8df31bfe17,2019,nbadraft_2019,nbadraft
P90a39c14ab,2019,nbadraft_2019,nbadraft
