pid,draft_year,source_id,publisher,vmb_age_reported_years,vmb_listed_height_in,vmb_listed_weight_lb,vmb_listed_bmi,vmb_college_class_year,vmb_position_pg,vmb_position_sg,vmb_position_sf,vmb_position_pf,vmb_position_c
P9264b6e63a,2016,dx_2016,dx,19.4,84.0,242.0,24.11321404091221,1.0,0.0,0.0,0.0,1.0,0.0
Pd856e50561,2016,dx_2016,dx,20.2,84.0,216.0,21.522538152219163,1.0,0.0,0.0,0.0,1.0,1.0
P620501ed0d,2016,dx_2016,dx,20.1,82.0,231.0,24.153639633647508,2.0,0.0,0.0,0.0,1.0,1.0
Pc1c99fe2be,2016,dx_2016,dx,19.7,77.0,170.0,20.15885116185817,1.0,1.0,1.0,0.0,0.0,0.0
P9668122fb9,2016,dx_2016,dx,19.5,83.0,237.0,24.187471385466797,1.0,0.0,0.0,0.0,1.0,1.0
P6f92e02de4,2016,dx_2016,dx,20.4,78.0,200.0,23.11208348583693,1.0,0.0,1.0,1.0,0.0,0.0
Pd50459cb6d,2016,dx_2016,dx,19.7,81.0,219.0,23.46780032631853,1.0,0.0,0.0,0.0,1.0,1.0
Pc5a8d9d1d6,2016,dx_2016,dx,21.8,80.0,220.0,24.1680168000961,4.0,0.0,0.0,1.0,0.0,0.0
P64adb31e4d,2016,dx_2016,dx,19.2,85.0,265.0,25.78732714247436,,0.0,0.0,0.0,0.0,1.0
P88064c1c05,2016,dx_2016,dx,22.5,78.0,210.0,24.267687660128775,4.0,0.0,1.0,0.0,0.0,0.0
P07954fea73,2016,dx_2016,dx,18.9,79.0,185.0,20.840870410710547,,0.0,1.0,0.0,0.0,0.0
Pa466887b08,2016,dx_2016,dx,21.7,74.0,194.0,24.907870425492494,3.0,1.0,0.0,0.0,0.0,0.0
Pddcf4609af,2016,dx_2016,dx,21.9,78.0,207.0,23.921006407841222,3.0,0.0,0.0,1.0,0.0,0.0
P4a1b07df85,2016,dx_2016,dx,19.5,77.0,190.0,22.53048071031207,1.0,0.0,1.0,0.0,0.0,0.0
P1a32cd4176,2016,dx_2016,dx,19.4,84.0,249.0,24.810703703252646,,0.0,0.0,0.0,0.0,1.0
P25bfc6427b,2016,dx_2016,dx,20.9,84.0,244.0,24.312496801580906,3.0,0.0,0.0,0.0,0.0,1.0
Pfa4c05beee,2016,dx_2016,dx,19.3,82.0,254.0,26.55854747595873,1.0,0.0,0.0,0.0,0.0,1.0
Pbfe4edf289,2016,dx_2016,dx,21.9,83.0,209.0,21.32987982937789,4.0,0.0,0.0,0.0,1.0,0.0
Pd7c989b67a,2016,dx_2016,dx,20.5,80.0,270.0,29.66074789102703,,0.0,0.0,0.0,1.0,0.0
Pcf60b82b9d,2016,dx_2016,dx,22.3,80.0,210.0,23.06947058190991,,0.0,0.0,1.0,0.0,0.0
P0edb7d3b99,2016,dx_2016,dx,20.4,70.0,149.0,21.3790545645377,2.0,1.0,0.0,0.0,0.0,0.0
P9c2d575f48,2016,dx_2016,dx,20.4,86.0,218.0,20.723251536146122,,0.0,0.0,0.0,0.0,1.0
Paca468f5b5,2016,dx_2016,dx,18.9,86.0,240.0,22.814588847133347,,0.0,0.0,0.0,0.0,1.0
P4b59f5fe56,2016,dx_2016,dx,19.3,85.0,216.0,21.019104387828158,4.0,0.0,0.0,0.0,1.0,0.0
Pe2eac4ddf4,2016,dx_2016,dx,19.6,82.0,245.0,25.617496581141296,2.0,0.0,0.0,0.0,0.0,1.0
P83cf60968a,2016,dx_2016,dx,20.9,83.0,220.0,22.452505083555675,,0.0,0.0,0.0,1.0,0.0
Pf20205fffb,2016,dx_2016,dx,20.6,79.0,181.0,20.39025699642491,2.0,0.0,1.0,0.0,0.0,0.0
P85fbcb1dce,2016,dx_2016,dx,22.3,82.0,227.0,23.735394791506426,2.0,0.0,0.0,0.0,1.0,0.0
Pb3a7a6f86b,2016,dx_2016,dx,19.7,84.0,234.0,23.316082998237427,1.0,0.0,0.0,0.0,0.0,1.0
Pf5fb4e36b6,2016,dx_2016,dx,23.5,78.0,223.0,25.76997308670818,4.0,0.0,1.0,0.0,0.0,0.0
P8e900c2247,2016,dx_2016,dx,23.8,84.0,278.0,27.700303732948736,4.0,0.0,0.0,0.0,0.0,1.0
P8935abbbb4,2016,dx_2016,dx,22.2,81.0,251.0,26.89688530550663,3.0,0.0,0.0,0.0,1.0,1.0
Pd5a40a7ee0,2016,dx_2016,dx,21.2,80.0,229.0,25.156708396463667,2.0,0.0,0.0,0.0,1.0,0.0
P55d1c5e102,2016,dx_2016,dx,21.8,79.0,191.0,21.516790532138995,4.0,1.0,1.0,0.0,0.0,0.0
Pa7cb2c7354,2016,dx_2016,dx,21.7,78.0,232.0,26.81001684357084,3.0,0.0,1.0,0.0,0.0,0.0
P55f0d03e7b,2016,dx_2016,dx,23.5,75.0,184.0,22.99818713841872,4.0,1.0,0.0,0.0,0.0,0.0
Pfd95ad31d4,2016,dx_2016,dx,22.2,81.0,209.0,22.396211270322254,4.0,0.0,0.0,1.0,0.0,0.0
Pa307fde308,2016,dx_2016,dx,24.0,79.0,205.0,23.093937482138713,4.0,0.0,1.0,1.0,0.0,0.0
P9260f65add,2016,dx_2016,dx,21.2,70.0,177.0,25.39659501961861,3.0,1.0,0.0,0.0,0.0,0.0
Pf8b83ac1f0,2016,dx_2016,dx,21.2,77.0,210.0,24.902110258765973,2.0,0.0,1.0,0.0,0.0,0.0
Pbd6175d1ad,2016,dx_2016,dx,23.1,80.0,215.0,23.618743691003008,4.0,0.0,0.0,1.0,0.0,0.0
Pd46f6361f5,2016,dx_2016,dx,22.3,81.0,224.0,24.003594854316674,4.0,0.0,0.0,0.0,1.0,0.0
P16f60c6002,2016,dx_2016,dx,23.4,78.0,198.0,22.880962650978564,4.0,0.0,1.0,0.0,0.0,0.0
P25e61f80f8,2017,dx_2017,dx,19.1,76.0,195.0,23.735901667180762,,1.0,0.0,0.0,0.0,0.0
P6e7d02b021,2017,dx_2017,dx,19.7,78.0,190.0,21.956479311545085,,1.0,0.0,0.0,0.0,0.0
P8a2034c01d,2017,dx_2017,dx,19.3,80.0,204.0,22.4103428509982,,0.0,0.0,1.0,0.0,0.0
Pe56ae9c7aa,2017,dx_2017,dx,20.4,80.0,203.0,22.30048822917958,,0.0,0.0,1.0,0.0,0.0
P6f43cf2ee3,2017,dx_2017,dx,19.5,76.0,171.0,20.814559923527742,,1.0,0.0,0.0,0.0,0.0
Pe3864f9800,2017,dx_2017,dx,19.7,83.0,205.0,20.921652464222333,,0.0,0.0,1.0,1.0,0.0
Pf62abcdcde,2017,dx_2017,dx,20.1,84.0,225.0,22.419310575228295,,0.0,0.0,0.0,1.0,0.0
P4a000d48b0,2017,dx_2017,dx,19.4,76.0,197.0,23.97934681248518,,0.0,1.0,0.0,0.0,0.0
Pe6fe5c747b,2017,dx_2017,dx,19.7,84.0,230.0,22.917517476900034,,0.0,0.0,0.0,1.0,1.0
Pdb3bcb3fc8,2017,dx_2017,dx,20.8,75.0,210.0,26.24793097319528,,0.0,1.0,0.0,0.0,0.0
P71b16faf7a,2017,dx_2017,dx,21.0,78.0,202.0,23.3432043206953,,0.0,1.0,0.0,0.0,0.0
P49d50fc2b5,2017,dx_2017,dx,19.7,82.0,225.0,23.526272370435883,,0.0,0.0,0.0,1.0,0.0
P46cfb45fde,2017,dx_2017,dx,18.9,77.0,170.0,20.15885116185817,,1.0,0.0,0.0,0.0,0.0
P2c3a1eb46b,2017,dx_2017,dx,20.0,84.0,226.0,22.518951955562645,,0.0,0.0,0.0,0.0,1.0
P24e5e8b7dc,2017,dx_2017,dx,22.2,80.0,193.0,21.201942010993395,,0.0,0.0,1.0,0.0,0.0
P0af0ac79ae,2017,dx_2017,dx,19.2,83.0,224.0,22.860732448711232,,0.0,0.0,0.0,0.0,1.0
Pf18fe42b62,2017,dx_2017,dx,19.9,82.0,250.0,26.140302633817647,,0.0,0.0,0.0,0.0,1.0
Pcc7ddb9ab9,2017,dx_2017,dx,20.1,82.0,220.0,23.003466317759532,,0.0,0.0,0.0,1.0,0.0
P1e22570fac,2017,dx_2017,dx,19.9,80.0,215.0,23.618743691003008,,0.0,0.0,1.0,1.0,0.0
Pd808e1b5f8,2017,dx_2017,dx,18.7,82.0,230.0,24.04907842311224,,0.0,0.0,0.0,0.0,1.0
P459acdec33,2017,dx_2017,dx,21.3,82.0,240.0,25.09469052846494,,0.0,0.0,0.0,1.0,0.0
P63f00af37c,2017,dx_2017,dx,21.2,82.0,225.0,23.526272370435883,,0.0,0.0,1.0,1.0,0.0
Pc4f84bc197,2017,dx_2017,dx,22.5,79.0,235.0,26.47353808928096,,0.0,0.0,1.0,1.0,0.0
Pe5fb05fea3,2017,dx_2017,dx,21.5,86.0,229.0,21.768920191639733,,0.0,0.0,0.0,0.0,1.0
Pa79b34cca8,2017,dx_2017,dx,23.0,77.0,200.0,23.71629548453902,,1.0,1.0,0.0,0.0,0.0
P54d4de841c,2017,dx_2017,dx,19.1,79.0,186.0,20.953523764281954,,0.0,1.0,1.0,0.0,0.0
Pf781dda14b,2017,dx_2017,dx,20.4,82.0,215.0,22.480660265083177,,0.0,0.0,0.0,1.0,1.0
P2ad4235514,2017,dx_2017,dx,19.1,84.0,225.0,22.419310575228295,,0.0,0.0,0.0,1.0,1.0
P2e6be7d23b,2017,dx_2017,dx,19.5,82.0,248.0,25.931180212747105,,0.0,0.0,0.0,0.0,1.0
P032d23c9d9,2017,dx_2017,dx,21.9,81.0,221.0,23.68211813751779,,0.0,0.0,0.0,1.0,0.0
P204a101867,2017,dx_2017,dx,20.2,81.0,247.0,26.468249683108116,,0.0,0.0,0.0,1.0,1.0
P551a484de7,2017,dx_2017,dx,22.5,81.0,227.0,24.325071571115558,,0.0,0.0,0.0,1.0,0.0
P38e6db5ca1,2017,dx_2017,dx,19.1,76.0,208.0,25.318295111659477,,0.0,1.0,0.0,0.0,0.0
P964dd1e5f4,2017,dx_2017,dx,21.5,82.0,227.0,23.735394791506426,,0.0,0.0,0.0,1.0,0.0
P74d19df6a2,2017,dx_2017,dx,19.9,82.0,241.0,25.19925173900021,,0.0,0.0,0.0,0.0,1.0
P16938f3fa9,2017,dx_2017,dx,20.9,73.0,177.0,23.352095251666583,,1.0,0.0,0.0,0.0,0.0
P1ea9c7c88d,2017,dx_2017,dx,22.3,78.0,204.0,23.57432515555367,,0.0,1.0,0.0,0.0,0.0
Pc32fe4a167,2017,dx_2017,dx,21.4,79.0,215.0,24.220471017852795,,0.0,0.0,1.0,0.0,0.0
Pdb78b3595b,2017,dx_2017,dx,22.1,81.0,230.0,24.64654828791444,,0.0,0.0,0.0,1.0,1.0
P2acab9acdb,2017,dx_2017,dx,21.5,77.0,170.0,20.15885116185817,,1.0,0.0,0.0,0.0,0.0
P22340c4458,2017,dx_2017,dx,22.4,78.0,230.0,26.57889600871247,,0.0,1.0,0.0,0.0,0.0
P9d178fdf5d,2017,dx_2017,dx,22.2,81.0,225.0,24.1107537599163,,0.0,0.0,0.0,1.0,0.0
P5351e63d76,2017,dx_2017,dx,23.2,71.0,185.0,25.801998062536104,,1.0,0.0,0.0,0.0,0.0
P1804943702,2017,dx_2017,dx,21.4,76.0,180.0,21.910063077397627,,0.0,1.0,0.0,0.0,0.0
P0d567b6867,2017,dx_2017,dx,20.7,78.0,200.0,23.11208348583693,,0.0,1.0,0.0,0.0,0.0
P3e5c820c70,2017,dx_2017,dx,20.2,80.0,210.0,23.06947058190991,,0.0,0.0,0.0,1.0,0.0
Pea59b43adb,2017,dx_2017,dx,22.3,80.0,200.0,21.970924363723725,,0.0,0.0,1.0,1.0,0.0
P27a35575e9,2017,dx_2017,dx,22.0,78.0,208.0,24.03656682527041,,0.0,1.0,0.0,0.0,0.0
Pa76a1ce248,2017,dx_2017,dx,22.0,75.0,175.0,21.873275810996066,,1.0,0.0,0.0,0.0,0.0
P86ef73625c,2017,dx_2017,dx,21.8,77.0,202.0,23.953458439384413,,0.0,0.0,1.0,0.0,0.0
P10187f6389,2017,dx_2017,dx,22.8,77.0,214.0,25.376436168456756,,0.0,1.0,0.0,0.0,0.0
Pba3a4faeb9,2017,dx_2017,dx,22.8,76.0,182.0,22.153508222702044,,1.0,0.0,0.0,0.0,0.0
P5a591d3e24,2015,nbadraft_2015,nbadraft,,84.0,250.0,24.910345083586993,1.0,0.0,0.0,0.0,0.0,1.0
Pb9c495a67d,2015,nbadraft_2015,nbadraft,,83.0,270.0,27.555347148000145,1.0,0.0,0.0,0.0,0.0,1.0
P67cf99c3eb,2015,nbadraft_2015,nbadraft,,76.0,195.0,23.735901667180762,1.0,1.0,1.0,0.0,0.0,0.0
P3e493925a2,2015,nbadraft_2015,nbadraft,,77.0,200.0,23.71629548453902,,1.0,0.0,0.0,0.0,0.0
Pf1eb0b11c1,2015,nbadraft_2015,nbadraft,,85.0,230.0,22.381453746298504,,0.0,0.0,0.0,1.0,0.0
Pc3390f55d0,2015,nbadraft_2015,nbadraft,,78.0,222.0,25.65441266927899,1.0,0.0,1.0,1.0,0.0,0.0
P11ed05516e,2015,nbadraft_2015,nbadraft,,80.0,215.0,23.618743691003008,,0.0,1.0,1.0,0.0,0.0
P2297a93a7f,2015,nbadraft_2015,nbadraft,,82.0,240.0,25.09469052846494,1.0,0.0,0.0,0.0,1.0,0.0
Pce2a43b358,2015,nbadraft_2015,nbadraft,,74.0,185.0,23.752350663485114,2.0,1.0,0.0,0.0,0.0,0.0
Pff77feae98,2015,nbadraft_2015,nbadraft,,78.0,242.0,27.965621017862688,1.0,0.0,0.0,1.0,0.0,0.0
Peaf1686cc0,2015,nbadraft_2015,nbadraft,,83.0,240.0,24.493641909333466,1.0,0.0,0.0,0.0,0.0,1.0
P5492e07ad3,2015,nbadraft_2015,nbadraft,,83.0,245.0,25.00392611577791,2.0,0.0,0.0,0.0,1.0,0.0
Pec96a14b85,2015,nbadraft_2015,nbadraft,,85.0,230.0,22.381453746298504,4.0,0.0,0.0,0.0,0.0,1.0
P7d77f683c0,2015,nbadraft_2015,nbadraft,,78.0,205.0,23.689885572982853,1.0,0.0,1.0,0.0,0.0,0.0
P94d904f95a,2015,nbadraft_2015,nbadraft,,81.0,220.0,23.574959231918164,3.0,0.0,0.0,1.0,0.0,0.0
Pcf63b744fe,2015,nbadraft_2015,nbadraft,,77.0,200.0,23.71629548453902,1.0,0.0,1.0,0.0,0.0,0.0
P9a02cf437c,2015,nbadraft_2015,nbadraft,,73.0,185.0,24.4075571839453,1.0,1.0,0.0,0.0,0.0,0.0
P1b292d5147,2015,nbadraft_2015,nbadraft,,80.0,255.0,28.012928563747753,3.0,0.0,0.0,0.0,1.0,0.0
P8d6369038a,2015,nbadraft_2015,nbadraft,,76.0,200.0,24.344514530441806,4.0,1.0,0.0,0.0,0.0,0.0
P1c43036b93,2015,nbadraft_2015,nbadraft,,81.0,222.0,23.789277043117416,1.0,0.0,0.0,0.0,1.0,0.0
Pe71646e585,2015,nbadraft_2015,nbadraft,,74.0,190.0,24.394306086822546,2.0,1.0,0.0,0.0,0.0,0.0
P16f77dc0c6,2015,nbadraft_2015,nbadraft,,77.0,180.0,21.34466593608512,4.0,1.0,1.0,0.0,0.0,0.0
Pb067831a66,2015,nbadraft_2015,nbadraft,,78.0,230.0,26.57889600871247,3.0,0.0,1.0,1.0,0.0,0.0
P3cfad83e39,2015,nbadraft_2015,nbadraft,,78.0,185.0,21.378677224399162,3.0,0.0,1.0,0.0,0.0,0.0
Pd0eaa15469,2015,nbadraft_2015,nbadraft,,81.0,240.0,25.718137343910723,2.0,0.0,0.0,0.0,1.0,0.0
Pe7f5f31a46,2015,nbadraft_2015,nbadraft,,81.0,245.0,26.253931871908865,4.0,0.0,0.0,0.0,1.0,0.0
P5849f19551,2015,nbadraft_2015,nbadraft,,80.0,215.0,23.618743691003008,,0.0,0.0,1.0,0.0,0.0
P831df49905,2015,nbadraft_2015,nbadraft,,76.0,215.0,26.17035312022494,4.0,0.0,1.0,0.0,0.0,0.0
P4a125216bc,2015,nbadraft_2015,nbadraft,,80.0,240.0,26.365109236468474,2.0,0.0,0.0,0.0,1.0,0.0
P128f74a48f,2015,nbadraft_2015,nbadraft,,81.0,200.0,21.4317811199256,1.0,0.0,0.0,0.0,1.0,0.0
Pa24dadc449,2015,nbadraft_2015,nbadraft,,80.0,240.0,26.365109236468474,1.0,0.0,0.0,0.0,1.0,1.0
P84b2e1b413,2015,nbadraft_2015,nbadraft,,82.0,215.0,22.480660265083177,2.0,0.0,0.0,0.0,1.0,0.0
Pfd690eb68d,2015,nbadraft_2015,nbadraft,,78.0,210.0,24.267687660128775,3.0,0.0,0.0,1.0,0.0,0.0
Pcfe0d93659,2015,nbadraft_2015,nbadraft,,76.0,185.0,22.51867594065867,3.0,1.0,1.0,0.0,0.0,0.0
P2e8c779b09,2015,nbadraft_2015,nbadraft,,81.0,245.0,26.253931871908865,4.0,0.0,0.0,0.0,1.0,1.0
P4ba2b4830d,2015,nbadraft_2015,nbadraft,,79.0,180.0,20.277603642853503,2.0,0.0,1.0,1.0,0.0,0.0
Pf21d262b1c,2015,nbadraft_2015,nbadraft,,84.0,260.0,25.906758886930472,2.0,0.0,0.0,0.0,0.0,1.0
P83f630794b,2015,nbadraft_2015,nbadraft,,78.0,195.0,22.534281398691007,3.0,0.0,1.0,1.0,0.0,0.0
Pea73008ab4,2015,nbadraft_2015,nbadraft,,77.0,215.0,25.49501764587945,4.0,0.0,1.0,1.0,0.0,0.0
P944090784f,2015,nbadraft_2015,nbadraft,,78.0,200.0,23.11208348583693,4.0,0.0,1.0,0.0,0.0,0.0
Pf634b73f97,2015,nbadraft_2015,nbadraft,,79.0,210.0,23.65720424999575,4.0,0.0,1.0,1.0,0.0,0.0
Pa48064fa8c,2015,nbadraft_2015,nbadraft,,80.0,230.0,25.266563018282287,3.0,0.0,0.0,0.0,1.0,0.0
P2c58b86e78,2015,nbadraft_2015,nbadraft,,79.0,210.0,23.65720424999575,2.0,0.0,0.0,1.0,1.0,0.0
P0ba0d4e186,2015,nbadraft_2015,nbadraft,,78.0,215.0,24.8454897472747,2.0,1.0,1.0,0.0,0.0,0.0
Pd3473cff83,2015,nbadraft_2015,nbadraft,,84.0,260.0,25.906758886930472,2.0,0.0,0.0,0.0,0.0,1.0
P9e418f4c91,2015,nbadraft_2015,nbadraft,,77.0,200.0,23.71629548453902,3.0,0.0,1.0,0.0,0.0,0.0
Pdaafce7eb6,2015,nbadraft_2015,nbadraft,,81.0,230.0,24.64654828791444,4.0,0.0,0.0,0.0,1.0,0.0
P0fde3dedb2,2016,nbadraft_2016_fallback,nbadraft,,82.0,240.0,25.09469052846494,1.0,0.0,0.0,1.0,1.0,0.0
P117a6c6fb1,2016,nbadraft_2016_fallback,nbadraft,,81.0,195.0,20.895986591927464,1.0,0.0,0.0,1.0,0.0,0.0
P4ec4ee54f1,2016,nbadraft_2016_fallback,nbadraft,,77.0,215.0,25.49501764587945,4.0,0.0,1.0,0.0,0.0,0.0
P47380ec945,2016,nbadraft_2016_fallback,nbadraft,,82.0,235.0,24.571884475788586,1.0,0.0,0.0,0.0,1.0,0.0
P9155961dd2,2016,nbadraft_2016_fallback,nbadraft,,76.0,220.0,26.77896598348599,3.0,1.0,0.0,0.0,0.0,0.0
Pf9ebd1b271,2016,nbadraft_2016_fallback,nbadraft,,76.0,205.0,24.95312739370285,1.0,1.0,1.0,0.0,0.0,0.0
P53f786523f,2016,nbadraft_2016_fallback,nbadraft,,84.0,220.0,21.921103673556555,,0.0,0.0,0.0,1.0,0.0
P620501ed0d,2016,nbadraft_2016_fallback,nbadraft,,82.0,240.0,25.09469052846494,2.0,0.0,0.0,0.0,1.0,1.0
P88f4dbf943,2016,nbadraft_2016_fallback,nbadraft,,85.0,240.0,23.354560430920177,2.0,0.0,0.0,0.0,0.0,1.0
P8a2a3c7c07,2016,nbadraft_2016_fallback,nbadraft,,78.0,225.0,26.001093921566547,1.0,0.0,1.0,1.0,0.0,0.0
Pd856e50561,2016,nbadraft_2016_fallback,nbadraft,,84.0,215.0,21.422896771884815,1.0,0.0,0.0,0.0,1.0,1.0
P6f92e02de4,2016,nbadraft_2016_fallback,nbadraft,,78.0,200.0,23.11208348583693,1.0,0.0,1.0,0.0,0.0,0.0
Pc1c99fe2be,2016,nbadraft_2016_fallback,nbadraft,,77.0,170.0,20.15885116185817,1.0,1.0,1.0,0.0,0.0,0.0
P9668122fb9,2016,nbadraft_2016_fallback,nbadraft,,82.0,240.0,25.09469052846494,1.0,0.0,0.0,0.0,1.0,1.0
