pid,draft_year,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,slot_037,slot_038,slot_039,slot_040,slot_041,slot_042
P1e59a7a7a1,2023,6.4,0.7308,0.45239569,1.6,0.3462,20.3,4.5,31.0,28.0,55.1,0.578,147.0,85.0,0.343,108.0,37.0,2.5,0.703,25.1,26.0,33.0,51.9,27.2692,3.7,0.8077,12.5385,114.0,75.0,3.2,1.4231,0.4235294117647059,15.1,57.11,24.3,0.39751552795031053,1.3714285714285717,2.9345942507366325,0.30573000000000006,5.0,5.0,,1.0,,0.6458333333333334
P7bf5b1ca03,2023,12.4,1.8056,1.2264638,6.2,1.2778,18.1,4.5278,32.0,31.0,51.5,0.513,238.0,122.0,0.347,101.0,35.0,3.0,0.662,23.6,36.0,138.0,67.4,27.7222,9.5,2.2778,11.1667,101.0,70.0,2.2,0.9722,0.29793510324483774,14.9,53.32,22.0,0.779874213836478,2.1,2.909125340393155,0.0664,7.0,7.0,,1.0,,0.6717557251908397
Pf0ef0714b6,2023,24.4,4.25,2.02980221,1.6,0.4688,10.3,2.7812,11.0,11.0,51.6,0.514,185.0,95.0,0.346,127.0,44.0,3.0,0.757,22.4,32.0,112.0,74.9,32.0625,3.3,0.9375,11.7188,73.0,52.0,3.7,1.9688,0.40705128205128205,19.3,54.31,20.3,1.2019704433497536,1.3250000000000002,3.226848666920276,0.012930000000000037,8.0,8.0,,1.0,,0.6796116504854369
P523c5eb5e6,2023,20.0,2.7576,0.95789918,0.7,0.1818,13.6,3.1515,4.0,3.0,47.0,0.424,184.0,78.0,0.338,228.0,77.0,3.0,0.793,36.4,33.0,119.0,69.3,28.6667,4.2,1.0,15.3333,65.0,38.0,2.3,1.1212,0.5533980582524272,19.8,52.35,29.8,0.9615384615384615,0.75,3.9787029105942353,0.23030000000000014,15.0,15.0,,1.0,,0.5894736842105263
P655613d84a,2023,16.3,2.8065,0.85296175,2.5,0.7742,15.5,4.4839,23.0,21.0,50.3,0.51,257.0,131.0,0.325,120.0,39.0,3.5,0.785,34.5,29.0,118.0,77.5,31.3871,4.2,1.1935,17.0323,139.0,85.0,1.4,0.8387,0.3183023872679045,20.1,54.81,27.8,0.7725118483412322,0.8666666666666667,3.8270298987129037,0.37518000000000024,28.0,28.0,,1.0,-1.599999999999367,0.6094674556213018
P0b253c1504,2023,8.2,1.2703,0.93998817,1.8,0.5135,10.8,2.8108,13.0,9.0,53.1,0.445,164.0,73.0,0.388,281.0,109.0,3.0,0.887,31.7,37.0,75.0,69.6,29.3514,3.9,0.973,16.1622,89.0,49.0,1.4,0.7027,0.6314606741573033,11.9,58.4,22.7,0.6356589147286821,0.8,4.395818600092318,0.2267999999999999,17.0,17.0,,1.0,1.3999999999994464,0.5630252100840336
P6b4a74f110,2023,17.4,2.9091,1.50000006,2.1,0.697,12.0,3.7576,13.0,12.0,54.2,0.546,238.0,130.0,0.355,121.0,43.0,2.9,0.849,24.0,33.0,113.0,80.7,34.0,2.6,0.7576,14.0,125.0,86.0,2.3,1.303,0.3370473537604457,15.7,57.77,21.6,1.0419161676646707,1.1282051282051284,3.7915559927377416,0.12432000000000017,13.0,13.0,,1.0,4.399999999998261,0.6709677419354839
P0035c2f0b3,2023,12.9,2.0345,1.5945606,2.1,0.6552,8.8,2.5517,6.0,6.0,53.2,0.496,119.0,59.0,0.368,212.0,78.0,2.8,0.8,22.7,29.0,72.0,66.1,31.6897,1.0,0.2759,14.2069,47.0,29.0,0.8,0.4138,0.6404833836858006,11.0,56.19,21.8,1.075,0.7631578947368423,3.464586672229065,0.11141999999999999,24.0,24.0,,1.0,,0.6103896103896104
Pdcc28d7d6b,2023,9.8,1.0882,1.60857345,12.8,2.4412,17.8,3.2941,55.0,54.0,66.1,0.714,105.0,75.0,0.154,13.0,2.0,5.2,0.6,29.7,34.0,8.0,48.5,20.6176,12.3,2.1176,5.2059,96.0,74.0,1.5,0.5,0.11016949152542373,15.7,65.74,12.8,0.5868263473053893,2.306451612903226,2.1501113630736657,-1.1332799999999994,,,,,,0.7301587301587301
Pd742da0a27,2023,9.2,0.9643,0.72975628,1.1,0.2143,10.6,1.9643,4.0,2.0,52.8,0.414,99.0,41.0,0.429,98.0,42.0,2.9,0.793,14.7,28.0,54.0,40.1,20.6786,2.5,0.4286,8.25,45.0,24.0,2.2,0.75,0.49746192893401014,19.2,54.8,20.3,0.4554455445544554,0.8461538461538463,2.6971495236580894,0.014400000000000026,31.0,31.0,,1.0,,0.56
P6187cee451,2023,10.9,1.1515,0.56715758,1.7,0.3939,18.9,4.0909,10.0,9.0,55.5,0.525,261.0,137.0,0.405,148.0,60.0,4.0,0.83,24.4,33.0,172.0,57.4,24.5455,6.2,1.2727,16.2727,90.0,52.0,1.3,0.5455,0.36185819070904646,15.7,58.82,32.1,0.6526946107784432,0.6,3.8305500289782453,1.0672200000000003,35.0,35.0,,1.0,,0.5833333333333334
P9a144a10c5,2023,6.0,0.8333,0.6521365,3.4,0.9444,21.4,5.8333,30.0,27.0,55.3,0.669,133.0,89.0,0.283,120.0,34.0,3.9,0.649,43.9,36.0,25.0,60.6,25.4167,8.7,2.0833,9.7778,108.0,77.0,1.3,0.5833,0.4743083003952569,15.5,57.57,17.8,0.36363636363636365,0.9591836734693877,3.0623057674705163,-0.16653999999999997,20.0,20.0,,1.0,,0.6884057971014492
Pa4e79c2199,2023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,9.0,,1.0,,
P9b886526e3,2023,22.3,4.3889,1.88098384,1.6,0.5556,14.4,4.4722,10.0,9.0,56.4,0.563,288.0,162.0,0.378,119.0,45.0,2.5,0.653,30.5,36.0,125.0,82.4,34.0,4.4,1.25,15.0,163.0,100.0,2.1,1.3056,0.29238329238329236,17.3,57.95,22.1,1.2185792349726776,1.0571428571428572,3.152888870458403,0.16695000000000018,43.0,43.0,,1.0,2.650000000000351,0.6113989637305699
Pb4a7c38947,2023,13.4,1.7059,1.07410904,0.5,0.1176,6.3,1.4118,4.0,4.0,43.6,0.397,131.0,52.0,0.338,71.0,24.0,2.4,0.74,24.8,17.0,97.0,30.4,25.8235,1.1,0.2353,12.5294,34.0,17.0,1.8,0.8235,0.35148514851485146,13.3,47.18,26.3,0.9370629370629371,0.676470588235294,2.909550968216001,-0.17766000000000004,,,,,,0.546875
P659b205e3c,2023,9.4,1.4,0.55263886,1.8,0.5333,18.2,5.1,11.0,10.0,48.4,0.474,247.0,117.0,0.33,230.0,76.0,2.7,0.782,30.8,30.0,146.0,83.0,33.4667,2.3,0.6667,19.2333,101.0,57.0,1.2,0.7333,0.48218029350104824,14.4,52.76,29.9,0.6103896103896104,0.8108108108108107,3.907819998083538,0.27323999999999976,52.0,52.0,,1.0,6.699999999997339,0.5725190839694656
Pf85863f4bd,2023,15.2,2.1667,0.8904368,1.4,0.3,13.1,2.9667,17.0,16.0,53.3,0.521,219.0,114.0,0.389,54.0,21.0,2.5,0.698,23.1,30.0,101.0,54.5,26.9,3.6,0.8333,11.1667,118.0,77.0,2.5,1.1333,0.1978021978021978,23.0,55.29,23.5,0.6333333333333333,1.1142857142857143,2.9029003921850505,0.18514999999999998,37.0,37.0,,1.0,,0.6418918918918919
P7075ac01b8,2023,16.7,2.5,1.51781922,1.9,0.4412,18.3,4.5588,36.0,35.0,62.5,0.598,239.0,143.0,0.455,112.0,51.0,3.3,0.792,35.6,34.0,75.0,71.2,29.5294,7.3,1.7941,15.8235,164.0,113.0,2.8,1.4706,0.3190883190883191,13.6,65.55,23.5,1.143835616438356,1.0930232558139534,3.8303352703055706,0.5442499999999999,56.0,56.0,,1.0,1.4100000000001718,0.6752577319587629
Pdd1f325a63,2023,13.4,1.7353,0.83100271,3.1,0.7941,23.3,6.3235,38.0,38.0,59.0,0.606,246.0,149.0,0.362,80.0,29.0,3.5,0.669,40.8,34.0,85.0,74.4,29.9706,10.2,2.3235,13.9412,161.0,116.0,2.6,1.2353,0.24539877300613497,17.9,60.9,24.5,0.7089947089947091,1.2666666666666666,3.2766548261671598,0.4905,,,,,2.8800000000002837,0.7015706806282722
Pa6029bb5a6,2023,11.4,1.8667,1.51358153,1.1,0.2667,16.0,4.1,19.0,17.0,52.1,0.53,230.0,122.0,0.329,79.0,26.0,2.8,0.698,31.1,30.0,95.0,61.8,30.5,7.4,1.9333,12.9667,135.0,90.0,5.1,2.6,0.255663430420712,11.3,54.85,21.4,0.9268292682926829,1.631578947368421,3.193148262995361,0.06789999999999995,53.0,53.0,,1.0,2.3500000000003247,0.6545454545454545
