pid,draft_year,source_id,source_url,archive_url,publication_date,capture_utc,body_sha256,feature_eligible,metric,value,unit
Pe6c9de6d86,2020,nba2020_pilot,https://www.nba.com/draft/2020/prospects/aaron-nesmith,https://web.archive.org/web/20201111104936id_/https://www.nba.com/draft/2020/prospects/aaron-nesmith,,2020-11-11T10:49:36+00:00,ae431facf511b816d70b7d57a180e1d7c3c3a0022f7ed5eb51765d00e4f41882,True,report_text_pullup_per1k,0.0,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_words,729,count
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_finishing_per1k,2.7434842249657065,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_creation_per1k,8.23045267489712,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_passing_per1k,5.486968449931413,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_shooting_per1k,5.486968449931413,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_defense_per1k,8.23045267489712,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_rebounding_per1k,2.7434842249657065,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_athleticism_per1k,5.486968449931413,literal matched terms per1000 words; not player grades
Pc9a85d9349,2021,nba2021_pilot,https://www.nba.com/draft/2021/prospects/aaron-henry,https://web.archive.org/web/20210708223817id_/https://www.nba.com/draft/2021/prospects/aaron-henry,,2021-07-08T22:38:17+00:00,b8c1716f018a3c8756880e762675df1742dbabda13af22d9aef7c30908870959,True,report_text_strength_per1k,2.7434842249657065,literal matched terms per1000 words; not player grades
