season,game_id,date,team,opp,won,is_final4,is_final
2003-04,244000039,2004-03-19,W_Michigan,Vanderbilt,0,0,0
2003-04,244000040,2004-03-19,Louisiana,NC_State,0,0,0
2003-04,244000040,2004-03-19,NC_State,Louisiana,1,0,0
2003-04,244000047,2004-03-19,Florida_A&M,Kentucky,0,0,0
2003-04,244000047,2004-03-19,Kentucky,Florida_A&M,1,0,0
2003-04,244000048,2004-03-19,UAB,Washington,1,0,0
2003-04,244000048,2004-03-19,Washington,UAB,0,0,0
2003-04,244000050,2004-03-19,Pacific,Providence,1,0,0
2003-04,244000050,2004-03-19,Providence,Pacific,0,0,0
2003-04,244000051,2004-03-19,Kansas,UIC,1,0,0
2003-04,244000051,2004-03-19,UIC,Kansas,0,0,0
2003-04,244000054,2004-03-19,Boston_College,Utah,1,0,0
2003-04,244000054,2004-03-19,Utah,Boston_College,0,0,0
2003-04,244000055,2004-03-19,Georgia_Tech,Northern_Iowa,1,0,0
2003-04,244000055,2004-03-19,Northern_Iowa,Georgia_Tech,0,0,0
2003-04,244000003,2004-03-20,Saint_Joe's,Texas_Tech,1,0,0
2003-04,244000003,2004-03-20,Texas_Tech,Saint_Joe's,0,0,0
2003-04,244000006,2004-03-20,Manhattan,Wake_Forest,0,0,0
2003-04,244000006,2004-03-20,Wake_Forest,Manhattan,1,0,0
2003-04,244000018,2004-03-20,Duke,Seton_Hall,1,0,0
2003-04,244000018,2004-03-20,Seton_Hall,Duke,0,0,0
2003-04,244000025,2004-03-20,Texas,UNC,1,0,0
2003-04,244000025,2004-03-20,UNC,Texas,0,0,0
2003-04,244000034,2004-03-20,Alabama,Stanford,1,0,0
2003-04,244000034,2004-03-20,Stanford,Alabama,0,0,0
2003-04,244000037,2004-03-20,Maryland,Syracuse,0,0,0
2003-04,244000037,2004-03-20,Syracuse,Maryland,1,0,0
2003-04,244000044,2004-03-20,DePaul,UConn,0,0,0
2003-04,244000044,2004-03-20,UConn,DePaul,1,0,0
2003-04,244000059,2004-03-20,Gonzaga,Nevada,0,0,0
2003-04,244000059,2004-03-20,Nevada,Gonzaga,1,0,0
2003-04,244000010,2004-03-21,Pitt,Wisconsin,1,0,0
2003-04,244000010,2004-03-21,Wisconsin,Pitt,0,0,0
2003-04,244000013,2004-03-21,Memphis,Oklahoma_State,0,0,0
2003-04,244000013,2004-03-21,Oklahoma_State,Memphis,1,0,0
2003-04,244000021,2004-03-21,Cincinnati,Illinois,0,0,0
2003-04,244000021,2004-03-21,Illinois,Cincinnati,1,0,0
2003-04,244000028,2004-03-21,Miss_St,Xavier,0,0,0
2003-04,244000028,2004-03-21,Xavier,Miss_St,1,0,0
2003-04,244000041,2004-03-21,NC_State,Vanderbilt,0,0,0
2003-04,244000041,2004-03-21,Vanderbilt,NC_State,1,0,0
2003-04,244000049,2004-03-21,Kentucky,UAB,0,0,0
2003-04,244000049,2004-03-21,UAB,Kentucky,1,0,0
2003-04,244000052,2004-03-21,Kansas,Pacific,1,0,0
2003-04,244000052,2004-03-21,Pacific,Kansas,0,0,0
2003-04,244000056,2004-03-21,Boston_College,Georgia_Tech,0,0,0
2003-04,244000056,2004-03-21,Georgia_Tech,Boston_College,1,0,0
2003-04,244000007,2004-03-25,Saint_Joe's,Wake_Forest,1,0,0
2003-04,244000007,2004-03-25,Wake_Forest,Saint_Joe's,0,0,0
2003-04,244000014,2004-03-25,Oklahoma_State,Pitt,1,0,0
2003-04,244000014,2004-03-25,Pitt,Oklahoma_State,0,0,0
2003-04,244000038,2004-03-25,Alabama,Syracuse,1,0,0
2003-04,244000038,2004-03-25,Syracuse,Alabama,0,0,0
2003-04,244000045,2004-03-25,UConn,Vanderbilt,1,0,0
2003-04,244000045,2004-03-25,Vanderbilt,UConn,0,0,0
2003-04,244000022,2004-03-26,Duke,Illinois,1,0,0
2003-04,244000022,2004-03-26,Illinois,Duke,0,0,0
2003-04,244000029,2004-03-26,Texas,Xavier,0,0,0
2003-04,244000029,2004-03-26,Xavier,Texas,1,0,0
2003-04,244000053,2004-03-26,Kansas,UAB,1,0,0
2003-04,244000053,2004-03-26,UAB,Kansas,0,0,0
2003-04,244000060,2004-03-26,Georgia_Tech,Nevada,1,0,0
2003-04,244000060,2004-03-26,Nevada,Georgia_Tech,0,0,0
2003-04,244000015,2004-03-27,Oklahoma_State,Saint_Joe's,1,0,0
2003-04,244000015,2004-03-27,Saint_Joe's,Oklahoma_State,0,0,0
2003-04,244000046,2004-03-27,Alabama,UConn,0,0,0
2003-04,244000046,2004-03-27,UConn,Alabama,1,0,0
2003-04,244000030,2004-03-28,Duke,Xavier,1,0,0
2003-04,244000030,2004-03-28,Xavier,Duke,0,0,0
2003-04,244000061,2004-03-28,Georgia_Tech,Kansas,1,0,0
2003-04,244000061,2004-03-28,Kansas,Georgia_Tech,0,0,0
2003-04,244000031,2004-04-03,Georgia_Tech,Oklahoma_State,1,1,0
2003-04,244000031,2004-04-03,Oklahoma_State,Georgia_Tech,0,1,0
2003-04,244000062,2004-04-03,Duke,UConn,0,1,0
2003-04,244000062,2004-04-03,UConn,Duke,1,1,0
2003-04,244000063,2004-04-05,Georgia_Tech,UConn,0,1,1
2003-04,244000063,2004-04-05,UConn,Georgia_Tech,1,1,1
2004-05,250742473,2005-03-15,Alabama_A&M,Oakland,0,0,0
2004-05,250742473,2005-03-15,Oakland,Alabama_A&M,1,0,0
2004-05,254000001,2005-03-17,Montana,Washington,0,0,0
2004-05,254000001,2005-03-17,Washington,Montana,1,0,0
2004-05,254000002,2005-03-17,Pacific,Pitt,1,0,0
2004-05,254000002,2005-03-17,Pitt,Pacific,0,0,0
2004-05,254000008,2005-03-17,Texas_Tech,UCLA,1,0,0
2004-05,254000008,2005-03-17,UCLA,Texas_Tech,0,0,0
2004-05,254000009,2005-03-17,Gonzaga,Winthrop,1,0,0
2004-05,254000009,2005-03-17,Winthrop,Gonzaga,0,0,0
2004-05,254000011,2005-03-17,Creighton,West_Virginia,0,0,0
2004-05,254000011,2005-03-17,West_Virginia,Creighton,1,0,0
2004-05,254000039,2005-03-17,UTEP,Utah,0,0,0
2004-05,254000039,2005-03-17,Utah,UTEP,1,0,0
2004-05,254000040,2005-03-17,Niagara,Oklahoma,0,0,0
2004-05,254000040,2005-03-17,Oklahoma,Niagara,1,0,0
2004-05,254000042,2005-03-17,Cincinnati,Iowa,1,0,0
2004-05,254000042,2005-03-17,Iowa,Cincinnati,0,0,0
2004-05,254000043,2005-03-17,E_Kentucky,Kentucky,0,0,0
2004-05,254000043,2005-03-17,Kentucky,E_Kentucky,1,0,0
2004-05,254000047,2005-03-17,Fair_Dickinson,Illinois,0,0,0
2004-05,254000047,2005-03-17,Illinois,Fair_Dickinson,1,0,0
2004-05,254000048,2005-03-17,Nevada,Texas,1,0,0
2004-05,254000048,2005-03-17,Texas,Nevada,0,0,0
