pid,birth_src_wiki,cutoff_inferred,bio_height_cm,el2_games,el2_dnp,el2_start_games,el2_starts,el2_start_rate,el2_min,el2_min_share,el2_pts40,el2_oreb40,el2_dreb40,el2_ast40,el2_stl40,el2_blk40,el2_tov40,el2_pf40,el2_pir40,el2_ts,el2_efg,el2_3par,el2_ftr,el2_ftpct,el2_3ppct,el2_2ppct,el2_usage,el2_pm40,el2_seasons,el2_age_first,el2_age_last,el2_ls_games,el2_ls_dnp,el2_ls_start_games,el2_ls_starts,el2_ls_start_rate,el2_ls_min,el2_ls_min_share,el2_ls_pts40,el2_ls_oreb40,el2_ls_dreb40,el2_ls_ast40,el2_ls_stl40,el2_ls_blk40,el2_ls_tov40,el2_ls_pf40,el2_ls_pir40,el2_ls_ts,el2_ls_efg,el2_ls_3par,el2_ls_ftr,el2_ls_ftpct,el2_ls_3ppct,el2_ls_2ppct,el2_ls_usage,el2_ls_pm40,el2_trend_pts40,el2_trend_pir40,eu2_games,eu2_dnp,eu2_start_games,eu2_starts,eu2_start_rate,eu2_min,eu2_min_share,eu2_pts40,eu2_oreb40,eu2_dreb40,eu2_ast40,eu2_stl40,eu2_blk40,eu2_tov40,eu2_pf40,eu2_pir40,eu2_ts,eu2_efg,eu2_3par,eu2_ftr,eu2_ftpct,eu2_3ppct,eu2_2ppct,eu2_usage,eu2_pm40,eu2_seasons,yng_min_e,yng_min_u,yng_min_senior,yng_games_u20,yng_age_first_senior,yng_min_share_age18,yng_min_age18,yng_min_share_age19,yng_min_age19,angt_has,angt_tournaments,club_n_senior,club_n_all,club_midseason_moves,club_registrations,tier_best,tier_e,tier_u,intl_any,angt_games,angt_starts,angt_start_rate,angt_min,angt_min_share,angt_pts40,angt_oreb40,angt_dreb40,angt_ast40,angt_stl40,angt_blk40,angt_tov40,angt_pf40,angt_pir40,angt_ts,angt_efg,angt_3par,angt_ftr,angt_ftpct,angt_3ppct,angt_2ppct,angt_usage,angt_age_first,angt_rel_age
P0c0603520c,0,0,186.0,183,0,183,111.0,0.606557,4576.0,0.124431,9.868963,0.996512,2.963311,6.975582,2.797226,0.061189,2.604917,3.365413,15.515863,0.598545,0.553357,0.752998,0.297362,0.830645,0.355096,0.616505,13.280417,,9,26.472279,34.59822,10.0,0.0,10.0,6.0,0.6,286.6,0.141547,10.187278,1.953725,2.511932,6.419381,3.070139,0.0,1.535069,3.20969,17.862625,0.581952,0.54386,0.684211,0.22807,0.846154,0.307692,0.722222,12.758884,,-0.362172,2.126362,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,26.472279,,0.0,,0.0,0,0,2,2,0,9,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P0dca4f55c4,1,0,207.0,15,0,15,7.0,0.466667,252.4,0.083444,15.688263,4.437085,6.972561,1.109271,1.584673,0.950804,2.693944,5.387888,21.868488,0.633316,0.557377,0.0,0.639344,0.794872,,0.557377,19.031508,,1,20.194387,20.561259,15.0,0.0,15.0,7.0,0.466667,252.4,0.083444,15.688263,4.437085,6.972561,1.109271,1.584673,0.950804,2.693944,5.387888,21.868488,0.633316,0.557377,0.0,0.639344,0.794872,,0.557377,19.031508,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,20.194387,,0.0,,0.0,0,0,1,1,0,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P0fc299eb1c,1,1,202.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,3,0,1,0,3,-0.65,,,1,11.0,7.0,0.636364,270.7,0.12303,18.916233,4.876841,6.945804,2.512312,1.182265,2.364529,2.364529,3.84236,25.714254,0.577409,0.557895,0.347368,0.378947,0.611111,0.363636,0.564516,20.413517,15.832991,-0.841631
P10bdb64d5d,0,0,198.0,42,26,42,4.0,0.095238,589.1,0.043239,19.214774,1.290038,3.394836,5.092255,1.086348,0.40738,3.191146,3.598527,20.097432,0.644941,0.606218,0.440415,0.310881,0.816667,0.494118,0.5,22.97697,,6,18.086242,23.405886,21.0,0.0,21.0,3.0,0.142857,454.3,0.107534,19.545221,1.320623,3.521662,5.546617,1.056498,0.352166,3.081454,3.521662,20.249554,0.628966,0.591772,0.424051,0.265823,0.833333,0.492537,0.483516,23.00534,,19.545221,20.249554,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,41.1,0.0,41.1,10,18.086242,0.008125,13.0,0.009378,28.1,1,1,1,2,0,6,1.61,1.61,,1,4.0,4.0,1.0,110.5,0.133939,20.271493,2.171946,6.515837,10.135747,2.171946,1.447964,3.9819,3.9819,23.891403,0.440252,0.421053,0.491228,0.263158,0.533333,0.357143,0.310345,29.249466,17.360712,0.061338
P1108cb2921,0,0,185.0,9,0,9,3.0,0.333333,162.6,0.090324,12.055381,0.492056,2.952338,2.214254,1.722197,0.0,2.70631,3.936451,7.380845,0.474438,0.44898,0.265306,0.122449,0.833333,0.461538,0.361111,18.459972,,1,22.425736,22.579055,9.0,0.0,9.0,3.0,0.333333,162.6,0.090324,12.055381,0.492056,2.952338,2.214254,1.722197,0.0,2.70631,3.936451,7.380845,0.474438,0.44898,0.265306,0.122449,0.833333,0.461538,0.361111,18.459972,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,22.425736,,0.0,,0.0,0,0,1,1,0,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P11475d8eed,0,0,217.0,15,5,15,1.0,0.066667,130.8,0.032284,6.730402,1.529637,3.671128,1.223709,1.835564,2.753346,3.671128,8.260038,0.917782,0.366178,0.369565,0.173913,0.695652,0.3125,0.25,0.368421,15.314761,,1,18.642026,19.049966,15.0,5.0,15.0,1.0,0.066667,130.8,0.032284,6.730402,1.529637,3.671128,1.223709,1.835564,2.753346,3.671128,8.260038,0.917782,0.366178,0.369565,0.173913,0.695652,0.3125,0.25,0.368421,15.314761,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,130.8,0.0,130.8,15,18.642026,0.036667,126.5,0.007083,4.2,1,2,1,2,0,3,1.61,1.61,,1,6.0,6.0,1.0,133.2,0.111042,12.908068,3.302064,9.906191,0.600375,0.900563,6.30394,3.902439,7.204503,19.812383,0.440935,0.305556,0.027778,0.805556,0.724138,0.0,0.314286,20.058699,17.158111,0.240109
P1191691c20,1,0,208.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,3,0,1,0,3,-0.65,,,1,11.0,8.0,0.727273,331.6,0.150742,26.535357,3.015381,7.1163,6.030763,1.206153,1.447383,3.377227,3.497842,32.56612,0.555668,0.523256,0.313953,0.343023,0.677966,0.222222,0.610169,27.562929,16.703628,0.203486
P11ed05516e,1,0,206.0,34,7,34,2.0,0.058824,414.5,0.050182,16.984318,1.158022,3.474065,1.930036,1.158022,0.193004,2.026538,4.342581,12.25573,0.572172,0.555172,0.531034,0.137931,0.75,0.376623,0.544118,20.721787,-0.386007,3,17.763176,20.156057,18.0,2.0,18.0,1.0,0.055556,310.0,0.076829,19.096651,1.290314,3.483848,2.193534,1.419346,0.258063,2.064503,4.387068,14.322488,0.596005,0.580508,0.584746,0.118644,0.785714,0.391304,0.571429,22.202463,2.580629,8.51464,7.973282,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,306.4,0.0,306.4,26,17.763176,0.016214,49.0,0.084847,238.4,1,2,1,3,0,5,1.61,1.61,,1,15.0,14.0,0.933333,427.5,0.123234,23.860598,1.403565,8.234246,2.432845,2.619987,0.467855,3.649268,3.462126,24.234882,0.519475,0.484305,0.41704,0.2287,0.764706,0.258065,0.553846,29.179373,15.835729,-0.19353
P144ed94c77,1,0,220.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,1,0,1,0,1,-0.65,,,1,4.0,3.0,0.75,112.8,0.136667,22.350333,4.611973,12.416851,1.064302,3.902439,8.514412,4.257206,1.419069,42.572062,0.538646,0.480392,0.294118,0.333333,0.823529,0.2,0.555556,25.930577,16.093087,-1.029144
P14fdb083b4,0,0,203.0,1,0,1,0.0,0.0,4.8,0.024165,0.0,16.552866,0.0,0.0,0.0,0.0,8.276433,8.276433,-24.829299,0.0,0.0,0.0,0.0,,,0.0,31.816118,,1,20.336756,20.336756,1.0,0.0,1.0,0.0,0.0,4.8,0.024165,0.0,16.552866,0.0,0.0,0.0,0.0,8.276433,8.276433,-24.829299,0.0,0.0,0.0,0.0,,,0.0,31.816118,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,20.336756,,0.0,,0.0,0,0,1,1,1,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P15c3bdbcba,0,0,210.0,7,1,7,0.0,0.0,55.2,0.03398,18.110365,3.622073,5.070902,0.0,0.0,1.448829,4.346487,4.346487,14.488292,0.544425,0.473684,0.210526,0.473684,0.777778,0.0,0.6,25.851903,,1,20.465435,20.829569,7.0,1.0,7.0,0.0,0.0,55.2,0.03398,18.110365,3.622073,5.070902,0.0,0.0,1.448829,4.346487,4.346487,14.488292,0.544425,0.473684,0.210526,0.473684,0.777778,0.0,0.6,25.851903,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,20.465435,,0.0,,0.0,0,0,1,1,0,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P187235ce4e,0,0,203.0,95,1,95,35.0,0.368421,1784.3,0.09233,11.971222,0.784631,3.833481,3.721391,1.322663,0.156926,2.219384,3.048851,13.450811,0.561349,0.529138,0.494172,0.247086,0.754717,0.349057,0.534562,16.451594,3.214292,4,23.126626,26.625599,30.0,0.0,30.0,13.0,0.433333,686.0,0.113385,11.25394,0.758037,4.548224,5.13133,1.341143,0.116621,2.215802,3.207081,16.210338,0.597449,0.578231,0.489796,0.22449,0.69697,0.416667,0.533333,14.799507,0.583106,-1.456255,4.17802,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,23.126626,,0.0,,0.0,0,0,2,2,0,4,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P1a135db58f,1,0,204.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,4,0,1,0,4,-0.65,,,1,16.0,15.0,0.9375,450.4,0.139664,18.915847,1.420909,7.282157,6.749316,2.48659,1.065682,4.617953,1.953749,23.000959,0.511921,0.484211,0.447368,0.215789,0.707317,0.305882,0.504762,24.532239,16.884326,0.350134
P1a32cd4176,1,0,210.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,2,0,2,0,2,-0.65,,,1,8.0,4.0,0.5,132.2,0.075123,20.572241,3.02533,6.050659,1.815198,1.210132,6.050659,2.722797,6.655725,23.295038,0.52599,0.529412,0.0,0.607843,0.451613,,0.529412,23.961847,16.0,-0.495874
P1a41a85440,0,0,204.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,2,0,1,0,2,-0.65,,,1,7.0,4.0,0.571429,176.3,0.123695,22.239116,3.857806,5.673244,2.723157,2.950087,0.22693,5.446314,3.177017,24.508413,0.625638,0.621212,0.272727,0.424242,0.571429,0.333333,0.666667,25.554309,16.796715,-0.233791
P1ef5f1c321,0,0,201.0,10,0,10,2.0,0.2,150.5,0.075267,6.643018,2.391486,4.782973,2.391486,0.531441,0.265721,1.328604,4.782973,6.377297,0.381563,0.370968,0.225806,0.129032,0.5,0.142857,0.416667,12.37923,-4.251531,1,21.232033,21.409993,10.0,0.0,10.0,2.0,0.2,150.5,0.075267,6.643018,2.391486,4.782973,2.391486,0.531441,0.265721,1.328604,4.782973,6.377297,0.381563,0.370968,0.225806,0.129032,0.5,0.142857,0.416667,12.37923,-4.251531,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,21.232033,,0.0,,0.0,1,1,1,2,0,2,1.61,1.61,,1,2.0,0.0,0.0,23.8,0.023834,0.0,0.0,6.713099,1.678275,0.0,1.678275,10.069648,5.034824,-6.713099,0.0,0.0,0.5,0.0,,0.0,0.0,15.528797,17.557837,0.625713
P20a1183fcf,0,0,191.0,14,0,14,5.0,0.357143,243.5,0.086964,14.784394,1.149897,3.12115,6.406571,2.792608,0.0,5.913758,3.942505,13.141684,0.50836,0.466216,0.297297,0.445946,0.636364,0.318182,0.461538,23.994573,,1,18.398357,18.666667,14.0,0.0,14.0,5.0,0.357143,243.5,0.086964,14.784394,1.149897,3.12115,6.406571,2.792608,0.0,5.913758,3.942505,13.141684,0.50836,0.466216,0.297297,0.445946,0.636364,0.318182,0.461538,23.994573,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,243.5,0.0,243.5,14,18.398357,0.086964,243.5,,0.0,0,0,1,1,0,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P220e9380db,0,0,191.0,17,0,17,3.0,0.176471,266.0,0.077669,16.239625,1.353302,2.856971,4.210273,1.804403,0.300734,4.210273,5.713942,10.826416,0.491088,0.436842,0.263158,0.357895,0.735294,0.28,0.442857,24.540727,,2,23.238877,24.410678,10.0,0.0,10.0,2.0,0.2,136.9,0.067596,16.072237,1.753335,2.045557,3.798892,2.33778,0.0,4.383337,5.552227,13.442235,0.539216,0.45,0.3,0.625,0.76,0.166667,0.535714,22.807485,,-0.344818,5.388585,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,23.238877,,0.0,,0.0,0,0,2,2,0,2,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P22c8154970,1,0,192.0,21,2,21,2.0,0.095238,368.3,0.080069,7.602147,1.954838,3.475267,6.298922,6.516126,0.108602,4.561288,4.887095,16.724724,0.481298,0.375,0.375,0.678571,0.736842,0.190476,0.428571,14.399946,,2,16.005476,18.236824,5.0,0.0,5.0,2.0,0.4,66.3,0.066317,7.237963,1.809491,5.428472,8.44429,5.428472,0.0,7.237963,4.222145,18.698071,0.443787,0.35,0.3,0.8,0.625,0.333333,0.285714,17.745014,,-0.444156,2.406681,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,368.3,0.0,368.3,21,16.005476,0.066317,66.3,,0.0,0,0,1,1,0,2,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P23152d31e2,1,0,206.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,4,0,1,0,3,-0.65,,,1,12.0,7.0,0.583333,279.9,0.099947,19.724782,3.001597,6.289061,2.572798,2.429864,1.858132,2.286931,4.287996,20.153582,0.499132,0.468992,0.403101,0.162791,0.809524,0.326923,0.454545,22.436411,15.720739,-0.742601
P246009ab63,0,0,211.0,15,0,15,0.0,0.0,278.9,0.092193,16.781231,4.876597,6.884608,0.860576,1.577723,4.446309,3.012016,3.729162,25.673849,0.595723,0.594595,0.013514,0.743243,0.527273,0.0,0.60274,20.443089,,1,21.442847,21.749487,15.0,0.0,15.0,0.0,0.0,278.9,0.092193,16.781231,4.876597,6.884608,0.860576,1.577723,4.446309,3.012016,3.729162,25.673849,0.595723,0.594595,0.013514,0.743243,0.527273,0.0,0.60274,20.443089,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,21.442847,,0.0,,0.0,0,0,1,1,0,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P24c85e006b,1,0,214.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,1,0,1,0,1,-0.65,,,1,4.0,4.0,1.0,138.1,0.172584,16.803436,4.925145,8.401718,1.448572,1.738286,1.738286,7.24286,2.317715,18.831437,0.508415,0.48,0.24,0.32,0.625,0.166667,0.552632,25.916662,17.724846,0.764537
P277e56e049,1,0,202.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,4,0,3,0,4,-0.65,,,1,16.0,11.0,0.6875,404.1,0.124354,14.45008,1.484597,6.730174,3.859953,1.58357,0.494866,2.870221,2.276383,16.62749,0.487447,0.481752,0.49635,0.211679,0.482759,0.294118,0.521739,19.424247,16.903491,0.203707
P2805efe438,0,0,203.0,4,3,4,0.0,0.0,18.0,0.012845,6.672969,0.0,0.0,0.0,0.0,2.224323,0.0,4.448646,-2.224323,0.307377,0.25,0.0,0.5,0.5,,0.25,13.092143,,1,19.33744,19.488022,4.0,3.0,4.0,0.0,0.0,18.0,0.012845,6.672969,0.0,0.0,0.0,0.0,2.224323,0.0,4.448646,-2.224323,0.307377,0.25,0.0,0.5,0.5,,0.25,13.092143,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,18.0,0.0,18.0,4,19.33744,,0.0,0.012845,18.0,0,0,1,1,0,1,1.61,1.61,,1,,,,,,,,,,,,,,,,,,,,,,,,
P2ad4235514,1,0,210.0,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,0.0,0.0,0,,,0.0,,0.0,1,1,0,1,0,1,-0.65,,,1,4.0,4.0,1.0,107.3,0.134126,35.041612,4.84618,11.929059,4.100614,2.609482,4.84618,6.710096,4.84618,45.106756,0.648813,0.647541,0.229508,0.42623,0.576923,0.357143,0.680851,35.601377,17.697467,0.661494
