pid,draft_year,ordinal,season_end,war
P3928bad8a7,2005,1,2006,-0.228728241
P3928bad8a7,2005,2,2009,1.093084863
P3928bad8a7,2005,3,2010,-0.15075288
P3928bad8a7,2005,4,2011,0.249736832
P3928bad8a7,2005,5,2012,-0.46296952
Pb945050559,2005,1,2006,0.013454843
Pb945050559,2005,2,2007,-0.062541894
Pb945050559,2005,3,2008,0.184684448
Pb945050559,2005,4,2009,-0.036561257
Pb945050559,2005,5,2010,-0.017588971
Pf0c178cb1c,2005,1,2006,0.11386351
P7f2c8eb929,2005,1,2006,-0.206995553
Pd7ea309dee,2005,1,2006,-0.161111571
Pd7ea309dee,2005,2,2007,-0.214389532
Pd7ea309dee,2005,3,2008,0.219283325
Pd7ea309dee,2005,4,2009,-0.607002052
Pd7ea309dee,2005,5,2010,0.506946495
P16dd82b034,2005,1,2006,-0.521946458
P16dd82b034,2005,2,2007,0.00317196
Pc1044ed1f5,2005,1,2006,-0.043424882
P103e95dd1f,2008,1,2009,0.034023831
P103e95dd1f,2008,2,2010,-0.395482075
P103e95dd1f,2008,3,2011,-0.690257297
Pb8998ddf4a,2006,1,2007,-0.076960959
Pb8998ddf4a,2006,2,2010,-0.122840243
Pb8998ddf4a,2006,3,2013,-0.117667
P403a83bdf0,2005,1,2006,-0.164270025
Pdf59a363f3,2005,1,2006,-0.291360532
P7363f8a8b4,2006,1,2007,-0.059283172
P6f687d1dcc,2006,1,2007,-0.258838437
P6f687d1dcc,2006,2,2008,1.300012851
P6f687d1dcc,2006,3,2009,2.582949978
P6f687d1dcc,2006,4,2010,0.425655544
P6f687d1dcc,2006,5,2012,-0.069701544
P1259ebdf13,2005,1,2006,-0.10676824
P1605b30cec,2007,1,2008,-0.03216662
Pa09c3091c5,2005,1,2006,-0.307205235
Pa09c3091c5,2005,2,2008,0.127727768
P187b6721ca,2002,1,2003,0.085308514
Pdbacaefe1b,2003,1,2004,0.135363193
Pdbacaefe1b,2003,2,2005,-0.196000499
P9e0485e8f6,2000,1,2001,-0.136742332
P6d9b6a98b1,2002,1,2003,-0.040743651
Pd72f71c2bb,2000,1,2001,-0.082821471
Pd72f71c2bb,2000,2,2002,-0.800715634
Pd72f71c2bb,2000,3,2003,-0.563620098
Pb9c495a67d,2015,1,2016,-0.940000544
Pb9c495a67d,2015,2,2017,-1.664188597
Pb9c495a67d,2015,3,2018,-0.483189713
P3e493925a2,2015,1,2016,-2.48494603
P3e493925a2,2015,2,2017,-2.661491854
