pid,draft_year,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
P0d0da4d2bc,2010,37.0,73.1,20.2,54.0,56.56,2.0,8.6,16.8,27.7,82.0,123.0,0.667,95.0,184.0,0.516,49.0,128.0,0.383,1.1,2.6,39.4,2.9,0.95536839,72.0,110.0,21.0,68.0,6.0,6.0,30.3243,0.5135,2.5676,2.8919,1.4054,0.3243,11.3243,0.4102564102564102,0.9487179487179488,0.5853658536585367,0.0131199999999999,3.21512780425856
P871b04878c,2010,34.0,72.9,19.0,48.9,49.58,3.5,6.6,12.4,14.6,36.0,66.0,0.545,117.0,256.0,0.457,42.0,112.0,0.375,1.6,2.4,17.9,3.2,1.36537211,47.0,89.0,70.0,167.0,14.0,16.0,29.5,0.9706,1.9118,2.0882,1.2941,0.5294,11.6471,0.3043478260869565,0.9523809523809524,0.7948717948717949,0.0042,2.2915574775680767
Pb46ac34cd7,2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54e531f2ec,2010,32.0,86.5,25.1,45.0,49.8,6.6,19.4,13.1,13.8,117.0,154.0,0.76,165.0,370.0,0.446,27.0,87.0,0.31,3.3,1.3,33.7,2.3,1.01468232,53.0,69.0,112.0,301.0,35.0,38.0,35.125,2.0938,6.4375,2.1562,0.7812,1.1875,16.5,0.1903719912472647,1.3939393939393938,0.8851351351351351,-0.0102000000000001,3.833003088858628
Pd646388a2b,2010,34.0,83.3,27.7,53.6,59.85,2.7,11.3,24.0,18.8,194.0,256.0,0.758,118.0,224.0,0.527,60.0,164.0,0.366,0.4,2.4,66.0,2.4,1.27998773,98.0,152.0,20.0,72.0,30.0,33.0,33.3235,0.7353,3.2353,3.7647,1.3235,0.1176,17.9412,0.422680412371134,0.8235294117647058,1.2121212121212122,0.75845,4.206199672350577
P38bff88a77,2010,34.0,74.8,25.5,54.4,57.83,11.0,23.9,6.1,14.1,155.0,230.0,0.674,174.0,325.0,0.535,36.0,94.0,0.383,3.6,3.0,54.9,3.9,0.47826942,110.0,151.0,64.0,174.0,29.0,30.0,30.2647,3.1471,7.1471,0.9706,1.6765,1.1765,17.9706,0.2243436754176611,1.3469387755102038,0.4039735099337748,0.4306499999999999,3.668189536891689
Pa56ca2c36c,2010,33.0,92.0,30.2,50.3,56.22,3.6,14.9,24.4,16.0,209.0,282.0,0.741,170.0,326.0,0.521,52.0,167.0,0.311,1.6,2.8,57.2,3.0,1.23712323,102.0,148.0,68.0,178.0,11.0,12.0,37.0909,1.1212,4.9697,3.6364,1.697,0.5758,21.3636,0.3387423935091277,1.1,1.4352941176470588,0.6344399999999998,4.183276151153639
Pdc16ca4e2e,2010,36.0,80.4,25.2,54.7,60.82,10.3,15.0,11.2,12.8,187.0,226.0,0.827,227.0,413.0,0.55,18.0,51.0,0.353,1.8,2.2,48.7,3.1,0.92646512,113.0,143.0,114.0,270.0,34.0,35.0,32.2778,2.9722,4.3889,1.75,1.2778,0.5833,19.3056,0.1099137931034482,0.9756097560975612,0.8115942028985507,0.5626399999999999,4.48643366445712
P2c1e066057,2010,35.0,79.4,28.9,53.2,56.43,3.4,12.0,20.1,14.7,119.0,154.0,0.773,181.0,361.0,0.501,79.0,202.0,0.391,0.6,2.4,27.4,2.0,1.18821539,111.0,178.0,70.0,183.0,17.0,18.0,32.7714,0.9714,3.7714,2.8857,1.3429,0.2,20.5143,0.3587921847246891,1.0,1.280254777070064,0.57227,3.8985676153785778
P4793f789c0,2010,32.0,84.8,30.7,49.7,55.02,3.9,10.3,35.3,18.2,138.0,161.0,0.857,151.0,320.0,0.472,67.0,186.0,0.36,1.0,2.9,31.8,2.4,1.87964446,63.0,109.0,88.0,211.0,4.0,4.0,34.3125,1.1875,3.5312,6.3438,1.7188,0.3438,20.0312,0.3675889328063241,1.1470588235294117,1.8385416666666663,0.5371400000000003,4.360070059294153
