pid,draft_year,asap_id,n_asap_ids_same_name,n_identity_same_name
P31b4a243f7,2013,22095,1,1
P24a562f4ba,2013,22127,1,1
Pf825457ab4,2013,39886,3,1
Pf825457ab4,2013,46639,3,1
Pf825457ab4,2013,21925,3,1
Pccb83c9fcb,2013,23627,1,1
P70aaa5fb09,2013,23341,1,1
Pb18185e9fe,2013,25693,1,1
Pa33d5803eb,2013,25063,1,1
Pcad0645e5a,2013,21895,1,1
P56b91ee390,2013,31850,1,1
P467b7b3f59,2013,24328,1,1
P5d0988f1e1,2013,20802,1,1
P488064c36d,2013,20815,1,1
Pf209014384,2013,23559,1,1
P622332ff90,2013,23522,1,1
Pef94ae3f83,2013,22871,1,1
Pfb1f867cde,2013,23359,1,1
Pd2b56a96a1,2013,23427,1,1
Pea46ee56c1,2013,25696,1,1
P36eaf9779b,2013,22002,1,1
P70fe638043,2013,22874,1,1
P15f2c20d7d,2013,22133,1,1
Pb10604e423,2013,23413,1,1
P5f6276e4dd,2013,23557,1,1
P45b94f1aab,2013,23533,1,1
Pa0a2c9503f,2013,31849,1,1
P5e50445e82,2013,22009,1,1
P74a501a7bb,2013,18224,1,1
Pd44ef7a78e,2013,18096,1,1
P8ec07e793f,2013,22033,1,1
P310fe8e32c,2013,22123,1,1
P8d17fbd48e,2013,23460,1,2
P58c3f134a2,2013,25695,1,1
Pd6736ed788,2013,21998,1,1
P01a00a5983,2013,22746,1,1
P26312e5087,2013,20501,1,1
P83fd4822e5,2013,23346,1,1
Pf22b67943e,2013,23576,1,1
P591a253b3e,2013,22081,1,1
P1497c83aba,2013,22855,1,1
P45450124ed,2013,22023,1,1
P38145d33eb,2013,20762,1,1
P8d3cc27d9f,2013,23549,1,1
Pe8dc26218f,2013,25238,1,1
P33a3ea1e89,2013,23531,1,1
Pbe299942e3,2013,23509,1,1
Pcc25131c3d,2013,19577,1,1
P73a117bd09,2013,28212,1,1
Pebbd613418,2013,31046,1,1
P4c0b663d25,2013,25186,1,1
P607c704c53,2013,23455,1,1
P93861fcc04,2013,20650,1,1
Pf1615243ab,2013,23382,1,1
Pdb1689c286,2014,26681,1,1
P23f1ba707f,2014,26129,1,1
P2171d2817b,2014,27012,1,1
P11fb43c4ea,2014,26730,1,1
Pc9a1f10582,2014,27400,1,1
P1044a073cf,2014,25024,1,1
P1dca1ecf2b,2014,26749,1,1
P12d1ca8d35,2014,24438,1,1
P0a4bbd8b0a,2014,26074,1,1
P7f1d080745,2014,26818,1,1
Pc7e0f691c6,2014,21790,1,1
P3997afa4f2,2014,27403,1,1
P96c6ba4e0f,2014,27401,1,1
P49827cf895,2014,25964,1,1
Pa9426d162d,2014,25068,1,1
Paf95fb158c,2014,27405,1,1
Pf7c7a85a9a,2014,26755,1,1
Pea7725adea,2014,27402,1,1
P465ab55c02,2014,25133,1,1
Pccdaab2014,2014,24993,1,1
Pd907989bcb,2014,26751,1,1
P2f95e0c256,2014,25967,1,1
P5c19a79a93,2014,22172,1,1
P360c31499c,2014,27407,1,1
P44154d877a,2014,27404,1,1
Pa5d86611c0,2014,26707,1,1
P4f181909b7,2014,25070,1,1
P944e30c99c,2014,25059,1,1
Pd5729dac8f,2014,24794,1,1
P31e153a014,2014,24945,1,1
Pd6e0b051bb,2014,23354,1,1
Pab87e9a8b8,2014,23456,1,1
Pd8244d9a42,2014,33400,1,1
Pdd79d6ef7f,2014,16357,3,1
Pdd79d6ef7f,2014,32589,3,1
Pdd79d6ef7f,2014,25143,3,1
P962232fdc6,2014,32588,1,1
Pb51c66667f,2014,23432,1,1
Pbac4f67696,2014,27408,1,1
Pb59be03b24,2014,22877,1,1
P6e49424689,2014,24952,1,1
P6cee28a4f3,2014,26608,1,1
P83de6de3ec,2014,23323,1,1
P9e30954b9f,2014,24439,1,1
P8c383a7533,2014,24972,1,1
P25150e1302,2014,27409,1,1
Pb8a773b356,2014,26701,1,1
P9da0cf7014,2014,22864,1,1
Pa47459a77d,2014,25305,1,1
P1108cb2921,2014,18232,1,1
Pf0c15e8037,2014,19541,1,1
P17aee771c1,2014,20855,1,1
P9c40b5aa37,2014,23494,1,1
P331cffbdbb,2014,26607,1,1
P59ddf4705a,2014,22084,1,1
Pee1a8f2e9d,2014,25069,1,1
Pa380a0ce3c,2014,23585,1,1
P1b1aa3dc82,2014,26726,1,1
Pbda800ed55,2014,24961,1,1
Pa76f81d8c3,2014,24959,1,1
P2dde5c1214,2014,26779,1,1
P2dd4d0a4f4,2014,24956,1,1
Pcb993abaa5,2014,26807,1,1
Pceb2ff7429,2014,23435,1,1
P0ee95e3925,2014,22046,1,1
Pfa73181e89,2014,23318,1,1
Pbbdf67d0e0,2014,22869,1,1
P187235ce4e,2014,33385,1,1
P68a89b7756,2014,25193,1,1
P88b9812a96,2014,21905,1,1
Pe39c876df8,2014,18123,1,1
P9df5f3f8bb,2014,19495,1,1
P9075a4686f,2014,21969,1,1
Pdd3e192436,2014,21965,1,1
P7632bd626c,2014,23372,1,1
Pd35ff11e6d,2014,26735,1,1
P8c2c5e7b71,2014,25312,1,1
P80e599186b,2014,24953,1,1
P98ee7e9798,2014,25259,1,1
P645a205457,2014,22146,1,1
P5a591d3e24,2015,28595,1,1
P67cf99c3eb,2015,28568,1,1
Pb9c495a67d,2015,28618,1,1
Pf1eb0b11c1,2015,29265,1,1
P9b0b27ae5d,2015,25062,1,1
Pff77feae98,2015,27925,1,1
Pec96a14b85,2015,26750,1,1
Pc3390f55d0,2015,28810,1,1
Peaf1686cc0,2015,29266,1,1
P2297a93a7f,2015,28772,1,1
P7d77f683c0,2015,28010,1,1
Pce2a43b358,2015,29267,1,1
Ped4ca8f8d6,2015,28543,1,1
Pe71646e585,2015,26882,1,1
P94d904f95a,2015,25199,1,1
P8d6369038a,2015,23464,1,1
P16f77dc0c6,2015,26614,1,1
Pb067831a66,2015,28807,1,1
P5492e07ad3,2015,26122,1,1
Pb4e1522182,2015,26943,1,1
P9a02cf437c,2015,28809,1,1
Pd0eaa15469,2015,28598,1,1
Pdaafce7eb6,2015,35371,3,1
Pdaafce7eb6,2015,35372,3,1
Pdaafce7eb6,2015,24938,3,1
P128f74a48f,2015,29270,1,1
P1c43036b93,2015,28013,1,1
P1b292d5147,2015,25090,1,1
P4a125216bc,2015,26724,1,1
Pf634b73f97,2015,23645,1,1
P2e8c779b09,2015,23638,1,1
Pf38454d2db,2015,26866,1,1
P944090784f,2015,25055,1,1
Pea73008ab4,2015,23387,1,1
P0ba0d4e186,2015,26722,1,1
P831df49905,2015,26740,1,1
Pf21d262b1c,2015,26723,1,1
Ped46c6be82,2015,25081,1,1
Peda2227014,2015,26748,1,1
P6f3f385e9b,2015,27890,1,1
P7570f82c10,2015,25084,1,1
P0029c9d3a9,2015,28589,1,1
Pa1aae2a35c,2015,26611,1,1
Pca83b848d1,2015,33434,1,1
P26e74779f0,2015,23399,1,1
Pa2709c7876,2015,22873,1,1
P9990134f41,2015,26700,1,1
Pe00e8a81b3,2015,26131,1,1
Pa24dadc449,2015,27858,1,1
P84b2e1b413,2015,28487,1,1
P98102db2bd,2015,25083,1,1
Pbb1af08ea5,2015,26661,1,1
Paae768e6c1,2015,28658,1,1
Pa48064fa8c,2015,25066,1,1
P9cedd79bd8,2015,15069,1,1
P83f630794b,2015,28484,1,1
P093c255389,2015,26663,1,1
P9e418f4c91,2015,26756,1,2
P0c888043b8,2015,26110,1,1
Pcfe0d93659,2015,24978,1,1
Pfd690eb68d,2015,26714,1,1
P7b91fe948e,2015,23364,1,1
Pb88d2f0541,2015,28705,1,1
P0fde3dedb2,2016,30592,1,1
P117a6c6fb1,2016,30487,1,1
P8a2a3c7c07,2016,31421,1,1
P53f786523f,2016,31422,1,1
P9155961dd2,2016,28533,1,1
P4ec4ee54f1,2016,28575,1,1
Pf9ebd1b271,2016,30598,1,1
P47380ec945,2016,30542,1,1
P88f4dbf943,2016,28754,1,1
P4b59f5fe56,2016,31424,1,1
P620501ed0d,2016,28822,1,1
Pc5a8d9d1d6,2016,28529,1,1
Paca468f5b5,2016,31423,1,1
P88064c1c05,2016,26969,1,1
Pd7c989b67a,2016,31425,1,1
Pf93789f1b5,2016,28558,2,1
Pf93789f1b5,2016,30637,2,1
P9264b6e63a,2016,30515,1,1
P4a1b07df85,2016,31427,1,1
P55d1c5e102,2016,26743,1,1
Pddcf4609af,2016,28557,1,1
P6f92e02de4,2016,30891,1,1
P1a32cd4176,2016,31429,1,1
Pcb0e772806,2016,31428,1,1
Pbfe4edf289,2016,25959,1,1
P85fbcb1dce,2016,28723,1,1
Pd856e50561,2016,30773,1,1
Pc1c99fe2be,2016,30488,1,1
P25bfc6427b,2016,18170,1,1
P9668122fb9,2016,31430,1,1
P64adb31e4d,2016,31432,1,1
Pd50459cb6d,2016,29918,1,1
P0edb7d3b99,2016,28011,1,1
Pf5fb4e36b6,2016,26754,1,1
Pf20205fffb,2016,29899,1,1
Pfa4c05beee,2016,31868,1,1
Pb3a7a6f86b,2016,29900,1,1
Pf8b83ac1f0,2016,30611,1,1
Pa466887b08,2016,28578,1,1
Pfd95ad31d4,2016,30750,1,1
Pa307fde308,2016,30482,1,1
P521ea871d2,2016,25065,1,1
Pd5a40a7ee0,2016,30541,1,1
Pd46f6361f5,2016,26885,1,1
P83cf60968a,2016,31435,1,1
P22b18d36a6,2016,25071,1,1
P3ea09a4d42,2016,28565,1,1
Pc72bfd628e,2016,28637,1,1
P85b94bf602,2016,28536,1,1
P16f60c6002,2016,24433,1,1
Pc381c2ab50,2016,22880,1,1
P9b79feb6a3,2016,25286,1,1
Pc5e9e5bdd9,2016,25094,1,1
Pcb1e0b77ca,2016,20784,1,1
Pce6ddda209,2016,24906,1,1
P55f0d03e7b,2016,15592,3,1
P55f0d03e7b,2016,30522,3,1
P55f0d03e7b,2016,28510,3,1
Pa7cb2c7354,2016,30848,2,1
Pa7cb2c7354,2016,26682,2,1
Pa8fc4b7ad7,2016,26697,1,1
P251ed0e7a3,2016,26094,1,1
Pe40a7b9665,2016,27933,1,1
P5f3e1d9a7e,2016,25209,1,1
P09fcc624c4,2016,26942,1,1
Pd7225b3a0b,2016,28759,1,1
Pc01c642a9f,2016,26734,1,1
Pbd6175d1ad,2016,22878,1,1
P6bc657fff3,2016,26889,1,1
P287f82c404,2016,28691,1,1
Pa78dfd4260,2016,28561,1,1
P53698aab75,2016,30729,1,1
P94ee422c65,2016,22135,1,1
P6f658be6bb,2016,26955,1,1
Pe0da967ad1,2016,28572,1,1
Pdc4a696341,2016,24992,1,1
Pc9bdc2e95f,2016,46664,3,1
Pc9bdc2e95f,2016,38738,3,1
Pc9bdc2e95f,2016,29904,3,1
P7719d3d89b,2016,26808,1,1
Pe666c9e1f4,2016,22021,1,1
Pc00908f11e,2016,26458,1,1
Pd7d10f6f4c,2016,26728,1,1
P939e5ded71,2016,30731,1,1
Pdb13b813cd,2016,27916,1,1
P420da53cac,2016,28530,1,1
P2a21698f4f,2016,28767,1,1
Pb3e495f583,2016,26621,1,1
Pfff80834af,2016,28733,1,1
P608846acfb,2016,27777,1,1
P8935abbbb4,2016,30802,2,1
P8935abbbb4,2016,26634,2,1
P5605a2fa7e,2016,29703,1,1
Pfd99951c4d,2016,30732,1,1
P25e61f80f8,2017,33785,1,1
P6e7d02b021,2017,32312,1,1
P8a2034c01d,2017,32867,1,1
Pe56ae9c7aa,2017,33205,1,1
P6f43cf2ee3,2017,32317,1,1
Pe3864f9800,2017,32902,1,1
Pf62abcdcde,2017,32976,1,1
P46cfb45fde,2017,33787,1,1
Pbe6ed6fd51,2017,32050,2,1
Pbe6ed6fd51,2017,33786,2,1
Pe6fe5c747b,2017,33111,1,1
P4a000d48b0,2017,32316,1,1
P71b16faf7a,2017,32796,1,1
Pdb3bcb3fc8,2017,32043,1,1
Pf18fe42b62,2017,33788,1,1
P24e5e8b7dc,2017,26736,1,1
P2c3a1eb46b,2017,32965,1,1
P459acdec33,2017,32939,1,1
Pcc7ddb9ab9,2017,33220,1,1
P49d50fc2b5,2017,32777,1,1
P54d4de841c,2017,33812,1,1
P0af0ac79ae,2017,32905,1,1
P1e22570fac,2017,30771,1,1
Pe5fb05fea3,2017,33789,1,1
P204a101867,2017,32307,1,1
P032d23c9d9,2017,30572,1,1
Pa79b34cca8,2017,32837,1,1
P1ea9c7c88d,2017,26656,1,1
P38e6db5ca1,2017,32797,1,1
P27a35575e9,2017,28853,1,1
P5351e63d76,2017,30678,3,1
P5351e63d76,2017,27860,3,1
P5351e63d76,2017,29917,3,1
Pf781dda14b,2017,32964,1,1
P964dd1e5f4,2017,33791,1,1
Pc4f84bc197,2017,32933,1,1
P551a484de7,2017,30857,1,1
P16938f3fa9,2017,32182,1,1
P86ef73625c,2017,30471,1,1
P1804943702,2017,30610,1,1
P74d19df6a2,2017,29871,1,1
P2ad4235514,2017,33790,1,1
Pd59c0506ca,2017,25091,1,1
Pc32fe4a167,2017,28623,1,1
P22340c4458,2017,26983,1,1
Pd808e1b5f8,2017,33795,1,1
P10187f6389,2017,26685,1,1
Pa76a1ce248,2017,28560,1,1
P2acab9acdb,2017,30837,1,1
P2a1ab2724b,2017,30612,1,1
P9d178fdf5d,2017,28718,1,1
Pba3a4faeb9,2017,27779,1,1
Pa0580e3001,2017,28537,1,1
P5f230da818,2017,32046,1,1
P58604dcdcf,2017,26720,1,1
P49f423e70e,2017,18411,1,1
P4074fe9b9e,2017,26642,1,1
P7312c1c32d,2017,25139,1,1
P96a831649e,2017,19462,1,1
Pb920680006,2017,40459,1,1
P80ec619552,2017,28710,2,1
P80ec619552,2017,30580,2,1
P982f4d9f47,2017,24960,1,1
Pfafab37502,2017,30728,1,1
P8e9f5cd10b,2017,21957,1,1
Pe1b87bba68,2017,30700,1,1
P7e57b76eb8,2017,30584,1,1
Pa67da64cf8,2017,28604,1,1
P4370ef2bf5,2017,24976,1,1
Pb571c7aa88,2017,37424,1,1
Pdb78b3595b,2017,30603,1,1
P0d567b6867,2017,32949,1,1
Pea59b43adb,2017,33059,1,1
P7697c4ecb8,2017,25205,1,1
Pfde95d41d3,2017,26641,1,1
P4396f0664b,2017,30601,1,1
Pc5ec91aab0,2017,30546,1,1
Pd13759b893,2017,23481,1,2
P00fdb72e43,2017,30539,1,1
P4d32b8b12e,2017,36174,1,1
P420fe29f13,2017,30591,1,1
P6358a22feb,2017,16298,1,1
Pcac223d7f8,2017,33274,3,1
Pcac223d7f8,2017,30644,3,1
Pcac223d7f8,2017,26883,3,1
P5fd682a91b,2017,32913,1,1
Pba3d18fabf,2017,33182,1,1
P2cac6d11e4,2017,26502,1,1
P73cc673745,2017,32989,1,1
P95ea622240,2017,30530,1,1
Pf0bc046ece,2017,28477,1,1
P163e85d6f0,2017,30606,1,1
P705a98169f,2017,32792,1,1
P35bbbcf03e,2017,33188,1,1
Pcdc707f847,2017,28564,1,1
P1223e5ee2c,2017,22116,1,1
P8bea6ece5d,2017,25095,1,1
Paec8fae19e,2017,25022,1,1
P122cdb8b56,2017,23534,1,1
P8df71877a2,2017,24434,1,1
P5aa610b7ff,2017,22066,1,1
Pbced5f5600,2017,34588,1,1
Pb8664aec2d,2017,39182,1,1
Pf135ac542c,2017,26830,1,1
Pe000f38dce,2017,32906,1,1
Pe10b161d55,2017,32903,3,1
Pe10b161d55,2017,32075,3,1
Pe10b161d55,2017,27872,3,1
P42302cf51e,2017,32189,1,1
P70f8b46029,2017,33104,1,1
P1f842c307e,2017,30469,1,1
Pa34ab286f7,2017,28602,1,1
P55d017c927,2018,34883,1,1
P42b9d239c3,2018,34893,3,1
P42b9d239c3,2018,35177,3,1
P42b9d239c3,2018,34989,3,1
Pcaa6f4e965,2018,35679,1,1
Pae17b87a4a,2018,42093,2,1
Pae17b87a4a,2018,35678,2,1
Pd4282e2cb6,2018,34844,1,1
P6f990ff013,2018,35200,1,1
P4467431c36,2018,34870,1,1
P946b6a7bec,2018,34916,1,1
Peb77360d78,2018,30876,1,1
P50c2524b85,2018,34914,1,1
P57ab80ef44,2018,32885,1,1
P6ab3598ab0,2018,32044,1,1
P17f11f33c2,2018,19486,3,1
P17f11f33c2,2018,35680,3,1
P17f11f33c2,2018,44631,3,1
P1f3e01b488,2018,35003,1,1
P58e5b2eaa8,2018,32854,1,1
P5e4a09f56c,2018,34997,1,1
P26d2a90c5b,2018,32972,1,1
P82bbff96e6,2018,33312,1,1
Pdb9cad4004,2018,28865,1,1
P4d03279429,2018,35681,1,1
P75b2e5cfed,2018,32311,1,1
Pf271325d7b,2018,39579,1,1
P5da3d9ffcd,2018,30753,1,1
Pf507011aa5,2018,32645,1,1
P8926a62cc8,2018,35095,2,1
P8926a62cc8,2018,42296,2,1
Pbe6b6d05a9,2018,30829,2,1
Pbe6b6d05a9,2018,35141,2,1
P61add2364f,2018,35683,1,1
P688b157768,2018,35193,1,1
Pf5ec6d144b,2018,35682,1,1
P15b5ca7021,2018,30568,1,1
P9f769e6678,2018,30875,1,1
P15b4774186,2018,27859,2,1
P15b4774186,2018,29906,2,1
Pd064221ae2,2018,50607,1,1
P9106a597f3,2018,34933,3,1
P9106a597f3,2018,35199,3,1
P9106a597f3,2018,35093,3,1
P8eec131338,2018,32919,1,1
Pe581c6d22f,2018,32853,2,1
Pe581c6d22f,2018,34254,2,1
P8ecb19c544,2018,35117,1,1
P27d264f43c,2018,33232,1,1
