pid,y_gl_s1_gp,y_gl_s1_min,y_gl_s1_net,y_gl_s1_pie,y_gl_s1_prod36,y_gl_s1_pts36,y_gl_s1_ts,y_gl_s1_usg,y_gl_s2_gp,y_gl_s2_min,y_gl_s2_net,y_gl_s2_pie,y_gl_s2_prod36,y_gl_s2_pts36,y_gl_s2_ts,y_gl_s2_usg,y_gl_s3_gp,y_gl_s3_min,y_gl_s3_net,y_gl_s3_pie,y_gl_s3_prod36,y_gl_s3_pts36,y_gl_s3_ts,y_gl_s3_usg,y_gl_s4_gp,y_gl_s4_min,y_gl_s4_net,y_gl_s4_pie,y_gl_s4_prod36,y_gl_s4_pts36,y_gl_s4_ts,y_gl_s4_usg,y_gl_s5_gp,y_gl_s5_min,y_gl_s5_net,y_gl_s5_pie,y_gl_s5_prod36,y_gl_s5_pts36,y_gl_s5_ts,y_gl_s5_usg
P552922b6fa,12,315.7,-0.1,0.106,24.52,12.2,0.453,0.184,41,1386.0,-1.7,0.111,21.3,13.32,0.554,0.17,,,,,,,,,53,1649.6,3.6,0.099,21.58,11.83,0.517,0.172,,,,,,,,
Pb8998ddf4a,42,1650.8,-1.7,0.129,25.65,13.76,0.541,0.2,14,546.6,8.7,0.115,26.15,16.01,0.618,0.18,49,2190.7,-2.8,0.132,29.88,21.36,0.582,0.255,29,1101.4,9.9,0.141,28.89,15.59,0.614,0.193,,,,,,,,
P168e9ad8d4,2,76.4,9.8,0.105,27.81,21.68,0.547,0.297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6a22b03d03,21,815.6,-2.2,0.156,32.44,25.78,0.609,0.267,2,62.3,4.0,0.067,17.34,9.25,0.437,0.134,,,,,,,,,,,,,,,,,23,692.2,1.7,0.1,23.35,17.37,0.55,0.206
P34cc8e28e0,,,,,,,,,,,,,,,,,,,,,,,,,37,1382.3,5.9,0.107,23.39,15.57,0.584,0.176,25,876.5,6.9,0.088,24.11,16.51,0.555,0.18
Pda7f31dba8,41,1208.4,1.3,0.138,27.85,23.18,0.671,0.23,47,1790.6,5.1,0.118,25.88,21.01,0.629,0.228,30,1144.0,1.0,0.105,24.36,18.16,0.585,0.219,31,1043.5,0.9,0.106,24.8,18.08,0.588,0.22,37,1387.9,0.6,0.126,28.14,22.83,0.647,0.243
P7d6aa2dfe0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,231.5,-7.6,0.069,20.84,12.13,0.434,0.198
P801bf131e6,16,614.7,2.8,0.176,34.14,24.54,0.648,0.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P54e5c21a96,,,,,,,,,9,262.3,-12.0,0.078,26.35,16.47,0.544,0.219,,,,,,,,,13,406.5,1.4,0.098,28.43,17.09,0.524,0.206,,,,,,,,
P09caf918fb,,,,,,,,,19,504.3,-10.9,0.112,29.48,14.78,0.536,0.181,10,254.1,3.0,0.125,33.15,17.56,0.568,0.183,,,,,,,,,,,,,,,,
Pb380360b47,6,169.8,-1.4,0.093,27.78,12.94,0.454,0.186,20,622.4,-7.9,0.117,24.06,13.82,0.551,0.181,12,349.4,-2.5,0.077,21.84,11.02,0.579,0.153,,,,,,,,,,,,,,,,
P01bc9a886e,,,,,,,,,,,,,,,,,8,99.9,-17.0,0.074,19.81,11.53,0.544,0.142,,,,,,,,,,,,,,,,
P02f9f17423,17,639.5,7.4,0.116,24.66,16.72,0.61,0.19,22,819.5,4.2,0.144,26.23,18.01,0.653,0.204,26,1007.4,-0.9,0.11,27.19,17.97,0.563,0.205,,,,,,,,,,,,,,,,
