pid,rsci_top100,rsci_rank,rsci_n_ranked,rsci_n_services,rsci_frac_ranked,rsci_best,rsci_worst,rsci_range,rsci_std,rsci_total_norm,rsci_chg,rsci_avg,rsci_dev,hs_height_in,hs_pos_code,hs_to_nba,hs_prep_5th,hs_years_to_draft
Pe6fe5c747b,1,28,6,6,1.0,17.0,38.0,21.0,8.08,0.7124,32.0,33.0,6.9,82,5,0,0,1
P1cf3ac09b1,1,29,6,6,1.0,25.0,33.0,8.0,2.73,0.7107,0.0,31.0,1.8,74,1,0,0,4
P71e4b2b4d3,1,31,6,6,1.0,30.0,36.0,6.0,1.95,0.6806,-4.0,34.0,1.6,78,2,0,0,3
Pb69fbd28c6,1,32,6,6,1.0,27.0,43.0,16.0,6.34,0.6656,1.0,36.0,7.1,74,1,0,0,3
P08bc96e9be,1,33,6,6,1.0,22.0,74.0,52.0,17.37,0.6455,-7.0,29.0,5.9,83,5,0,0,4
Pd808e1b5f8,1,34,6,6,1.0,17.0,60.0,43.0,17.71,0.6254,28.0,42.0,19.9,81,5,0,0,1
Pcc9fe4d64c,1,35,6,6,1.0,33.0,44.0,11.0,3.35,0.6171,1.0,41.0,2.0,81,4,0,0,5
P519f028bfb,1,36,6,6,1.0,32.0,51.0,19.0,6.34,0.6054,12.0,40.0,7.7,71,1,0,0,3
P40472c4e0a,1,39,6,6,1.0,36.0,49.0,13.0,4.3,0.5936,5.0,40.0,3.5,79,3,0,0,5
P1d6fd5f29a,1,40,6,6,1.0,32.0,57.0,25.0,9.37,0.5736,1.0,41.0,8.9,79,2,0,0,3
P4ebe015218,1,43,6,6,1.0,37.0,51.0,14.0,4.3,0.5702,3.0,44.0,5.2,76,1,0,0,2
Pc7623d005f,1,44,6,6,1.0,39.0,58.0,19.0,6.7,0.5669,-7.0,42.0,3.6,80,4,0,0,3
Pf46613d969,1,45,6,6,1.0,39.0,54.0,15.0,5.4,0.5234,1.0,51.0,3.8,72,1,0,0,4
Pb16e641fe9,1,46,6,6,1.0,43.0,54.0,11.0,4.64,0.5184,-3.0,49.0,5.7,76,2,0,0,3
Pbe6ed6fd51,1,49,3,6,0.5,4.0,10.0,6.0,2.45,0.4716,-44.0,,,74,1,0,1,1
P35327cfd09,1,50,6,6,1.0,47.0,63.0,16.0,6.24,0.4666,-20.0,53.0,6.1,83,4,0,0,5
P8926a62cc8,1,51,6,6,1.0,46.0,67.0,21.0,6.96,0.4632,4.0,56.0,8.3,80,4,0,0,2
P26d2a90c5b,1,53,6,6,1.0,44.0,65.0,21.0,7.81,0.4415,0.0,55.0,8.5,78,2,0,0,2
Pa8621489c8,1,55,6,6,1.0,38.0,71.0,33.0,10.83,0.4314,-4.0,58.0,13.2,75,,0,0,5
P1f0712d029,1,56,6,6,1.0,33.0,82.0,49.0,15.49,0.4281,16.0,57.0,18.4,80,3,0,0,5
P479c1cba2f,1,61,6,6,1.0,34.0,84.0,50.0,17.32,0.3829,0.0,69.0,14.2,82,4,0,0,5
P4722b5d5ff,1,62,5,6,0.833,35.0,91.0,56.0,18.48,0.3579,1.0,,,79,3,0,0,4
Pc3b8b90cf8,1,63,6,6,1.0,38.0,99.0,61.0,21.57,0.3562,5.0,64.0,26.2,80,4,0,0,3
P704ac3a95d,1,66,6,6,1.0,53.0,77.0,24.0,9.01,0.3478,-14.0,65.0,10.4,81,4,0,0,5
P9161b1752d,1,67,6,6,1.0,55.0,89.0,34.0,11.95,0.3378,-8.0,63.0,8.6,76,2,0,0,5
P16e9d60aa9,1,69,6,6,1.0,45.0,95.0,50.0,17.85,0.3094,-12.0,66.0,19.0,75,2,0,0,4
Pceb9387e05,1,71,6,6,1.0,41.0,84.0,43.0,14.59,0.296,0.0,78.0,6.3,71,1,0,0,4
Pf62abcdcde,1,72,2,6,0.333,21.0,26.0,5.0,2.5,0.2592,-4.0,,,83,4,0,0,1
