pid,draft_year,site,rank,ts
Pf38ea886b7,2025,tankathon,50,20250624220212
Pfc563b417e,2025,tankathon,51,20250624220212
Pcb59681372,2025,tankathon,52,20250624220212
P0eb002afb8,2025,tankathon,53,20250624220212
P95c84fe799,2025,tankathon,54,20250624220212
P3d8ccdb639,2025,cbs,1,20250617230352
Pf3b62cae3c,2025,cbs,2,20250617230352
P12ee990c18,2025,cbs,3,20250617230352
P4e09db2338,2025,cbs,4,20250617230352
P3ee6bf444e,2025,cbs,5,20250617230352
Pf54bd6bbc8,2025,cbs,6,20250617230352
P07268bf0e1,2025,cbs,7,20250617230352
P15b8c13058,2025,cbs,8,20250617230352
Pcb16689c6c,2025,cbs,9,20250617230352
Padf63a93ad,2025,cbs,10,20250617230352
Pb9eccb67f7,2025,cbs,11,20250617230352
Pf4e651b50c,2025,cbs,12,20250617230352
P3f654a33fe,2025,cbs,13,20250617230352
P5f9ce00466,2025,cbs,14,20250617230352
P5699f03b57,2025,cbs,15,20250617230352
P8048267828,2025,cbs,16,20250617230352
P318e86822c,2025,cbs,17,20250617230352
P679974836f,2025,cbs,18,20250617230352
P307cead4af,2025,cbs,19,20250617230352
Pd8f68848a0,2025,cbs,20,20250617230352
P7ba2fa977b,2025,cbs,21,20250617230352
Pdde13713ff,2025,cbs,22,20250617230352
P32fecc73d2,2025,cbs,23,20250617230352
Pec8256037d,2025,cbs,24,20250617230352
P43b2e2aa2f,2025,cbs,25,20250617230352
P1a135db58f,2025,cbs,26,20250617230352
Pa29e5f68db,2025,cbs,27,20250617230352
P884e8ee6b6,2025,cbs,28,20250617230352
P6ddd309f80,2025,cbs,29,20250617230352
Pdec9ef7c46,2025,cbs,30,20250617230352
P24c85e006b,2025,cbs,31,20250617230352
P070f8d3585,2025,cbs,32,20250617230352
Pad9c27fcb6,2025,cbs,33,20250617230352
P9b4a07a3b9,2025,cbs,34,20250617230352
P3d8ccdb639,2025,espn_ba,1,20250624203503
Pf3b62cae3c,2025,espn_ba,2,20250624203503
P12ee990c18,2025,espn_ba,3,20250624203503
P4e09db2338,2025,espn_ba,4,20250624203503
P3ee6bf444e,2025,espn_ba,5,20250624203503
P07268bf0e1,2025,espn_ba,6,20250624203503
