pid,cmb_bench,cmb_bmi,cmb_body_fat,cmb_hand_len,cmb_hand_width,cmb_lane_agility,cmb_max_vert,cmb_mod_lane_agility,cmb_offdrib_att,cmb_offdrib_pct,cmb_onmove_att,cmb_onmove_pct,cmb_reach_minus_height,cmb_spot15_att,cmb_spot15_pct,cmb_spotcol_att,cmb_spotcol_pct,cmb_spotnba_att,cmb_spotnba_pct,cmb_sprint,cmb_stand_vert,cmb_wing_minus_height
P854c694553,15.0,25.42,5.3,,,11.75,39.5,,,,,,25.75,,,,,,,3.12,32.5,6.75
P9650bb1a40,1.0,22.71,6.7,,,11.47,34.0,,,,,,26.0,,,,,,,3.22,29.0,5.0
Pf65d71b77e,3.0,23.22,6.7,,,12.05,33.0,,,,,,25.0,,,,,,,3.2,28.5,3.5
P989fbfa539,14.0,25.98,13.6,,,11.75,30.5,,,,,,24.75,,,,,,,3.47,27.0,1.0
P6d3c0c239e,12.0,26.98,6.7,,,11.69,34.0,,,,,,26.75,,,,,,,3.41,27.5,6.0
Pd3b6bf6d79,4.0,23.49,4.0,,,11.3,35.0,,,,,,27.75,,,,,,,3.22,28.5,9.75
P3ebb78aaf3,1.0,26.43,13.6,,,11.96,37.5,,,,,,24.75,,,,,,,3.2,28.0,6.75
P3d1a59b5a2,4.0,24.95,4.0,,,10.97,37.5,,,,,,25.0,,,,,,,3.19,32.5,6.75
Pac419c235c,16.0,27.03,9.3,,,12.07,33.0,,,,,,25.0,,,,,,,3.47,27.5,4.0
P0fee52cfc4,10.0,24.08,9.3,,,11.83,28.0,,,,,,28.25,,,,,,,3.48,24.5,4.75
P634aaac9d4,16.0,26.94,,,,10.73,34.0,,,,,,27.75,,,,,,,3.19,30.0,7.25
Pfdab72198e,10.0,26.14,,,,11.34,27.5,,,,,,27.5,,,,,,,3.33,24.0,1.75
P3514cc9b35,11.0,25.62,,,,10.68,40.5,,,,,,17.75,,,,,,,3.28,35.5,2.25
P47eee57e35,14.0,30.31,,,,11.77,32.5,,,,,,29.25,,,,,,,3.21,28.0,7.25
P2abf5d1b69,13.0,28.52,,,,10.77,28.5,,,,,,28.75,,,,,,,3.31,26.5,6.5
P792efcc523,7.0,24.43,,,,12.56,27.0,,,,,,29.25,,,,,,,3.63,24.0,3.75
P3c40dc7411,24.0,24.63,,,,10.93,35.5,,,,,,22.75,,,,,,,3.1,30.0,1.0
P01fc763e95,2.0,26.15,,,,12.15,31.0,,,,,,26.25,,,,,,,3.33,27.0,6.25
Pdacee2a50f,10.0,22.44,,,,11.54,37.5,,,,,,26.75,,,,,,,3.29,31.5,5.25
P1199724869,11.0,25.26,,,,11.55,29.0,,,,,,26.0,,,,,,,3.3,24.5,1.0
Pebd90a92ff,12.0,31.9,,,,12.18,33.0,,,,,,27.25,,,,,,,3.31,28.5,3.5
P7662bd9a71,7.0,25.72,,,,11.96,29.0,,,,,,30.0,,,,,,,3.35,26.0,7.0
Pd72acae20f,15.0,27.81,,,,12.73,29.5,,,,,,28.0,,,,,,,3.26,26.0,7.0
P979bc77e15,13.0,24.47,,,,11.81,33.0,,,,,,25.75,,,,,,,3.19,29.0,3.75
Pb3ff680bd6,6.0,22.3,,,,,,,,,,,29.0,,,,,,,,,6.0
Pb7f87f6748,8.0,23.97,,,,11.35,36.5,,,,,,26.5,,,,,,,3.21,33.5,3.5
Pd073d30524,22.0,27.63,,,,11.8,33.5,,,,,,27.25,,,,,,,3.31,28.5,3.25
P648b9117f8,15.0,25.34,,,,12.85,35.5,,,,,,26.0,,,,,,,3.22,29.5,6.0
P59cd2b2d22,13.0,25.77,,,,11.75,37.5,,,,,,26.5,,,,,,,3.2,31.5,6.0
P91e42fff83,9.0,24.05,,,,11.73,30.0,,,,,,27.0,,,,,,,3.4,26.0,2.5
P540f972282,,27.8,,,,11.12,37.5,,,,,,25.75,,,,,,,3.13,33.5,9.75
P5635d18ecc,12.0,26.06,,,,,,,,,,,25.25,,,,,,,,,-0.25
P39c99a28df,0.0,25.0,,,,12.2,32.5,,,,,,24.0,,,,,,,3.24,27.0,2.0
Pe961cc9c52,9.0,24.62,,,,11.13,36.5,,,,,,25.5,,,,,,,3.16,31.0,4.5
P021e6add75,10.0,26.7,,,,,,,,,,,25.0,,,,,,,,,4.5
P396b44b337,5.0,22.63,,,,11.11,29.5,,,,,,23.75,,,,,,,3.2,25.5,2.25
Pcf7f47cd26,1.0,22.67,,,,12.3,28.5,,,,,,33.0,,,,,,,3.26,21.0,7.5
P71d533551f,15.0,23.75,,,,11.86,30.0,,,,,,26.75,,,,,,,3.22,26.0,5.0
P33c766f164,12.0,24.23,,,,11.35,34.5,,,,,,26.5,,,,,,,3.25,30.5,4.75
Pe932df1062,13.0,25.3,,,,10.94,28.5,,,,,,25.25,,,,,,,3.38,22.5,2.25
P3769bd015c,11.0,23.01,,,,10.94,38.0,,,,,,25.25,,,,,,,3.09,32.5,4.75
P830efff813,8.0,26.36,,,,11.69,29.5,,,,,,28.5,,,,,,,3.52,24.5,5.0
P6031807405,12.0,25.28,,,,11.19,35.5,,,,,,28.0,,,,,,,3.25,32.0,5.25
Pd51bbef7c1,4.0,23.88,,,,11.25,33.5,,,,,,25.5,,,,,,,3.31,27.5,3.5
Pa08cb88c9e,16.0,25.64,,,,12.03,35.0,,,,,,26.25,,,,,,,3.22,28.0,1.25
P3d9db1cda1,20.0,23.8,,,,11.43,34.5,,,,,,27.25,,,,,,,3.16,31.0,4.75
Pe929ebb536,10.0,26.53,,,,10.34,36.0,,,,,,24.75,,,,,,,3.09,28.5,3.25
Pb74259d44e,,27.59,,,,11.73,31.0,,,,,,27.0,,,,,,,3.29,26.0,6.5
P4c416f9cab,2.0,23.99,,,,11.94,34.5,,,,,,26.0,,,,,,,3.23,33.5,3.0
P70ecb2ee9d,10.0,23.64,,,,11.7,34.0,,,,,,27.0,,,,,,,3.32,30.0,7.0
Pae0e6be256,7.0,26.75,8.0,,,11.4,33.5,,,,,,27.25,,,,,,,3.15,30.5,5.75
Pa3bf9b334b,10.0,25.39,9.9,,,11.36,32.0,,,,,,26.0,,,,,,,3.25,27.0,3.5
P539180f113,17.0,23.97,5.3,,,10.89,41.0,,,,,,25.25,,,,,,,3.06,34.5,4.75
P3a913af04c,10.0,25.75,8.0,,,11.43,35.0,,,,,,24.75,,,,,,,3.25,29.5,5.0
P624e80554f,20.0,26.25,13.6,,,11.52,32.0,,,,,,25.0,,,,,,,3.32,27.0,0.25
Peab571b95d,9.0,23.38,8.0,,,11.8,33.0,,,,,,26.75,,,,,,,3.3,30.5,5.25
P78dd3f3917,13.0,24.54,6.7,,,11.11,33.5,,,,,,21.5,,,,,,,3.35,29.0,1.5
Pced63c164c,8.0,27.49,17.0,,,11.62,33.0,,,,,,27.25,,,,,,,3.28,28.0,4.75
Pc441e97a64,6.0,24.77,10.5,,,11.87,29.0,,,,,,27.5,,,,,,,3.45,25.0,4.5
P85bb3eb8b9,6.0,23.33,4.0,,,11.62,35.0,,,,,,26.25,,,,,,,3.25,30.5,4.75
Pae24459193,11.0,24.15,6.7,,,11.09,41.5,,,,,,23.0,,,,,,,3.23,37.5,2.25
P26a739545e,11.0,24.46,8.0,,,11.77,34.0,,,,,,22.5,,,,,,,3.32,28.0,1.25
P0efa2b4f7d,0.0,22.59,6.7,,,11.45,39.5,,,,,,22.5,,,,,,,3.2,32.5,0.5
Pe4a1b20238,13.0,25.46,8.0,,,11.86,28.5,,,,,,25.5,,,,,,,3.19,28.5,4.75
P4649b7d232,16.0,24.02,6.0,,,10.72,35.0,,,,,,24.0,,,,,,,3.18,31.5,2.0
P7feaaeffcb,10.0,23.4,5.3,,,10.98,33.5,,,,,,23.75,,,,,,,3.1,29.0,3.25
P82d1799627,4.0,23.8,6.0,,,10.89,36.5,,,,,,28.25,,,,,,,3.09,33.0,8.75
P1f926eb06b,25.0,30.35,8.0,,,11.13,35.0,,,,,,27.0,,,,,,,3.21,32.5,8.25
Pbc5a0470c9,,27.42,6.7,,,,,,,,,,27.0,,,,,,,,,5.0
P7d6aa2dfe0,13.0,22.16,7.3,,,10.67,32.5,,,,,,25.5,,,,,,,3.08,26.5,0.75
Pb7edd3ead7,,25.54,2.6,,,10.91,39.5,,,,,,25.75,,,,,,,3.11,30.0,4.25
Pce38c03d45,9.0,24.4,6.7,,,11.18,33.0,,,,,,28.25,,,,,,,3.19,30.5,7.25
P01056a0f18,15.0,25.41,16.3,,,11.33,30.5,,,,,,27.0,,,,,,,3.37,23.5,0.25
P47846f7398,8.0,24.53,11.7,,,11.04,30.0,,,,,,23.5,,,,,,,3.38,23.5,0.0
P6ce52469e7,6.0,25.95,10.5,,,,,,,,,,23.75,,,,,,,,,6.25
P3e7075c22e,13.0,24.23,6.7,,,11.42,31.5,,,,,,24.25,,,,,,,3.47,25.5,3.25
P9f79255649,8.0,34.49,21.4,,,14.01,32.0,,,,,,29.75,,,,,,,3.55,24.5,10.0
P014b6ed928,13.0,25.21,8.0,,,11.3,32.5,,,,,,28.0,,,,,,,3.36,26.5,5.5
Ped90afeb58,15.0,25.85,8.0,,,10.44,35.5,,,,,,20.0,,,,,,,3.04,32.0,0.25
P0685226773,5.0,27.82,16.3,,,13.4,22.5,,,,,,28.5,,,,,,,3.8,19.5,2.25
P3c6c730bf2,0.0,22.03,5.3,,,11.0,32.5,,,,,,22.5,,,,,,,3.28,26.0,2.0
Pf436b2be04,25.0,26.7,9.3,,,10.99,32.0,,,,,,26.0,,,,,,,3.1,28.5,3.75
P1b3889c122,0.0,22.59,14.1,,,,,,,,,,23.5,,,,,,,,,0.0
P39c1b5b439,9.0,25.97,6.7,,,10.56,35.0,,,,,,26.25,,,,,,,3.08,31.5,7.0
P08c56d3590,12.0,25.98,9.3,,,,,,,,,,24.25,,,,,,,,28.0,0.75
P37455198a4,11.0,24.67,8.0,,,12.18,31.5,,,,,,28.0,,,,,,,3.43,28.5,8.0
P554dd6632a,3.0,25.1,6.7,,,,,,,,,,25.75,,,,,,,,,4.75
Pc1693478f0,15.0,25.58,7.3,,,11.38,41.0,,,,,,22.75,,,,,,,3.17,34.5,13.75
Pa2e0858910,13.0,25.06,5.3,,,11.09,40.5,,,,,,23.25,,,,,,,3.1,34.0,8.0
Pe6c8b117c8,17.0,26.39,6.7,,,10.7,36.5,,,,,,26.5,,,,,,,3.19,31.5,5.5
P20571734e6,8.0,22.64,8.0,,,11.63,32.0,,,,,,28.5,,,,,,,3.29,29.5,7.0
P23c2e6b3e7,13.0,25.43,6.7,,,10.63,34.5,,,,,,23.25,,,,,,,3.08,29.0,4.25
P690d8b352a,18.0,28.24,9.3,,,11.61,33.0,,,,,,28.25,,,,,,,3.24,31.5,8.25
P5c0fad1503,,,9.3,,,,,,,,,,,,,,,,,,,
P27d4bedf9b,1.0,23.28,7.3,,,,,,,,,,25.25,,,,,,,,,4.25
Pcc92138fb2,9.0,25.9,9.9,,,,,,,,,,24.5,,,,,,,,,6.5
P630cc033c0,14.0,28.89,16.3,,,13.32,25.0,,,,,,29.0,,,,,,,3.4,23.0,5.5
P6292223fd6,11.0,22.79,9.3,,,11.95,36.0,,,,,,27.25,,,,,,,3.38,29.0,5.25
P2b413e3467,4.0,25.6,18.5,,,11.38,32.0,,,,,,27.75,,,,,,,3.19,31.0,4.75
P8abebd0da5,5.0,24.78,6.7,,,11.46,31.5,,,,,,29.5,,,,,,,3.34,27.5,5.5
Pb3e080e381,7.0,26.17,6.7,,,10.45,35.0,,,,,,26.0,,,,,,,3.14,31.5,6.5
P391abc2490,15.0,26.78,14.1,,,,,,,,,,29.75,,,,,,,,,5.25
P8eebd87e26,,26.64,6.7,,,,,,,,,,24.5,,,,,,,,,5.5
Pf2b6b60b16,15.0,27.02,6.0,,,10.97,32.0,,,,,,26.0,,,,,,,3.1,29.0,7.0
Pe4ea2d8948,13.0,25.54,10.8,,,11.15,31.0,,,,,,28.25,,,,,,,3.25,29.5,4.75
P74b71b0d31,9.0,28.29,,,,12.49,30.5,,,,,,28.0,,,,,,,3.24,26.5,7.5
Pec20f0f060,12.0,25.33,5.3,,,11.28,37.5,,,,,,26.0,,,,,,,3.19,31.5,7.5
P5246294b22,5.0,21.97,5.3,,,11.03,37.0,,,,,,24.75,,,,,,,3.19,30.5,5.75
P269736d407,7.0,25.72,10.5,,,11.21,35.5,,,,,,30.5,,,,,,,3.14,30.5,7.5
Pcca6045f01,22.0,25.98,6.7,,,11.33,36.0,,,,,,26.25,,,,,,,3.2,29.5,4.25
Pff029e3151,4.0,25.24,6.7,,,11.17,34.5,,,,,,27.75,,,,,,,3.18,30.5,5.25
P977a8945dd,13.0,24.5,8.0,,,11.1,36.0,,,,,,25.0,,,,,,,3.24,26.5,2.5
P67b7122a99,3.0,28.53,10.5,,,13.08,30.0,,,,,,29.5,,,,,,,3.29,28.5,6.0
Pd353deb783,,21.36,6.7,,,10.72,30.0,,,,,,27.25,,,,,,,3.23,26.5,4.75
P0b1f22f2d4,15.0,27.75,8.0,,,10.95,33.5,,,,,,24.0,,,,,,,3.14,28.5,3.5
Pfb5ad97400,22.0,27.71,5.3,,,12.32,34.0,,,,,,29.75,,,,,,,3.15,31.5,7.25
Pddd42c77c5,15.0,25.72,12.9,,,12.65,26.0,,,,,,27.0,,,,,,,3.56,22.0,2.5
Pbb4d6101de,18.0,25.92,9.3,,,12.52,33.0,,,,,,27.0,,,,,,,3.3,27.5,2.0
P46af6c0052,14.0,24.5,6.0,,,10.91,34.5,,,,,,24.75,,,,,,,3.17,28.5,4.75
P9cbbbfe0cc,13.0,27.72,6.7,,,10.75,43.5,,,,,,23.75,,,,,,,2.96,35.5,5.25
P25c05d7b38,12.0,24.89,6.7,,,11.43,39.5,,,,,,27.5,,,,,,,3.24,32.5,5.0
P0d50e77b95,5.0,26.57,6.7,,,10.93,35.5,,,,,,26.5,,,,,,,3.21,29.0,4.5
P44f5111142,19.0,26.35,9.3,,,10.79,35.0,,,,,,26.0,,,,,,,3.13,30.0,3.0
Pd2c0348ebe,18.0,25.28,9.3,,,12.13,31.5,,,,,,28.0,,,,,,,3.27,28.0,5.5
P7aeaf13cc2,2.0,25.21,9.3,,,,,,,,,,23.5,,,,,,,,,2.0
Pc02213b2fe,12.0,24.07,6.7,,,10.75,33.5,,,,,,24.25,,,,,,,3.25,29.5,2.75
P0ad01302af,12.0,23.81,6.7,,,11.2,35.0,,,,,,26.0,,,,,,,3.15,30.0,4.5
P868c4004ba,15.0,26.67,7.3,,,11.92,31.0,,,,,,29.5,,,,,,,3.15,26.5,7.5
Pb5af3844f5,11.0,22.42,,,,11.67,32.0,,,,,,26.75,,,,,,,3.35,28.0,8.25
P3914f363fb,13.0,25.02,,,,12.58,32.5,,,,,,27.0,,,,,,,3.35,30.5,5.5
Pd650e439a2,10.0,26.81,,,,10.32,30.5,,,,,,27.5,,,,,,,3.27,26.5,5.0
P11475d8eed,0.0,22.04,,,,11.94,27.5,,,,,,27.25,,,,,,,3.42,24.0,-2.0
P485a20a47a,7.0,24.0,,,,11.74,31.5,,,,,,30.25,,,,,,,3.35,25.0,7.25
P5104e01e75,14.0,25.39,,,,10.52,36.5,,,,,,24.75,,,,,,,3.21,33.0,6.0
P099a8d0c1c,13.0,25.57,,,,12.06,33.5,,,,,,27.5,,,,,,,3.51,27.5,4.0
P156589bd1a,,24.96,,,,,,,,,,,23.0,,,,,,,,,3.0
P3928bad8a7,15.0,26.7,,,,11.12,40.5,,,,,,22.5,,,,,,,3.0,33.0,5.0
Pb8998ddf4a,14.0,24.88,,,,10.51,36.5,,,,,,23.5,,,,,,,3.28,30.5,2.0
Peb2d46202e,1.0,22.56,,,,10.85,31.0,,,,,,21.75,,,,,,,3.26,24.5,0.0
Pcb4360a784,21.0,29.14,,,,11.94,31.0,,,,,,30.5,,,,,,,3.45,28.0,9.0
P74b9613d69,0.0,22.52,,,,12.13,31.5,,,,,,23.75,,,,,,,3.31,26.5,0.5
Pc047806c80,6.0,27.42,,,,10.5,33.5,,,,,,26.5,,,,,,,3.06,29.0,4.75
Pc1044ed1f5,9.0,23.82,,,,11.92,37.0,,,,,,26.75,,,,,,,3.2,28.5,6.25
P42d0d6de9a,19.0,25.78,,,,11.6,31.0,,,,,,29.0,,,,,,,3.38,27.5,5.0
P21b2b49a34,11.0,23.65,,,,12.51,35.5,,,,,,30.75,,,,,,,3.27,31.5,8.75
P311b5f6b41,5.0,22.05,,,,10.63,31.5,,,,,,25.25,,,,,,,3.33,27.5,5.0
P8b388e1924,12.0,25.58,,,,11.48,36.5,,,,,,23.25,,,,,,,3.15,30.5,8.0
P38dadf836a,18.0,22.98,,,,11.48,36.0,,,,,,27.0,,,,,,,3.33,29.5,4.5
Pc295aab61a,26.0,25.52,,,,10.62,36.0,,,,,,26.75,,,,,,,3.05,30.0,2.75
P471bec0288,10.0,25.07,,,,10.84,34.0,,,,,,23.5,,,,,,,3.34,31.0,6.0
P81f3558def,7.0,22.19,,,,11.2,39.0,,,,,,26.0,,,,,,,3.21,31.5,3.75
P6f59c256f3,14.0,22.95,,,,11.12,38.5,,,,,,24.5,,,,,,,3.21,31.5,3.25
P959d20dcac,14.0,23.36,,,,10.89,29.0,,,,,,29.5,,,,,,,3.18,24.5,6.5
Pc6a39f466a,2.0,23.08,,,,11.59,30.0,,,,,,29.75,,,,,,,3.56,22.0,5.5
Pa4dad52ff4,5.0,25.03,,,,10.87,28.5,,,,,,25.5,,,,,,,3.24,26.0,5.0
Pb945050559,15.0,26.27,,,,11.87,31.5,,,,,,28.0,,,,,,,3.25,28.0,6.25
Pe68742d859,14.0,25.37,,,,10.8,32.5,,,,,,26.75,,,,,,,3.19,30.5,4.25
P55b27de869,4.0,22.63,,,,10.44,34.0,,,,,,22.75,,,,,,,3.14,29.0,2.75
Pb87f242f46,7.0,22.42,,,,11.64,37.0,,,,,,27.5,,,,,,,3.21,30.5,8.5
P17786d3599,,30.54,,,,,,,,,,,30.0,,,,,,,,,10.25
P8a3b7b6860,12.0,29.15,,,,11.04,33.0,,,,,,26.0,,,,,,,3.29,30.0,6.25
P9f246cdbe1,15.0,25.29,,,,10.39,34.5,,,,,,28.75,,,,,,,3.11,32.5,8.0
P2611750e05,10.0,26.76,,,,10.64,32.0,,,,,,28.0,,,,,,,3.27,26.5,3.5
P403a83bdf0,7.0,23.68,,,,10.69,37.5,,,,,,22.0,,,,,,,3.22,32.0,3.5
P5e4491e5c3,10.0,24.31,,,,11.09,38.0,,,,,,21.25,,,,,,,3.22,32.0,4.5
P7363f8a8b4,,26.09,,,,,,,,,,,27.25,,,,,,,,,6.75
P0ad0c7ed95,11.0,24.55,,,,10.49,39.0,,,,,,23.75,,,,,,,3.29,31.5,4.75
Pa68189cdce,14.0,23.75,,,,11.17,37.0,,,,,,22.25,,,,,,,3.19,31.5,2.0
Pef98a54ad0,1.0,24.21,,,,12.4,26.5,,,,,,27.75,,,,,,,3.47,23.5,5.25
P8c537f5a4d,11.0,28.63,,,,11.05,27.5,,,,,,27.75,,,,,,,3.35,27.0,4.75
P01bc9a886e,14.0,28.31,,,,11.26,33.0,,,,,,28.5,,,,,,,3.27,28.5,5.25
P2b78092e41,,22.48,,,,,,,,,,,27.25,,,,,,,,,3.5
Pd382320a3c,15.0,26.12,,,,11.5,33.0,,,,,,26.5,,,,,,,3.23,30.5,5.5
P572a4194e6,11.0,25.35,,,,10.86,31.0,,,,,,28.0,,,,,,,3.3,26.0,3.25
Pdd972253d5,11.0,24.07,,,,,38.0,,,,,,28.75,,,,,,,3.22,33.0,6.75
Pf804162018,7.0,26.53,,,,11.39,30.5,,,,,,28.0,,,,,,,3.39,28.0,5.0
P83f12f36b1,15.0,29.59,,,,12.11,33.5,,,,,,28.0,,,,,,,3.25,28.5,6.0
P3470a61a00,12.0,25.7,,,,11.11,35.0,,,,,,29.0,,,,,,,3.17,29.5,8.5
P5afd5b991d,15.0,26.16,,,,10.83,35.0,,,,,,24.25,,,,,,,3.25,30.0,4.5
Pf4d4553b6f,12.0,23.87,,,,11.45,29.5,,,,,,27.25,,,,,,,3.41,26.5,3.5
P43e7adb565,8.0,24.47,,,,11.58,36.0,,,,,,27.25,,,,,,,3.27,30.0,8.75
