pid,cmb_bench,cmb_bmi,cmb_body_fat,cmb_hand_len,cmb_hand_width,cmb_lane_agility,cmb_max_vert,cmb_mod_lane_agility,cmb_offdrib_att,cmb_offdrib_pct,cmb_onmove_att,cmb_onmove_pct,cmb_reach_minus_height,cmb_spot15_att,cmb_spot15_pct,cmb_spotcol_att,cmb_spotcol_pct,cmb_spotnba_att,cmb_spotnba_pct,cmb_sprint,cmb_stand_vert,cmb_wing_minus_height
Pdb7c6b10a9,11.0,25.2,8.0,,,11.73,35.0,,,,,,26.25,,,,,,,3.22,29.5,4.5
P27f732ca1a,8.0,24.46,8.7,,,12.02,34.0,,,,,,28.0,,,,,,,3.43,26.5,6.75
Pd9ad951135,13.0,25.54,6.9,,,11.45,35.5,,,,,,25.75,,,,,,,3.19,31.0,5.25
P4dc7399d2c,13.0,25.4,6.3,,,12.28,31.5,,,,,,27.5,,,,,,,3.53,28.5,6.5
P2650c293bf,13.0,24.78,5.5,,,10.54,32.5,,,,,,23.75,,,,,,,3.25,30.0,4.0
P74ff916074,9.0,24.27,4.9,,,11.58,35.0,,,,,,27.25,,,,,,,3.22,30.5,7.75
P552922b6fa,8.0,26.87,7.2,,,11.08,40.0,,,,,,25.25,,,,,,,3.18,35.0,6.75
P058ee51b71,19.0,25.93,5.0,,,11.32,41.0,,,,,,25.75,,,,,,,3.14,35.0,5.5
P78afb3722d,10.0,24.51,5.3,,,10.57,38.5,,,,,,27.0,,,,,,,3.06,32.0,5.5
P1bf2734620,9.0,27.08,10.0,,,12.0,37.5,,,,,,26.75,,,,,,,3.27,31.5,5.75
P6f3dd59527,11.0,22.71,4.4,,,11.07,42.0,,,,,,21.75,,,,,,,3.17,33.5,2.25
Pf919ba1bb3,14.0,27.03,10.0,,,10.53,38.0,,,,,,22.75,,,,,,,3.23,32.0,4.0
P4634e39421,9.0,25.01,5.7,,,11.03,40.5,,,,,,28.5,,,,,,,3.32,33.0,8.0
Pad940d555c,6.0,24.3,7.4,,,11.27,39.0,,,,,,28.5,,,,,,,3.3,32.0,8.25
Pe4baee43bf,15.0,24.54,8.0,,,11.23,34.5,,,,,,23.75,,,,,,,3.28,28.5,3.75
Pcbdc976fea,5.0,21.36,4.1,,,10.67,35.5,,,,,,23.75,,,,,,,3.3,29.0,2.0
P3765a7e186,1.0,23.37,9.6,,,11.46,39.0,,,,,,21.5,,,,,,,3.34,30.5,2.75
P4c433fbf72,19.0,25.81,5.8,,,11.47,36.0,,,,,,26.0,,,,,,,3.29,31.5,4.5
P117ae491b1,15.0,29.62,9.7,,,11.67,32.5,,,,,,27.25,,,,,,,3.3,28.5,7.25
P49164b4255,11.0,22.59,6.8,,,11.46,30.5,,,,,,26.5,,,,,,,3.37,25.5,3.5
P6565076e45,20.0,26.79,6.1,,,10.54,38.5,,,,,,23.5,,,,,,,3.07,34.5,5.0
P7781579610,5.0,23.73,8.1,,,11.11,31.0,,,,,,23.0,,,,,,,3.37,24.5,1.5
P4b8155700b,13.0,25.41,10.0,,,12.68,30.0,,,,,,30.0,,,,,,,3.63,26.5,6.75
P633e796e6a,7.0,23.41,5.9,,,11.25,37.0,,,,,,21.5,,,,,,,3.25,32.0,4.5
Pf037b649bc,9.0,26.91,9.8,,,11.01,35.5,,,,,,26.5,,,,,,,3.2,28.5,7.5
P14d000eef5,6.0,23.12,7.0,,,10.94,33.0,,,,,,21.5,,,,,,,3.29,27.5,-0.75
Pa1953f4a95,6.0,24.39,7.6,,,11.13,40.5,,,,,,23.75,,,,,,,3.27,34.0,2.75
P05061c84a0,7.0,24.19,6.6,,,12.52,31.0,,,,,,30.0,,,,,,,3.38,28.5,9.5
P54e5c21a96,15.0,24.34,5.6,,,11.05,35.0,,,,,,28.25,,,,,,,3.31,30.5,8.0
P87e51fede0,9.0,24.78,8.5,,,11.56,34.0,,,,,,25.5,,,,,,,3.4,30.0,4.5
P82e987418b,,30.31,12.2,,,11.59,29.5,,,,,,26.0,,,,,,,3.4,30.0,4.0
Pe047befac5,15.0,26.47,7.8,,,12.08,34.5,,,,,,24.5,,,,,,,3.4,29.5,5.0
Pbdc6b072d0,17.0,26.88,6.0,,,10.95,31.5,,,,,,23.75,,,,,,,3.27,28.0,3.25
Pd31d743729,8.0,24.29,5.6,,,11.36,39.5,,,,,,28.75,,,,,,,3.2,34.0,7.75
P49a2cdbcb5,9.0,26.82,9.7,,,10.71,37.5,,,,,,24.5,,,,,,,3.26,29.0,4.5
P801bf131e6,12.0,22.87,5.2,,,11.61,34.0,,,,,,23.5,,,,,,,3.15,31.5,5.5
P91b09695de,25.0,28.7,11.4,,,11.53,33.5,,,,,,24.5,,,,,,,3.59,29.0,8.75
Pd47bfc21b1,,25.41,8.0,,,10.69,31.0,,,,,,24.75,,,,,,,3.3,32.0,7.75
P924fa678bb,4.0,27.6,12.4,,,11.3,28.0,,,,,,23.5,,,,,,,3.4,24.5,5.0
Pd1e1adb03d,7.0,23.62,6.5,,,11.9,31.5,,,,,,29.75,,,,,,,3.31,26.5,6.25
P4a79922b86,11.0,21.38,4.2,,,11.69,36.5,,,,,,25.0,,,,,,,3.22,30.5,2.25
P168e9ad8d4,6.0,23.1,2.7,,,10.57,39.5,,,,,,24.0,,,,,,,3.2,32.5,6.0
P2528efc939,3.0,23.71,6.6,,,11.27,41.0,,,,,,24.5,,,,,,,3.25,32.5,5.0
Pbcd324b348,13.0,24.4,4.2,,,11.63,40.5,,,,,,23.5,,,,,,,3.09,35.5,6.75
Pb70d7d0b57,4.0,25.37,7.0,,,11.12,34.5,,,,,,26.5,,,,,,,3.22,30.0,5.25
P2f5200d27c,11.0,24.25,4.5,,,11.6,38.0,,,,,,23.0,,,,,,,3.32,32.5,2.5
Pf6d18cb839,7.0,24.64,6.9,,,12.63,30.0,,,,,,28.5,,,,,,,3.53,27.0,7.0
P41fad117db,14.0,25.97,7.1,,,11.32,32.0,,,,,,25.0,,,,,,,3.45,28.0,2.0
P5713a8b541,0.0,23.04,6.6,,,12.33,33.5,,,,,,29.0,,,,,,,3.45,26.0,7.75
Pd1415c96b7,17.0,27.0,10.8,,,12.07,32.5,,,,,,24.5,,,,,,,3.7,27.0,3.25
