pid,traj_d_ast36,traj_d_blk36,traj_d_fg,traj_d_fg3,traj_d_ft,traj_d_mpg,traj_d_pts36,traj_d_reb36,traj_d_stl36,traj_last_gp,traj_last_is_peak,traj_last_mpg,traj_last_pts36,traj_mpg_growth,traj_n_seasons,traj_path,traj_slope_mpg,traj_slope_pts36,traj_years_span
P8d79cd923c,-0.653,-0.009,-0.012,-0.033,-0.101,1.3,-1.36,0.632,0.029,36.0,0,33.1,22.187,3.3,3,1,1.65,3.845,2
P076dcdb147,0.237,-0.008,-0.014,-0.054,0.048,2.5,5.004,0.118,0.611,30.0,1,34.9,18.67,2.5,2,1,2.5,5.004,1
P093d3a11ad,-0.007,0.424,0.063,-0.035,0.176,3.4,5.192,2.509,0.142,33.0,1,38.3,18.705,19.0,4,1,5.89,1.965,3
P070f8d3585,0.596,-0.558,0.07,-0.201,0.054,5.5,5.094,0.954,0.637,29.0,1,25.1,18.502,17.5,3,1,8.75,4.04,2
P3cfad83e39,-0.15,-0.131,0.001,0.018,0.001,1.4,1.66,-0.14,-0.22,35.0,1,19.7,4.02,2.7,3,1,1.35,0.21,2
Pdbcc4b2801,0.099,0.012,-0.026,0.003,0.012,5.7,-0.4,-0.812,0.217,35.0,0,31.2,14.423,13.7,3,1,6.85,2.686,2
P0df73941d8,1.675,0.233,0.026,0.008,0.019,6.0,2.333,1.634,0.812,31.0,1,37.6,17.713,6.0,2,1,6.0,2.333,1
P6146f5260f,0.149,-0.556,0.034,-0.015,-0.146,-0.1,-0.499,2.433,-0.138,37.0,0,25.5,16.235,4.6,5,1,0.9,1.132,4
P5f230da818,-0.005,-0.424,-0.014,-0.191,-0.068,0.1,-1.107,-0.44,0.103,33.0,0,34.3,18.577,10.8,4,1,3.57,3.763,3
Pf0ef0714b6,,,,,,,,,,32.0,1,32.2,13.081,0.0,1,1,,,0
Pb16e641fe9,1.282,0.0,0.014,0.02,-0.169,3.1,2.053,0.837,-0.277,37.0,1,33.9,14.442,20.0,3,1,10.0,1.653,2
P9aef7770b8,2.0,-0.141,-0.018,-0.033,0.003,2.0,0.609,-0.814,0.019,34.0,1,33.6,19.179,2.0,2,1,2.0,0.609,1
Pa7cb2c7354,-0.043,-0.25,0.092,0.027,-0.045,0.4,5.161,0.679,0.111,38.0,1,29.8,16.671,0.6,3,1,0.3,2.356,2
Pf3241f5074,0.553,0.146,-0.019,-0.046,0.038,-2.4,-0.931,-0.71,-0.214,37.0,0,24.7,20.988,2.3,4,1,1.19,3.907,4
Pedf3dd90d4,1.348,-0.374,-0.018,0.133,0.031,1.3,3.648,-0.287,0.173,35.0,1,33.2,21.253,22.3,5,1,6.71,3.353,4
P27a35575e9,0.948,0.01,-0.036,0.014,0.017,6.5,1.32,-0.23,0.326,33.0,1,35.3,15.195,14.6,4,1,4.51,1.429,3
Pa76a1ce248,-0.214,0.022,-0.022,0.02,0.073,-2.7,3.652,1.2,-0.176,35.0,1,35.3,16.725,7.2,4,1,2.57,2.448,3
P0cd98a270c,,,,,,,,,,30.0,1,30.9,13.981,0.0,1,1,,,0
Paae5adeebf,,,,,,,,,,38.0,1,33.5,24.179,0.0,1,1,,,0
P3fe5b0aa24,-0.045,-0.06,0.089,-0.028,-0.158,11.2,-1.208,2.321,-0.083,31.0,0,26.7,9.708,5.2,4,1,1.12,-0.857,3
P25ddbfff0e,-1.248,-0.296,-0.011,-0.028,-0.025,-4.6,-3.765,0.263,0.274,28.0,0,25.3,14.656,-7.0,5,1,-1.49,0.385,4
P4570803785,48.492,0.163,-0.13,-0.3,0.0,-3.4,0.472,15.914,0.143,36.0,0,15.5,1.986,6.2,4,1,2.82,-0.443,3
