pid,tv_adjoe,tv_adrtg,tv_age_exact,tv_ast_pct,tv_ast_tov,tv_birth_month,tv_bpm,tv_bpm_is_peak,tv_d_adjoe,tv_d_adrtg,tv_d_ast_pct,tv_d_bpm,tv_d_efg,tv_d_ftr,tv_d_min_per,tv_d_ortg,tv_d_ts,tv_d_usg,tv_dbpm,tv_dgbpm,tv_dporpag,tv_drb,tv_drtg,tv_dunk_share,tv_dunks_pg,tv_efg,tv_first_bpm,tv_ftr,tv_gap,tv_gbpm,tv_gp,tv_home_intl,tv_home_state,tv_mid_pct,tv_mid_share,tv_min_per,tv_mp,tv_obpm,tv_ogbpm,tv_orb,tv_ortg,tv_pfr,tv_porpag,tv_pts,tv_rec_rank,tv_rim_pct,tv_rim_share,tv_role,tv_seasons,tv_slope_bpm,tv_stops,tv_three_share,tv_to_pct,tv_ts,tv_usg,tv_yr
Pdc4a696341,132.85,100.8,22.24,19.8,1.60809498,3,7.34352,1,14.726,7.47,6.4,0.998,4.0,14.9,7.3,12.0,6.06,0.9,1.33875,1.7413,3.26425,8.8,107.294,0.08,0.25,50.5,3.51781,63.5,0,7.05553,36.0,0,GA,0.4058,0.352,80.8,32.4167,6.00477,5.31423,3.2,119.2,3.2,5.03643,16.6944,83.8,0.5985,0.349,3,4,1.549,182.002,0.298,15.2,58.89,25.2,4
Pc9bdc2e95f,116.216,95.5214,19.35,8.2,0.61110683,2,4.30443,,,,,,,,,,,,2.95285,2.22195,2.51559,13.5,97.6519,0.336,1.321,60.2,,64.1,0,3.71733,28.0,0,PA,0.4,0.156,47.1,21.3571,1.35158,1.49539,7.9,111.7,6.0,2.06926,10.8929,90.6,0.744,0.651,7,1,,125.595,0.193,14.7,60.9,22.2,1
P7719d3d89b,114.656,107.104,23.44,26.9,1.61022257,1,3.47703,1,7.803,11.315,11.9,1.199,3.0,17.6,11.8,6.5,3.8,-0.6,1.19048,0.186572,2.16409,17.8,107.554,0.099,0.5,45.8,2.27848,63.0,0,3.7945,28.0,0,CA,0.3333,0.385,68.3,27.8214,2.28654,3.60793,8.0,103.3,3.1,2.53579,12.4643,,0.5658,0.574,4,2,1.199,149.739,0.042,16.2,50.68,27.5,4
Pc00908f11e,123.817,88.212,22.32,39.6,3.18525749,2,8.7659,0,-7.81,-1.008,4.3,-2.392,-2.9,-8.2,-13.6,-7.5,-3.04,-0.4,3.69073,4.79847,4.16816,11.9,87.9979,0.0,0.0,46.1,2.80324,39.3,0,9.69484,31.0,0,IL,0.2667,0.246,65.7,29.0323,5.07517,4.89637,1.3,112.7,2.4,3.58739,12.2258,,0.4786,0.384,1,4,1.895,183.233,0.37,14.6,52.35,24.7,4
P939e5ded71,115.008,93.6044,23.02,14.9,1.5,6,5.52427,1,4.84,-3.147,6.3,2.904,1.2,0.9,0.7,5.5,1.38,-1.6,2.77242,2.20374,3.848,14.5,93.3472,0.35,0.964,52.3,-0.50203,43.5,0,5.83878,28.0,0,CA,0.3462,0.276,66.5,30.5357,2.75186,3.63504,5.6,111.4,2.9,2.87017,13.5357,,0.7625,0.283,4,3,3.013,171.66,0.442,12.9,55.5,21.3,3
Pdb13b813cd,127.102,90.7685,21.51,11.7,0.89285329,12,7.30094,1,7.625,-2.709,1.3,2.476,13.8,23.9,-11.6,7.2,11.97,0.7,2.15125,2.53969,1.65256,17.1,97.2043,0.154,0.067,70.8,1.41037,59.5,0,7.67704,30.0,0,GA,0.375,0.095,24.7,12.3667,5.14969,5.13734,1.3,123.2,3.5,1.65382,5.3667,93.0,0.7692,0.155,4,3,2.945,68.7573,0.75,24.2,74.71,17.9,3
P7c761dbe92,94.0197,88.1774,22.61,3.5,0.47057267,11,6.67393,0,0.458,-0.551,-3.7,-2.102,-9.2,16.6,14.3,-2.9,-5.79,1.1,7.55439,4.64543,3.91183,17.2,93.1589,0.236,0.448,47.1,8.88645,55.1,1,3.50843,29.0,0,NY,0.3607,0.455,62.0,27.3,-0.880461,-1.137,9.7,97.9,4.7,0.631077,5.8,87.0,0.5833,0.537,8,3,-1.106,186.501,0.007,16.8,48.36,14.2,3
P420da53cac,122.458,86.734,22.06,11.1,0.6125038,5,3.43307,1,8.01,-3.235,-0.2,2.109,2.1,-1.3,2.9,5.2,1.26,1.4,2.08935,1.09772,3.77936,29.2,92.188,0.119,0.543,46.7,-3.09676,68.2,0,4.74532,35.0,0,FL,0.3333,0.464,63.0,25.4,1.34373,3.6476,14.8,107.0,4.0,3.02249,13.2571,89.4,0.5819,0.536,8,3,3.265,189.639,0.0,18.4,53.1,27.1,3
P401c3c358c,72.4206,91.7887,21.73,6.5,1.0,9,0.0611156,0,-18.549,-5.246,1.3,-4.173,-21.5,27.8,-57.8,-15.6,-12.08,0.6,5.41489,3.54043,1.7532,12.0,96.4415,0.25,0.25,30.0,4.23444,80.0,0,-0.0240721,4.0,0,MA,0.1667,0.6,4.2,13.25,-5.35377,-3.5645,6.1,80.7,3.8,-0.71264,2.5,94.6,0.5,0.4,8,2,-4.173,11.6762,0.0,14.0,36.23,14.5,2
P2a21698f4f,116.815,88.8543,23.48,7.3,0.45284836,12,3.99231,0,-9.524,-0.741,3.5,-1.57,-8.8,6.7,0.6,-10.3,-7.36,1.5,3.28581,2.09685,2.79131,23.9,92.5074,0.378,1.265,52.7,1.40436,44.0,0,3.3369,34.0,0,NH,0.3148,0.448,49.0,19.5882,0.706503,1.24005,11.4,105.3,6.2,1.96402,9.5882,80.2,0.7165,0.527,7,3,1.294,160.676,0.025,18.2,55.48,24.1,3
