pid,txt_athlete,txt_athlete_per1k,txt_breakout,txt_breakout_per1k,txt_character,txt_character_per1k,txt_defender,txt_defender_per1k,txt_exists,txt_hype,txt_hype_per1k,txt_injury,txt_injury_per1k,txt_left,txt_left_per1k,txt_national,txt_national_per1k,txt_nba_family,txt_nba_family_per1k,txt_negative,txt_negative_per1k,txt_playmaker,txt_playmaker_per1k,txt_positive,txt_positive_per1k,txt_prep,txt_prep_per1k,txt_pro_family,txt_pro_family_per1k,txt_projected_pick,txt_refs,txt_sections,txt_shooter,txt_shooter_per1k,txt_size,txt_size_bytes,txt_size_per1k,txt_tone,txt_transfer,txt_transfer_per1k,txt_words
P246009ab63,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P24a562f4ba,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P24b8a1c556,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P24c85e006b,0,0.0,2,5.115,0,0.0,0,0.0,1,1,2.558,0,0.0,0,0.0,5,12.788,0,0.0,0,0.0,0,0.0,1,2.558,0,0.0,0,0.0,,5,5,0,0.0,0,5550,0.0,0.25,1,2.558,391
P24e5e8b7dc,0,0.0,0,0.0,0,0.0,0,0.0,1,26,44.218,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,5,8.503,0,0.0,0,0.0,,7,4,3,5.102,0,7307,0.0,0.625,0,0.0,588
P24fc987f38,0,0.0,0,0.0,0,0.0,2,7.937,1,1,3.968,0,0.0,0,0.0,0,0.0,0,0.0,1,3.968,0,0.0,3,11.905,0,0.0,0,0.0,,4,4,0,0.0,0,4118,0.0,0.286,0,0.0,252
P25150e1302,3,6.466,2,4.31,0,0.0,6,12.931,1,0,0.0,0,0.0,0,0.0,2,4.31,1,2.155,0,0.0,3,6.466,3,6.466,0,0.0,1,2.155,,15,5,2,4.31,0,6949,0.0,0.5,0,0.0,464
P259fbebd69,2,3.824,0,0.0,0,0.0,7,13.384,1,4,7.648,1,1.912,0,0.0,0,0.0,1,1.912,0,0.0,2,3.824,3,5.736,0,0.0,1,1.912,,20,5,2,3.824,0,7705,0.0,0.5,1,3.824,523
P25a045baff,4,7.313,0,0.0,1,1.828,2,3.656,1,3,5.484,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,1.828,0,0.0,0,0.0,0,0.0,,3,5,0,0.0,0,4744,0.0,0.0,0,0.0,547
P25bfc6427b,0,0.0,0,0.0,0,0.0,2,8.889,1,1,4.444,2,8.889,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.444,0,0.0,0,0.0,,6,2,1,4.444,0,3362,0.0,0.25,0,0.0,225
P25c05d7b38,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P25e61f80f8,0,0.0,1,1.299,0,0.0,0,0.0,1,13,16.883,0,0.0,0,0.0,2,2.597,0,0.0,1,1.299,6,7.792,3,3.896,0,0.0,0,0.0,,13,6,0,0.0,0,10215,0.0,0.286,0,0.0,770
