feature,real_mean_rho,shuffled_mean_rho,paired_gain,fold2012_gain,fold2013_gain,fold2014_gain
f50_peer_sd_stl,0.1983242975589018,0.20175846734595104,-0.00343416978704924,0.006624110409455218,0.001993036515487989,-0.018919656286090925
f50_minutes_concentration,0.19678693415434792,0.20032012586117623,-0.003533191706828325,-0.0017161512633183846,-0.007201443039009224,-0.0016819808181573654
f50_peer_sd_orb,0.19918516743939282,0.20295477603028675,-0.0037696085908939217,-0.007924466130054588,-0.0009568403578545381,-0.002427519284772639
f50_career_slope_three_p,0.2027088216990354,0.20675563088918403,-0.0040468091901486375,-0.018432620653661275,-0.013718574574490142,0.020010767657705503
f50_perimeter_ft_agreement,0.19875171180372395,0.20350831797930818,-0.004756606175584235,-0.020324209756436135,-0.0011324340136212678,0.007186825243304699
f50_team_share_three_a,0.19836636873588476,0.20385768043142435,-0.005491311695539545,-0.006533193529074971,-0.0034337182863771465,-0.006507023271166516
f50_career_slope_orb,0.20535812842411016,0.21157628680924498,-0.006218158385134797,0.0032489595960886416,-0.008068830186466295,-0.01383460456502674
f50_peer_rank_ts,0.20593203691473416,0.2124469074152779,-0.006514870500543745,0.008827170795693775,0.0020467961725186188,-0.030418578469843627
f50_peer_sd_ast,0.196727791185623,0.2052083883075716,-0.008480597121948584,-0.0004434830007695086,-0.0147234073128579,-0.010274901052218344
f50_peer_rank_drb,0.20129705987124027,0.20981144641253835,-0.008514386541298054,0.006664019597605528,-0.019142044903386158,-0.013065134318113533
f50_peer_sd_drb,0.19444778757260495,0.20333444044767834,-0.00888665287507341,-0.012078130164312195,0.006783436980091521,-0.021365265440999554
f50_posterior_two,0.19832315344312323,0.20736556518319207,-0.009042411740068833,-0.023885367586009097,-0.009338492537857207,0.006096624903659809
f50_team_share_fta,0.192512966845935,0.20263140248340317,-0.010118435637468169,-0.006154038655523557,-0.003907788814821049,-0.020293479442059902
f50_peer_sd_usage,0.19610981802149488,0.20912244826650594,-0.013012630245011068,-0.014857725193447755,-0.02532655104931515,0.0011463855077297007
f50_career_slope_drb,0.1945523111317773,0.20904829614577977,-0.014495985014002495,-0.007706288233717856,-0.018537182518019103,-0.017244484290270524
f50_team_share_three_m,0.1927459469132459,0.2088784822040415,-0.016132535290795596,-0.034764632712492104,-0.01116447231066862,-0.002468500849226063
f50_peer_rank_ast,0.19159247283629757,0.20784102547654426,-0.016248552640246664,-0.0037491852454197283,-0.02725345928576219,-0.017743013389558072
f50_peer_rank_usage,0.1848204460242774,0.20821169510955342,-0.023391249085275997,-0.035447436764394886,-0.013229308643385387,-0.02149700184804772
f50_peer_rank_tov,0.1792677612388807,0.21484084389286168,-0.035573082653981,-0.05541796655759634,-0.0471131249063351,-0.004188156498011557
