pid,draft_year,source_year,source_filename,source_row,match_method
P10187f6389,2017,2017,combine_2017.json,55,unique_nba_id
Pc32fe4a167,2017,2017,combine_2017.json,14,unique_nba_id
P1804943702,2017,2017,combine_2017.json,19,unique_nba_id
P5f230da818,2017,2017,combine_2017.json,10,unique_nba_id
P74d19df6a2,2017,2017,combine_2017.json,15,unique_nba_id
Pa76a1ce248,2017,2017,combine_2017.json,42,unique_nba_id
Pea59b43adb,2017,2017,combine_2017.json,51,unique_nba_id
Pba3a4faeb9,2017,2017,combine_2017.json,61,unique_nba_id
P27a35575e9,2017,2017,combine_2017.json,50,unique_nba_id
P4396f0664b,2017,2017,combine_2017.json,29,unique_nba_id
P2a1ab2724b,2017,2017,combine_2017.json,3,unique_nba_id
Pc5ec91aab0,2017,2017,combine_2017.json,11,unique_nba_id
Pcac223d7f8,2017,2017,combine_2017.json,58,unique_nba_id
P95ea622240,2017,2017,combine_2017.json,6,unique_nba_id
P3f77f707c0,2018,2018,combine_2018.json,0,unique_nba_id
Pdb9cad4004,2018,2018,combine_2018.json,1,unique_nba_id
P4f854a47d9,2018,2018,combine_2018.json,2,unique_nba_id
P35e592001a,2018,2018,combine_2018.json,4,unique_nba_id
P6786e0dd88,2018,2018,combine_2018.json,6,unique_nba_id
P57ab80ef44,2018,2018,combine_2018.json,9,unique_nba_id
Pe581c6d22f,2018,2018,combine_2018.json,10,unique_nba_id
Pcabff956fe,2018,2018,combine_2018.json,11,unique_nba_id
P9f769e6678,2018,2018,combine_2018.json,12,unique_nba_id
P15b5ca7021,2018,2018,combine_2018.json,14,unique_nba_id
P6f990ff013,2018,2018,combine_2018.json,15,unique_nba_id
P8ecb19c544,2018,2018,combine_2018.json,17,unique_nba_id
P58e5b2eaa8,2018,2018,combine_2018.json,16,unique_nba_id
Pa08fe4841f,2018,2018,combine_2018.json,18,unique_nba_id
Pbe6b6d05a9,2018,2018,combine_2018.json,20,unique_nba_id
Pb53e68dfee,2018,2018,combine_2018.json,23,unique_nba_id
P50c2524b85,2018,2018,combine_2018.json,24,unique_nba_id
P15b4774186,2018,2018,combine_2018.json,25,unique_nba_id
P1597c7370a,2018,2018,combine_2018.json,27,unique_nba_id
Pbb5225b691,2018,2018,combine_2018.json,29,unique_nba_id
P75b2e5cfed,2018,2018,combine_2018.json,30,unique_nba_id
P26d2a90c5b,2018,2018,combine_2018.json,31,unique_nba_id
Pae17b87a4a,2018,2018,combine_2018.json,32,unique_nba_id
