pid,draft_year,was_drafted,actual_pick,bio_age_at_draft,bio_combine_height_in,bio_combine_weight_lb,bio_combine_wingspan_in,bio_combine_reach_in,bio_combine_vertical_standing_in,bio_combine_vertical_max_in,bio_combine_lane_agility_s,bio_combine_sprint_s,col_gp,col_mpg,col_pts36,col_reb36,col_ast36,col_stl36,col_blk36,col_usg_pct,col_ts_pct,col_efg_pct,col_ast_pct,col_tov_pct,col_orb_pct,col_drb_pct,col_stl_pct,col_blk_pct,col_fg3ar,col_ftar,col_ft_pct,col_fg3_pct,col_fg2_pct,col_minutes_total,cons_mock_consensus_rank,cons_mock_best_rank,cons_mock_n_sources,cons_bigboard_consensus_rank,hs_mcdonalds_aa,hs_jordan_brand,hs_hoop_summit,hs_rsci_rank,intl_gp,intl_minutes,intl_mpg,intl_pts36,intl_reb36,intl_ast36,intl_stl36,intl_blk36,intl_ts_pct,intl_ft_pct,intl_fg3_pct,intl_level,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_age,ctx_base_height,ctx_base_three_share,ctx_team_peer_usage,ctx_team_gap_usage,ctx_team_peer_ts,ctx_team_gap_ts,ctx_team_peer_ast_pct,ctx_team_gap_ast_pct,ctx_team_peer_orb,ctx_team_gap_orb,ctx_team_peer_drb,ctx_team_gap_drb,ctx_team_peer_stl_pct,ctx_team_gap_stl_pct,ctx_team_peer_blk_pct,ctx_team_gap_blk_pct,ctx_team_rotation_depth,ctx_team_creator_competition,ctx_team_guard_competition,ctx_growth_seasons,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume,ctx_growth_usage,ctx_growth_minutes_share,ctx_growth_ts,ctx_growth_ast_pct,ctx_growth_tov_pct,ctx_growth_stl_pct,ctx_growth_blk_pct,ctx_growth_fg3a,ctx_growth_ft_pct,ctx_growth_changed_team
Pe2eac4ddf4,2016,1,37.0,19.65,81.0,245.2,86.75,108.5,27.5,33.5,11.65,3.5,31.0,24.5806,14.503925860231238,12.42526219864446,2.409509938732171,1.133869799760787,2.929139239888367,21.9,62.0,62.0,12.9,23.3,13.7,25.8,1.9,9.6,0.004524886877828,0.253,0.589,,0.623,1384.9986,40.0,38.0,3.0,89.0,0,0,0,64.0,7.0,111.0,15.857142857142858,10.37837837837838,11.35135135135135,1.2972972972972974,3.243243243243243,3.891891891891892,65.6,0.6,0.0,1.0,31.0,61.5,21.9,62.0,62.0,13.7,25.8,12.9,23.3,33.0,56.0,0.589,137.0,220.0,0.623,0.0,1.0,0.0,9.6,1.9,25.3,4.8,0.78462416,81.0,110.0,56.0,110.0,37.0,40.0,24.5806,2.9355,5.5484,1.6452,0.7742,2.0,9.9032,19.581108829568787,82.0,0.004524886877828,19.59411496350365,2.305885036496349,53.6959466240876,8.304053375912403,11.960903284671534,0.939096715328466,5.989872262773723,7.710127737226276,12.056478102189782,13.743521897810218,2.180542883211679,-0.280542883211679,1.8886177007299272,7.711382299270072,6.0,0.0,1.0,2.0,1.9827586206896552,0.5308641975308642,0.2279999999999998,2.38135719675455,9.2,18.5,2.3999999999999986,7.2,-10.400000000000002,-0.6000000000000001,2.3,1.0,0.1219999999999999,0.0
P07954fea73,2016,1,26.0,18.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6,13.0,5.0,9.0,0,0,0,,37.0,481.0,13.0,14.123076923076924,3.876923076923077,1.9384615384615385,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd59c0506ca,2017,1,44.0,23.14,76.5,205.2,81.0,100.0,31.5,38.0,11.18,3.13,32.0,34.0606,18.448353816433062,7.206426193314268,1.1530155076540047,0.9608638720398348,0.1601263630118083,21.2,61.08,59.5,6.9,8.6,5.0,18.2,1.6,0.6,0.5674418604651162,0.123,0.83,0.443,0.505,3897.9427,53.3,45.0,3.0,52.0,0,0,0,,,,,,,,,,,,,,32.0,85.4,21.2,59.5,61.08,5.0,18.2,6.9,8.6,44.0,53.0,0.83,94.0,186.0,0.505,108.0,244.0,0.443,0.6,1.6,12.3,1.9,1.02856864,34.0,54.0,60.0,131.0,7.0,7.0,34.0606,1.5455,5.2727,1.0909,0.9091,0.1515,17.4545,23.071868583162217,77.0,0.5674418604651162,19.521972986010613,1.6780270139893858,51.895330438977325,9.184669561022671,13.143945972021225,-6.2439459720212245,5.629811866859623,-0.6298118668596233,11.77209358417752,6.427906415822479,1.598986975397974,0.0010130246020261,2.4596237337192473,-1.8596237337192472,6.0,2.0,2.0,4.0,0.7586206896551725,0.7187500000000001,0.1329599999999999,3.3108567586483475,2.3000000000000007,9.5,-1.5300000000000011,-0.7999999999999998,-1.9000000000000004,0.3,-0.0999999999999999,75.0,-0.003,0.0
P946b6a7bec,2018,1,9.0,18.87,79.75,212.6,83.75,108.0,,,,,37.0,32.3784,17.368912608405605,6.010006671114077,1.592617300422504,0.9315098954858796,0.300533689126084,23.0,55.69,51.1,8.7,17.5,3.3,14.5,1.5,1.0,0.3786848072562358,0.372,0.774,0.341,0.511,1198.0008,9.5,9.0,4.0,15.0,1,1,1,10.0,6.0,104.0,17.333333333333332,23.192307692307693,9.346153846153848,0.6923076923076923,4.5,1.0384615384615383,61.9,0.8571428571428571,0.125,1.0,37.0,80.7,23.0,51.1,55.69,3.3,14.5,8.7,17.5,127.0,164.0,0.774,140.0,274.0,0.511,57.0,167.0,0.341,1.0,1.5,37.2,2.7,0.62351453,65.0,99.0,75.0,174.0,18.0,20.0,32.3784,0.8919,4.5135,1.4324,0.8378,0.2703,15.6216,18.806297056810404,81.0,0.3786848072562358,19.24134064885496,3.7586593511450417,55.80698950381679,-0.1169895038167894,13.051121183206105,-4.351121183206105,6.958969465648853,-3.6589694656488536,13.082609732824425,1.4173902671755751,1.6330868320610683,-0.1330868320610685,3.0699904580152664,-2.0699904580152664,7.0,1.0,1.0,1.0,0.6756756756756757,0.4702702702702702,0.1706999999999999,3.952001796799049,,,,,,,,,,
Pd31d743729,2006,1,4.0,19.85,79.25,217.0,87.0,108.0,34.0,39.5,11.36,3.2,32.0,25.9,17.15212355212355,12.815444015444015,1.8208494208494213,1.4316602316602318,4.294980694980695,,63.7,61.0,10.3,15.3,10.9,26.4,2.3,10.5,0.004,0.5479999999999999,0.657,,0.606,828.8,4.0,2.0,2.0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P91b09695de,2006,1,5.0,22.68,79.5,258.0,88.25,104.0,29.0,33.5,11.53,3.59,36.0,33.3,20.335135135135136,11.535135135135135,1.1675675675675676,1.8054054054054056,4.11891891891892,25.7,64.0,58.0,6.8,14.4,12.9,29.4,2.8,12.7,0.0146341463414634,0.659,0.744,,0.582,2324.1,6.0,5.0,2.0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pa1953f4a95,2006,1,6.0,21.92,77.25,207.0,80.0,101.0,34.0,40.5,11.13,3.27,33.0,31.7,22.917350157728706,6.405047318611987,4.644794952681388,1.5785488958990537,0.8971608832807573,27.5,61.5,55.1,25.1,12.2,7.8,13.2,2.4,2.2,0.2160356347438752,0.47,0.81,0.402,0.537,1675.2999999999995,6.5,5.0,2.0,,0,0,0,45.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P05061c84a0,2006,1,10.0,20.12,83.0,237.0,92.5,113.0,28.5,31.0,12.52,3.38,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P78afb3722d,2006,1,16.0,22.22,76.5,204.0,82.0,103.5,32.0,38.5,10.57,3.06,37.0,27.2,22.751470588235296,5.651470588235294,1.6808823529411765,1.7470588235294118,0.9,27.9,56.5,53.7,9.7,8.8,5.9,10.5,2.6,2.4,0.5168316831683168,0.261,0.712,0.391,0.484,2150.2,14.0,11.0,2.0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pe5c2b5692d,2006,1,19.0,22.11,,,,,,,,,33.0,37.1,24.666307277628032,4.143396226415095,3.027493261455526,1.7078167115902965,0.795687331536388,,60.1,55.6,24.3,10.7,2.9,11.5,2.7,2.5,0.465378421900161,0.283,0.847,0.401,0.515,2221.9,28.5,26.0,2.0,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
