pid,sc_athleticism,sc_size,sc_defense,sc_strength,sc_quickness,sc_leadership,sc_jumpshot,sc_nbaready,sc_potential,sc_intangibles,sc_ballhandling,sc_passing,sc_rebounding,sc_postskills,sc_overall,sc_intang_lead,sc_kw_injury,sc_kw_upside,sc_kw_motor,sc_kw_character,sc_kw_shooting_concern,sc_kw_nba_ready,sc_words_strengths,sc_words_weaknesses,sc_capture_days_before_draft,sc_has_profile
Pc0e2cf5bcc,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pf65d71b77e,,,,,,,,,,,,,,,,,,,,,,,,,,0
P9aa7ef7a41,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,30.0,53.0,25.0,1
P666726f41f,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd1e82d8666,,,,,,,,,,,,,,,,,,,,,,,,,,0
P820aca19f1,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pf7459f37f3,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pa93cedf1ed,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pbd83a701c7,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pca59ea1b39,,,,,,,,,,,,,,,,,,,,,,,,,,0
P2c0a429f79,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pa33e366fdf,,,,,,,,,,,,,,,,,,,,,,,,,,0
P759a9434cf,,,,,,,,,,,,,,,,,,,,,,,,,,0
P8fba680b01,,,,,,,,,,,,,,,,,,,,,,,,,,0
P6d016b475a,,,,,,,,,,,,,,,,,,,,,,,,,,0
P73f5726100,,,,,,,,,,,,,,,,,,,,,,,,,,0
P0e7fc05f4f,,,,,,,,,,,,,,,,,,,,,,,,,,0
P4caf77098c,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd06a43915a,,,,,,,,,,,,,,,,,0.0,2.0,0.0,0.0,0.0,0.0,52.0,192.0,249.0,1
Pe929ebb536,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,11.0,219.0,18.0,1
P1199724869,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,117.0,63.0,139.0,1
P979bc77e15,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,1.0,11.0,30.0,18.0,1
Pc692096d48,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pa08cb88c9e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,94.0,19.0,1
P634aaac9d4,,,,,,,,,,,,,,,,,,,,,,,,,,0
P3d9db1cda1,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,49.0,35.0,80.0,1
P6031807405,,,,,,,,,,,,,,,,,0.0,1.0,0.0,0.0,1.0,0.0,79.0,34.0,248.0,1
P01fc763e95,,,,,,,,,,,,,,,,,,,,,,,,,,0
P91e42fff83,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,23.0,327.0,1
P7662bd9a71,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,51.0,56.0,18.0,1
Pb7f87f6748,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,26.0,18.0,1
P540f972282,,,,,,,,,,,,,,,,,,,,,,,,,,0
P33f4d69488,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,30.0,17.0,1
Pc0e29b5887,,,,,,,,,,,,,,,,,,,,,,,,,,0
P5656ae84e7,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,36.0,44.0,18.0,1
P792efcc523,,,,,,,,,,,,,,,,,2.0,0.0,0.0,0.0,0.0,1.0,11.0,54.0,19.0,1
P59cd2b2d22,,,,,,,,,,,,,,,,,,,,,,,,,,0
P71d533551f,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,92.0,36.0,80.0,1
P4c416f9cab,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,230.0,18.0,1
P0459b830f2,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,41.0,54.0,19.0,1
Pd2dc1d3e0e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,12.0,18.0,1
P357471422c,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pb74259d44e,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,11.0,39.0,18.0,1
P33c766f164,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pd4f1d19d77,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,35.0,12.0,80.0,1
P42dd9e15a4,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,74.0,70.0,194.0,1
P4cd866005e,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pfdab72198e,,,,,,,,,,,,,,,,,,,,,,,,,,0
P70ecb2ee9d,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,2.0,0.0,33.0,66.0,79.0,1
P780ecd00c5,,,,,,,,,,,,,,,,,,,,,,,,,,0
P2abf5d1b69,,,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,11.0,184.0,17.0,1
P7d55637f90,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,66.0,40.0,19.0,1
P39c99a28df,,,,,,,,,,,,,,,,,,,,,,,,,,0
Pe79941522f,,,,,,,,,,,,,,,,,,,,,,,,,,0
P5635d18ecc,,,,,,,,,,,,,,,,,,,,,,,,,,0
