pid,draft_year,source,url,capture_ts,layout,days_before_draft,fields_parsed
Pac419c235c,2001,nbadraftnet,http://nbadraft.net:80/profiles/rodneywhite.htm,20010614031749,old,13,10
P704a5fd478,2001,nbadraftnet,http://nbadraft.net:80/profiles/joejohnson.htm,20010614031636,old,13,10
P0d7e76d154,2001,nbadraftnet,http://nbadraft.net:80/profiles/kedrickbrown.htm,20010617105511,old,10,10
P98f905fdef,2001,nbadraftnet,http://nbadraft.net:80/profiles/vladimirradmanovic.htm,20010617093530,old,10,9
Pdcd864f0fb,2001,nbadraftnet,http://nbadraft.net:80/profiles/richardjefferson.htm,20010614031449,old,13,10
P842a2f3c2e,2001,nbadraftnet,http://nbadraft.net:80/profiles/troymurphy.htm,20010602134756,old,25,10
P3a25271b04,2001,nbadraftnet,http://nbadraft.net:80/profiles/michaelbradley.htm,20010602140025,old,25,10
P75d87cd190,2001,nbadraftnet,http://nbadraft.net:80/profiles/jasoncollins.htm,20010602140227,old,25,10
Paf6a9c1c9e,2001,nbadraftnet,http://nbadraft.net:80/profiles/zachrandolph.htm,20010602135926,old,25,10
P2ee25c689c,2001,nbadraftnet,http://nbadraft.net:80/profiles/brendanhaywood.htm,20010410002951,old,78,10
P1bd862cc0f,2001,nbadraftnet,http://nbadraft.net:80/profiles/josephforte.htm,20010614033002,old,13,10
Pd4900db84d,2001,nbadraftnet,http://www.nbadraft.net:80/profiles/raullopez.htm,20010617154243,old,10,9
P4da2c7e178,2001,nbadraftnet,http://www.nbadraft.net:80/profiles/geraldwallace.htm,20001213131400,old,196,10
Pfcc31e3705,2001,nbadraftnet,http://nbadraft.net:80/profiles/samueldalembert.htm,20010602121027,old,25,10
P3ebb78aaf3,2001,nbadraftnet,http://nbadraft.net:80/profiles/jamaaltinsley.htm,20010602135937,old,25,10
P07655923d4,2001,nbadraftnet,http://nbadraft.net:80/profiles/gilbertarenas.htm,20010602124720,old,25,10
Pc0571f7238,2001,nbadraftnet,http://nbadraft.net:80/profiles/omarcook.htm,20010614024645,old,13,10
Paeace7e70c,2001,nbadraftnet,http://nbadraft.net:80/profiles/terencemorris.htm,20010602133052,old,25,10
P5303425662,2001,nbadraftnet,http://nbadraft.net:80/profiles/seanlampley.htm,20010602121831,old,25,10
P0fee52cfc4,2001,nbadraftnet,http://nbadraft.net:80/profiles/lorenwoods.htm,20010602134655,old,25,10
Pe0f44d3916,2001,nbadraftnet,http://nbadraft.net:80/profiles/kenjohnson.htm,20010602124701,wordpress,25,10
P9aa7ef7a41,2001,nbadraftnet,http://nbadraft.net:80/profiles/alvinjones.htm,20010602134606,old,25,10
Pd06a43915a,2002,nbadraftnet,http://nbadraft.net:80/profiles/yaoming.htm,20011020025447,old,249,10
Pe929ebb536,2002,nbadraftnet,http://nbadraft.net:80/profiles/jaywilliams.htm,20020608002753,old,18,10
P1199724869,2002,nbadraftnet,http://nbadraft.net:80/profiles/mikedunleavy.htm,20020207200456,old,139,10
P979bc77e15,2002,nbadraftnet,http://nbadraft.net:80/profiles/drewgooden.htm,20020608001154,old,18,10
Pa08cb88c9e,2002,nbadraftnet,http://nbadraft.net:80/profiles/dajuanwagner.htm,20020607235330,old,19,10
P3d9db1cda1,2002,nbadraftnet,http://www.nbadraft.net:80/profiles/chriswilcox.htm,20020407143843,old,80,10
P6031807405,2002,nbadraftnet,http://nbadraft.net:80/profiles/amarestoudemire.htm,20011021153328,old,248,10
P91e42fff83,2002,nbadraftnet,http://nbadraft.net:80/profiles/jaredjeffries.htm,20010803115748,old,327,10
P7662bd9a71,2002,nbadraftnet,http://nbadraft.net:80/profiles/melvinely.htm,20020608012534,old,18,10
Pb7f87f6748,2002,nbadraftnet,http://nbadraft.net:80/profiles/marcushaislip.htm,20020608010537,old,18,10
P33f4d69488,2002,nbadraftnet,http://nbadraft.net:80/profiles/bostjannachbar.htm,20020609072811,old,17,10
P5656ae84e7,2002,nbadraftnet,http://nbadraft.net:80/profiles/juandixon.htm,20020608003844,old,18,10
P792efcc523,2002,nbadraftnet,http://nbadraft.net:80/profiles/curtisborchardt.htm,20020607234705,old,19,10
P71d533551f,2002,nbadraftnet,http://www.nbadraft.net:80/profiles/kareemrush.htm,20020407232543,old,80,10
P4c416f9cab,2002,nbadraftnet,http://nbadraft.net:80/profiles/qyntelwoods.htm,20020608203043,old,18,10
P0459b830f2,2002,nbadraftnet,http://nbadraft.net:80/profiles/caseyjacobsen.htm,20020607232819,old,19,10
Pd2dc1d3e0e,2002,nbadraftnet,http://nbadraft.net:80/profiles/tayshaunprince.htm,20020608210210,old,18,10
Pb74259d44e,2002,nbadraftnet,http://nbadraft.net:80/profiles/frankwilliams.htm,20020608002023,old,18,10
Pd4f1d19d77,2002,nbadraftnet,http://www.nbadraft.net:80/profiles/chrisjefferies.htm,20020407020300,old,80,10
P42dd9e15a4,2002,nbadraftnet,http://www.nbadraft.net:80/profiles/dandickau.htm,20011214024244,old,194,10
P70ecb2ee9d,2002,nbadraftnet,http://www.nbadraft.net:80/profiles/vincentyarbrough.htm,20020408090910,old,79,10
P2abf5d1b69,2002,nbadraftnet,http://nbadraft.net:80/profiles/carlosboozer.htm,20020609053415,old,17,10
P7d55637f90,2002,nbadraftnet,http://nbadraft.net:80/profiles/davidandersen.htm,20020607235322,old,19,10
P71645345d7,2002,nbadraftnet,http://nbadraft.net:80/profiles/jamalsampson.htm,20020608002901,old,18,10
P4adcc58a26,2002,nbadraftnet,http://nbadraft.net:80/profiles/luisscola.htm,20020608005917,old,18,10
