pid,draft_year,was_drafted,actual_pick,ctx_base_gp,ctx_base_minutes_share,ctx_base_usage,ctx_base_efg,ctx_base_ts,ctx_base_orb,ctx_base_drb,ctx_base_ast_pct,ctx_base_tov_pct,ctx_base_ftm,ctx_base_fta,ctx_base_ft_pct,ctx_base_fg2m,ctx_base_fg2a,ctx_base_fg2_pct,ctx_base_fg3m,ctx_base_fg3a,ctx_base_fg3_pct,ctx_base_blk_pct,ctx_base_stl_pct,ctx_base_ftr,ctx_base_fouls40,ctx_base_ast_tov,ctx_base_rim_made,ctx_base_rim_attempts,ctx_base_mid_made,ctx_base_mid_attempts,ctx_base_dunk_made,ctx_base_dunk_attempts,ctx_base_mpg,ctx_base_oreb_pg,ctx_base_dreb_pg,ctx_base_ast_pg,ctx_base_stl_pg,ctx_base_blk_pg,ctx_base_pts_pg,ctx_base_three_share,ctx_skill_defense_discipline,ctx_skill_creation_control,ctx_skill_usage_efficiency,ctx_skill_ft_volume
Peda2227014,2015,0,,39.0,63.8,21.1,47.4,51.44,1.9,9.2,11.1,10.3,79.0,101.0,0.782,87.0,183.0,0.475,59.0,187.0,0.316,0.6,2.7,27.3,2.4,1.57153998,54.0,77.0,35.0,108.0,15.0,18.0,25.7692,0.3846,2.1795,1.4103,1.1026,0.1538,11.0256,0.5054054054054054,0.9705882352941178,0.982300884955752,0.0158399999999999,3.6167287399883
P16f77dc0c6,2015,1,20.0,34.0,83.7,24.2,54.5,61.66,4.1,13.6,32.8,15.4,152.0,182.0,0.835,135.0,246.0,0.549,26.0,73.0,0.356,3.2,3.9,57.1,1.7,2.61758206,101.0,149.0,34.0,98.0,17.0,18.0,33.2857,0.9714,3.9714,5.0857,2.0857,0.9714,14.5429,0.2288401253918495,2.6296296296296293,2.0,0.4897199999999998,4.349920937622587
P3cfad83e39,2015,1,28.0,34.0,92.1,28.5,46.8,54.93,2.8,12.4,19.7,12.9,197.0,222.0,0.887,121.0,247.0,0.49,75.0,252.0,0.298,3.6,3.6,44.5,2.6,1.63636356,59.0,81.0,63.0,165.0,5.0,5.0,36.9714,0.7714,3.9429,3.6,2.1429,1.0,19.6571,0.5050100200400801,2.0,1.4172661870503596,0.41905,4.796161361285125
P94d904f95a,2015,1,18.0,40.0,77.0,22.4,58.6,60.48,8.4,14.8,8.6,8.7,80.0,113.0,0.708,163.0,255.0,0.639,50.0,151.0,0.331,1.5,1.1,27.8,1.4,1.36111117,134.0,178.0,29.0,78.0,28.0,31.0,30.975,1.925,3.575,1.225,0.525,0.45,13.9,0.3719211822660098,1.0833333333333337,0.88659793814433,0.2515199999999997,3.3532285014633025
P67cf99c3eb,2015,1,2.0,35.0,84.3,29.9,54.1,57.29,3.6,15.4,30.1,17.3,118.0,156.0,0.756,136.0,284.0,0.479,95.0,231.0,0.411,1.1,2.8,30.3,2.5,1.71567788,70.0,110.0,66.0,174.0,4.0,4.0,33.9429,1.0,4.6571,5.0,1.5714,0.3143,19.2857,0.4485436893203883,1.1142857142857143,1.644808743169399,0.7217099999999997,3.8225218288433207
P5a591d3e24,2015,1,1.0,39.0,52.3,24.2,57.0,62.72,14.1,22.2,11.5,16.6,109.0,134.0,0.813,143.0,248.0,0.577,2.0,8.0,0.25,11.4,1.4,52.3,5.6,0.8301693,87.0,121.0,56.0,128.0,22.0,24.0,21.1282,2.359,4.3333,1.1282,0.4615,2.2564,10.2821,0.03125,1.9393939393939397,0.6534090909090908,0.5342399999999998,3.987988394870443
Pe7f5f31a46,2015,1,37.0,30.0,67.1,25.1,59.3,62.31,11.5,21.0,7.2,16.5,101.0,142.0,0.711,139.0,237.0,0.586,18.0,43.0,0.419,11.3,1.5,50.7,3.4,0.43332471,107.0,155.0,32.0,82.0,45.0,46.0,28.7742,2.871,5.1613,0.8387,0.7097,2.6452,14.8065,0.1535714285714285,2.909090909090909,0.4114285714285714,0.6278100000000003,3.5285825321147937
Pc3390f55d0,2015,1,10.0,39.0,72.3,22.4,55.1,57.2,5.4,19.8,13.2,16.8,100.0,156.0,0.641,127.0,246.0,0.516,46.0,110.0,0.418,2.9,2.8,43.8,3.8,1.15495747,112.0,163.0,15.0,85.0,24.0,25.0,29.1026,1.2564,5.2051,2.1026,1.3333,0.8718,12.6154,0.3089887640449438,1.1875,0.7415730337078651,0.1727999999999999,3.241053561228265
P9b0b27ae5d,2015,1,6.0,39.0,64.3,18.3,57.2,58.79,11.1,17.3,7.4,16.2,79.0,128.0,0.617,135.0,236.0,0.572,0.0,0.0,0.0,7.1,2.9,54.2,3.1,0.79168017,106.0,141.0,30.0,96.0,69.0,74.0,25.9487,2.2821,4.1538,0.9744,1.2051,1.7179,8.9487,0.0,2.439024390243903,0.4302325581395349,-0.1494299999999999,2.9985042534911517
Ped4ca8f8d6,2015,1,15.0,36.0,52.3,22.0,51.2,55.45,6.4,19.2,8.1,15.4,79.0,110.0,0.718,76.0,153.0,0.497,34.0,95.0,0.358,1.8,3.3,44.4,3.8,0.65120567,48.0,77.0,28.0,75.0,17.0,22.0,21.0,1.1389,3.8333,0.7778,1.1389,0.3611,9.25,0.3830645161290322,1.0625,0.4939024390243902,0.109,3.3814426845422556
