pid,draft_year,was_drafted,ctx_base_ast_pct,ctx_base_ast_pg,ctx_base_ast_tov,ctx_base_blk_pct,ctx_base_blk_pg,ctx_base_drb,ctx_base_dreb_pg,ctx_base_dunk_attempts,ctx_base_dunk_made,ctx_base_efg,ctx_base_fg2_pct,ctx_base_fg2a,ctx_base_fg2m,ctx_base_fg3_pct,ctx_base_fg3a,ctx_base_fg3m,ctx_base_fouls40,ctx_base_ft_pct,ctx_base_ftr,ctx_base_gp,ctx_base_mid_attempts,ctx_base_minutes_share,ctx_base_mpg,ctx_base_orb,ctx_base_oreb_pg,ctx_base_pts_pg,ctx_base_rim_attempts,ctx_base_rim_made,ctx_base_stl_pct,ctx_base_stl_pg,ctx_base_three_share,ctx_base_tov_pct,ctx_base_ts,ctx_base_usage,ctx_skill_creation_control,ctx_skill_defense_discipline,ctx_skill_ft_volume,ctx_skill_usage_efficiency,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources,f50_career_slope_usage,f50_posterior_rim
P3cfad83e39,2015,1,19.699999999999999,3.6000000000000001,1.6363635599999999,3.6000000000000001,1,12.4,3.9428999999999998,5,5,46.799999999999997,0.48999999999999999,247,121,0.29799999999999999,252,75,2.6000000000000001,0.88700000000000001,44.5,34,165,92.099999999999994,36.971400000000003,2.7999999999999998,0.77139999999999997,19.6571,81,59,3.6000000000000001,2.1429,0.50501002004008011,12.9,54.93,28.5,1.4172661870503596,2,4.796161361285125,0.41904999999999998,,,,,1.5499999999996403,0.69369369369369371
P94d904f95a,2015,1,8.5999999999999996,1.2250000000000001,1.36111117,1.5,0.45000000000000001,14.800000000000001,3.5750000000000002,31,28,58.600000000000001,0.63900000000000001,255,163,0.33100000000000002,151,50,1.3999999999999999,0.70799999999999996,27.800000000000001,40,78,77,30.975000000000001,8.4000000000000004,1.925,13.9,178,134,1.1000000000000001,0.52500000000000002,0.37192118226600979,8.6999999999999993,60.479999999999997,22.399999999999999,0.88659793814432997,1.0833333333333337,3.3532285014633025,0.25151999999999969,,,,,0.300000000000054,0.73076923076923073
P67cf99c3eb,2015,1,30.100000000000001,5,1.7156778800000001,1.1000000000000001,0.31430000000000002,15.4,4.6570999999999998,4,4,54.100000000000001,0.47899999999999998,284,136,0.41099999999999998,231,95,2.5,0.75600000000000001,30.300000000000001,35,174,84.299999999999997,33.942900000000002,3.6000000000000001,1,19.285699999999999,110,70,2.7999999999999998,1.5713999999999999,0.44854368932038829,17.300000000000001,57.289999999999999,29.899999999999999,1.644808743169399,1.1142857142857143,3.8225218288433207,0.72170999999999974,,,,,,0.62857142857142856
P5a591d3e24,2015,1,11.5,1.1282000000000001,0.8301693,11.4,2.2564000000000002,22.199999999999999,4.3333000000000004,24,22,57,0.57699999999999996,248,143,0.25,8,2,5.5999999999999996,0.81299999999999994,52.299999999999997,39,128,52.299999999999997,21.1282,14.1,2.359,10.2821,121,87,1.3999999999999999,0.46150000000000002,0.03125,16.600000000000001,62.719999999999999,24.199999999999999,0.65340909090909083,1.9393939393939399,3.9879883948704431,0.53423999999999983,,,,,,0.69536423841059603
Pe7f5f31a46,2015,1,7.2000000000000002,0.8387,0.43332471,11.300000000000001,2.6452,21,5.1612999999999998,46,45,59.299999999999997,0.58599999999999997,237,139,0.41899999999999998,43,18,3.3999999999999999,0.71099999999999997,50.700000000000003,30,82,67.099999999999994,28.7742,11.5,2.871,14.8065,155,107,1.5,0.7097,0.1535714285714285,16.5,62.310000000000002,25.100000000000001,0.41142857142857142,2.9090909090909092,3.5285825321147937,0.62781000000000031,,,,,3.7000000000002191,0.67567567567567566
Pc3390f55d0,2015,1,13.199999999999999,2.1025999999999998,1.15495747,2.8999999999999999,0.87180000000000002,19.800000000000001,5.2050999999999998,25,24,55.100000000000001,0.51600000000000001,246,127,0.41799999999999998,110,46,3.7999999999999998,0.64100000000000001,43.799999999999997,39,85,72.299999999999997,29.102599999999999,5.4000000000000004,1.2564,12.615399999999999,163,112,2.7999999999999998,1.3332999999999999,0.3089887640449438,16.800000000000001,57.200000000000003,22.399999999999999,0.74157303370786509,1.1875,3.2410535612282652,0.1727999999999999,,,,,,0.67357512953367871
P9b0b27ae5d,2015,1,7.4000000000000004,0.97440000000000004,0.79168017000000002,7.0999999999999996,1.7179,17.300000000000001,4.1538000000000004,74,69,57.200000000000003,0.57199999999999995,236,135,0,0,0,3.1000000000000001,0.61699999999999999,54.200000000000003,39,96,64.299999999999997,25.948699999999999,11.1,2.2820999999999998,8.9487000000000005,141,106,2.8999999999999999,1.2051000000000001,0,16.199999999999999,58.789999999999999,18.300000000000001,0.43023255813953493,2.4390243902439028,2.9985042534911521,-0.1494299999999999,,,,,-0.80000000000058979,0.72514619883040932
Ped4ca8f8d6,2015,1,8.0999999999999996,0.77780000000000005,0.65120566999999996,1.8,0.36109999999999998,19.199999999999999,3.8332999999999999,22,17,51.200000000000003,0.497,153,76,0.35799999999999998,95,34,3.7999999999999998,0.71799999999999997,44.399999999999999,36,75,52.299999999999997,21,6.4000000000000004,1.1389,9.25,77,48,3.2999999999999998,1.1389,0.3830645161290322,15.4,55.450000000000003,22,0.49390243902439018,1.0625,3.381442684542256,0.109,,,,,,0.61682242990654201
Pec96a14b85,2015,1,18.399999999999999,2.641,1.63488926,4.5,1.4615,25.699999999999999,6.7179000000000002,34,31,59,0.58099999999999996,387,225,0.41599999999999998,101,42,2,0.78000000000000003,41,39,207,81.400000000000006,33.615400000000001,6,1.4872000000000001,18.769200000000001,180,137,1.7,0.84619999999999995,0.20696721311475411,11.5,62.780000000000001,28.100000000000001,1.472,2.0666666666666669,4.1365778282860788,1.0351800000000002,,,,,3.9200000000004609,0.73809523809523814
P7d77f683c0,2015,1,10.9,1.1052999999999999,1.1351545300000001,0.29999999999999999,0.052600000000000001,7.7999999999999998,1.5526,9,8,57.100000000000001,0.52700000000000002,146,77,0.41099999999999998,141,58,2.7999999999999998,0.82799999999999996,22.300000000000001,38,88,51.899999999999999,21.5,2.6000000000000001,0.44740000000000002,10.026300000000001,59,42,1.3,0.44740000000000002,0.49128919860627179,13.800000000000001,60.020000000000003,20.5,0.73648648648648651,0.4210526315789474,3.456392659473587,0.050099999999999999,,,,,,0.6741573033707865
