pid,source,fiba_person_id,n_tournaments_predraft,tournament_ids,urls
P8a2034c01d,fiba.basketball,203183,2,249_5075;276_6290,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pe56ae9c7aa,fiba.basketball,203174,2,249_5075;276_6290,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P71b16faf7a,fiba.basketball,210268,1,256_5956,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956
P3e0fd9667f,fiba.basketball,203172,2,249_5075;276_6290,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P54d4de841c,fiba.basketball,203585,2,249_5075;276_6290,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P0af0ac79ae,fiba.basketball,225770,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
P63f00af37c,fiba.basketball,210309,1,256_5956,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956
P204a101867,fiba.basketball,212131,2,249_5075;276_6290,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pf781dda14b,fiba.basketball,203181,1,249_5075,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/5075
P964dd1e5f4,fiba.basketball,203107,1,276_7488,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/7488
P16938f3fa9,fiba.basketball,217623,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
P1804943702,fiba.basketball,217865,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pc32fe4a167,fiba.basketball,210235,2,256_5956;276_6290,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5956;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pba3a4faeb9,fiba.basketball,203134,1,276_7488,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/7488
Pd9320fa884,fiba.basketball,143188,1,263_3163,https://www.fiba.basketball/en/history/263-fiba-u18-eurobasket/3163
Pf0bc046ece,fiba.basketball,196177,2,256_5945;276_7488,https://www.fiba.basketball/en/history/256-fiba-u18-americup/5945;https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/7488
Pd3b81c81b9,fiba.basketball,182027,1,256_3935,https://www.fiba.basketball/en/history/256-fiba-u18-americup/3935
P42302cf51e,fiba.basketball,216840,1,276_6290,https://www.fiba.basketball/en/history/276-fiba-u19-basketball-world-cup/6290
Pae17b87a4a,fiba.basketball,224675,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
Pd4282e2cb6,fiba.basketball,225711,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
P35e592001a,fiba.basketball,225692,1,256_6329,https://www.fiba.basketball/en/history/256-fiba-u18-americup/6329
P6f990ff013,fiba.basketball,217259,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
P4467431c36,fiba.basketball,224677,1,249_9678,https://www.fiba.basketball/en/history/249-fiba-u17-basketball-world-cup/9678
