pid,fiba_id,tid,comp_id,event_id,level,age_group,scope,division,year,date_start,date_end,games,minutes,age_at_tournament,team_finish,field_n_roster,field_n_qual,field_age_mean,field_age_sd,pts40,field_pts_mean,field_pts_sd,reb40,field_reb_mean,field_reb_sd,oreb40,field_oreb_mean,field_oreb_sd,dreb40,field_dreb_mean,field_dreb_sd,ast40,field_ast_mean,field_ast_sd,stl40,field_stl_mean,field_stl_sd,blk40,field_blk_mean,field_blk_sd,tov40,field_tov_mean,field_tov_sd,pir40,field_pir_mean,field_pir_sd,usage40,field_usage_mean,field_usage_sd,ts,field_ts_mean,field_ts_sd,efg,field_efg_mean,field_efg_sd,tpar,field_tpar_mean,field_tpar_sd,ftr,field_ftr_mean,field_ftr_sd,ftpct,field_ftpct_mean,field_ftpct_sd
P1100d011d0,167131,276_3348,276,3348,4,19,world,A,2009,2009-07-02,2009-07-12,9,243,18.2043,7,191,165,18.7609,0.690657,16.6255,14.3984,5.52288,12.3457,7.57587,3.44111,4.60905,2.66725,1.77968,7.73663,4.90862,2.14002,2.46914,2.40801,1.76626,1.15226,1.70492,0.965813,1.8107,0.872247,1.01133,4.77366,3.13329,1.42996,18.107,15.1012,7.07592,23.3745,17.5241,4.72826,0.446903,0.495334,0.114029,0.401961,0.463656,0.116858,0.352941,0.308724,0.227753,0.245098,0.312474,0.190442,0.76,0.642985,0.213702
P11475d8eed,143758,263_2703,263,2703,3,18,continental,A,2004,2003-07-30,2004-07-18,14,434,17.383,9,493,386,16.9505,0.574968,22.1198,13.9298,5.58557,15.023,6.69318,3.18094,5.43779,2.34716,1.63659,9.58525,4.34602,1.99629,1.38249,2.20858,1.78794,2.21198,2.4645,1.29161,4.42396,0.660544,0.907576,3.87097,3.70521,1.86017,33.3641,13.3501,7.66077,20.8922,17.9913,4.82067,0.649773,0.480562,0.114943,0.602113,0.44764,0.122844,0.0774648,0.292519,0.224662,0.683099,0.361925,0.24503,0.71134,0.622708,0.195562
P1191691c20,265234,276_208299,276,208299,4,19,world,A,2021,2021-07-03,2021-07-11,7,216.95,18.0674,4,192,174,18.7341,0.680857,23.4155,14.2694,5.44901,10.6937,7.50804,3.46178,2.58124,2.4377,1.71746,8.11247,5.07034,2.26855,3.68749,3.52297,2.42781,0.184374,1.75459,1.14154,2.21249,0.807696,1.25902,2.39687,3.09985,1.702,26.7343,15.501,7.77007,23.0689,17.9679,4.68488,0.566357,0.474649,0.110084,0.54902,0.443733,0.117723,0.323529,0.362644,0.218583,0.22549,0.286997,0.170106,0.652174,0.673577,0.213074
P11ed05516e,183263,276_4346,276,4346,4,19,world,A,2011,2011-06-30,2011-07-10,9,182,16.3426,8,192,170,18.651,0.680358,15.8242,13.9628,5.5381,4.3956,6.96907,3.32639,1.0989,2.2765,1.60615,3.2967,4.69256,2.26884,2.1978,2.54793,1.8548,1.75824,1.36418,0.869805,0.659341,0.642267,0.93216,1.75824,2.87201,1.41472,14.7253,14.0555,7.05949,16.5538,17.0082,4.58642,0.534759,0.486074,0.11285,0.537879,0.453588,0.118095,0.484848,0.291718,0.211296,0.0454545,0.314934,0.203526,0.333333,0.647068,0.216658
P11ed05516e,183263,249_5078,249,5078,3,17,world,A,2012,2012-06-29,2012-07-08,8,222,17.3419,3,142,127,17.0012,0.435933,29.9099,14.1972,5.55481,10.0901,7.45001,3.12231,1.98198,2.5366,1.74237,8.10811,4.91341,1.92891,1.8018,2.59121,2.03869,3.24324,1.89863,1.07827,0.900901,0.788481,1.13416,2.88288,3.46465,1.79913,29.3694,14.4239,7.24874,28.9946,18.219,4.61878,0.57273,0.473827,0.0968412,0.503968,0.443589,0.101275,0.484127,0.293986,0.229186,0.34127,0.271897,0.197866,0.906977,0.661614,0.195417
P11fb43c4ea,189127,276_7488,276,7488,4,19,world,A,2013,2013-06-27,2013-07-07,9,169.983,17.78,1,190,163,18.6149,0.696247,26.5908,13.7502,5.42509,13.1778,7.333,3.37317,4.94166,2.38567,1.71678,8.2361,4.94733,2.1867,4.00039,2.21367,1.7035,4.23571,1.54796,0.991925,2.11785,0.727447,1.05025,3.29444,3.00673,1.31394,37.1801,13.6671,7.8175,25.0566,17.2721,4.36533,0.610943,0.477564,0.117473,0.611765,0.446105,0.124661,0.0352941,0.299706,0.235645,0.2,0.319875,0.182303,0.529412,0.62505,0.182817
P12dc2a4dac,155226,256_3285,256,3285,3,18,continental,A,2006,2006-06-28,2006-07-02,4,88,18.166,1,83,62,17.8153,0.580995,22.7273,15.9039,6.01791,13.6364,8.01587,4.3489,4.09091,3.03436,2.57069,9.54545,4.98151,2.64958,1.36364,3.02408,2.25258,0.909091,1.90095,1.1992,2.72727,0.917461,1.08796,1.81818,3.8108,1.88879,29.5455,15.9601,8.69337,21.8364,19.8356,5.43243,0.567666,0.497868,0.124253,0.513514,0.459582,0.135608,0,0.314567,0.242206,0.432432,0.41752,0.293171,0.75,0.631609,0.199593
P1388f2fd26,268845,276_208102,276,208102,4,19,world,A,2019,2019-06-29,2019-07-07,7,174.733,19.3296,1,192,168,18.6256,0.728834,12.5906,14.9774,5.89675,3.89164,7.59112,3.57536,1.1446,2.50232,1.90133,2.74704,5.0888,2.25154,10.9882,3.76513,2.367,3.66272,1.8283,1.12827,1.1446,0.752157,0.973827,1.83136,3.17443,1.35909,27.6994,16.2674,7.67017,9.45899,18.4721,5.13993,0.82533,0.484167,0.109451,0.84375,0.454807,0.11544,0.5625,0.359548,0.228901,0.09375,0.311439,0.241065,0.333333,0.660183,0.20512
P1402e898dc,174420,276_3348,276,3348,4,19,world,A,2009,2009-07-02,2009-07-12,9,196,19.2776,1,191,165,18.7609,0.690657,18.3673,14.3984,5.52288,10.4082,7.57587,3.44111,4.4898,2.66725,1.77968,5.91837,4.90862,2.14002,3.26531,2.40801,1.76626,2.65306,1.70492,0.965813,2.04082,0.872247,1.01133,1.42857,3.13329,1.42996,27.1429,15.1012,7.07592,16.2531,17.5241,4.72826,0.619493,0.495334,0.114029,0.576271,0.463656,0.116858,0.491525,0.308724,0.227753,0.525424,0.312474,0.190442,0.709677,0.642985,0.213702
P144ed94c77,271303,276_208299,276,208299,4,19,world,A,2021,2021-07-03,2021-07-11,7,157.5,17.4952,2,192,174,18.7341,0.680857,24.8889,14.2694,5.44901,13.2063,7.50804,3.46178,3.30159,2.4377,1.71746,9.90476,5.07034,2.26855,2.53968,3.52297,2.42781,1.01587,1.75459,1.14154,10.1587,0.807696,1.25902,3.30159,3.09985,1.702,35.8095,15.501,7.77007,26.9511,17.9679,4.68488,0.526203,0.474649,0.110084,0.481928,0.443733,0.117723,0.26506,0.362644,0.218583,0.277108,0.286997,0.170106,0.782609,0.673577,0.213074
