pid,fy_has_youth,fy_n_tournaments,fy_best_level,fy_age_rel_last,fy_age_rel_min,fy_underage_flag,fy_pts40_z_last,fy_pir40_z_last,fy_ts_z_last,fy_ast40_z_last,fy_stl_blk40_z_last,fy_usage_proxy_z_last,fy_best_pts40_z,fy_best_pir40_z,fy_z_trend,fy_minutes_share_last,fy_team_finish_last,fy_hoop_summit_world
Pd808e1b5f8,0,0,,,,,,,,,,,,,,,,0
P10187f6389,0,0,,,,,,,,,,,,,,,,0
P3e5c820c70,0,0,,,,,,,,,,,,,,,,0
Pa76a1ce248,0,0,,,,,,,,,,,,,,,,0
P2acab9acdb,0,0,,,,,,,,,,,,,,,,0
P2a1ab2724b,0,0,,,,,,,,,,,,,,,,0
P9d178fdf5d,0,0,,,,,,,,,,,,,,,,0
Pba3a4faeb9,1,1,4,0.164404,0.164404,0,0.0309608,0.558702,1.02219,1.46232,-0.71555,-1.01979,0.0309608,0.558702,,0.566806,1,0
Pa0580e3001,0,0,,,,,,,,,,,,,,,,0
Pa4877bedac,0,0,,,,,,,,,,,,,,,,0
P5f230da818,0,0,,,,,,,,,,,,,,,,0
P58604dcdcf,0,0,,,,,,,,,,,,,,,,0
P49f423e70e,0,0,,,,,,,,,,,,,,,,0
P4074fe9b9e,0,0,,,,,,,,,,,,,,,,0
P7312c1c32d,0,0,,,,,,,,,,,,,,,,0
P96a831649e,0,0,,,,,,,,,,,,,,,,0
Pe528778159,0,0,,,,,,,,,,,,,,,,0
Pb920680006,0,0,,,,,,,,,,,,,,,,0
P80ec619552,0,0,,,,,,,,,,,,,,,,0
P982f4d9f47,0,0,,,,,,,,,,,,,,,,0
Pfafab37502,0,0,,,,,,,,,,,,,,,,0
P8e9f5cd10b,0,0,,,,,,,,,,,,,,,,0
Pe1b87bba68,0,0,,,,,,,,,,,,,,,,0
P7e57b76eb8,0,0,,,,,,,,,,,,,,,,0
Pa67da64cf8,0,0,,,,,,,,,,,,,,,,0
P4370ef2bf5,0,0,,,,,,,,,,,,,,,,0
P9ac225720c,0,0,,,,,,,,,,,,,,,,0
Pe75e4da903,0,0,,,,,,,,,,,,,,,,0
Pb571c7aa88,0,0,,,,,,,,,,,,,,,,0
Pdb78b3595b,0,0,,,,,,,,,,,,,,,,0
P0d567b6867,0,0,,,,,,,,,,,,,,,,0
Pea59b43adb,0,0,,,,,,,,,,,,,,,,0
P7697c4ecb8,0,0,,,,,,,,,,,,,,,,0
Pfde95d41d3,0,0,,,,,,,,,,,,,,,,0
P4396f0664b,0,0,,,,,,,,,,,,,,,,0
Pc5ec91aab0,0,0,,,,,,,,,,,,,,,,0
Pe204bd6fa0,0,0,,,,,,,,,,,,,,,,0
Pd13759b893,0,0,,,,,,,,,,,,,,,,0
Pd9320fa884,1,1,3,0.419301,0.419301,0,-0.345786,-0.35562,-0.0564421,2.76682,-0.611307,-0.0390435,-0.345786,-0.35562,,0.70625,1,0
P00fdb72e43,0,0,,,,,,,,,,,,,,,,0
P4d32b8b12e,0,0,,,,,,,,,,,,,,,,0
P420fe29f13,0,0,,,,,,,,,,,,,,,,0
P6358a22feb,0,0,,,,,,,,,,,,,,,,0
Pcac223d7f8,0,0,,,,,,,,,,,,,,,,0
P5fd682a91b,0,0,,,,,,,,,,,,,,,,0
Pba3d18fabf,0,0,,,,,,,,,,,,,,,,0
P2cac6d11e4,0,0,,,,,,,,,,,,,,,,0
P7dfb5a7395,0,0,,,,,,,,,,,,,,,,0
P73cc673745,0,0,,,,,,,,,,,,,,,,0
P95ea622240,0,0,,,,,,,,,,,,,,,,0
Pf0bc046ece,1,2,4,0.547711,0.243446,0,0.631534,-0.76954,-0.514085,0.350455,-0.565601,1.51045,1.30867,0.232362,-1.0019,0.711574,6,0
P163e85d6f0,0,0,,,,,,,,,,,,,,,,0
P705a98169f,0,0,,,,,,,,,,,,,,,,0
P35bbbcf03e,0,0,,,,,,,,,,,,,,,,0
P1ee493f763,0,0,,,,,,,,,,,,,,,,0
Pc0a7512363,0,0,,,,,,,,,,,,,,,,0
Pcdc707f847,0,0,,,,,,,,,,,,,,,,0
P10d6b2ba68,0,0,,,,,,,,,,,,,,,,0
P1223e5ee2c,0,0,,,,,,,,,,,,,,,,0
P8bea6ece5d,0,0,,,,,,,,,,,,,,,,0
Paec8fae19e,0,0,,,,,,,,,,,,,,,,0
P5a43e18763,0,0,,,,,,,,,,,,,,,,0
P122cdb8b56,0,0,,,,,,,,,,,,,,,,0
Pd3b81c81b9,1,1,3,-0.0894383,-0.0894383,0,-0.914864,0.385614,-0.972888,-0.480777,2.8654,-0.673898,-0.914864,0.385614,,0.645,3,0
P8df71877a2,0,0,,,,,,,,,,,,,,,,0
P5aa610b7ff,0,0,,,,,,,,,,,,,,,,0
P3fe5b0aa24,0,0,,,,,,,,,,,,,,,,0
Pfaef4e4fa0,0,0,,,,,,,,,,,,,,,,0
Pbced5f5600,0,0,,,,,,,,,,,,,,,,0
Pb8664aec2d,0,0,,,,,,,,,,,,,,,,0
Pac86c1698b,0,0,,,,,,,,,,,,,,,,0
Pf135ac542c,0,0,,,,,,,,,,,,,,,,0
Pbe8ddcfedd,0,0,,,,,,,,,,,,,,,,0
P6354170b78,0,0,,,,,,,,,,,,,,,,0
Pb57f8a063b,0,0,,,,,,,,,,,,,,,,0
Pe000f38dce,0,0,,,,,,,,,,,,,,,,0
Pe10b161d55,0,0,,,,,,,,,,,,,,,,0
P280da25d92,0,0,,,,,,,,,,,,,,,,0
P518109d62a,0,0,,,,,,,,,,,,,,,,0
P42302cf51e,1,1,4,0.819208,0.819208,0,-0.589994,-0.653912,0.428313,-0.352274,1.12558,-0.86237,-0.589994,-0.653912,,0.340952,1,0
P9f172daeb6,0,0,,,,,,,,,,,,,,,,0
P70f8b46029,0,0,,,,,,,,,,,,,,,,0
P1f842c307e,0,0,,,,,,,,,,,,,,,,0
Pa34ab286f7,0,0,,,,,,,,,,,,,,,,0
P334022cd7d,0,0,,,,,,,,,,,,,,,,0
P097ac7e3e1,0,0,,,,,,,,,,,,,,,,0
P55d017c927,0,0,,,,,,,,,,,,,,,,0
P42b9d239c3,0,0,,,,,,,,,,,,,,,,0
Pcaa6f4e965,0,0,,,,,,,,,,,,,,,,0
Pae17b87a4a,1,1,3,-0.121729,-0.121729,0,-0.272907,1.3498,0.868616,-0.93758,2.08047,-1.11142,-0.272907,1.3498,,0.357917,1,0
Pd4282e2cb6,1,1,3,-0.0297092,-0.0297092,0,-0.232917,0.174883,-0.533385,1.64782,-0.590685,-0.189241,-0.232917,0.174883,,0.473833,1,0
