pid,tc_season_final,tc_match_rule,tc_match_tv_agrees,tc_age_bucket,tc_age_at_season,tc_age_imputed,tc_age_cohort_n,tc_pct_age_bpm,tc_pct_age_obpm,tc_pct_age_dbpm,tc_pct_age_usg,tc_pct_age_ts,tc_pct_age_ast,tc_pct_age_stl,tc_pct_age_blk,tc_pct_age_orb,tc_pct_age_drb,tc_pct_age_porpag,tc_resid_age_bpm,tc_z_age_bpm,tc_resid_age_obpm,tc_z_age_obpm,tc_resid_age_dbpm,tc_z_age_dbpm,tc_resid_age_usg,tc_z_age_usg,tc_resid_age_ts,tc_z_age_ts,tc_resid_age_ast,tc_z_age_ast,tc_resid_age_stl,tc_z_age_stl,tc_resid_age_blk,tc_z_age_blk,tc_resid_age_orb,tc_z_age_orb,tc_resid_age_drb,tc_z_age_drb,tc_resid_age_porpag,tc_z_age_porpag,tc_tm_bpm_mw,tc_tm_usg_mw,tc_tm_bpm_max,tc_tm_top2_bpm_mean,tc_tm_recrank_best,tc_tm_n_top100_recruits,tc_bpm_share,tc_usg_share,tc_pts_share,tc_ast_share,tc_porpag_share,tc_team_talent_hhi,tc_team_bpm_sum,tc_team_adjoe_mean,tc_team_adrtg_mean,tc_team_n_players,tc_conf_strength_prior,tc_conf_strength_same,tc_team_games,tc_team_wins,tc_team_losses,tc_team_win_pct,tc_team_barthag,tc_team_barthag_rank,tc_team_opp_barthag_mean,tc_team_neutral_share,tc_ncaa_games,tc_ncaa_wins,tc_final_four,tc_champion,tc_conf_tourn_games,tc_conf_tourn_wins,tc_ncaa_made,tc_ncaa_wins_expected,tc_ncaa_wins_resid,tc_gp_share_final,tc_gp_share_career,tc_gp_share_min,tc_n_seasons,tc_seasons_span,tc_missing_season,tc_missing_season_same_school,tc_team_games_final,tc_slope_bpm,tc_slope_usg,tc_slope_ts,tc_slope_ast,tc_slope_stl,tc_slope_blk,tc_slope_minper,tc_bpm_accel,tc_first_bpm,tc_first_age,tc_first_min_per,tc_first_usg,tc_bpm_first_to_last,tc_freshman_bpm_age_z,tc_ft_shrunk,tc_ft_shrunk_n,tc_3p_shrunk,tc_3p_shrunk_n,tc_ft_minus_3p,tc_dunks_per40,tc_dunk_att_per40,tc_dunk_pct,tc_tpa_per100,tc_rim_att_per40,tc_pts_per40,tc_pts40_resid_usg_ts,tc_ts_resid_usg
P03328260f7,2025,2,1,21,21.9329,0,578,0.976644,0.976644,0.903979,0.858997,0.758651,0.974913,0.983564,0.154844,0.206747,0.25173,0.987024,7.56339,2.07171,4.69097,1.85625,2.87242,1.28764,5.12809,1.11486,4.67939,0.834039,17.5423,2.30345,2.11347,2.64126,-1.49652,-0.69694,-3.32715,-0.926718,-4.01298,-0.83064,2.93578,2.20892,4.66375,18.6082,9.17456,7.60873,33,1,0.264702,0.217387,0.202767,0.407406,0.211211,0.177672,26.6382,117.755,95.6218,15,16.5958,14.8013,35,27,8,0.771429,0.915138,25,0.697772,0.2,1,0,0,0,3,2,1,1.04096,-1.04096,0.971429,0.985612,0.971429,4,4,0,0,35,1.7983,2.07949,2.53958,4.15873,0.45737,-0.0455393,4.64194,-4.16106,3.02045,18.9322,77.3,15.4,5.34711,0.932588,0.775639,402,0.349168,585,0.426471,0.0337866,0.0675733,0.5,9.38124,3.48002,18.8192,-1.44891,4.08675
P03938af6ae,2019,2,1,20,20.5749,0,470,0.779787,0.943617,0.35,0.82234,0.48617,0.97766,0.965957,0.0787234,0.27766,0.0138298,0.881915,2.70185,0.732024,3.73682,1.43673,-1.03496,-0.459775,4.33672,0.953207,0.501182,0.0895299,17.3997,2.24487,1.38034,1.69812,-1.67481,-0.760261,-3.08099,-0.847982,-7.13952,-1.48771,1.49358,1.11017,5.00013,19.0262,8.69199,7.71725,29,4,0.096332,0.183574,0.15449,0.367433,0.138195,0.155776,24.5319,116.272,96.7484,13,18.8893,19.9926,34,23,11,0.676471,0.905307,23,0.726156,0.205882,1,0,0,0,2,1,1,1.11763,-1.11763,1,0.95098,0.916667,3,3,0,0,34,0.880097,0.505128,0.925029,1.91709,0.210759,-0.213503,8.68748,2.12522,2.11866,18.5763,57.4,25.2,1.0497,0.74186,0.686544,210,0.343159,554,0.343385,0.0782779,0.0782779,1,12.7123,3.0137,15.8905,-2.12319,-0.623336
P03a04d0174,2020,2,1,20,20.3943,0,474,0.766878,0.587553,0.866034,0.723629,0.412447,0.457806,0.841772,0.795359,0.577004,0.503165,0.633966,2.79743,0.761277,0.385593,0.149772,2.41184,1.0736,2.19942,0.480731,-1.20814,-0.215652,-3.31069,-0.429753,0.694575,0.862796,0.827663,0.378127,-0.588909,-0.162584,0.02474,0.00512687,0.35153,0.262236,2.89377,19.4158,5.72264,4.91514,3,5,0.153788,0.171745,0.172199,0.120602,0.102863,0.165932,15.8213,103.319,92.276,17,11.0672,15.078,32,15,17,0.46875,0.847574,48,0.677053,0.15625,,,,,1,0,,,,1,1,1,3,3,0,0,32,1.44973,1.67901,-0.677603,1.83095,0.0078591,0.0800905,16.3841,4.30631,0.650068,18.3956,35.2,19,2.51987,0.37843,0.634612,229,0.345171,238,0.289442,0.929293,0.929293,1,7.05343,4.16162,15.7171,-0.0474024,-1.39903
P03ad9770c3,2020,2,1,22,22.2916,0,516,0.750969,0.824612,0.524225,0.573643,0.695736,0.300388,0.0397287,0.539729,0.797481,0.745155,0.873062,2.14066,0.582547,2.05873,0.79965,0.0819361,0.0364729,1.11538,0.243792,2.25461,0.402447,-4.65479,-0.604228,-1.17807,-1.46339,-0.735987,-0.336244,2.48253,0.685367,3.43888,0.712638,1.55052,1.15667,2.99594,19.3969,6.21937,6.10452,123,0,0.136282,0.165105,0.182154,0.10554,0.211421,0.165641,16.8479,104.643,92.6924,14,21.945,19.7672,32,18,14,0.5625,0.827751,62,0.734499,0.125,,,,,1,1,,,,1,0.992424,0.96875,4,4,0,0,32,0.0786305,2.29503,-0.346819,1.36078,-0.221641,-0.167155,11.2587,1.88364,3.52297,19.2936,38,14.6,-0.47787,1.00845,0.798539,430,0.31785,299,0.48069,0.99482,1.07772,0.9231,5.52905,4.7254,16.3316,-0.100704,2.96086
P03f35a2855,2026,3,1,22,22.2861,0,631,0.954834,0.996038,0.633122,0.889065,0.821712,0.90412,0.743265,0.412837,0.0419968,0.155309,0.997623,6.49315,1.77421,5.94559,2.35781,0.547549,0.244811,5.68121,1.2339,6.62854,1.18042,11.1941,1.47312,0.411816,0.513871,-0.909381,-0.424841,-4.14041,-1.15484,-4.80776,-0.996302,4.38705,3.31084,5.29083,18.1763,8.45734,8.44784,79,1,0.241604,0.249542,0.266135,0.293694,0.264409,0.148496,28.6339,124.79,99.4217,12,22.7693,24.4811,37,24,13,0.648649,0.918088,26,0.718255,0.243243,4,3,0,0,2,1,1,1.00482,1.99518,1,1,1,2,2,0,0,37,0.183242,0.897292,0.82989,-3.63573,-0.476974,-0.0708961,2.23035,,8.31243,21.2868,98.8,26.1,-0.95389,2.10452,0.81369,339,0.358679,411,0.455011,0.315186,0.34384,0.9167,11.7454,3.98281,21.0315,-0.725046,5.25785
P04282e0cbf,2020,3,1,20,20.3149,0,474,0.897679,0.89557,0.806962,0.345992,0.736287,0.235232,0.659283,0.861814,0.822785,0.658228,0.844937,4.7449,1.28799,2.97129,1.14736,1.7736,0.788253,-2.18797,-0.479507,3.30861,0.589233,-6.3336,-0.819529,0.0885556,0.109532,1.62253,0.737758,3.08313,0.849759,2.20134,0.456793,1.26814,0.943727,2.95789,20.1903,7.17338,6.8274,29,3,0.233046,0.148339,0.154725,0.0975604,0.137473,0.231288,18.0277,110.256,97.8268,15,19.9926,15.4468,31,20,11,0.645161,0.856666,44,0.659788,0.16129,,,,,0,0,,,,1,1,1,2,2,0,0,31,1.18711,1.39047,2.88323,0.986783,0.114618,0.087911,23.8466,,4.03787,19.3155,43.6,16.8,1.05541,1.13978,0.62949,128,0.34369,114,0.2858,1.13392,1.25122,0.9063,4.031,3.63636,13.7634,0.104632,3.44683
P04526b8576,2020,3,1,20,20.7693,0,474,0.977848,0.990506,0.75,0.709916,0.922996,0.657173,0.301688,0.561181,0.577004,0.35654,0.992616,6.76164,1.83543,5.44237,2.10156,1.31927,0.586329,1.88513,0.413139,7.44904,1.32661,0.946691,0.122496,-0.5091,-0.629694,-0.687227,-0.31248,-0.669237,-0.184452,-1.57385,-0.326584,3.52453,2.62289,4.3694,19.3195,6.92052,6.28052,16,7,0.250109,0.187948,0.219921,0.164812,0.258012,0.185168,24.6382,113.215,92.5233,12,14.2248,19.9038,31,24,7,0.774194,0.904665,25,0.737045,0.129032,,,,,0,0,,,,1,1,1,2,2,0,0,31,1.5862,4.69047,2.57323,4.08678,-0.185382,-0.162089,10.0966,,5.4426,19.77,73,14.4,1.85358,1.45384,0.719194,136,0.38664,306,0.332554,0.685062,0.799239,0.8571,9.89197,3.9962,18.9915,1.07759,7.5176
P04a83dcaaf,2025,2,1,22,22.7077,0,583,0.829331,0.716123,0.848199,0.80446,0.395369,0.954545,0.91681,0.601201,0.330189,0.746141,0.686964,2.98297,0.817073,0.873727,0.34574,2.10925,0.945528,4.01831,0.873588,-0.655531,-0.11684,15.5957,2.04784,1.3293,1.66126,-0.327162,-0.152361,-2.68248,-0.747155,2.66554,0.551736,0.503456,0.378807,2.00393,18.7258,5.29325,5.236,103,0,0.231279,0.203586,0.159763,0.348811,0.126348,0.200415,13.8083,113.456,104.418,15,6.34214,4.84537,29,21,8,0.724138,0.739525,86,0.441433,0.206897,1,0,0,0,2,2,1,0.35751,-0.35751,1,0.974576,0.9,4,4,0,0,29,1.01719,2.03951,0.776319,3.50686,-0.0112098,-0.0295803,10.181,-2.19857,1.59167,19.707,45.4,16.2,2.31611,0.431862,0.687747,370,0.319839,343,0.367908,0,0.0422164,0,6.48436,5.53035,15.9156,-2.25965,-1.05021
P051c4d4903,2020,2,1,20,20.6407,0,474,0.75,0.387131,0.935654,0.225738,0.028481,0.828059,0.841772,0.445148,0.697257,0.527426,0.241561,2.5758,0.699193,-0.781746,-0.301869,3.35755,1.49221,-3.97893,-0.872008,-10.5262,-1.87462,6.34953,0.82159,0.689978,0.853418,-0.984392,-0.4476,0.645689,0.177962,0.275144,0.0570943,-0.957251,-0.712368,4.48772,20.2335,9.26857,8.40769,151,0,0.0878073,0.10179,0.0719014,0.200943,0.0350776,0.144234,21.7276,107.77,90.3546,13,21.2252,20.5356,31,16,15,0.516129,0.913635,19,0.750946,0.0967742,,,,,0,0,,,,1,1,1,3,3,0,0,31,0.390942,-0.0581452,-1.7555,2.80351,0.0332286,-0.139151,11.195,-7.49153,2.61977,18.642,31.4,18.8,0.44097,0.866519,0.579873,181,0.319936,16,0.259937,0.30303,0.30303,1,0.234859,2.92929,7.67672,-1.20281,-10.0418
P05848850fc,2010,2,1,22,22.2533,1,731,0.654583,0.610807,0.643639,0.9829,0.185363,0.937073,0.669631,0.643639,0.368673,0.311902,0.865253,1.28361,0.339597,0.711576,0.26515,0.572031,0.254359,10.1999,2.27298,-5.17212,-0.920152,14.1577,1.82932,0.311321,0.370335,-0.143807,-0.06533,-2.43802,-0.670002,-3.21584,-0.679184,1.44971,1.04538,3.50557,17.6649,6.29143,6.03988,12,6,0.114455,0.259923,0.246219,0.312367,0.214335,0.227284,17.2843,105.345,91.9886,13,21.2788,19.7608,34,18,16,0.529412,0.869813,50,0.728506,0.0882353,0,0,0,0,1,0,0,,,1,0.796117,0.666667,3,3,0,0,34,-0.509918,2.74484,-1.25174,4.86766,-0.435829,-0.124451,14.4987,-9.05457,5.01873,20.2519,48.6,24.5,-2.66523,1.25987,0.739688,440,0.321009,289,0.418678,0.350263,0.385289,0.9091,6.94517,5.18389,20.5254,-0.493787,-5.23361
P05c9e8e43e,2008,2,,20,20.2519,1,455,0.256044,0.398901,0.152747,0.676923,0.189011,0.926374,0.0461538,0.21978,0.146154,0.457143,0.506593,-2.40001,-0.641279,-0.447319,-0.168393,-1.9527,-0.873306,1.65676,0.369722,-3.94244,-0.703635,13.3706,1.71621,-1.17621,-1.41951,-1.49413,-0.680721,-3.56727,-0.973745,-1.45851,-0.306944,-0.0266536,-0.0194471,0.893259,19.405,6.19096,4.41953,211,0,0,0.16599,0.14853,0.297158,0.118119,0.436566,7.97839,98.1266,100.45,14,,13.2346,31,11,20,0.354839,0.548699,147,0.614228,0.129032,0,0,0,0,1,0,0,,,1,1,1,1,1,0,0,31,,,,,,,,,-2.05228,20.2519,75.6,21.7,0,-0.641279,0.835405,81,0.314772,122,0.520633,,,,8.1884,,12.1008,-1.8777,-4.96389
P05f9ca4653,2021,3,1,23,23.5921,0,207,0.987923,0.987923,0.891304,0.688406,0.97343,0.688406,0.94686,0.804348,0.381643,0.5,0.992754,8.45183,2.30003,5.82279,2.26169,2.62904,1.17029,1.93867,0.423739,11.5516,2.06197,1.79897,0.233521,1.47269,1.82937,0.831898,0.380062,-2.75024,-0.759276,0.191655,0.0397166,3.60056,2.68596,3.50088,19.2466,6.78584,6.75706,14,5,0.308075,0.180109,0.212208,0.176166,0.209878,0.198327,23.9652,114.612,94.9587,16,15.078,18.8572,28,21,7,0.75,0.879951,33,0.749466,0.214286,2,1,0,0,2,1,1,0.846654,0.153346,0.928571,0.915254,0.903226,2,2,0,0,28,2.25886,0.817438,7.06517,3.20736,-0.0302457,0.342874,10.9241,,6.14926,22.59,66.2,22.7,3.18544,1.42033,0.786838,157,0.360152,284,0.426686,0.632055,0.677201,0.9333,9.56741,4.06321,20.0903,0.470072,12.0437
P06e60a886f,2009,4,,22,22.2533,1,622,0.833601,0.238746,0.987942,0.369775,0.2291,0.261254,0.149518,0.995177,0.898714,0.935691,0.391479,3.72204,0.987658,-1.71833,-0.640212,5.44036,2.41391,-1.90169,-0.423812,-4.24271,-0.752735,-5.68759,-0.735294,-0.898743,-1.05532,8.92744,4.04741,4.4568,1.23621,8.0586,1.70024,-0.494952,-0.356643,3.58461,20.011,7.72344,6.69747,16,3,0.150578,0.117454,0.103554,0.0775019,0.0815233,0.204181,20.5383,108.764,94.1748,12,16.8602,15.6292,35,27,8,0.771429,0.8827,35,0.607357,0.0857143,2,1,0,0,2,1,1,,,1,0.907692,0.8,2,2,0,0,35,0.991382,0.0205882,-4.31961,2.28431,-0.0323529,1.04412,5.66569,,4.4356,21.2512,59.1,20,0.50277,0.984619,0.776908,126,0.326642,53,0.450266,,,,0.332204,,12.2764,0.398377,-2.77677
P07046a9145,2021,2,,22,22.6338,0,509,0.875246,0.965619,0.468566,0.0579568,0.993124,0.103143,0.499018,0.363458,0.409627,0.0530452,0.959725,4.343,1.18188,4.5945,1.7846,-0.251501,-0.111952,-7.23403,-1.58116,14.6845,2.62119,-7.73505,-1.00407,-0.0674776,-0.0838201,-1.1606,-0.530231,-2.76965,-0.764634,-6.66434,-1.38105,2.63257,1.96386,2.08469,21.1456,6.31795,6.20831,426,0,0.30804,0.11559,0.165228,0.0743119,0.210248,0.280631,14.7317,113.602,101.58,12,6.0522,7.66622,30,21,9,0.7,0.764147,80,0.506801,0.166667,0,0,0,0,2,1,0,,,1,0.928,0.78125,4,5,1,0,30,1.79733,0.669231,5.334,-0.570558,0.0557928,0.0768538,15.4404,1.89552,-3.12857,18.6338,16.3,14.1,8.40388,-0.692307,0.71938,101,0.393763,505,0.325617,0.267943,0.267943,1,11.902,1.07177,15.3876,1.89223,15.0625
