pid,draft_year,actual_pick,reason,n_name_candidates
P099a8d0c1c,2005,1.0,no_d1_season_match,0
P0a4d4ad000,2005,,no_d1_season_match,0
P0ad0c7ed95,2005,,no_d1_season_match,0
P11475d8eed,2005,44.0,no_d1_season_match,0
P1259ebdf13,2005,,no_d1_season_match,0
P1378011126,2005,53.0,no_d1_season_match,0
P13a7a5112c,2005,31.0,no_d1_season_match,0
P16dd82b034,2005,,no_d1_season_match,0
P17786d3599,2005,26.0,no_d1_season_match,0
P19de9513b3,2005,34.0,no_d1_season_match,0
P1dfb3826fd,2005,56.0,no_d1_season_match,1
P21b2b49a34,2005,,no_d1_season_match,0
P26b57d2aae,2005,,no_d1_season_match,0
P2b78092e41,2005,54.0,no_d1_season_match,0
P2f15d5867f,2005,12.0,no_d1_season_match,0
P311b5f6b41,2005,23.0,no_d1_season_match,0
P32b8c3a5cb,2005,,no_d1_season_match,0
P3470a61a00,2005,2.0,no_d1_season_match,2
P38dadf836a,2005,57.0,no_d1_season_match,0
P3914f363fb,2005,,no_d1_season_match,0
P3928bad8a7,2005,,no_d1_season_match,1
P3e3a854ff5,2005,28.0,no_d1_season_match,0
P403a83bdf0,2005,,no_d1_season_match,0
P42d0d6de9a,2005,8.0,no_d1_season_match,0
P43e7adb565,2005,47.0,no_d1_season_match,0
P471bec0288,2005,17.0,no_d1_season_match,0
P485a20a47a,2005,,no_d1_season_match,0
P4abddfb1a4,2005,,no_d1_season_match,0
P5104e01e75,2005,,no_d1_season_match,0
P55b27de869,2005,,no_d1_season_match,0
P572a4194e6,2005,7.0,no_d1_season_match,0
P5840594df8,2005,,no_d1_season_match,0
P5afd5b991d,2005,3.0,no_d1_season_match,0
P5b1d935a26,2005,,no_d1_season_match,0
P5e4491e5c3,2005,4.0,no_d1_season_match,0
P5ea12f1777,2005,25.0,no_d1_season_match,0
P63a21fbef6,2005,49.0,no_d1_season_match,0
P690d8b352a,2005,33.0,no_d1_season_match,0
P6b0e9b0b2a,2005,43.0,no_d1_season_match,0
P6c71d953b6,2005,,no_d1_season_match,0
P6f59c256f3,2005,24.0,no_d1_season_match,0
P74b71b0d31,2005,50.0,no_d1_season_match,1
P74b9613d69,2005,40.0,no_d1_season_match,0
P7f2c8eb929,2005,,no_d1_season_match,0
P81f3558def,2005,18.0,no_d1_season_match,0
P83f12f36b1,2005,51.0,no_d1_season_match,0
P83f985b4bd,2005,39.0,no_d1_season_match,0
P8a3b7b6860,2005,13.0,no_d1_season_match,0
P8b388e1924,2005,,no_d1_season_match,0
P8c537f5a4d,2005,29.0,no_d1_season_match,0
P927dcf71a8,2005,,no_d1_season_match,0
P959d20dcac,2005,20.0,no_d1_season_match,0
P9cbbbfe0cc,2005,21.0,no_d1_season_match,1
P9f246cdbe1,2005,14.0,no_d1_season_match,0
Pa09c3091c5,2005,,no_d1_season_match,0
Pa4dad52ff4,2005,22.0,no_d1_season_match,0
Pa68189cdce,2005,,no_d1_season_match,1
Pb5af3844f5,2005,60.0,no_d1_season_match,0
Pb87f242f46,2005,,no_d1_season_match,0
Pb945050559,2005,,no_d1_season_match,0
Pbb4d6101de,2005,55.0,no_d1_season_match,0
Pbd8640195d,2005,,no_d1_season_match,0
Pbe0a02c2fd,2005,,no_d1_season_match,0
Pc047806c80,2005,5.0,no_d1_season_match,0
Pc067530e3e,2005,,no_d1_season_match,0
Pc1044ed1f5,2005,,no_d1_season_match,0
Pc295aab61a,2005,16.0,no_d1_season_match,0
Pc378586c43,2005,,no_d1_season_match,0
Pc6a39f466a,2005,36.0,no_d1_season_match,0
Pcb4360a784,2005,9.0,no_d1_season_match,0
Pce1d0d3699,2005,41.0,no_d1_season_match,0
Pd11ab06c36,2005,27.0,no_d1_season_match,0
Pd382320a3c,2005,37.0,no_d1_season_match,0
Pd650e439a2,2005,,no_d1_season_match,0
Pd7ea309dee,2005,,no_d1_season_match,0
Pdacd6ab94d,2005,48.0,no_d1_season_match,0
