pid,draft_year,source_id,publisher,mock_rank,listed_count,source_url,archive_url,source_last_updated_date,capture_utc,draft_date,rank_facts_sha256,table_sha256,match_method
Pea73008ab4,2015,dx_2015,dx,42,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P0ba0d4e186,2015,dx_2015,dx,43,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P5849f19551,2015,dx_2015,dx,44,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P944090784f,2015,dx_2015,dx,45,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P84b2e1b413,2015,dx_2015,dx,46,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pe7f5f31a46,2015,dx_2015,dx,47,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pcfe0d93659,2015,dx_2015,dx,48,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P831df49905,2015,dx_2015,dx,50,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P9e418f4c91,2015,dx_2015,dx,53,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P2c58b86e78,2015,dx_2015,dx,54,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
Pb88d2f0541,2015,dx_2015,dx,55,60,http://www.draftexpress.com/nba-mock-draft/2015/,https://web.archive.org/web/20150623175013id_/http://www.draftexpress.com/nba-mock-draft/2015/,2015-06-22,2015-06-23T17:50:13+00:00,2015-06-25,0a231e0576e7415e261451b526226f75e1762e60fb2fce1d95fe4310b3fde642,2ecc74d1bc6cda1ec60e9d905b7d9e28369b1bd84a9ac693a1b969eeba1032ea,unique_exact_normalized_same_cohort_name
P0fde3dedb2,2016,dx_2016,dx,1,60,http://www.draftexpress.com:80/nba-mock-draft/2016,https://web.archive.org/web/20160621174050id_/http://www.draftexpress.com:80/nba-mock-draft/2016,2016-06-20,2016-06-21T17:40:50+00:00,2016-06-23,7cac22b511960927eb7bc99943a21c9789330c74f568982b18d502a5a967323c,4f0e63d057af268b94646df373faabc42baef97cf554c55c6593e2e28fc79522,unique_exact_normalized_same_cohort_name
