pid,draft_year,vcons_dx_rank,vcons_nbadraft_rank,vcons_walter_serious_rank
P6ddd309f80,2025,,24.0,
P6e67770ba5,2026,,51.0,
P6e7d02b021,2017,2.0,2.0,
P6f1d3c64d2,2019,,,11.0
P6f43cf2ee3,2017,5.0,5.0,
P6f92e02de4,2016,17.0,12.0,
P6f990ff013,2018,,,9.0
P7070c905f3,2024,,40.0,
P7075ac01b8,2023,,56.0,
P70fa3dc827,2022,,35.0,
P71399e9935,2021,,59.0,
P714602a9aa,2019,,17.0,
P716f6175e4,2020,,43.0,
P71b16faf7a,2017,12.0,12.0,
P71f8c1b48d,2023,,22.0,
P7200ebcdd8,2023,,39.0,
P721d8fa8f9,2021,,8.0,
P7235c3ea4e,2026,,10.0,
P74240d498b,2024,,19.0,
P74d19df6a2,2017,37.0,,
P75527a2d8c,2025,,57.0,
P7589e6b4d5,2023,,48.0,
P75b2e5cfed,2018,,24.0,
P7699b7f669,2020,,8.0,
P76ebdc8d77,2022,,58.0,
P76f8234113,2022,,48.0,
P79aaab38df,2026,,58.0,
P7a95b991f4,2024,,10.0,
P7ba2fa977b,2025,,14.0,
P7bf5b1ca03,2023,,7.0,
P7c5888ec9d,2019,,38.0,
P7c5fe0ebd3,2026,,24.0,
P7d4b1d6e8f,2022,,8.0,
P7d77f683c0,2015,9.0,15.0,
P7dcdc4ccdd,2021,,5.0,
P7ff4af5e7c,2019,,48.0,
P80eaeaa85d,2020,,46.0,
P81fe4dcd33,2026,,12.0,
P8209ad6040,2019,,25.0,12.0
P82bbff96e6,2018,,32.0,
P82dc635a40,2021,,29.0,
P82e84aa110,2024,,44.0,
P831df49905,2015,50.0,32.0,
P83cf60968a,2016,39.0,53.0,
P83f630794b,2015,41.0,46.0,
P842bafbfda,2020,,24.0,
P846172a369,2019,,4.0,5.0
P84b2e1b413,2015,46.0,37.0,
P84e9dcbb3e,2024,,55.0,
P84f7cbd5a8,2026,,57.0,
P854a3a23a2,2021,,12.0,
P85b94bf602,2016,,57.0,
P85fbcb1dce,2016,42.0,33.0,
P86042c98c9,2026,,6.0,
P865ed42223,2026,,2.0,
P866e6f90bf,2020,,38.0,
P86df290cda,2022,,5.0,
P86ef73625c,2017,57.0,45.0,
P87ada0d006,2021,,21.0,
P87be528da0,2020,,28.0,
P88064c1c05,2016,22.0,18.0,
P884e8ee6b6,2025,,22.0,
P88f4dbf943,2016,9.0,9.0,
P8935abbbb4,2016,46.0,,
P89e5a35bc7,2023,,30.0,
P8a2034c01d,2017,3.0,6.0,
P8a2a3c7c07,2016,8.0,10.0,
P8c8d5105c2,2022,,22.0,
P8cc9424d6a,2024,,42.0,
P8d0ea24592,2026,,48.0,
P8d6369038a,2015,19.0,21.0,
P8db9055dd7,2026,,1.0,
P8df31bfe17,2019,,24.0,
P8e900c2247,2016,45.0,58.0,
P8ecb19c544,2018,,57.0,
P8eec131338,2018,,26.0,
P90932c4b0a,2021,,54.0,
P90a39c14ab,2019,,41.0,
P90a7395cb0,2020,,14.0,11.0
P90b2305671,2021,,27.0,
P9106a597f3,2018,,28.0,
P9155961dd2,2016,3.0,5.0,
P9180c4596b,2023,,11.0,
P919e355315,2022,,7.0,
P9260f65add,2016,55.0,,
P9264b6e63a,2016,10.0,16.0,
P9345155d6a,2022,,38.0,
P944090784f,2015,45.0,49.0,
P946b6a7bec,2018,,10.0,10.0
P94d904f95a,2015,20.0,16.0,
P9540818d9f,2019,,13.0,13.0
P964dd1e5f4,2017,36.0,47.0,
P9668122fb9,2016,16.0,14.0,
P96bc00aaed,2022,,41.0,
P97df826a61,2022,,33.0,
P999bb1cbab,2026,,29.0,
P9a02cf437c,2015,18.0,18.0,
P9a144a10c5,2023,,20.0,
P9a9f9fa8f1,2026,,21.0,
P9ac54b5d6d,2026,,9.0,
P9aef7770b8,2023,,38.0,
P9b0b27ae5d,2015,11.0,,
P9b3e496395,2019,,44.0,
P9b4a07a3b9,2025,,27.0,
P9b886526e3,2023,,43.0,
P9badd97dfe,2021,,30.0,
P9c2d575f48,2016,34.0,43.0,
P9cddcdc1ad,2020,,49.0,
P9d178fdf5d,2017,46.0,50.0,
P9d5ce33ec0,2020,,37.0,
P9d848af991,2022,,18.0,
P9e418f4c91,2015,53.0,57.0,
P9e82692a6d,2021,,14.0,
P9f04775c7a,2024,,13.0,
P9f769e6678,2018,,31.0,
P9fc884bebd,2024,,53.0,
P9fd480084b,2021,,32.0,
Pa067c50f94,2022,,42.0,
Pa06f6a14b5,2022,,49.0,
Pa0882490f6,2021,,18.0,
Pa08fe4841f,2018,,37.0,
Pa090759337,2021,,7.0,
Pa129b1725d,2018,,55.0,
Pa12a517258,2023,,55.0,
Pa245962e52,2024,,7.0,
Pa24dadc449,2015,34.0,36.0,
