pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
Pa76a1ce248,2017,55.0,54,2.0,2
Pa79b34cca8,2017,28.0,27,2.0,2
Pba3a4faeb9,2017,60.0,60,,1
Pc32fe4a167,2017,44.5,41,7.0,2
Pc4f84bc197,2017,29.0,24,10.0,2
Pcc7ddb9ab9,2017,19.5,19,1.0,2
Pd59c0506ca,2017,39.0,39,,1
Pd808e1b5f8,2017,28.5,21,15.0,2
Pdb3bcb3fc8,2017,12.5,11,3.0,2
Pdb78b3595b,2017,39.5,37,5.0,2
Pe3864f9800,2017,5.0,4,2.0,2
Pe56ae9c7aa,2017,3.5,3,1.0,2
Pe5fb05fea3,2017,35.5,25,21.0,2
Pe6fe5c747b,2017,10.0,10,0.0,2
Pea59b43adb,2017,52.0,52,,1
Pf18fe42b62,2017,17.5,17,1.0,2
Pf62abcdcde,2017,9.0,7,4.0,2
Pf781dda14b,2017,25.0,21,8.0,2
Pfaef4e4fa0,2017,60.0,60,,1
P15b5ca7021,2018,44.0,44,,1
P17f11f33c2,2018,5.0,5,,1
P1a46c41bff,2018,49.0,49,,1
P1f3e01b488,2018,13.0,13,,1
P212def8838,2018,43.0,43,,1
P26d2a90c5b,2018,19.0,19,,1
P27d264f43c,2018,39.0,39,,1
P379ec45447,2018,47.0,47,,1
P3e065b4b4e,2018,46.0,46,,1
P3f77f707c0,2018,42.0,42,,1
P42b9d239c3,2018,2.0,2,,1
P4467431c36,2018,11.0,11,0.0,2
P4d03279429,2018,22.0,22,,1
P4ebe015218,2018,58.0,58,,1
P50c2524b85,2018,12.0,12,,1
P55d017c927,2018,1.0,1,0.0,2
P57ab80ef44,2018,14.5,14,1.0,2
P58e5b2eaa8,2018,18.0,18,,1
P5da3d9ffcd,2018,30.0,30,,1
P5ff9cbca0f,2018,50.0,50,,1
P61add2364f,2018,40.0,40,,1
P6786e0dd88,2018,41.0,41,,1
P67e5a8f825,2018,56.0,56,,1
P688b157768,2018,21.0,21,,1
P6ab3598ab0,2018,16.0,16,,1
P6f990ff013,2018,9.0,9,,1
P75b2e5cfed,2018,24.0,24,,1
P82bbff96e6,2018,32.0,32,,1
P8ecb19c544,2018,57.0,57,,1
P8eec131338,2018,26.0,26,,1
P9106a597f3,2018,28.0,28,,1
P946b6a7bec,2018,10.0,10,0.0,2
P9f769e6678,2018,31.0,31,,1
Pa08fe4841f,2018,37.0,37,,1
Pa129b1725d,2018,55.0,55,,1
Paa92a86ff3,2018,33.0,33,,1
Pae17b87a4a,2018,4.0,4,,1
Pbb5225b691,2018,52.0,52,,1
Pbe6b6d05a9,2018,25.0,25,,1
Pcaa6f4e965,2018,4.5,4,1.0,2
Pd064221ae2,2018,23.0,23,,1
Pd4282e2cb6,2018,4.5,3,3.0,2
Pdb9cad4004,2018,38.0,38,,1
Pe581c6d22f,2018,54.0,54,,1
Peb77360d78,2018,7.5,7,1.0,2
Pefc5241948,2018,34.0,34,,1
Pf271325d7b,2018,35.0,35,,1
Pf507011aa5,2018,27.0,27,,1
Pf5ec6d144b,2018,29.0,29,,1
