pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
P63236d3a70,2020,34.0,34,,1
P69f4c7679c,2020,44.0,44,,1
P716f6175e4,2020,43.0,43,,1
P7699b7f669,2020,8.0,8,,1
P80eaeaa85d,2020,46.0,46,,1
P842bafbfda,2020,24.0,24,,1
P866e6f90bf,2020,38.0,38,,1
P87be528da0,2020,28.0,28,,1
P90a7395cb0,2020,12.5,11,3.0,2
P9cddcdc1ad,2020,49.0,49,,1
P9d5ce33ec0,2020,37.0,37,,1
Pa3fa433740,2020,20.0,20,,1
Pa430d00e1f,2020,4.5,2,5.0,2
Pa7dbf13041,2020,15.0,9,12.0,2
Pad0b972baf,2020,14.0,14,,1
Pb3e461d4cf,2020,41.0,41,,1
Pb7d583a85a,2020,17.0,17,,1
Pba698d642d,2020,5.0,1,8.0,2
Pc2d24d5902,2020,19.0,15,8.0,2
Pc74b3d476e,2020,51.0,51,,1
Pceb9387e05,2020,56.0,56,,1
Pd70c9ef8df,2020,7.0,7,,1
Pdc083a80a9,2020,33.0,33,,1
Pdc49b6ecb0,2020,47.0,47,,1
Pde7308c87b,2020,10.5,5,11.0,2
Pe0b660d280,2020,18.5,6,25.0,2
Pe237a28a37,2020,29.0,29,,1
Pe6c9de6d86,2020,13.0,13,,1
Pee12c1b431,2020,52.0,52,,1
Pf46613d969,2020,45.0,45,,1
Pfe5913c014,2020,4.0,4,,1
P0057628fa2,2021,17.0,17,,1
P0326e23b0d,2021,34.0,34,,1
P05f9ca4653,2021,15.0,15,,1
P152905cef4,2021,45.0,45,,1
P1e1b55c58c,2021,35.0,35,,1
P21372aaded,2021,41.0,41,,1
P2c8aa67899,2021,13.0,13,,1
P30aaba02d5,2021,46.0,46,,1
P3364db28a5,2021,52.0,52,,1
P392363bcf2,2021,10.0,10,,1
P4110110f37,2021,33.0,33,,1
P45a39b68c1,2021,6.0,6,,1
P4e35bd6add,2021,25.0,25,,1
P606c98790a,2021,19.0,19,,1
P61afdc25a4,2021,1.0,1,,1
P64263ced9d,2021,2.0,2,,1
P69549f38f2,2021,11.0,11,,1
P71399e9935,2021,59.0,59,,1
P721d8fa8f9,2021,8.0,8,,1
P7dcdc4ccdd,2021,5.0,5,,1
P82dc635a40,2021,29.0,29,,1
P854a3a23a2,2021,12.0,12,,1
P87ada0d006,2021,21.0,21,,1
P90932c4b0a,2021,54.0,54,,1
P90b2305671,2021,27.0,27,,1
P9badd97dfe,2021,30.0,30,,1
P9e82692a6d,2021,14.0,14,,1
P9fd480084b,2021,32.0,32,,1
Pa0882490f6,2021,18.0,18,,1
Pa090759337,2021,7.0,7,,1
Pac178f1473,2021,36.0,36,,1
Pb1d56c9c96,2021,31.0,31,,1
Pb2632428b5,2021,9.0,9,,1
Pb3cfb2c388,2021,23.0,23,,1
Pba95727095,2021,42.0,42,,1
Pbfadf35dca,2021,48.0,48,,1
Pc131e1ee6f,2021,39.0,39,,1
Pc3e0235987,2021,3.0,3,,1
Pc624860c4a,2021,40.0,40,,1
Pc97a1282a3,2021,4.0,4,,1
Pcf11d56327,2021,60.0,60,,1
Pe225c37146,2021,49.0,49,,1
Pe728a39ea0,2021,51.0,51,,1
Pf0fd005549,2021,20.0,20,,1
Pf6213e9937,2021,22.0,22,,1
Pfce02776de,2021,28.0,28,,1
P1191691c20,2022,23.0,23,,1
P123f055136,2022,45.0,45,,1
P14882ceff6,2022,15.0,15,,1
P16b88a2183,2022,4.0,4,,1
P20596267f7,2022,21.0,21,,1
P22caf129cd,2022,59.0,59,,1
P3a3a5bbbef,2022,13.0,13,,1
P3a5b76349f,2022,10.0,10,,1
P3b1e823247,2022,36.0,36,,1
P3ebbedffb1,2022,52.0,52,,1
P416088a2b5,2022,27.0,27,,1
P4b5f95e771,2022,19.0,19,,1
P4e8883caf8,2022,32.0,32,,1
P50d6953351,2022,44.0,44,,1
P5cba6e4b4b,2022,16.0,16,,1
P6521ad0003,2022,56.0,56,,1
P70fa3dc827,2022,35.0,35,,1
P76ebdc8d77,2022,58.0,58,,1
P76f8234113,2022,48.0,48,,1
P7d4b1d6e8f,2022,8.0,8,,1
P86df290cda,2022,5.0,5,,1
P8c8d5105c2,2022,22.0,22,,1
P919e355315,2022,7.0,7,,1
P9345155d6a,2022,38.0,38,,1
P96bc00aaed,2022,41.0,41,,1
P97df826a61,2022,33.0,33,,1
P9d848af991,2022,18.0,18,,1
Pa067c50f94,2022,42.0,42,,1
Pa06f6a14b5,2022,49.0,49,,1
Pa2e8c74c1f,2022,34.0,34,,1
