pid,draft_year,vcmb_height_without_shoes_in,vcmb_height_with_shoes_in,vcmb_weight_lb,vcmb_wingspan_in,vcmb_standing_reach_in,vcmb_body_fat_pct,vcmb_hand_length_in,vcmb_hand_width_in,vcmb_standing_vertical_in,vcmb_max_vertical_in,vcmb_lane_agility_s,vcmb_modified_lane_agility_s,vcmb_three_quarter_sprint_s,vcmb_bench_press_reps,vcmb_bmi_kg_m2,vcmb_wingspan_minus_height_in,vcmb_spot_15ft_made,vcmb_spot_15ft_attempted,vcmb_spot_15ft_pct,vcmb_spot_college3_made,vcmb_spot_college3_attempted,vcmb_spot_college3_pct,vcmb_spot_nba3_made,vcmb_spot_nba3_attempted,vcmb_spot_nba3_pct,vcmb_off_dribble_15ft_made,vcmb_off_dribble_15ft_attempted,vcmb_off_dribble_15ft_pct,vcmb_off_dribble_college3_made,vcmb_off_dribble_college3_attempted,vcmb_off_dribble_college3_pct,vcmb_on_move_15ft_made,vcmb_on_move_15ft_attempted,vcmb_on_move_15ft_pct,vcmb_on_move_college3_made,vcmb_on_move_college3_attempted,vcmb_on_move_college3_pct
Pc69570e4d2,2022,78.75,80.0,203.4,84.5,107.5,5.2,8.5,9.5,28.0,33.5,11.03,3.24,3.28,,23.059406802496152,5.75,,,,,,,,,,,,,,,,,,,,,
P9a2935e78c,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pdeabbe5993,2022,75.75,77.0,209.0,79.0,102.0,7.2,8.5,9.25,30.0,35.5,10.96,3.11,3.15,,25.60821569032828,3.25,,,,,,,,,,,,,,,,,,,11.0,25.0,0.44
P70fa3dc827,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc5f6ac0bb7,2022,81.25,82.25,216.6,86.5,109.5,2.7,8.5,10.5,29.0,36.5,11.16,2.9,3.26,,23.06800412021274,5.25,,,,,,,,,,,,,,,,,,,,,
Pc99b219586,2022,83.75,84.75,174.4,86.25,112.0,4.7,8.5,8.75,26.5,28.5,11.16,3.04,3.33,,17.481357585432036,2.5,,,,,,,,,,,,,,,,,,,15.0,25.0,0.6
P22caf129cd,2022,76.75,77.75,182.4,80.75,103.5,4.0,8.5,9.5,30.5,38.0,11.03,3.04,3.12,,21.77039821344442,4.0,,,,,,,,,,,,,,,,,,,15.0,25.0,0.6
P97df826a61,2022,78.75,80.0,227.2,81.5,104.0,9.0,8.5,10.25,27.5,34.0,10.58,2.89,3.37,,25.757606811834442,2.75,,,,,,,,,,,,,,,,,,,17.0,25.0,0.68
P63014948f5,2022,76.5,78.0,260.8,83.5,105.0,11.6,8.75,10.0,27.0,35.5,10.75,3.1,3.22,,31.33163251226328,7.0,,,,,,,,,,,,,,,,,,,13.0,25.0,0.52
P0234a21988,2022,80.75,81.75,221.0,87.0,108.5,5.9,9.0,10.5,28.5,34.0,11.29,3.19,3.33,,23.82898363450304,6.25,,,,,,,,,,,,,,,,,,,9.0,25.0,0.36
P32ad967364,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P6876f611cb,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pd4287ba490,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P821b19c2a1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paee04abbe6,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P9f0e3aa432,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P8683784c59,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P47d96f257b,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P98f4c6dfa5,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc60f6451c1,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P017b3a2bee,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pfc4c07b799,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pc44acb797a,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P719dac14cb,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P328e73174e,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P39f2672d8d,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P750617fadd,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7c732b276f,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P93a0142eda,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pec93c68939,2022,75.5,77.0,212.8,83.0,104.0,5.1,8.75,9.5,29.5,36.0,11.54,3.04,3.33,,26.246779798642713,7.5,,,,,,,,,,,,,,,,,,,11.0,25.0,0.44
P539be6c711,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P96bc00aaed,2022,74.25,75.25,183.2,80.0,101.0,4.8,8.5,9.5,31.0,38.0,11.23,3.1,3.19,,23.363121130931127,5.75,,,,,,,,,,,,,,,,,,,10.0,25.0,0.4
P6b997b8b4f,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3e1b393a8c,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P3ebbedffb1,2022,78.25,79.5,235.4,86.5,105.5,7.3,9.0,10.5,32.5,35.0,11.49,3.02,3.23,,27.0293793419646,8.25,,,,,,,,,,,,,,,,,,,9.0,25.0,0.36
Pe2f97b33d4,2022,83.0,84.0,293.0,88.25,110.5,8.2,9.75,10.25,29.5,32.5,12.11,3.31,3.33,,29.9026544976446,5.25,,,,,,,,,,,,,,,,,,,,,
P54ce020bc4,2022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
