source_season,team_id,game_id,game_date,team_player_minutes,team_fgm,team_fga,team_fg3m,team_fg3a,team_ftm,team_fta,team_orb,team_drb,team_trb,team_ast,team_stl,team_blk,team_tov,team_pf,team_pts,opponent_fgm,opponent_fga,opponent_fg3m,opponent_fg3a,opponent_ftm,opponent_fta,opponent_orb,opponent_drb,opponent_trb,opponent_ast,opponent_stl,opponent_blk,opponent_tov,opponent_pf,opponent_pts
2008,team_c8f8eb494d5be0790fd6,game_a1ff86500e25d136b00d,2008-01-26,200,20,53,4,13,25,41,11,20,31,11,6,4,6,27,69,27,51,6,10,18,29,9,30,39,11,3,2,16,30,78
2008,team_c8f8eb494d5be0790fd6,game_a3bd49a287bf40f24417,2008-02-02,200,18,59,3,19,14,23,16,16,32,3,6,1,19,21,53,30,58,7,14,14,24,17,29,46,19,11,3,20,17,81
2008,team_f24feebb7e2540f19526,game_a3bd49a287bf40f24417,2008-02-02,200,30,58,7,14,14,24,17,29,46,19,11,3,20,17,81,18,59,3,19,14,23,16,16,32,3,6,1,19,21,53
2008,team_c8f8eb494d5be0790fd6,game_9e7244964028e9a6fdcf,2008-02-04,200,16,42,3,9,20,28,6,18,24,3,14,1,20,21,55,18,45,1,13,14,25,13,25,38,7,6,5,23,21,51
2008,team_ea88370c63eea9452fd1,game_9e7244964028e9a6fdcf,2008-02-04,200,18,45,1,13,14,25,13,25,38,7,6,5,23,21,51,16,42,3,9,20,28,6,18,24,3,14,1,20,21,55
2008,team_a013df7ef4de9d1aafdd,game_18b24a1b9ec6008fbfab,2008-02-09,200,18,46,5,12,31,44,15,21,36,6,7,1,23,29,72,28,65,3,11,22,32,14,18,32,13,9,3,12,31,81
2008,team_c8f8eb494d5be0790fd6,game_18b24a1b9ec6008fbfab,2008-02-09,200,28,65,3,11,22,32,14,18,32,13,9,3,12,31,81,18,46,5,12,31,44,15,21,36,6,7,1,23,29,72
2008,team_4bd0499d7084cee6840d,game_f79a413b7d2e1f1b27ac,2008-02-11,200,26,50,8,18,11,23,12,18,30,13,11,1,22,17,71,29,54,4,13,23,28,11,19,30,17,15,4,16,21,85
2008,team_c8f8eb494d5be0790fd6,game_f79a413b7d2e1f1b27ac,2008-02-11,200,29,54,4,13,23,28,11,19,30,17,15,4,16,21,85,26,50,8,18,11,23,12,18,30,13,11,1,22,17,71
2008,team_c8f8eb494d5be0790fd6,game_7935a0c1f175f8e15979,2008-02-16,200,27,60,3,10,18,32,13,17,30,14,6,6,12,25,75,29,56,4,12,22,33,16,28,44,20,5,6,15,26,84
2008,team_b02c23e1a39ef3eef8f0,game_7935a0c1f175f8e15979,2008-02-16,200,29,56,4,12,22,33,16,28,44,20,5,6,15,26,84,27,60,3,10,18,32,13,17,30,14,6,6,12,25,75
2008,team_c8f8eb494d5be0790fd6,game_c04c3733a997443f42e7,2008-02-18,200,26,59,7,18,20,28,20,22,42,15,9,3,20,19,79,24,52,4,16,12,22,11,18,29,14,12,1,24,26,64
2008,team_a95839e97371e0dd398c,game_c04c3733a997443f42e7,2008-02-18,200,24,52,4,16,12,22,11,18,29,14,12,1,24,26,64,26,59,7,18,20,28,20,22,42,15,9,3,20,19,79
2008,team_c8f8eb494d5be0790fd6,game_eac8f0eb9cb0c20f2dcb,2008-02-23,200,27,64,2,14,11,13,13,31,44,11,6,10,17,16,67,24,59,5,14,12,18,10,23,33,14,8,4,13,16,65
2008,team_ad102b187963632ac3e6,game_eac8f0eb9cb0c20f2dcb,2008-02-23,200,24,59,5,14,12,18,10,23,33,14,8,4,13,16,65,27,64,2,14,11,13,13,31,44,11,6,10,17,16,67
2008,team_f24feebb7e2540f19526,game_4365dd005f2b0277836c,2008-03-01,200,29,63,8,24,8,11,15,14,29,15,1,1,11,18,74,23,46,9,15,18,25,11,21,32,11,6,5,11,14,73
2008,team_c8f8eb494d5be0790fd6,game_4365dd005f2b0277836c,2008-03-01,200,23,46,9,15,18,25,11,21,32,11,6,5,11,14,73,29,63,8,24,8,11,15,14,29,15,1,1,11,18,74
2008,team_ea88370c63eea9452fd1,game_2ad735c50dc277c382ee,2008-03-03,200,21,55,5,16,2,8,6,20,26,11,4,13,10,14,49,23,60,5,18,6,7,8,27,35,11,3,4,13,11,57
2008,team_c8f8eb494d5be0790fd6,game_2ad735c50dc277c382ee,2008-03-03,200,23,60,5,18,6,7,8,27,35,11,3,4,13,11,57,21,55,5,16,2,8,6,20,26,11,4,13,10,14,49
2008,team_c8f8eb494d5be0790fd6,game_e0ae954ddb9ac1563580,2008-03-06,200,19,63,3,13,20,33,23,24,47,9,9,5,13,29,61,17,47,8,21,22,35,12,29,41,9,3,12,16,26,64
2008,team_f2e174d9da5eb237f7e4,game_e0ae954ddb9ac1563580,2008-03-06,200,17,47,8,21,22,35,12,29,41,9,3,12,16,26,64,19,63,3,13,20,33,23,24,47,9,9,5,13,29,61
