pid,tcf_season_final,tcf_conf_gp,tcf_conf_gp_share,tcf_usg,tcf_d_usg,tcf_ortg,tcf_d_ortg,tcf_adjoe,tcf_d_adjoe,tcf_drtg,tcf_d_drtg,tcf_adrtg,tcf_d_adrtg,tcf_bpm,tcf_d_bpm,tcf_obpm,tcf_d_obpm,tcf_dbpm,tcf_d_dbpm,tcf_ts,tcf_d_ts,tcf_efg,tcf_d_efg,tcf_ast_per,tcf_d_ast_per,tcf_tov_per,tcf_d_tov_per,tcf_orb_per,tcf_d_orb_per,tcf_drb_per,tcf_d_drb_per,tcf_stl_per,tcf_d_stl_per,tcf_blk_per,tcf_d_blk_per,tcf_ftr,tcf_d_ftr,tcf_tp3_pct,tcf_d_tp3_pct,tcf_tpar,tcf_d_tpar,tcf_tpa100,tcf_d_tpa100,tcf_porpag,tcf_d_porpag,tcf_minper,tcf_d_minper,tcf_pts_pg,tcf_d_pts_pg,tcf_reb_pg,tcf_d_reb_pg,tcf_ast_pg,tcf_d_ast_pg
P737b0588be,2023,20,0.555556,17.3,0.8,104.9,-6.4,106.421,-5.665,101.466,8.2611,95.721,7.4032,7.73229,-1.11077,3.58001,-0.60482,4.15228,-0.50594,49.4,-1.49,46.9,-2.2,23.9,-2.7,26.2,2.1,8.6,1,16.6,-0.1,1.6,-0.6,1.7,-0.1,23.8,1.3,0.296,0.015,0.415385,-0.00245576,5.31138,0.32945,2.00775,-0.50062,75.4,8.3,7.15,0.4833,6.6,0.4056,4.15,-0.5444
P73a117bd09,2013,7,0.333333,24.7,-1.7,125.5,20.6,129.142,16.111,93.6179,-1.8151,94.2873,0.069,9.01973,3.63273,4.58866,2.38565,4.43107,1.24708,63.23,9.44,56.1,8.2,11.9,1.9,14.7,-3.5,11.2,1.2,19.7,1.5,4.5,0.5,6.9,0.7,52.7,16.2,0.524,0.154,0.283784,-0.0660261,5.86437,-2.28913,4.47509,1.49858,32.8,-19.7,16.7143,0.9048,7.8571,0.3333,1.5714,0.2381
P73b9dbd92b,2019,18,0.580645,22,0.1,103.8,-0.8,111.954,2.114,109.105,3.756,105.186,2.405,0.613316,0.587753,1.32705,0.757585,-0.713734,-0.169831,55.56,1.61,54,3.3,7.7,1.1,15.2,2.4,9.1,0.5,20.1,-0.7,1.3,0.1,1.4,-1,28,-4.9,0.31,0.007,0.375661,0.0206125,7.66543,0.53595,2.43669,0.3022,71.7,3,13.2222,0.8674,7.8889,0.2437,0.8889,0.1147
P73cc673745,2017,18,0.514286,19.7,0.2,122.4,5,126.931,6.093,90.3372,-1.6211,88.8329,-1.4574,8.74662,0.65668,3.70041,0.2773,5.04622,0.37939,60.16,2.3,59.3,3.1,16.4,1.9,15.4,-0.7,10.1,0,19.4,1.4,2,0.3,4.7,0.2,38.5,-6.6,0.2,0,0.0320513,0.0144456,0.522713,0.246064,4.55729,0.85179,83.9,3.1,12.3333,0.9333,8.5556,0.7842,2.8333,0.4333
P74240d498b,2024,17,0.53125,30.6,0.7,115.6,-0.5,138.46,3.665,113.783,5.443,105.248,2.425,3.21881,-1.33008,5.80459,-0.25013,-2.58578,-1.07996,61.29,1.81,58.2,1.8,27.5,-2.6,17.1,1.5,0.9,-0.3,8.5,-3.3,1.8,-0.6,0.3,0,29.4,2.3,0.436,-0.008,0.402062,0.0042718,10.7589,0.2424,3.95363,0.26804,54,-1.7,15.9412,0.7537,2.1176,-0.8199,3.4118,-0.4944
P74435b1e45,2009,18,0.514286,21,0.6,107.8,3.7,115.185,6.42,104.898,6.5401,94.962,4.7546,5.17156,0.01304,3.62099,0.68707,1.55057,-0.67404,57.35,-0.45,54.7,2,21,-3.7,20.5,-6.1,1.4,-0.1,12.3,0.5,1.7,-0.6,0.2,-0.6,50.3,-4.6,0.397,0.021,0.368421,-0.00107047,5.91057,0.82441,3.89874,0.86771,93.7,1,13.5,1.2143,4.0556,-0.173,3.8333,-0.9096
P749792a28d,2011,15,0.416667,20.1,0,118.3,8,125.521,9.644,97.5809,2.3189,91.9823,1.1244,9.88006,1.34348,6.29788,1.26055,3.58218,0.08293,58,2.86,57.6,3,20.5,-1.1,16.4,-3.9,7.6,0.3,22,2.7,1.7,0,1,-0.3,31,1,0.439,0.071,0.393103,0.0308743,6.71091,0.80912,4.69337,1.26836,80.9,-0.2,12.8667,1.5611,8.7333,0.9833,3.6667,-0.1111
P74a501a7bb,2009,16,0.470588,29.6,0.4,102,-3.4,115.958,-4.121,95.4535,-0.3442,92.7323,0.4557,4.43319,-1.26691,3.51125,-1.2615,0.921943,-0.005402,50.8,-4.18,46.7,-4.8,21,2.3,16.7,-0.5,4.3,0.7,14.7,-0.2,2.3,-0.3,0.4,0,33.1,3.1,0.283,-0.069,0.563265,-0.0135848,15.1614,-0.441,3.75474,-0.48409,88,0.4,18,-1.4706,6.0625,0.2684,3.375,0.4926
P74ab2a2c37,2011,16,0.432432,25.2,0.5,122.2,0.9,131.996,1.089,96.5259,2.4839,95.7529,3.3254,7.10145,0.00579,4.5288,-0.87541,2.57265,0.8812,68.45,4.28,65.2,3.4,7.4,-1.5,15.7,3.6,5.3,-1.2,19.8,1.2,1.3,0.1,5.1,1.1,30.9,5.2,0.456,0.008,0.381643,0.00691484,9.22715,0.03785,5.35607,0.45691,84.4,5.3,20.3125,2.4476,7.3125,0.3936,1,-0.1622
P74d19df6a2,2017,18,0.529412,24,1.7,109.5,-2.5,123.997,4.129,109.773,8.79,102.422,6.2811,5.98339,0.07691,3.27116,0.46119,2.71222,-0.38429,59.65,-0.44,56.9,0.9,10.1,0.3,21,0.1,9.5,-0.2,16.9,-0.3,1.2,-0.4,5.5,-0.2,40.6,-11.3,0.351,-0.032,0.211429,0.000902256,4.04913,0.46296,3.60604,0.5503,71.8,3.2,13.8333,1.2745,6.5556,-0.0915,1.4444,-0.0262
P750617fadd,2022,13,0.5,30.4,1.7,99.3,-3.5,116.878,-1.339,101.327,0.573,99.166,0.2483,-0.147554,-2.85964,0.281213,-1.82099,-0.428766,-1.03865,56.5,-0.98,55.7,0.1,12.1,-0.5,18.1,1.3,3.4,-0.9,10.7,-1.4,1.5,-0.3,1.8,-0.5,48.7,5.6,0.452,0.025,0.269565,-0.0442423,6.8039,-0.91327,2.31077,-0.22972,38.2,-8.6,12.3077,-0.396,2.6154,-0.7179,1,-0.1111
P75527a2d8c,2025,20,0.625,30.7,0.4,103.8,-1.9,121.734,-0.346,109.96,7.894,103.604,5.0598,2.33901,-0.41171,1.84568,-0.28227,0.493325,-0.129443,54.56,-0.96,48.4,-0.6,16.8,0.5,17.1,0.8,4.4,0.5,16.9,0,1.8,-0.4,1.4,-0.6,48.4,-10.6,0.33,0.009,0.396364,-0.00122673,9.85712,0.37072,3.55984,0.10538,80.3,3.2,18.45,0.0125,6,0.3125,2.5,0.125
P75585aef52,2017,18,0.529412,30.3,-0.9,111.9,-1.8,129.055,-3.099,94.7019,-0.6189,93.9915,-0.7649,4.24777,-1.27944,1.51151,-1.32187,2.73626,0.04243,56.92,-2.53,50.2,-2.6,10.4,-2.4,12.3,-2.2,10.4,-1.3,22.6,1.9,1,0,7.1,0.5,61.2,-5.7,,,0,-0.00226757,0,-0.0539439,4.37506,-0.03479,76.4,4.8,20,-0.3235,9.7222,0.5457,1.4444,-0.2027
P7570f82c10,2015,18,0.545455,23.7,0.1,108.4,-2.8,123.401,0.722,102.966,6.3227,96.6353,4.2622,4.88247,-1.79209,4.09094,-0.49366,0.791536,-1.29842,54.07,-3.05,50,-3,14.6,-2.6,14.1,-1.5,7.1,1,16.5,0.2,1.7,-0.9,0.5,-0.8,51.5,5.5,0.318,-0.011,0.338462,0.0104615,6.3959,0.22687,2.73646,-0.08498,54.7,-1.2,9.7222,-0.8233,4.7778,0.0808,1.7222,-0.399
P7572949d92,2024,18,0.545455,27,-1.1,128.3,9.9,134.75,5.975,91.9811,-0.2237,95.3598,2.448,6.9928,0.91997,3.32499,1.36234,3.66782,-0.44236,65.13,0.61,60.7,-0.4,11.6,0.7,12.1,-5.2,12.8,1,31.5,-1.3,1.3,-0.1,5.6,-0.3,57.2,-2.2,0.296,-0.069,0.134328,-0.00287481,2.85195,-0.01995,5.09151,0.52678,79.4,-2.4,18.5,-0.1286,12.2778,-0.4936,1.6667,0.0953
P7589e6b4d5,2023,18,0.5625,23.7,0.9,117.9,-2.5,136.345,2.664,113.282,6.915,105.632,5.259,5.9815,-0.41614,6.93684,-0.02801,-0.955338,-0.388122,54.09,-2.12,50,-2.8,29.2,1.3,12.5,-0.5,1.5,0.4,6.3,-1.4,1.5,-0.6,0.2,0,28.3,1.7,0.368,-0.032,0.502146,-0.00546829,11.16,0.212,5.90503,0.50133,86.6,7.7,15.8889,0.2951,2.1667,-0.2395,4.7222,0.1284
P75990d7854,2024,18,0.529412,20.2,-2.1,108.3,2.8,110.523,0.119,106.02,-0.408,102.275,-1.322,3.86857,-0.07135,3.38551,0.32409,0.483058,-0.395444,51.3,1.35,46.4,1.9,29.7,0.6,18.9,0.4,2.4,0.2,10.3,-0.3,3.2,-0.6,1.5,-0.2,37,-2.9,0.296,0.021,0.430303,0.0314266,6.75448,-0.41038,2.52042,-0.0065,82.7,-0.7,11.0556,-1.2587,3.8889,0.0318,5.5,0.1286
P75b2e5cfed,2018,18,0.545455,27.6,0.4,119.7,6.8,136.088,8.627,110.898,3.97,106.811,3.384,4.81567,0.55185,5.49492,0.71624,-0.679249,-0.164394,65.05,4.18,59.6,3.9,31.1,1.2,20.2,-0.4,1.9,0.3,8.4,-0.3,1.5,-0.4,0.9,0.2,48.8,7.1,0.514,0.085,0.438525,-0.00712758,8.91108,-0.28062,6.2649,1.19198,93.5,1.4,21.7222,1.3889,3.6667,0,5.9444,0.1262
P762dcd7f87,2011,16,0.432432,23.6,-1.1,104,-6.8,116.419,-4.26,110.331,2.413,103.001,-1.324,1.19375,-0.41528,2.42755,-0.50572,-1.2338,0.09043,54.22,-0.61,46.1,-1.1,13.7,-0.7,19.6,4.5,3,0.1,9.7,1.1,1.3,-0.5,1.1,-0.1,44.8,0.9,0.406,0.056,0.176796,-0.0526031,3.43126,-1.54635,3.52385,-0.31059,84.2,3.9,14.875,-1.2061,3.75,0.5068,2.3125,-0.1199
P7632bd626c,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7697c4ecb8,2017,16,0.571429,24.3,-1.3,104.7,-2.2,112.754,-5.307,95.9537,0.294,95.6516,1.7634,5.41012,0.1663,2.63405,-0.21704,2.77607,0.38334,56.27,-0.04,54.1,1.4,22.3,3.5,18.6,3.3,4.9,1,13.2,-2.1,2.3,0.3,3.6,0.1,39.6,-6.3,0.415,0.017,0.384615,0.0158654,7.34741,-0.32516,2.72354,-0.57787,69.9,-1.1,14.125,-1.6336,5,-0.1379,3.3125,0.4849
P7699b7f669,2020,15,0.535714,19.2,-0.8,112.7,-0.1,116.493,0.792,103.759,3.523,97.3286,2.0346,6.95278,1.20504,4.04992,0.56879,2.90286,0.63625,56.16,-2.35,50.8,-4.5,14.5,1.4,15.7,-1.9,5.5,-0.9,9.8,1,1.9,0.2,3,-0.1,63.3,8.4,0.318,0.032,0.34375,0.0568648,5.11339,0.63516,3.42451,0.19994,66.4,-2.9,12.4667,-0.3904,4.5333,0.1047,2.2667,0.231
P76d288c08d,2019,15,0.483871,20.5,-1.1,108.1,-1.4,118.604,0.485,107.573,7.277,98.7254,4.2163,4.84169,0.01063,3.5585,-0.28492,1.28318,0.295537,55.59,-0.17,53.5,0.1,6.7,-1,14.2,0.5,5.5,-1.4,12.2,0.4,2.4,0.1,1.1,0.1,18.7,0.2,0.368,0.012,0.555556,-0.0287141,11.5734,-1.2216,3.32599,0.16123,64.5,2,13.8,-0.1355,4.7333,-0.2022,1,-0.1613
P76ebdc8d77,2022,14,0.4375,21.2,1.6,126.7,9.4,132.57,11.897,91.3476,-0.8135,88.7984,-0.8147,8.58842,1.50367,6.91042,1.87989,1.67799,-0.37624,59.15,2.77,54.8,1.4,29.5,3.2,11.9,-4.7,1.6,0,9.8,1.1,2.7,0,0.2,-0.2,23.1,5.4,0.383,0,0.408163,-0.020869,7.21489,0.22706,5.09765,1.16159,77.9,-2.5,13.7857,1.9419,3.7143,0.3393,6.4286,0.6786
P76f8234113,2022,18,0.545455,22.9,1.2,110.7,-3.8,120.689,-2.082,92.3107,-0.5976,89.3418,0.3852,8.67707,0.14088,3.7927,-0.50637,4.88436,0.64724,53.31,-3.83,48.4,-4.4,14,1.2,15.5,-1,12.7,-0.1,16.4,0.7,3.6,0.5,5.2,-0.2,34.7,-6.2,0,-0.143,0.0887097,0.000659363,1.7803,0.16375,2.37435,0.4723,48.5,11.8,8.5556,1.9798,5,1.2424,1.3889,0.4495
P770d276313,2020,14,0.56,27,1.6,112.1,8.9,122.71,13.06,108.618,0.569,105.824,0.101,-0.236,2.40082,2.96863,2.34947,-3.20463,0.05135,58.48,2.36,57.1,2.4,5.7,0.4,10,-6.3,5.4,0.3,12.7,1.3,1.2,0.1,1.9,0.8,32.1,4.6,0.435,0.042,0.410714,-0.0805138,11.2626,-0.7481,2.23567,0.82348,33.8,-2.4,10.7857,2.0549,2.8571,0.3956,0.3571,0.0109
P7719d3d89b,2016,16,0.571429,26.6,-0.9,110.6,7.3,122.903,8.247,106.37,-1.184,107.801,0.697,4.96031,1.48328,3.97637,1.68983,0.983943,-0.206537,56.33,5.65,53.1,7.3,22.8,-4.1,15.5,-0.7,9.2,1.2,19.3,1.5,2.1,-0.5,2.3,0.4,68.5,5.5,0.143,0.052,0.0479452,0.00643577,0.933443,0.101019,3.33272,0.79693,68.6,0.3,13.625,1.1607,6.8125,0.5982,2.6875,-0.7054
P7758d7472f,2015,16,0.761905,22.7,-2.4,79.9,6.7,80.9233,4.7357,98.9011,1.6867,102.263,2.2909,-6.91832,1.19825,-7.86554,0.98896,0.947219,0.209293,45.47,1.61,43.1,0.7,2.1,0.4,21.4,-3.9,4.5,-0.3,12.9,1.6,1.4,-0.5,7.2,0.9,40.3,6,0,-0.125,0.152778,-0.00883838,2.96606,-0.41878,-0.297518,0.206629,26.5,5.9,4.875,0.0655,1.9375,0.2232,0.125,0.0298
P77f7109f5b,2021,20,0.645161,26.6,0.7,105,-2.7,123.405,-0.075,109.939,1.726,101.192,0.615,3.515,-0.66441,4.99321,-0.36647,-1.47821,-0.29794,54.97,-0.11,51,-0.7,19.9,1.1,17.4,2.1,0.8,0.2,9.4,-1.7,0.7,-0.1,0,-0.1,22.4,0.6,0.367,-0.007,0.590551,0.0198078,14.1401,0.0473,4.1236,-0.09121,77.9,-1.5,15.45,-0.9048,2.8,-0.5871,3.05,0.1468
P780225999f,2010,16,0.5,24.4,-0.3,113,1,130.267,5.243,92.5205,4.1022,85.3246,0.5265,11.4901,1.77937,6.1416,1.40863,5.34855,0.37078,54.52,-0.43,51.3,-2,19.9,2.5,11.9,-2.5,8.6,-1.5,18.6,-1.8,2.3,-0.2,5.2,0.6,50,2.6,0.15,-0.115,0.107527,0.0133441,2.23376,0.28403,4.97515,0.78163,80.5,3.6,15.6875,0.5,7.75,-0.625,2.625,0.0938
P798e5b71ce,2012,16,0.457143,26,0.6,118.4,2.1,130.402,1.458,88.105,-2.9656,86.5698,-2.0081,9.73092,0.41358,6.02047,-0.04005,3.71045,0.45363,61.09,2.34,57.6,2.6,20,2.7,14.7,0.5,5.4,-2.2,20.9,2.4,2.7,0.3,2,-0.1,33.6,-6,0.313,-0.033,0.227488,-0.00923751,5.1142,-0.0095,5.4774,0.23455,88.3,1,18.6875,0.6589,7.6875,-0.2839,3.375,0.4893
P79c8ced5ce,2023,13,0.5,34.4,2.8,122.7,5.4,155.739,14.664,104.773,6.0756,99.4674,4.2888,12.0418,1.5115,6.57009,1.47855,5.47175,0.03302,60.54,0.58,54.3,0,9.4,-1,9.9,-3.4,13.9,1.7,21,0.4,0.6,-0.2,14.7,1,83.5,13.4,0.5,0.135,0.215827,0.00271258,5.68314,0.49449,5.74159,1.49233,43.7,3.6,18.0769,3.0769,7.8462,1,0.9231,-0.0769
P79f9e777a1,2008,18,0.580645,24,0.7,120.2,-1.5,136.069,2.111,110.621,3.658,101.873,1.433,7.72115,0.45941,6.95214,0.33997,0.769001,0.119427,61.07,-1.97,57.8,-2.5,17.8,3.8,13.5,-0.8,6.2,0.4,13.1,0.5,0.9,-0.3,2.9,0,37.4,-3.8,0.382,-0.051,0.363636,0.00542741,7.60985,0.32006,5.42424,0.2006,77.4,2,14.9444,-1.3459,4.7222,-0.1165,2.4444,0.3154
P7a82e40751,2010,18,0.514286,18.1,-0.6,111.3,-3.8,113.29,-3.328,101.381,5.9554,92.3893,2.8125,7.30462,-0.21923,5.51095,-0.43894,1.79367,0.2197,60.69,-2.5,55.7,-4.6,19.5,-4.4,25.3,-0.3,1.8,-0.2,8.5,-0.3,2.7,-0.7,1.2,0.4,33.5,6.2,0.373,-0.034,0.802395,-0.0090526,11.6038,-0.1805,3.48622,0.0035,91.1,9.9,13.0556,0.9413,3.5556,0.1842,4.2222,-0.6635
P7a85c71bc1,2019,18,0.529412,23.9,0.8,122.6,7.6,133.509,9.158,98.4932,0.3609,93.0558,-0.389,7.56173,2.4191,4.16223,1.9195,3.39951,0.49962,66.88,3.31,64.3,1.7,6.9,0.4,12.9,-2.3,8.3,0.3,24.7,1.1,2.9,0.5,3.9,0.3,55.6,5.4,0.366,0.013,0.230337,-0.00495704,4.51208,0.10512,4.57793,1.31995,71.6,8,16.7222,3.2079,8.2222,1.3365,0.8889,0.0889
P7a95b991f4,2024,18,0.5,32.1,2.3,119.3,4.8,142.965,9.313,100.918,2.19,92.2004,0.9018,7.44712,1.48209,5.52979,1.16887,1.91734,0.31322,60.25,2.53,57.1,3.3,13.8,0.4,9.4,-1.2,2.7,-0.1,14.7,0.4,1.5,0.2,3,0.6,38.5,3.1,0.424,0.027,0.409938,0.00439196,13.2366,1.1057,5.91353,1.12125,78.3,1.7,25.5,3.8889,5.2222,0.3333,1.8889,0.0833
P7ab7e9a49e,2015,18,0.545455,16.4,-1.1,112.2,7,105.433,4.499,98.1281,-0.9342,99.9511,1.0719,4.00543,1.44736,2.07882,0.75355,1.92661,0.69381,52.64,2.1,50.3,2.3,15.9,0.2,10.7,-2.2,3.5,0.3,10.4,-0.4,2,0.4,2.4,0.6,19.3,-1.6,0.367,-0.014,0.372671,0.0295336,5.81635,0.1438,2.19549,0.60874,87.6,3.3,10.2778,-0.0252,4.1667,0.0455,2.7222,0.1161
P7b8c6b66e0,2009,19,0.575758,36.3,-1.2,125.9,7.9,143.653,2.83,86.2734,-2.8394,88.7098,0.3313,13.4919,1.1843,10.915,1.23662,2.57692,-0.05226,63.42,2.96,58.5,3.6,40.1,0.3,14.9,-1.7,1.7,-0.1,13,0.7,4.2,0.3,0.4,-0.3,36.6,0.5,0.431,0.043,0.494536,0.00428065,16.3046,-0.0057,6.60725,0.08075,77.4,-4.7,28.6842,0.0478,4.4737,-0.0111,5.3158,-0.1084
P7b91fe948e,2015,18,0.514286,22.3,-0.6,111.8,-2.1,124.421,-1.223,104.683,1.515,97.2224,0.1561,5.81857,-1.00299,5.54841,-0.57975,0.270157,-0.423239,54.19,-1.37,51.3,-1.2,20.7,0,14,-0.3,1.3,-1.1,11.1,-0.4,1.2,-0.3,0.8,0.2,21.7,-7.2,0.393,0.001,0.486957,0.0305345,10.5908,0.82307,4.62796,-0.10374,90,3.4,15.2778,-0.4651,4.1111,-0.4603,3.5556,0.0985
P7ba2fa977b,2025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P7bf5b1ca03,2023,17,0.472222,23.3,1.3,111.4,-0.9,120.16,1.541,92.5341,6.1842,89.8221,6.1925,6.54622,-1.95334,2.02862,-0.87866,4.5176,-1.07468,53.87,0.55,52.9,1.4,11.4,-1,15.4,0.5,9.5,0,19.9,1.8,2.2,0,4.8,-1.4,21.7,-1.9,0.344,-0.003,0.348571,0.0506363,7.82062,1.58014,3.24646,0.22699,67.1,-0.3,12.2353,1.0686,7.1176,0.312,1.7059,-0.0997
P7c1c1e7eac,2008,16,0.470588,21.7,-0.4,91.8,-7.5,100.286,-7.088,95.7096,6.1331,87.8427,2.8495,4.12016,0.6436,-1.19349,-0.905954,5.31366,1.54956,49.77,-7.65,47.8,-12.7,6.5,2.1,20.9,-0.9,8.7,-2.3,24,2,0.5,0,7.8,1.3,64.4,-0.6,,,0,0,0,0,1.09992,-0.39717,53.8,5.7,7.3125,-0.6304,6.1875,0.1875,0.625,0.1964
P7c241c8e95,2018,18,0.72,22.9,0.2,99.9,-0.4,100.337,-1.457,104.399,-2.359,110.546,-0.167,-3.3461,-1.36267,-1.21324,-0.971245,-2.13286,-0.39142,53.37,-0.12,49.1,-0.3,20.8,1.6,21.3,0.6,1.6,-0.4,11.7,-0.5,2.5,-0.4,0.3,0.1,31.3,-6,0.341,-0.02,0.382609,-0.00346725,6.9462,-0.03811,0.837782,-0.098861,48.1,-0.1,7.8333,-0.3046,2.6111,0.0249,2.1667,0.2357
P7c29e11a29,2022,19,0.59375,22,-0.6,114,2.1,122.283,2.309,101.031,5.1259,96.8107,3.3623,6.83916,-0.11158,4.01361,-0.18767,2.82555,0.07609,53.68,0.17,48.6,-1.8,18.6,-0.2,13.5,-0.9,6,-1.5,18.8,0.1,1.3,0,3.1,0.4,42.9,7.3,0.324,-0.028,0.320755,-0.0162619,6.11369,-0.49572,4.40817,0.35311,81.9,2.3,14.4211,0.2649,7.8421,-0.5017,3.2632,-0.0493
P7c2cc1d590,2023,20,0.540541,20.7,0.7,127.8,0.6,132.29,0.392,105.488,0.44,100.455,-0.287,7.96601,0.27278,6.77468,0.41834,1.19133,-0.14556,61.62,0.01,58,-0.5,16.5,2.4,10.9,-0.2,7.3,0.1,13.2,-0.8,2.1,0.1,0.8,-0.5,33.9,2.6,0.378,0.026,0.206422,-0.021078,3.75608,-0.35463,5.37634,-0.01351,86,-0.9,15.6,0.3027,5.9,-0.3162,3.1,0.4243
P7c4530d600,2011,16,0.457143,21.8,-0.2,107.2,-3.3,113.818,-3.265,87.8523,-2.1225,84.4984,-1.7567,8.10185,-0.38632,1.93123,-0.52574,6.17063,0.13943,54.71,-1.46,50.7,-2.8,12.2,-1.9,19.7,0.7,11.4,0.2,21.4,2.3,0.7,-0.2,7.4,0.2,52.2,-2.4,0.2,0.033,0.0746269,0.0320737,1.23009,0.535713,3.00006,-0.28281,78.4,1.7,11.4375,0.0375,9.3125,1.1982,1.875,-0.3536
P7c5888ec9d,2019,18,0.486486,21,0.1,117.7,-1.4,127.717,0.183,100.639,5.122,93.7462,3.7501,11.3674,-1.2074,6.54996,-0.22463,4.81747,-0.98277,58.78,-1.02,56.4,-1.3,11.4,-1.2,14.7,-1.9,10,-1,17.3,0.7,2.7,-1,4.8,-0.7,27.9,1.1,0.394,0.006,0.383721,-0.0299695,7.02352,-0.38089,4.21422,0.15621,75.4,6.4,12.7222,0.7222,7.0556,0.2135,1.6667,-0.2544
P7c5fe0ebd3,2026,2,0.5,16.7,-4.2,60.1,-28.2,60.8735,-30.231,108.096,4.093,94.3418,1.0231,-2.86176,-1.76093,-7.06718,-3.3232,4.20542,1.56227,34.09,-15.48,40,-17.1,7.7,2.6,32.8,8.4,5.3,-8.3,21.2,1.7,2.8,1.1,2.7,-2.3,160,67.1,,,0,0,0,0,-2.28954,-2.21588,5.8,1.1,3,-2,5,0,1,0.5
P7c732b276f,2018,18,0.666667,32.8,1,106.8,3.9,119.699,5.154,92.3057,-3.4627,96.7551,-2.8248,5.19038,1.04816,0.514423,0.553917,4.67596,0.49425,59.47,3.76,56.4,3.8,27.4,3.1,21.3,0.9,7.4,-0.5,25.3,1.6,1.5,-0.2,8.8,1,47.6,5.8,0.381,0.064,0.185022,0.00604475,4.30951,0.04911,3.37614,0.54713,76.3,2.8,18.3889,1.1556,8.6667,-0.1,3.7222,0.1222
P7c761dbe92,2015,16,0.551724,13.7,-0.5,96.5,-1.4,93.697,-0.3227,102.812,9.6531,95.5888,7.4114,7.35918,0.68525,-1.11351,-0.233049,8.47269,0.9183,49.84,1.48,49.2,2.1,4,0.5,21.6,4.8,9.8,0.1,14,-3.2,2.5,0.3,12.7,0.5,47.6,-7.5,0,0,0.015873,0.00852007,0.147254,0.0729946,0.551102,-0.079975,55.9,-6.1,4.8125,-0.9875,5.4375,-1.5292,0.5625,0.0292
P7c81e9aca5,2008,16,0.533333,29.6,1.9,95.5,-1.1,111.22,1.9,101.936,6.1948,94.2998,2.2878,0.835127,-1.67701,-1.46736,-0.615716,2.30249,-1.06129,49.95,-0.6,45.3,-0.8,7.8,-0.6,20,1,10.6,0.8,18.5,0.2,1.4,-0.6,5.8,-0.9,39.6,-3,0,-0.105,0.0177778,-0.0322222,0.438255,-0.696085,3.05451,0.36212,85.8,4.1,16.6875,1.1069,9.0625,0.5786,1.125,-0.1008
P7d0e11d7f1,2019,16,0.457143,28.8,0.4,114.6,0.7,124.445,-1.998,93.5168,-3.7242,97.8573,0.0292,3.21131,-0.93196,4.02977,-0.51484,-0.818461,-0.417126,62.32,0.74,57.7,2.1,12.1,-0.8,14.8,0.5,2.1,-0.5,16.4,-1,1.6,0.2,0.9,0,42.1,-1.7,0.431,0.028,0.574766,-0.00440031,14.9982,0.686,3.54554,-0.48959,69.1,-5.5,20,-0.3243,4.6875,-0.6368,1.625,-0.2669
P7d184fd756,2009,18,0.514286,23.2,1.3,106.7,0.3,119.262,3.128,106.963,2.575,99.1326,1.5707,3.35278,-0.24609,3.60977,-0.04033,-0.256994,-0.205761,58,0.43,54.7,0.8,16.8,0.4,21.9,0.3,1.2,-0.1,6.1,1.5,1.6,-0.2,0.7,-0.3,24.7,-3.5,0.393,-0.002,0.479821,-0.00596136,10.0778,0.54082,3.80744,0.26377,80.5,2.3,16.0556,0.3127,2.2778,0.3349,3.0556,-0.0015
P7d1e9516ee,2013,17,0.62963,31.9,1.2,99.7,-1.8,109.07,-2.063,103.031,-4.477,108.079,-3.162,-3.69562,-1.08416,0.875456,-0.429444,-4.57108,-0.65473,50.98,-0.04,45.7,-0.8,10.5,-1.3,12.7,0.4,3.9,0.6,13.7,0.3,1,-0.2,0.2,-0.2,29.7,1,0.346,0.009,0.386617,-0.0188499,11.7404,-0.4949,2.4559,-0.23577,70.1,0.4,18.4118,-0.4401,4.6471,0.2767,1.2353,-0.2091
P7d77f683c0,2015,18,0.473684,21.9,1.4,121.2,0.2,131.507,3.384,96.1133,5.0432,92.4197,5.9067,6.82964,0.1534,6.02946,0.46202,0.800186,-0.308614,59.68,-0.34,56.2,-0.9,11.5,0.6,11.5,-2.3,3,0.4,8.3,0.5,0.7,-0.6,0,-0.3,28.1,5.8,0.418,0.007,0.437908,-0.0533807,9.91085,-0.85975,3.55872,0.54833,58.1,6.2,11.5,1.4737,2.2222,0.2222,1.2222,0.1169
P7df7e92bd1,2011,17,0.708333,20,-2,77.2,-15.1,76.3242,-16.927,106.275,2.844,109.525,3.338,-8.71154,-3.72806,-5.86807,-2.95035,-2.84347,-0.77771,43.53,-9.09,42.4,-10.6,5.7,-1.1,26.8,3.5,8.9,-1.5,12.7,0.7,0.8,-1,1.6,-0.5,60.6,17.3,,,0,-0.0149254,0,-0.25698,-0.294118,-0.530593,18,-1.4,2.1765,-1.3652,1.5294,-0.2623,0.2353,-0.0564
