pid,tcf_season_final,tcf_conf_gp,tcf_conf_gp_share,tcf_usg,tcf_d_usg,tcf_ortg,tcf_d_ortg,tcf_adjoe,tcf_d_adjoe,tcf_drtg,tcf_d_drtg,tcf_adrtg,tcf_d_adrtg,tcf_bpm,tcf_d_bpm,tcf_obpm,tcf_d_obpm,tcf_dbpm,tcf_d_dbpm,tcf_ts,tcf_d_ts,tcf_efg,tcf_d_efg,tcf_ast_per,tcf_d_ast_per,tcf_tov_per,tcf_d_tov_per,tcf_orb_per,tcf_d_orb_per,tcf_drb_per,tcf_d_drb_per,tcf_stl_per,tcf_d_stl_per,tcf_blk_per,tcf_d_blk_per,tcf_ftr,tcf_d_ftr,tcf_tp3_pct,tcf_d_tp3_pct,tcf_tpar,tcf_d_tpar,tcf_tpa100,tcf_d_tpa100,tcf_porpag,tcf_d_porpag,tcf_minper,tcf_d_minper,tcf_pts_pg,tcf_d_pts_pg,tcf_reb_pg,tcf_d_reb_pg,tcf_ast_pg,tcf_d_ast_pg
Pe60cc64195,2023,18,0.529412,20.8,0.4,121.6,1.7,127.804,3.729,100.089,4.0601,96.556,3.6519,8.0346,0.59299,3.88257,0.44721,4.15203,0.14578,61.19,2.3,57.4,1.7,10.6,2,13,0.9,8,-0.1,15.5,-0.7,1.8,0.2,5.7,-0.2,32.2,3.6,0.386,-0.008,0.435644,0.0330462,8.4941,0.49839,4.80408,0.4856,85.3,0.9,15.8333,0.6862,6.6111,-0.3595,1.6111,0.2582
Pe661d7acde,2019,18,0.5625,21.9,-0.3,97.5,-6.7,107.32,-4.582,108.538,10.0194,99.7846,6.1314,4.37862,-2.16031,0.582961,-0.786469,3.79566,-1.37383,52.2,-1.11,49.1,0.1,9,-3.2,19.3,2.4,7.4,-1,18.9,-1.7,1.5,-0.4,6.3,-1.7,60.4,-4,0.278,-0.003,0.213018,-0.00174735,3.5337,-0.04093,2.30122,-0.37854,83.5,4.5,12.6111,-0.3577,7.7222,-0.8403,1.2778,-0.5347
Pe666c9e1f4,2013,18,0.529412,23.3,-0.6,114.3,3.4,124.947,4.363,103.381,5.3263,98.2678,4.1605,5.76395,-0.94586,4.89462,-0.39594,0.869324,-0.549926,56.71,4.03,53.4,3.7,12.6,-1,13.5,0.3,6.5,-0.7,12,0.1,2.3,-0.1,0.2,-0.7,30,5.7,0.36,0.02,0.399103,0.0701558,9.05182,0.88421,4.80647,0.65518,87.2,2.6,16.0556,0.2909,4.9444,-0.4085,2.0556,0.0262
Pe6a7666c97,2021,16,0.571429,24.4,0.9,107.2,1.2,118.872,2.964,100.079,1.4233,93.9173,0.9621,8.16509,1.09975,3.60885,0.26909,4.55624,0.83066,57.99,2.23,55,2.7,8.9,-3.3,18.5,0.7,6.6,0.3,15.7,0.5,2.9,0.6,7.8,1.2,16.6,-2.4,0.402,0.048,0.487437,-0.0289027,11.2018,-0.0223,3.689,0.59169,79.1,6.3,15.5625,2.2768,6.5,0.6786,1.375,-0.4107
Pe6bde91a1f,2011,18,0.529412,23.9,-0.2,117.7,3.2,117.928,-1.536,93.0197,-5.0909,93.5578,-2.1358,4.72201,-0.48668,0.990538,-0.729532,3.73147,0.24286,59.78,1.89,57.9,2.5,4,-2,11.3,-2,9.1,0,24.7,0.4,1.6,0.2,11.8,2,64.7,7.6,0.417,0.053,0.055814,0.00254519,1.11757,0.03156,3.51008,-0.2206,79.9,-1.1,18.6667,0.7843,10.1111,-0.0065,0.7222,-0.3366
Pe6c95cf044,2024,20,0.588235,18.8,-1.1,131.4,12.1,131.629,9.529,99.336,2.1977,97.6688,2.0475,8.41911,1.10215,4.27899,0.85072,4.14012,0.25143,64.63,3.47,59.3,3.6,7.3,0.3,10.8,-3.8,8.7,-0.1,14.9,-0.4,2.5,-0.2,6.2,1.2,44.5,-5.7,0.359,0.012,0.428571,0.0369857,6.89538,0.71851,5.06266,1.09321,84.7,-0.6,14.25,0.45,6.4,-0.6571,1.4,0.1143
Pe6c9de6d86,2020,1,0.0714286,19.9,-3.8,108.1,-17,114.894,-15.861,100.341,-5.249,92.3682,-12.6398,7.05143,0.83767,3.30828,-2.93711,3.74315,3.77478,58.35,-10.18,64.3,-1.6,7.2,0.3,7.4,-4.2,2.9,0.4,19,5.1,4.4,2.1,5.3,2.7,21.4,-9.3,0.667,0.145,0.428571,-0.132404,8.89795,-4.18765,3.99937,-1.52993,5.4,-33.4,18,-5,7,2.1429,1,0.0714
Pe6ceea2b5e,2010,18,0.580645,14.8,-1.9,112.8,3.2,110.237,2.02,108.578,9.3514,99.0901,3.9507,5.3898,-0.82548,0.312782,0.501531,5.07702,-1.32701,60.21,0.51,58.5,0.3,3.2,0,17,-0.5,9.2,-0.1,18,0.8,1,0.1,10.9,-3.7,51.7,-8.6,,,0,0,0,0,2.741,0.54672,80.6,10.3,9.8333,0.2204,7.9444,0.9444,0.5,0.0806
Pe6fe5c747b,2017,18,0.461538,23.5,-1.3,125.9,5.3,132.669,1.738,73.6705,-5.4037,73.8442,-3.373,8.08746,-1.40071,1.34825,-1.23324,6.73921,-0.16747,67.81,-2.51,62.9,-4.7,1.6,-2.8,14.1,-6.1,11.9,-0.3,28.5,5.3,2.1,0.6,10.9,1.1,72.3,0.8,0.556,0.08,0.0891089,-0.0123404,1.57263,-0.17476,2.77709,0.19772,44.6,1.5,10.2222,0.2222,6.6667,0.7693,0.1667,-0.2436
Pe71646e585,2015,18,0.5,27.9,1.1,103.7,-2.2,121.751,0.907,98.2106,8.6106,90.3145,5.9026,6.57589,-0.48765,3.76956,-0.18415,2.80633,-0.30351,48.64,-2.22,43.9,-1.8,20.9,1.2,12.2,-1.9,3.2,-0.6,13,-0.9,3.1,-0.4,0.3,-0.2,27.7,-6.1,0.31,0.004,0.302158,0.000814703,8.14683,0.61275,4.27136,0.23443,89.5,2.6,17,-0.0833,5.0556,-0.5,3.2222,0.2222
