pid,dvs_impact_resid_cons,dvs_length_pc1,dvs_impact_pct,dvs_cohort_offset_d,dvs_tall,dvs_athl_pc1,dvs_cons_hype_resid,gls_stl40,gls_t100_spg,gls_ast40,gls_close_d_gmsc40,gls_close_d_ts,gls_late_d_ast40,gls_ncaa_d_stl40,gls_d100_efg,gls_pase_neg,gls_ncaa_d_tov40,scs_intangibles,scs_athleticism,scs_leadership,scs_defense,scs_nbaready,tcs_first_bpm,tcs_seasons_span,tcs_age_at_season,tcs_pct_age_bpm,tcs_pct_age_stl,tcs_conf_tourn_wins,tcs_bpm_first_to_last,tcs_pct_age_obpm,tcs_bpm_share,tcs_champion,wts_years_hs_to_draft,wts_hs_track,wts_hs_football,wts_transferred,wts_hs_multisport,nb_tc_first_bpm,nb_gl2_stl40,nb_gl2_t100_spg,nb_tc_seasons_span,nb_gl2_ast40,nb_sc_intangibles,nb_tc_age_at_season,nb_dv_impact_resid_cons,nb_gl2_close_d_gmsc40,nb_gl2_close_d_ts,nb_dv_length_pc1,nb_gl2_late_d_ast40,nb_gl2_ncaa_d_stl40,nb_gl2_d100_efg,nb_tc_pct_age_bpm,nb_dv_impact_pct,nb_tc_pct_age_stl,nb_sc_intang_lead,nb_gl2_pase_neg,nb_gl2_ncaa_d_tov40,nb_wt_years_hs_to_draft,nb_gl2_d100_gmsc40,nb_gl2_g_all,nb_wt_hs_track,nb_gl2_t50_fg
P23152d31e2,-0.4670289159763765,0.0524671114186448,0.8247422680412371,,1.0,-1.9345666264239596,-2.5518513305032755,,,,,,,,,,,8.0,8.0,7.0,8.0,8.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,8.0,,-0.4670289159763765,,,0.0524671114186448,,,,,0.8247422680412371,,7.5,,,,,,0.0,
P65b97df144,,2.515074282949816,,,1.0,0.4472616814618995,,,,,,,,,,,,8.0,8.0,7.0,9.0,7.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,8.0,,,,,2.515074282949816,,,,,,,7.5,,,,,,0.0,
Pd018d62aee,12.753440143765468,-1.6084424621363556,1.0,,0.0,,0.7409775989296223,,,,,,,,,,,9.0,7.0,9.0,7.0,7.0,,,,,,,,,,,,,,0.0,,,,,,,9.0,,12.753440143765468,,,-1.6084424621363556,,,,,1.0,,9.0,,,,,,,
P7a95b991f4,-2.2795907456702436,-0.5165239543931175,0.4742268041237113,,0.0,2.2180192300817647,-1.5370226532268898,0.9449,0.692,2.4803,-3.0357,-0.03687,0.2257,-0.1089,-0.00444,0.0,-0.0162,9.0,8.0,8.0,7.0,9.0,-2.01122,3.0,22.7406,0.897321,0.223214,0.0,7.97625,0.936607,0.148557,0.0,5.0,0.0,0.0,1.0,0.0,-2.01122,0.9449,0.692,3.0,2.4803,9.0,22.7406,-2.2795907456702436,-3.0357,-0.03687,-0.5165239543931175,0.2257,-0.1089,-0.00444,0.897321,0.4742268041237113,0.223214,8.5,0.0,-0.0162,5.0,0.5519,36.0,0.0,0.45225
Pa245962e52,-5.919168241931519,-0.6788294876043954,0.1855670103092783,137.0,0.0,1.2808504721070275,-0.7574184332529661,0.8889,0.529,2.2519,-2.3293,0.04026,-0.7655,-0.982,-0.01075,0.0,-0.3805,8.0,8.0,7.0,8.0,7.0,2.56195,1.0,19.1513,0.771739,0.247826,2.0,0.0,0.793478,0.047144,0.0,1.0,0.0,0.0,0.0,0.0,2.56195,0.8889,0.529,1.0,2.2519,8.0,19.1513,-5.919168241931519,-2.3293,0.04026,-0.6788294876043954,-0.7655,-0.982,-0.01075,0.771739,0.1855670103092783,0.247826,7.5,0.0,-0.3805,1.0,-1.724,24.0,0.0,0.42373
P473649a3ff,1.5052709945865068,-3.8206299536082735,0.9175257731958762,-12.0,0.0,2.6326852190446064,-1.087574255279068,3.4346,2.579,6.1571,2.7957,0.03664,0.1786,,0.02316,-1.9481,,8.0,7.0,8.0,8.0,8.0,10.5482,1.0,19.5592,0.993478,0.993478,0.0,0.0,0.997826,0.305042,0.0,1.0,0.0,0.0,0.0,0.0,10.5482,3.4346,2.579,1.0,6.1571,8.0,19.5592,1.5052709945865068,2.7957,0.03664,-3.8206299536082735,0.1786,,0.02316,0.993478,0.9175257731958762,0.993478,8.0,-1.9481,,1.0,0.5964,33.0,0.0,0.56
P2a77fa93f7,-1.7768380401149946,-0.4378606686501423,0.6185567010309279,118.0,0.0,0.7490410456034644,-0.8267194038169074,1.179,0.769,4.3231,-4.7623,-0.07799,-1.9333,-0.8653,-0.04023,0.0,-0.4091,8.0,8.0,7.0,8.0,7.0,7.07534,1.0,19.2033,0.971739,0.523913,3.0,0.0,0.958696,0.0917504,1.0,1.0,0.0,0.0,0.0,0.0,7.07534,1.179,0.769,1.0,4.3231,8.0,19.2033,-1.7768380401149946,-4.7623,-0.07799,-0.4378606686501423,-1.9333,-0.8653,-0.04023,0.971739,0.6185567010309279,0.523913,7.5,0.0,-0.4091,1.0,-2.1463,34.0,0.0,0.40506
P74240d498b,-3.2701420138993447,-3.856112517452405,0.3298969072164948,182.0,0.0,,0.4265834469018199,1.7742,0.842,6.7204,-5.4235,-0.06496,0.3947,,-0.01399,-1.9481,,8.0,7.0,8.0,7.0,7.0,4.54889,1.0,19.0281,0.897826,0.754348,0.0,0.0,0.98913,0.102484,0.0,1.0,0.0,0.0,0.0,0.0,4.54889,1.7742,0.842,1.0,6.7204,8.0,19.0281,-3.2701420138993447,-5.4235,-0.06496,-3.856112517452405,0.3947,,-0.01399,0.897826,0.3298969072164948,0.754348,8.0,-1.9481,,1.0,-2.0913,32.0,0.0,0.46199
P9f04775c7a,-3.0320070492866487,-0.6377064755915344,0.3608247422680412,60.0,0.0,1.8566337516668496,-0.2009015798530868,1.3455,0.833,1.7455,-1.2819,-0.06323,-0.8411,-0.836,-0.01548,-0.9481,-0.5059,7.0,8.0,8.0,7.0,7.0,5.03865,1.0,19.3621,0.915217,0.619565,1.0,0.0,0.971739,0.153765,0.0,1.0,0.0,0.0,0.0,0.0,5.03865,1.3455,0.833,1.0,1.7455,7.0,19.3621,-3.0320070492866487,-1.2819,-0.06323,-0.6377064755915344,-0.8411,-0.836,-0.01548,0.915217,0.3608247422680412,0.619565,7.5,-0.9481,-0.5059,1.0,-1.9689,35.0,0.0,0.36726
P4bd2cd3d34,,-1.5567145662347357,,,0.0,0.5390776487456966,,,,,,,,,,,,8.0,7.0,8.0,8.0,7.0,3.52416,1.0,18.486,0.833333,0.12963,1.0,0.0,0.907407,0.13503,0.0,1.0,0.0,1.0,0.0,1.0,3.52416,,,1.0,,8.0,18.486,,,,-1.5567145662347357,,,,0.833333,,0.12963,8.0,,,1.0,,,0.0,
P429241cb33,-5.446219338166657,-2.106471998705765,0.1649484536082474,94.0,0.0,1.2267546753074094,0.0668313427116924,1.99,1.312,5.7214,0.7491,-0.06973,-0.1573,,-0.00314,,,7.0,7.0,7.0,8.0,7.0,2.48676,1.0,19.269,0.767391,0.86087,1.0,0.0,0.871739,0.102958,0.0,1.0,0.0,0.0,0.0,0.0,2.48676,1.99,1.312,1.0,5.7214,7.0,19.269,-5.446219338166657,0.7491,-0.06973,-2.106471998705765,-0.1573,,-0.00314,0.767391,0.1649484536082474,0.86087,7.0,,,1.0,-1.0224,27.0,0.0,0.47581
P32ff4229d3,1.6284257846018892,-1.5736366067134857,0.865979381443299,-110.0,0.0,4.102735859225415,-0.6281961171327253,1.9841,1.571,4.0744,-1.53,-0.06679,0.3503,,-0.03596,,,7.0,9.0,8.0,8.0,8.0,1.38204,3.0,21.8289,0.991346,0.897115,2.0,8.42781,0.974038,0.476194,0.0,3.0,0.0,0.0,1.0,0.0,1.38204,1.9841,1.571,3.0,4.0744,7.0,21.8289,1.6284257846018892,-1.53,-0.06679,-1.5736366067134857,0.3503,,-0.03596,0.991346,0.865979381443299,0.897115,7.5,,,3.0,-1.4824,32.0,0.0,0.4717
Pb0cd5d409b,6.0204703455606765,5.394151817088842,0.9896907216494846,232.0,1.0,-2.848654637489155,-0.2891901750467149,0.9114,0.538,2.6835,-12.9397,-0.13685,0.5457,0.5007,-0.01404,0.0,-0.1262,8.0,7.0,8.0,9.0,7.0,12.6992,2.0,19.8932,0.997826,0.31087,3.0,1.9046,0.993478,0.163121,1.0,2.0,0.0,0.0,0.0,0.0,12.6992,0.9114,0.538,2.0,2.6835,8.0,19.8932,6.0204703455606765,-12.9397,-0.13685,5.394151817088842,0.5457,0.5007,-0.01404,0.997826,0.9896907216494846,0.31087,8.0,0.0,-0.1262,2.0,-1.859,35.0,0.0,0.59524
P2bc6f2a3aa,2.9646804600168197,1.263105371877496,0.8969072164948454,124.0,1.0,-0.5698186187512881,0.9484760649649728,1.5845,1.143,3.8647,0.3806,-0.02456,0.0415,0.0621,0.02307,0.0,0.0154,8.0,7.0,8.0,7.0,8.0,5.32082,2.0,20.1889,0.996104,0.71039,0.0,5.20578,0.977922,0.256513,0.0,2.0,0.0,0.0,0.0,0.0,5.32082,1.5845,1.143,2.0,3.8647,8.0,20.1889,2.9646804600168197,0.3806,-0.02456,1.263105371877496,0.0415,0.0621,0.02307,0.996104,0.8969072164948454,0.71039,8.0,0.0,0.0154,2.0,-0.9113,36.0,0.0,0.49738
