pid,tcfs_bpm,tcfs_stl_per,tcfs_obpm,tcfs_d_ts,tcfs_minper,tcfs_ast_per,tcfs_ortg,tcfs_d_usg
P13f00227af,6.44968,3.0,4.15111,-1.57,70.8,8.2,109.6,-0.8
P13f5a8ca49,5.63332,2.0,3.81051,-4.22,74.3,12.1,112.0,1.3
P1402e898dc,9.33871,2.3,4.27269,3.77,75.0,12.8,120.6,-1.1
P1424b0c02d,6.94184,2.7,2.12922,-3.6,80.5,8.3,106.2,0.8
P142c728ffd,2.56969,2.6,0.974248,0.07,70.9,22.3,97.0,-0.1
P1464c171bc,-1.30546,2.0,-1.24649,-1.04,89.7,20.6,93.8,0.0
P146ec7320a,9.06923,1.5,5.31109,-4.15,79.1,15.9,110.7,1.5
P14882ceff6,12.0756,5.0,5.96275,-0.96,61.8,10.5,115.2,1.1
P1497c83aba,0.98793,1.0,0.704194,1.05,73.4,10.8,107.2,0.0
P14a01dedf9,3.48333,2.6,3.93682,-5.22,87.4,17.3,100.0,-0.5
P14a31d76da,1.58557,1.2,-2.08423,-4.75,77.3,10.2,85.4,0.4
P14fdb083b4,,,,,,,,
P150b11f782,5.12908,1.6,5.48609,4.67,90.8,40.7,110.9,-0.4
P152905cef4,2.44665,1.6,-0.0500442,-2.85,79.8,15.8,91.5,-0.6
P155e770e32,9.09221,1.7,4.85112,2.58,67.6,20.6,133.4,-0.7
P1597c7370a,8.85704,1.9,5.16793,-1.39,86.2,20.9,121.0,-0.7
P15b4774186,8.29712,2.2,7.83775,0.21,97.8,32.4,117.9,0.7
P15b5ca7021,8.92422,3.8,5.89946,-3.64,90.5,33.7,109.4,0.3
P15b8c13058,5.90387,1.7,1.13629,-2.94,81.1,10.4,106.6,-1.3
P15f2c20d7d,17.0776,1.4,14.5144,19.66,17.8,16.8,149.0,5.5
P163aa00374,18.7069,2.8,8.74054,5.2,83.6,4.6,146.2,0.2
P163e85d6f0,7.71686,1.5,5.83626,2.37,83.1,23.5,112.4,1.0
P16938f3fa9,7.8469,2.9,7.74628,-2.08,76.0,48.6,111.2,1.6
P16997d7184,6.25003,1.8,3.63007,-2.8,78.6,7.1,113.9,-1.3
P169cb5be9a,7.67199,2.7,5.26828,-3.87,75.7,11.2,118.7,0.5
P16b88a2183,5.16702,1.8,4.69516,-3.58,76.5,18.0,106.7,1.2
P16bd14d8e6,5.72525,2.1,3.37356,2.49,87.5,29.4,102.2,-0.2
P16bfe45561,5.69358,1.5,3.45532,0.99,80.9,36.9,107.9,0.3
P16c24a4b1f,4.78975,1.3,1.98667,-6.03,69.3,15.5,99.0,-0.2
P16dc90cb0b,6.7618,1.6,5.34507,-2.44,78.1,9.5,118.7,-0.9
P16e9d60aa9,7.08986,4.1,2.75638,0.27,77.8,24.8,104.6,-0.2
P16f60c6002,7.61022,1.8,6.59738,-3.86,83.5,10.0,122.3,0.5
P16f77dc0c6,14.1017,3.9,7.84131,-0.65,83.5,34.1,127.1,0.1
P170284fab5,10.565,3.7,3.07226,-2.06,65.1,11.5,104.2,0.2
P1715fe72c5,5.49993,2.1,4.13402,-1.48,75.2,16.5,110.7,0.1
P1723d857f7,14.225,2.4,2.9483,0.98,44.6,5.8,131.0,-0.8
P1738f63a26,4.8116,1.9,5.16118,-3.26,91.5,33.2,111.4,0.8
P173da90181,4.04789,2.7,0.946676,-5.1,84.2,13.4,92.1,0.4
P17a4a5cfae,13.0928,2.6,3.69281,-0.26,82.3,11.3,109.1,1.3
P17aee771c1,1.4541,2.8,1.62479,-0.29,88.9,34.7,98.0,1.2
P17f11f33c2,,,,,,,,
P1804943702,2.78227,1.9,2.61493,-6.32,71.0,12.6,110.2,0.1
P18c14dbf8f,4.19963,1.2,2.31551,-1.48,89.2,12.7,101.5,-0.8
P18f1dedfcb,7.49143,3.4,5.39605,-1.93,63.4,13.6,111.8,2.8
P18facb688d,8.80629,1.5,5.53116,-1.09,77.9,18.0,119.7,-0.9
P1945d13d34,2.34034,0.9,4.22799,0.1,87.0,4.0,114.5,0.2
P198bb02a0c,4.74957,2.6,5.03931,-1.25,86.5,28.4,105.1,0.8
P19913201dd,6.67031,1.5,5.35565,1.38,89.8,31.5,111.9,0.3
P19a9559b15,6.85742,2.4,5.73097,-1.66,83.8,22.6,109.4,0.1
P19aaf87bc8,4.53933,1.9,0.365995,-1.41,69.9,10.0,92.6,-1.5
P19ae0a39ff,10.2237,4.1,6.50664,-2.54,74.9,11.5,119.0,0.7
P19dba9c1fd,,,,,,,,
P1a135db58f,2.92044,2.1,1.45128,-3.83,66.6,36.4,95.4,1.5
P1a41a85440,2.1033,1.2,0.658895,-3.9,76.6,12.8,95.0,-1.5
P1a46c41bff,5.0786,1.4,0.974348,-2.0,74.4,10.5,109.9,-0.2
P1a8bbe3efe,6.5558,2.6,4.84564,-0.53,87.7,24.3,100.7,0.9
P1a8fd8dc98,6.55509,3.4,3.78225,-0.14,94.2,31.4,114.5,0.8
P1b1aa3dc82,5.86582,1.2,7.7099,1.77,99.2,35.4,120.3,0.6
P1b292d5147,7.71483,1.7,3.11035,-1.11,90.9,8.1,112.6,0.2
P1ba89514b1,3.75076,0.9,2.29128,-2.04,81.1,6.9,111.6,1.3
P1c43036b93,7.12618,2.6,4.32534,2.92,78.1,8.2,115.8,-0.2
P1c44c138bb,4.24835,1.9,1.12707,0.83,56.8,2.8,115.0,-0.8
P1c48d6e24b,4.82862,2.6,4.02543,-1.87,90.8,38.2,107.0,-1.3
P1ca581fef0,8.3473,3.2,7.67825,1.2,87.6,33.0,113.3,-0.7
P1cb017a474,5.44951,2.2,4.48663,-2.25,74.2,13.0,111.2,0.6
P1ccfa6c1ee,14.1601,0.4,9.29891,-0.3,80.9,15.6,129.6,0.4
P1cf3ac09b1,6.81861,2.2,6.79081,2.21,84.9,36.8,112.3,0.8
P1d6fd5f29a,4.46119,1.3,3.9733,0.59,89.5,20.8,104.5,1.6
P1dca1ecf2b,5.34051,1.4,2.73557,-0.77,76.6,8.2,109.4,-2.3
P1ddfe32e8c,6.42499,2.6,3.74087,2.69,86.1,24.0,119.5,0.0
P1e1b55c58c,5.13932,1.8,6.46174,0.85,50.2,53.5,108.7,0.2
P1e22570fac,6.76471,4.2,2.38471,-7.83,20.7,11.2,99.8,1.0
P1e59a7a7a1,3.75468,3.2,1.45791,-0.47,71.1,6.2,102.8,-1.0
P1ea9c7c88d,9.23119,3.1,6.25932,-3.53,83.1,18.7,115.5,0.9
P1edb3aa5e4,-3.55637,1.8,1.32535,-3.35,89.5,8.4,101.2,-1.0
P1ee807d537,4.62263,3.1,4.14266,-0.3,72.5,22.4,114.2,-0.8
P1f0712d029,4.06944,2.0,-0.665213,-3.36,82.1,13.3,89.7,0.2
P1f2e422e9e,-0.647342,1.7,0.756851,-0.09,76.9,25.9,93.9,0.6
P1f3e01b488,9.14995,2.1,4.57695,-0.22,78.9,10.1,121.3,0.2
