draft_year,player,pick,war5,r,colin_rank,outcome_rank,pick_rank,pid,bio_age_at_draft,cons_mock_consensus_rank,hs_rsci_rank,col_impact,col_ts_pct,col_fg3_pct,col_ast_pct,path,bio_height_in,steal,our_rank
2020,Isaac Okoro,5.0,6.346773252972839,0.75,15.0,17.0,5.0,P7699b7f669,19.81,8.0,36.0,5.74774,58.51,0.286,13.1,college_2008plus,78.0,-12.0,9.0
2020,Isaiah Joe,49.0,10.92777584872534,0.5541666666666667,28.0,11.0,49.0,P866e6f90bf,21.38,38.5,,3.74544,54.44,0.342,10.0,college_2008plus,76.5,38.0,41.0
2020,Isaiah Stewart,16.0,5.951738636796776,0.5166666666666666,29.0,18.0,16.0,Pe0b660d280,19.49,21.833333333333332,2.0,5.72264,62.92,0.25,6.3,college_2008plus,80.5,-2.0,13.0
2020,Jaden McDaniels,28.0,12.765880047629585,0.1541666666666666,54.0,10.0,28.0,Pa7dbf13041,20.14,24.333333333333332,7.0,2.19221,51.52,0.339,14.4,college_2008plus,82.0,18.0,52.0
2020,Jahmi'us Ramsey,43.0,-0.5567585204390064,0.5833333333333333,25.0,50.0,43.0,P429838957d,19.44,30.0,30.0,5.25895,54.42,0.426,16.1,college_2008plus,75.7,-7.0,38.0
2020,Jalen Harris,59.0,0.3102427839932144,0.3374999999999999,44.0,31.0,59.0,P641ed83c9a,22.26,,,5.64841,56.07,0.362,26.5,college_2008plus,76.2,28.0,33.0
2020,Jalen Smith,10.0,5.569016178613239,0.8958333333333333,7.0,21.0,10.0,P90a7395cb0,20.68,15.833333333333334,16.0,9.73514,62.65,0.368,6.1,college_2008plus,82.2,-11.0,6.0
2020,James Wiseman,2.0,-4.2403874911234585,0.9875,2.0,58.0,2.0,Pba698d642d,19.64,3.0,1.0,13.8093,75.98,,4.4,college_2008plus,85.0,-56.0,2.0
2020,Jay Scrubb,55.0,-0.4601430843575509,0.1041666666666666,57.0,47.0,55.0,Pee12c1b431,20.21,52.0,,,,,,college_pre2008_or_unlinked,78.2,8.0,44.0
2020,Jordan Nwora,45.0,-1.886484812737693,0.2541666666666666,47.0,55.0,45.0,P9cddcdc1ad,22.19,46.5,73.0,5.90938,56.85,0.402,8.4,college_2008plus,79.0,-10.0,53.0
2020,Josh Green,18.0,2.1414138406165715,0.8291666666666667,9.0,25.0,18.0,P0cd98a270c,20.01,23.0,13.0,6.72755,52.69,0.361,16.0,college_2008plus,77.5,-7.0,34.0
2020,Justinian Jessup,51.0,0.0,0.475,31.0,37.0,51.0,,,,,,,,,,,14.0,
2020,KJ Martin,52.0,0.28,0.3625,38.0,32.0,52.0,P625909539a,19.87,,,,,,,college_pre2008_or_unlinked,79.0,20.0,42.0
2020,Killian Hayes,7.0,-4.144413644861989,0.375,37.0,57.0,7.0,Pfe5913c014,19.31,7.4,,,,,,international,77.0,-50.0,19.0
2020,Kira Lewis Jr.,13.0,-0.0053792165631829,0.5958333333333333,24.0,39.0,13.0,P0df73941d8,19.62,14.25,,4.78994,55.93,0.364,27.7,college_2008plus,73.0,-26.0,28.0
2020,LaMelo Ball,3.0,18.14284548312848,0.6625,21.0,6.0,3.0,P3ff36ffdc1,19.24,3.6666666666666665,,,,,,college_pre2008_or_unlinked,80.0,-3.0,7.0
2020,Leandro Bolmaro,23.0,-0.5082626008568364,0.4333333333333333,32.0,49.0,23.0,P87be528da0,20.19,25.5,,,,,,international,78.0,-26.0,39.0
2020,Malachi Flynn,29.0,1.4096376370378896,0.7166666666666667,18.0,26.0,29.0,P69f4c7679c,22.53,32.25,,10.4193,58.25,0.368,30.2,college_2008plus,74.0,3.0,12.0
2020,Marko Simonovic,44.0,-0.0320209888357153,0.3875,34.0,41.0,44.0,P04b95b58e0,20.7,,,,,,,international,84.0,3.0,45.0
2020,Nick Richards,42.0,0.3606218342585368,0.0875,58.0,30.0,42.0,P2b95cb9990,22.97,54.0,18.0,5.49276,67.36,,1.7,college_2008plus,83.5,12.0,57.0
2020,Nico Mannion,48.0,-0.3496298236778888,0.0833333333333333,59.0,44.0,48.0,Pc2d24d5902,19.68,23.666666666666668,6.0,3.605,52.07,0.327,31.5,college_2008plus,75.0,4.0,56.0
2020,Obi Toppin,8.0,10.183938666604291,0.9375,5.0,12.0,8.0,P41612ab4e2,22.71,5.2,,10.1577,68.4,0.39,14.5,college_2008plus,81.0,-4.0,26.0
2020,Onyeka Okongwu,6.0,14.466235220212823,0.9625,3.0,8.0,6.0,P6232d5a44f,19.94,7.6,19.0,11.4267,64.6,,8.4,college_2008plus,81.0,-2.0,4.0
2020,Patrick Williams,4.0,1.1519172941606344,0.7708333333333333,14.0,27.0,4.0,P272ac40c3c,19.23,10.0,29.0,4.71126,55.11,0.32,8.4,college_2008plus,79.0,-23.0,14.0
2020,Paul Reed,58.0,6.717724415548629,0.65,22.0,16.0,58.0,P170284fab5,21.43,37.333333333333336,,10.0563,56.21,0.294,11.1,college_2008plus,81.2,42.0,8.0
2020,Payton Pritchard,26.0,14.706245057610689,0.775,13.0,7.0,26.0,Pf46613d969,22.81,48.5,45.0,8.38475,60.08,0.415,31.6,college_2008plus,74.0,19.0,16.0
2020,Precious Achiuwa,20.0,3.63660299503151,0.6875,19.0,24.0,20.0,Pb7d583a85a,21.17,14.8,14.0,3.93534,53.4,0.325,7.5,college_2008plus,80.7,-4.0,20.0
2020,R.J. Hampton,24.0,-4.50922999168998,0.3833333333333333,35.0,59.0,24.0,P3c885ec031,19.78,15.0,,,,,,college_pre2008_or_unlinked,76.0,-35.0,27.0
2020,Reggie Perry,57.0,-0.8654693292334328,0.3541666666666667,39.0,52.0,57.0,P9d5ce33ec0,20.66,39.0,,7.17338,58.71,0.324,16.1,college_2008plus,81.2,5.0,18.0
