31,-2,37,9.6,,Russell Robinson,,51,43,27,34,32,318,,6-2,WG,"New York, NY",Kansas
32,1,38,14.6,,Roy Bright,,18,36,58,43,33,317,,6-6,WF,"Durham, NC",Cincinnati
33,19,39,14.5,,Gabriel Pruitt,,59,22,46,39,29,310,,6-3,PG,"Compton, CA",Southern Cal
34, ,40,18.3,,Cedric Simmons,,30,39,71,35,24,306,,6-9,PF,"Shallotte, NC",NC State
34,-7,NA,NA,,Shawne Williams,,26,32,19,,21,306,,6-8,PF,"Memphis, TN",Memphis
36, ,46,13.4,,Josh Wright,,64,28,40,44,52,277,,6-0,PG,"Utica, NY",Syracuse
37,4,46,14.5,,Greg Stiemsma,,42,41,45,70,31,276,,6-11,C,"Randolph, WI",Wisconsin
38,2,46,19.3,,Ronald Steele,,69,61,24,30,48,273,,6-2,PG,"Brimingham, AL",Alabama
39,-2,48,17.8,,Bryce Taylor,,31,38,50,42,77,267,,6-4,WG,"North Hollywood, CA",Oregon
40,21,NA,NA,,Dorell Wright,*,14,,12,12,,265,,6-7,WF,"South Kent, CT",NBA
40,2,NA,NA,,Isaiah Swann,*,36,,35,32,36,265,,6-2,WG,"Chatham, VA",Florida State
40,-8,48,11.9,,Brian Johnson,,52,35,41,66,46,265,,6-10,PF,"Arlington, VA",Louisville
43,-8,49,20.8,,Alexander Kaun,,44,58,34,80,28,261,,6-11,C,"Melbourne, FL",Kansas
44,-1,49,11.5,,Steven Hill,,67,53,37,46,43,259,,6-11,C,"Branson, MO",Arkansas
45,1,51,8.2,,Jason Horton,,53,37,59,53,51,252,,6-0,PG,"Cedar Hill, TX",Missouri
46,10,NA,NA,,Sean Singletary,*,35,,56,27,35,251,,5-11,PG,"Philadelphia, PA",Virginia
47,-2,51,11.9,,Alfred Horford,,68,48,36,47,56,250,,6-9,C,"Grand Ledge, MI",Florida
47,6,51,10.0,,Marshall Brown,,48,44,42,67,54,250,,6-6,WF,"Austin, TX",Missouri
49,-11,53,9.5,,James Gist,,41,65,53,48,60,238,,6-8,PF,"Wheaton, MD",Maryland
49,-6,53,11.8,,Dion Dowell,,72,40,48,54,53,238,,6-7,WF,"Texas City, TX",Texas
51,4,55,21.3,,Justin Cerasoli,,20,52,76,59,66,232,,6-5,PG,"Aurora, IL",Seton Hall
51,-4,55,14.5,,Ra'Sean Dickey,,37,55,55,77,49,232,,6-9,C,"Bennettsville, SC",Georgia Tech
53,-15,56,26.3,,JamesOn Curry,,27,60,72,31,88,227,,6-2,WG-PG,"Mebane, NC",Oklahoma State
54,-5,56,19.0,,Drew Neitzel,,81,42,68,56,34,224,,5-11,PG,"Wyoming, MI",Michigan State
55,1,60,32.7,,Quentin Thomas,,40,94,96,28,40,207,,6-4,PG,"Oakland, CA",North Carolina
56,16,NA,NA,,Churchill Odia,,45,27,,62,65,205,,6-6,WF,"Rockville, MD",Xavier
57,5,NA,NA,,Josh Shipp,,56,46,43,58,,201,,6-5,WG,"Los Angeles, CA",UCLA
58,-8,62,8.5,,Charles Rhodes,,60,59,52,64,75,195,,6-8,PF,"Jackson, MS",Mississippi State
59,-8,62,15.8,,Charles Thomas,,83,67,49,68,44,194,,6-7,PF,"Jackson, MS",Arkansas
60,25,NA,NA,,Andrew Brackman,,43,,93,33,42,193,,6-8,PF,"Cincinnati, OH",NC State
61,2,63,9.9,,Marquie Cooke,,49,69,57,65,74,191,,6-3,WG,"Suffolk, VA",Virginia Tech
62,-4,64,13.8,,Shane Foster,,58,49,82,74,55,187,,6-6,WF,"Kenner, LA",Vanderbilt
63,-3,65,9.9,,Kalen Grimes,,61,57,63,82,61,181,,6-8,PF,"Florissant, MO",Missouri
64,7,NA,NA,,Andre Blatche,,,2,,,20,180,,6-10,C,"Syracuse, NY",prep school
65,-11,NA,NA,,Dayshawn Wright,,,33,51,51,92,177,,6-7,PF,"Syracuse, NY",Syracuse
66,-7,66,2.6,,Mohammed Tangara,,65,68,64,69,63,176,,6-9,PF,"Durham, NC",Arizona
67,8,66,18.8,,Alex Galindo,,79,51,65,90,45,175,,6-6,WF,"Newark, NJ",Kansas
68,1,69,17.7,,Darnell Jackson,,86,89,54,52,62,162,,6-9,PF,"Oklahoma City, OK",Kansas
69,-4,69,8.1,,Chester Giles,,70,77,62,76,59,161,,6-11,C,"Seattle, WA",Kansas
70,-7,70,6.8,,Jamar Butler,,66,81,69,63,69,157,,6-2,PG,"Lima, OH",Ohio State
71,-4,71,15.8,,David McClure,,54,88,86,72,57,148,,6-5,WF,"Stamford, CT",Duke
72,-6,NA,NA,,Joakim Noah,*,39,,75,75,68,147,,6-8,PF,"New York, NY",Florida
73,14,NA,NA,,Lee Cummard,,74,,,29,64,136,,6-6,WG,"Mesa, AZ",BYU
74,5,NA,NA,,Josh Heytvelt,,90,80,,49,50,135,,6-8,PF,"Clarkston, WV",Gonzaga
74,2,74,25.3,,Jeremis Smith,,92,91,39,55,93,135,,6-7,WF,"Fort Worth, TX",Georgia Tech
76,-4,77,16.4,,A. J. Ratliff,,55,100,77,83,72,118,,6-2,WG,"North Indianapolis, IN",Indiana
77,2,78,13.1,,Shawn Pruitt,,93,74,78,85,58,117,,6-7,PF,"Aurora, IL",Illinois
78,-4,NA,NA,,Gavin Grant,,77,63,,87,70,107,,6-6,WG-WF,"Bronx, NY",NC State
79,-11,NA,NA,,Albert Weber,,,79,47,,71,106,,6-5,WG,"Durham, NC",Alabama
80,-3,80,13.7,,Lorenzo Mata,,94,92,73,61,80,105,,6-9,PF,"South Gate, CA",UCLA
81, ,NA,NA,,Keith Benjamin,,,54,,50,,98,,6-3,WG,"Mt. Vernon, NY",Pittsburgh
82,9,NA,NA,,DeSean White,,76,56,79,,96,97,,6-7,PF,"Philadelphia, PA",Providence
83,-14,NA,NA,,Ronald Coleman,,73,87,95,57,,92,,6-6,WF,"Romulus, MI",Michigan
84,4,NA,NA,,Walter Sharpe,,,73,44,,95,91,,6-9,C,"Birmingham, AL",Mississippi State
85,new,NA,NA,,Zam Frederick,,57,78,,95,90,84,,6-2,PG-WG,"St. Matthews, SC",Georgia Tech
86,-1,NA,NA,,Devon Hardin,,71,64,89,,97,83,,6-9,C,"Newark, CA",California
87,-6,NA,NA,,Maarty Leunen,,,93,60,79,91,81,,6-9,PF,"Redmond, OR",Oregon
88, ,NA,NA,,David Pendergraft,,,47,,89,94,73,,6-6,WF,"Brewster, WV",Gonzaga
89,6,NA,NA,,Nick Young,*,99,,,36,,67,,6-5,WF,"Cleveland, CA",Southern Cal
89,7,NA,NA,,Lorenzo Wade,*,63,,87,86,,67,,6-5,WF-WG,"Las Vegas, NV",Louisville
91,new,NA,NA,,Anthony Morrow,,95,,94,60,89,66,,6-6,WG,"Charlotte, NC",Georgia Tech
91,-1,NA,NA,,DeAaron Williams,,,45,,91,,66,,6-5,WF,"Bartonville, IL",Wisconsin
93,-9,NA,NA,,James Hardy,,,83,80,100,78,63,,6-5,WF,"Ft. Wayne, IN",Indiana
94,new,NA,NA,,Rahshon Clark,*,,,67,73,,62,,6-7,WF,"Far Rockaway, NY",Iowa State
95,-2,NA,NA,,Brian Laing,,80,66,,,,56,,6-5,WG,"Bronx, NY",Seton Hall
96,new,NA,NA,,Sam Perry,,62,,,,86,54,,6-6,PF-WF,"Piedmont, SC",Clemson
97,new,NA,NA,,Longar Longar,*,78,,,71,,53,,6-10,C-PF,"Laurinburg, NC",Oklahoma
97,-1,NA,NA,,Robert Kurz,*,,,85,84,81,53,,6-8,WF,"Lower Gwynedd, PA",Notre Dame
99,new,NA,NA,,Alex Thompson,,,62,,88,,52,,6-9,PF,"Ames, IA",Iowa
100,new,NA,NA,,Channing Toney,,85,,84,,83,51,,6-4,WG,"Snellville, GA",Georgia
100,new,NA,NA,,Toney Douglas,,,,66,,85,51,,6-2,PG,"Jonesboro, GA",Auburn
100,-7,NA,NA,,Jackie Butler,*,50,,,,,51,,6-10,C,"Laurinburg, NC",NBA
