,,,,,,Rankings from: June 2009,,,,,,,,,,,,,* - denotes 5th year or prep school player,
,,,,,,,,!,!,!,!,!,!,!,,,,,! - updated or new rankings,
RSCI,Chg,Avg,Dev,,,,5yr,DT,RC,HM,RH,PS,SI,AS,Total,,Ht,Pos,City,College
81,new,80,13.8,,,Andrew Fitzgerald,,85,70,98,82,,68,64,139,,6-8,C,"Owings Mills, MD",Oklahoma
82,new,NA,NA,,,John Riek,*,,,57,,9,,,136,,7-1,C,"Bradenton, FL",Mississippi State
82,-8,75,9.5,,,Anthony Marshall,,79,66,74,,,85,65,136,,6-2,WG,"North Las Vegas, NV",UNLV
84,new,NA,NA,,,Lamont Jones,,,68,,95,57,,51,133,,5-11,PG,"Aston, PA",
85,-31,NA,NA,,,DaShonte Riley,,92,,100,73,80,58,71,132,,6-11,C,"Beverly Hills, MI",Syracuse
86,10,NA,NA,,,Devin Booker,,65,96,92,61,67,,,124,,6-7,PF,"Union, SC",Clemson
87,new,NA,NA,,,Talib Zanna,,63,,65,,,,53,122,,6-8,C,"Forestville, MD",Pittsburgh
88,new,85,12.9,,,Derrick Nix,,73,69,79,93,,97,76,119,,6-9,C,"Detroit, MI",Michigan State
89,-19,NA,NA,,,Donnavan Kirk,,75,,91,65,68,88,,118,,6-8,PF,"Beverly Hills, MI",Miami (FL)
89,new,NA,NA,,,Keith Clanton,,68,,,70,79,,69,118,,6-8,PF,"Orlando, FL",Central Florida
91,-4,NA,NA,,,"Glen Rice, Jr",,,45,,88,53,,,117,,6-4,WG,"Marietta, GA",Georgia Tech
92,-15,NA,NA,,,Cory Jefferson,,,51,82,,99,89,73,111,,6-9,C,"Killeen, TX",Baylor
93,new,NA,NA,,,Tony Mitchell,,,,,53,54,,,95,,6-6,WF,"Birmingham, AL",Alabama
94,-9,NA,NA,,,Clarence Trent,*,,,83,91,72,66,,92,,6-7,PF,"Henderson, NV",Washington
95,-15,NA,NA,,,Rashanti Harris,,,54,86,84,91,,,89,,6-8,C,"Columbus, NC",Georgia State
95,new,NA,NA,,,Cadarian Raines,,60,,93,68,94,,,89,,6-8,C,"Petersburg, VA",Virginia Tech
97,-4,NA,NA,,,Chris Colvin,,100,99,96,72,77,77,,85,,6-2,PG,"Chicago, IL",Iowa State
98,-15,NA,NA,,,Aaron Dotson,,,89,85,,,45,,84,,6-4,WG,"Seattle, WA",LSU
99, ,NA,NA,,,Khris Middleton,,,,,71,82,82,87,82,,6-6,WF,"Charleston, SC",Texas A&M
100,new,NA,NA,,,Derrick Williams,,94,,,,,72,56,81,,6-7,PF,"La Mirada, CA",USC
