,,,,,Rankings from: June 2010,,,,,,,,,,,,
,,,,,,!,!,!,!,!,!,,,,,! - updated or new rankings,
RSCI,Chg,Avg,Dev,,,RH,HM,DT,PS,RC,SI,Total,,Ht,Pos,City,College
77,-15,79,8.6,,Jason Morris,85,79,84,69,87,67,135,,6-4,WF,"Lakeville, CT",Georgia Tech
78,-13,NA,NA,,Jeremy Lamb,73,77,88,58,76,,133,,6-4,WG,"Norcross, GA",Connecticut
79,-9,79,13.2,,Juwan Staten,,82,70,,49,71,132,,5-10,PG,"Dayton, OH",Dayton
80,-26,79,13.2,,Evan Smotrycz,80,83,98,71,59,84,131,,6-8,PF,"New Hampton, NH",Michigan
81,-3,NA,NA,,Rod Odom,37,,,81,92,66,128,,6-8,WF,"Concord, MA",Vanderbilt
82,17,78,11.8,,Bryce Jones,81,73,69,,97,69,116,,6-4,WF,"Woodland Hills, CA",USC
83,new,NA,NA,,Kadeem Jack,,,43,46,,,113,,6-8,PF,"Manhattan, NY",prep school
84,2,NA,NA,,Terone Johnson,94,75,73,,51,,111,,6-2,PG,"Indianapolis, IN",Purdue
85,-9,NA,NA,,Matt Derenbecker,86,78,77,93,77,87,108,,6-7,WF,"Metairie, LA",LSU
86,4,NA,NA,,Trae Golden,92,93,89,64,63,,104,,6-1,WG,"Powder Springs, GA",Tennessee
87,-7,NA,NA,,Justin Martin,,,87,,86,46,84,,6-6,WF,"Indianapolis, IN",Xavier
88,6,NA,NA,,Cody Larson,89,66,,65,,,83,,6-8,WG,"Sioux Falls, SD",Florida
89,-7,NA,NA,,Jarell Eddie,,74,81,,70,,78,,6-6,WF,"Concord, NC",Virginia Tech
90,-3,NA,NA,,Dwayne Polee,65,100,,61,,,77,,6-6,WF,"Los Angeles, CA",St. John's
90,7,NA,NA,,Keith Davis,68,,,57,,,77,,6-9,C,"DeSoto, TX",Texas A&M
92,-3,NA,NA,,Russell Byrd,,87,82,,,61,73,,6-7,WF,"Fort Wayne, IN",Michigan State
93,-12,NA,NA,,Melvin Tabb,90,,,87,88,74,65,,6-8,PF,"Raleigh, NC",Wake Forest
94,-9,NA,NA,,Markel Starks,,,85,,80,76,62,,6-1,PG,"North Bethesda, MD",Georgetown
95,-7,NA,NA,,Evan Anderson,76,,,68,,,58,,6-11,C,"Eau Claire, WI",Wisconsin
96,new,NA,NA,,C.J. Fair,,,90,,94,63,56,,6-7,WF,"Baltimore, MD",Syracuse
97,new,NA,NA,,Demarco Cox,95,86,,,83,85,55,,6-8,C,"Yazoo City, MS",Mississippi
98,new,NA,NA,,Alex Kirk,,80,76,,,99,48,,6-11,C,"Los Alamos, NM",New Mexico
98,new,NA,NA,,C.J. Aiken,75,,,,79,,48,,6-9,C,"Plymouth Meeting, PA",St. Joseph's
100,-9,NA,NA,,Ralston Turner,,85,,,,70,47,,6-4,WG,"Muscle Shoals, AL",LSU
