,,,,,Rankings from: June 2007,,,,,,,,,,,,,* - denotes 5th year or prep school player,
,,,,,,,,!,,!,!,!,!,,,,,! - updated rankings,
RSCI,Chg,Avg,Dev,,,5yr,HS,RC,HM,DT,PS,RH,AS,Total,,Ht,Pos,City,College
62,new,NA,NA,,Marcus Morris,,46,,51,31,,,53,223,,6-8,WF,"Philadelphia, PA",Memphis
63,6,NA,NA,,Tyrel Reed,,45,,83,84,48,49,80,217,,6-2,PG,"Burlington, KS",Kansas
64,21,NA,NA,,Tracy Smith,*,,46,54,70,41,85,,209,,6-7,PF,"Durham, NC",NC State
65,12,70,5.1,,Demetri McCamey,,65,68,77,71,77,84,65,200,,6-4,PG,"Westchester, IL",Illinois
66,-23,NA,NA,,Jeff Jones,,,76,72,85,62,50,62,199,,6-4,WG,"Drexel Hill, PA",Virginia
66,-4,NA,NA,,Rakim Sanders,,78,,,86,50,47,45,199,,6-6,WG,"Barrington, RI",Boston College
68,-28,62,22.9,,Corey Chandler,,30,62,74,82,92,,68,198,,6-1,PG,"Newark, NJ",Rutgers
69,-23,NA,NA,,Braxton Dupree,,61,,70,90,70,60,67,188,,6-8,PF,"Baltimore, MD",Maryland
69,-65,NA,NA,,Bill Walker,*,,7,,7,,,,188,,6-5,WF,"Cincinnati, OH",Kansas State
71,8,NA,NA,,Dorenzo Hudson,*,88,,76,74,59,70,60,179,,6-4,WG,"Chatham, VA",Virginia Tech
72,-35,NA,NA,,Edwin Rios,,63,,69,97,44,,54,178,,6-1,PG,"Hollywood, FL",Miami (FL)
73,-54,NA,NA,,Julian Vaughn,,50,,81,77,54,68,,175,,6-10,PF,"Reston, VA",Florida State
74,new,86,3.9,,Malcolm Delaney,,91,83,88,83,49,88,55,170,,6-3,PG,"Towson, MD",Virginia Tech
75,-25,NA,NA,,Dallas Lauderdale,,,,,93,38,38,74,161,,6-8,C,"Solon, OH",Ohio State
76,new,NA,NA,,Jason Henry,,,52,58,60,,83,,151,,6-7,WF,"West Memphis, AR",Cincinnati
77,new,NA,NA,,Gus Gilchrist,,,,,55,43,56,,149,,6-9,C,"Fort Washington, MD",Virginia Tech
78,new,NA,NA,,Dominique Sutton,,,99,71,50,66,74,,145,,6-4,WF,"Patterson, NC",Kansas State
79,new,NA,NA,,Beas Hamga,,,26,38,,95,,,144,,7-0,C,"Decatur, IL",UNLV
80,new,NA,NA,,Justin Burrell,,,50,50,,87,75,,142,,6-8,PF,"Bronx, NY",St John's
80,-12,NA,NA,,Jeremy Price,,,75,84,,74,72,58,142,,6-8,C,"Decatur, GA",Georgia
82,new,77,11.6,,Clint Chapman,,71,69,73,94,,,59,139,,6-9,C,"Canby, OR",Texas
83,new,NA,NA,,Jeff Allen,,,73,67,,67,61,,136,,6-7,PF,"Hyattsville, MD",Virginia Tech
84,-39,NA,NA,,George Goode,,,95,80,76,76,99,70,110,,6-8,PF,"Raytown, MO",Louisville
85,new,NA,NA,,Jeff Brooks,,,,75,66,,57,,105,,6-8,PF,"Louisville, KY",Penn State
86,5,NA,NA,,Ravern Johnson,,74,,89,80,,94,64,104,,6-7,WF,"Clarksdale, MS",Mississippi State
87,new,NA,NA,,Maurice Miller,,83,92,95,,80,87,66,103,,6-2,PG,"Memphis, TN",Georgia Tech
88,new,NA,NA,,Jon Leuer,,,77,85,89,91,73,93,98,,6-10,PF,"Long Lake, MN",Wisconsin
89,new,77,21.0,,Bradley Wanamaker,,49,88,97,73,,,,97,,6-3,WG,"Philadelphia, PA",Pittsburgh
90,new,79,10.6,,Eli Holman,,66,80,92,78,,,,88,,6-9,C,"Richmond, CA",Indiana
91,-36,NA,NA,,Trevor Mbakwe,,90,,,,71,86,73,84,,6-8,PF,"Mendota Heights, MN",Marquette
92,new,NA,NA,,Markieff Morris,,,,,62,,,57,83,,6-10,PF,"Philadelphia, PA",Memphis
93,new,NA,NA,,Brandon McGee,,64,,90,92,,,78,80,,6-7,PF,"Chicago, IL",Indiana
94,new,NA,NA,,Martavius Adams,,,87,87,91,,,61,78,,6-9,C,"Irwinton, GA",Oklahoma State
95,-22,NA,NA,,Darnell Gant,,,93,,,78,77,79,77,,6-8,PF,"Los Angeles, CA",Washington
96,-37,NA,NA,,Michael Holmes,,,,,87,75,65,,76,,6-7,PF,"Bishopville, SC",South Carolina
97,3,NA,NA,,Mamadou Diarra,*,,66,61,,,,,75,,6-10,PF-C,"Tarzana, CA",USC
98,-21,NA,NA,,Tyrone Shelley,,75,64,,,,,,63,,6-6,WF,"San Diego, CA",Pepperdine
99,-68,NA,NA,,Leonard Washington,,70,,,,,,72,60,,6-6,WF,"Lake Charles, LA",USC
100,-12,NA,NA,,Steven Gray,,,61,,,,,83,58,,6-2,WG,"Bainbridge Island, WA",Gonzaga
