37,37,37, ,39,11.3,,Malik Beasley,33,28,54,43,49,27,372,,6-4,WG,"Alpharetta, GA",Florida State
38,34,37,-3,39,5.0,,Jalen Coleman-Lands,38,34,42,39,47,34,372,,6-3,PG,"La Porte, IN",Illinois
39,66,39,27,45,13.1,,Kerwin Roach,50,47,60,34,24,52,339,,6-3,WG,"Houston, TX",Texas
40,23,40,-17,46,22.3,,Elijah Thomas,23,31,49,29,68,77,329,,6-9,C,"Lancaster, TX",Texas A&M
41,41,41, ,48,15.8,,Raymond Spalding,49,57,31,63,61,26,319,,6-9,PF,"Louisville, KY",Louisville
42,46,42,4,48,11.2,,Jessie Govan,53,67,51,40,36,43,316,,6-10,C,"Bronx, NY",Georgetown
43,39,43,-4,49,24.5,,Derrick Jones,26,30,82,49,76,32,311,,6-6,WF,"Wayne, PA",UNLV
44,42,44,-2,50,7.5,,Daniel Giddens,41,59,55,51,53,41,306,,6-10,C,"Marietta, GA",Ohio State
45,47,45,2,52,9.4,,Dejounte Murray,60,49,39,46,56,64,292,,6-4,WG,"Seattle, WA",Washington
46,40,46,-6,54,12.4,,KJ Lawson,35,44,63,54,69,56,285,,6-6,WF,"Memphis, TN",Memphis
47,44,47,-3,54,9.2,,Eric Davis,47,45,50,59,70,55,280,,6-3,WG,"Saginaw, MI",Texas
48,53,48,5,55,25.8,,Chance Comanche,81,93,47,32,35,40,278,,6-9,C,"Los Angeles, CA",Arizona
49,50,49,1,56,16.1,,Esa Ahmad,46,46,56,72,37,78,271,,6-7,PF,"Cleveland, OH",West Virginia
50,54,50,4,56,16.9,,Charles Matthews,36,42,78,48,62,72,268,,6-6,WG,"Chicago, IL",Kentucky
51,45,51,-6,58,16.0,,Austin Grandstaff,45,50,58,44,86,66,257,,6-4,WG,"Rockwall, TX",Ohio State
52,47,52,-5,59,8.2,,Marquese Chriss,57,60,53,56,51,74,255,,6-6,PF,"Elk Creek, CA",Washington
53,67,53,14,59,17.1,,Tevin Mack,88,48,67,61,39,53,250,,6-6,WF,"Columbia, SC",Texas
54,74,54,20,60,12.2,,Stephen Thompson,65,63,52,50,50,81,245,,6-3,WG,"Torrance, CA",Oregon State
55,60,55,5,62,12.3,,Bennie Boatwright,56,87,57,57,57,57,235,,6-9,WF,"Sun Valley, CA",USC
56,,56,new,NA,NA,,LaGerald Vick,55,51,36,,,28,234,,6-5,WG,"Memphis, TN",Kansas
57,43,57,-14,NA,NA,,Brandon Sampson,51,,62,42,38,79,233,,6-4,WG,"Baton Rouge, LA",LSU
58,51,58,-7,63,16.5,,Horace Spencer,39,61,77,71,81,49,228,,6-8,PF,"Henderson, NV",Auburn
59,38,58,-20,63,13.3,,Ted Kapita,68,71,65,53,79,42,228,,6-9,C,"Melbourne, FL",Arkansas
60,56,60,-4,63,21.6,,Aaron Holiday,75,88,40,60,80,36,227,,6-1,PG,"Valley Village, CA",UCLA
61,61,61, ,64,12.9,,Chris Clarke,61,54,79,68,75,45,224,,6-5,WG,"Virginia Beach, VA",Virginia Tech
62,65,62,3,NA,NA,,Steve Enoch,,,44,58,34,47,221,,6-9,PF,"Norwalk, CT",Connecticut
63,72,63,9,NA,NA,,Justin Patton,,,24,45,48,69,218,,6-10,C,"Omaha, NE",Creighton
64,47,64,-17,65,13.7,,KeVaughn Allen,48,56,69,67,88,61,217,,6-2,WG,"North Little Rock, AR",Florida
65,55,65,-10,66,8.0,,Jimmy Whitt,69,77,70,55,59,68,208,,6-4,WG,"Columbia, MO",Arkansas
66,76,66,10,68,20.2,,King McClure,58,36,96,78,73,67,198,,6-3,WG,"Dallas, TX",Baylor
67,64,67,-3,69,13.6,,Matthew McQuaid,63,69,85,84,52,58,195,,6-5,WF,"Duncanville, TX",Michigan State
68,58,68,-10,69,17.2,,Moustapha Diagne,40,58,80,77,87,70,194,,6-9,PF,"Sparta, NJ",Syracuse
69,63,68,-5,69,18.9,,Jeremy Hemsley,62,65,73,74,40,98,194,,6-3,WG,"La Verne, CA",San Diego State
70,68,68, ,69,6.8,,Danjel Purifoy,66,66,66,69,82,63,194,,6-6,WF,"Centreville,AL",Auburn
71,,71,new,NA,NA,*,Jamal Murray,,,12,,,10,180,,6-5,WG,"Toronto, Canada",Kentucky
72,70,72,-2,72,12.5,,Tyler Lydon,73,76,68,64,58,94,173,,6-9,PF,"New Hampton, NH",Syracuse
73,59,73,-14,NA,NA,,Doral Moore,74,72,,70,65,60,164,,7-0,C,"Locust Grove, GA",Wake Forest
74,,73,new,NA,NA,,Thon Maker,,,,9,29,,164,,7-0,C,"Toronto, Canada",class of 2016
75,57,75,-18,74,13.6,,Noah Dickerson,76,52,86,81,63,85,163,,6-8,PF,"Montverde, FL",Washington
76,86,76,10,NA,NA,,Marcus LoVett,71,,76,62,41,,154,,5-10,PG,"San Gabriel, CA",St. John's
77,71,77,-6,NA,NA,,Brevin Pritzl,,,59,79,45,71,150,,6-3,WG,"De Pere, WI",Wisconsin
78,62,78,-16,NA,NA,,DJ Williams,59,64,46,,,91,144,,6-6,WF,"Chicago, IL",Illinois
79,68,79,-11,NA,NA,,Franklin Howard,64,94,84,86,42,,135,,6-4,WG,"Fairfax, VA",Syracuse
80,75,80,-5,NA,NA,,Glynn Watson,67,73,83,82,,82,118,,6-0,PG,"Westchester, IL",Nebraska
81,77,81,-4,NA,NA,,Corey Sanders,79,62,,75,72,,116,,6-1,PG,"Lakeland, FL",Rutgers
82,95,82,13,NA,NA,,Kevarrius Hayes,70,70,,,,48,115,,6-9,PF,"Live Oak, FL",Florida
83,,83,new,NA,NA,,Maverick Rowan,,,37,,,62,103,,6-7,WF,"Fort Lauderdale, FL",
84,,84,new,NA,NA,,Jaquan Lyle,,,48,,,54,100,,6-4,PG,"Bradenton, FL",Ohio State
85,94,85,9,NA,NA,,Ed Morrow,54,53,,,,,95,,6-7,PF,"Chicago, IL",Nebraska
86,79,85,-6,NA,NA,,Admon Gilder,94,68,,65,96,87,95,,6-2,WG,"Dallas, TX",Texas A&M
87,73,87,-14,85,12.8,,Haanif Cheatham,93,85,95,76,98,65,94,,6-6,WF,"Fort Lauderdale, FL",Marquette
88,,88,new,NA,NA,,Trevor Manuel,,,,52,60,,90,,6-9,PF,"Mouth of Wilson, VA",Oregon
89,84,89,-5,NA,NA,,Shake Milton,,79,100,66,94,88,78,,6-4,WG,"Owasso, OK",SMU
90,,90,new,NA,NA,,Kenny Williams,85,84,,89,74,,72,,6-2,WG,"Chesterfield, VA",VCU
91,78,91,-13,NA,NA,,Tres Tinkle,80,91,88,93,,83,70,,6-6,WF,"Missoula, MT",Oregon State
92,,92,new,NA,NA,,Keith Stone,,82,71,94,93,,64,,6-7,WF,"Deerfield Beach, FL",Florida
93,80,93,-13,NA,NA,,Marcus Derrickson,78,89,97,87,91,,63,,6-7,PF,"Fairfax, VA",Georgetown
94,87,94,-7,NA,NA,,Bryant Crawford,,,75,80,89,,59,,6-3,PG,"Washington, DC",Wake Forest
95,,95,new,NA,NA,,Justin Robinson,,,61,,83,,58,,6-1,PG,"Saint James, MD",Virginia Tech
96,95,96,-1,NA,NA,,Matt Heldt,,,74,,71,,57,,6-10,C,"Neenah, WI",Marquette
97,,97,new,NA,NA,,Moritz Wagner,,,,,,46,55,,6-9,PF,"Berlin, Germany",Michigan
98,83,98,-15,NA,NA,,AJ Harris,82,80,92,,,,49,,5-9,PG,"Dayton, OH",Ohio State
99,,98,new,NA,NA,,Kobie Eubanks,,,64,,,89,49,,6-5,WG,"Delray Beach, FL",Alabama
100,92,98,-6,NA,NA,,Quinndary Weatherspoon,,,89,,64,,49,,6-5,WG,"Camden, MS",Mississippi State
