35,13,41,21.8,,Courtney Fells,,44,78,24,30,30,299,,6-6,WF,"Shannon, MS",NC State
36,-2,42,16.3,,Theo Davis,,28,35,39,37,70,296,,6-9,C,"Bayside, NY",Iowa State
36,4,42,12.9,,Dominic James,,29,45,61,31,43,296,,6-1,PG,"Richmond, IN",Marquette
38,-9,44,14.6,,Michael Mercer,,60,54,22,40,44,285,,6-4,WG,"Snellville, GA",Georgia
39,-15,46,21.1,,Eric Boateng,,27,42,82,42,36,276,,6-11,C,"Middletown, DE",Duke
39,-9,46,12.6,,Fendi Onobun,,47,55,27,41,59,276,,6-7,PF,"Alief, TX",Arizona
41,-13,47,18.9,,Chris Douglas-Roberts,,30,29,75,50,51,270,,6-5,WG,"Detroit, MI",Memphis
42,18,49,13.8,,Uche Echefu,,46,73,45,45,37,259,,6-8,PF,"Rockville, MD",Florida State
43,-5,50,24.9,,Tiki Mayben,,39,17,57,52,85,255,,6-2,PG,"Troy, NY",Syracuse
44,-1,NA,NA,,Terrance Williams,,26,53,,26,47,252,,6-5,WG,"Seattle, WA",Louisville
45,12,52,22.7,,Roderick Flemings,,79,71,26,36,46,247,,6-6,WF,"DeSoto, TX",Oklahoma State
46, ,53,17.2,,Ryan Wright,,38,38,80,53,56,240,,6-8,PF,"Mississauga, ON",UCLA
47,-10,NA,NA,,Tyler Smith,,71,23,34,,39,237,,6-6,WF,"Pulaski, TN",prep school?
48,-1,NA,NA,,Vernon Goodridge,*,32,,52,47,38,235,,6-9,C,"Philadelphia, PA",Mississippi State
49,-23,NA,NA,,Davon Jefferson,,37,8,,,27,231,,6-8,WF,"Lynwood, CA",UNLV
50, ,55,18.4,,Devan Downey,,81,65,36,55,40,228,,5-10,PG,"Chester, SC",Cincinnati
51,-11,56,23.8,,Marcus Johnson,,54,22,59,57,89,224,,6-6,WF,"Los Angeles, CA",Connecticut
52, ,57,27.3,,Alonzo Gee,,100,61,33,59,34,218,,6-6,WG,"Palm Beach Gardens, FL",Alabama
53,15,NA,NA,,Jeff Adrien,*,48,,41,39,61,215,,6-6,PF,"Brookline, MA",Connecticut
53,new,NA,NA,,Martynas Pocius,,45,,40,49,55,215,,6-4,WG-WF,"Plymouth, NH",Duke
55,-10,59,7.8,,Kevin Rogers,,49,63,54,69,60,210,,6-8,PF,"Dallas, TX",Baylor
56,25,NA,NA,,Wilson Chandler,,,52,44,54,53,201,,6-7,WF,"Benton Harbor, MI",DePaul
57,-2,62,23.9,,Jerel McNeal,,51,36,99,70,54,195,,6-2,WG,"Hillcrest, IL",Marquette
58,39,NA,NA,,Sam Young,*,43,,71,43,57,190,,6-6,WF,"Chatham, VA",Pittsburgh
58,36,NA,NA,,Shawn Taggart,*,88,,35,46,45,190,,6-11,C,"Richmond, VA",Iowa State
60,-21,NA,NA,,Jamal Boykin,,25,30,,74,88,187,,6-7,PF,"Los Angeles, CA",Duke
61,-13,64,24.7,,Wes Matthews,,40,44,85,56,95,185,,6-3,PG,"Madison, WI",Marquette
62,-1,NA,NA,,Bryan Harvey,,89,31,37,63,,184,,6-5,WF,"Compton, CA",Louisville
63,-10,NA,NA,,Derwin Kitchen,,,46,68,48,73,169,,6-3,WG,"Jacksonville, FL",Florida
64,1,NA,NA,,Reginald Delk,,,67,73,58,49,157,,6-4,WG,"Jackson, TN",Mississippi State
65,-10,NA,NA,,Jovan Adams,*,75,,25,72,76,156,,6-1,PG,"Houston, TX",UNLV
66,-13,70,14.4,,Terrel Harris,,74,59,64,61,94,153,,6-5,WG,"Garland, TX",Oklahoma State
66,-3,NA,NA,,Leo Criswell,*,42,,,44,64,153,,6-8,PF,"Kansas City, KS",Missouri
66,8,NA,NA,,Antonio Anderson,*,85,,56,68,42,153,,6-5,PG,"Pittsfield, ME",Memphis
69,9,NA,NA,,Dior Lowhorn,,67,47,67,71,,152,,6-6,WF,"Berkeley, CA",Texas Tech
70,new,72,10.4,,Brian Asbury,,80,87,65,65,65,143,,6-6,WF,"Miami, FL",Miami (FL)
71,-13,73,16.5,,Tyrell Biggs,,62,58,78,67,99,141,,6-8,PF,"Ramsey, NJ",Pittsburgh
72,11,NA,NA,,Tyree Evans,*,52,,60,60,96,136,,6-3,WG,"Winchedon, MA",Cincinnati
73,-1,NA,NA,,David Weaver,,61,39,,73,,130,,6-9,C,"Swannanoa, NC",Wake Forest
73,4,NA,NA,,Ricky Sanchez,,66,80,62,66,,130,,6-11,PF,"Bradenton, FL",NBA
75,16,NA,NA,,Danny Williams,,58,16,,,,128,,6-3,WG,"Los Angeles, CA",prep school
76,-10,NA,NA,,Andre McGee,,53,34,,,,115,,5-10,PG,"Moreno Valley, CA",Louisville
76,-3,78,17.4,,Kevin Swinton,,83,91,89,79,48,115,,6-7,PF,"Greensboro, NC",Wake Forest
78,-4,NA,NA,,Rashad Woods,,,41,48,,,113,,6-7,WF,"Cleveland, TX",DePaul
79,6,NA,NA,,Alade Aminu,,57,,,89,50,107,,6-9,PF-C,"Stone Mountain, GA",Georgia Tech
80,-9,NA,NA,,Cassan Breeden,,,,55,64,78,106,,6-6,WF-PF,"Bennettsville, SC",Florida State
81,new,NA,NA,,Martellus Bennett,,84,21,,,,97,,6-6,PF,"Sugar Land, TX",Texas A&M (football)
81,-1,NA,NA,,Alfred Aboya,,78,62,83,84,,97,,6-9,C-PF,"Tilton, NH",UCLA
83,-21,NA,NA,,A.J. Abrams,,86,48,,75,,94,,5-10,PG,"Austin, TX",Texas
84,-15,NA,NA,,Jeremy Pargo,,65,84,,62,,92,,6-2,PG,"Chicago, IL",Gonzaga
84,new,83,10.8,,Cyrus McGowan,,92,95,77,80,69,92,,6-9,PF,"Meridian, MS",Arkansas
86,-5,NA,NA,,Gary Flowers,,,79,43,,,80,,6-8,PF,"Dallas, TX",Texas A&M
87,6,NA,NA,,Nate Minnoy,,64,60,,,,78,,6-3,WF,"Chicago, IL",Purdue
87,new,NA,NA,,J.R. Inman,,,85,81,83,77,78,,6-8,WF,"Montvale, NJ",Rutgers
89,-20,NA,NA,,K.C. Rivers,,70,56,,,,76,,6-4,WG,"Mouth of Wilson, VA",Clemson
90,-12,NA,NA,,Terry Martin,,,98,58,91,82,75,,6-5,WG,"Monroe, LA",Texas Tech
91,new,NA,NA,,Kenneth Cooper,,,,72,76,81,74,,6-10,PF,"Monroe, LA",Oklahoma State
92,-28,NA,NA,,Lawrence Hill,,82,70,97,82,,73,,6-8,PF,"Glendale, AZ",Stanford
93,new,NA,NA,,Levance Fields,,,81,88,88,75,72,,5-10,PG,"Brooklyn, NY",Pittsburgh
93,-9,NA,NA,,Adrian Thomas,,68,82,,81,,72,,6-7,PF,"Pembroke Pines, FL",Miami (FL)
95,new,NA,NA,,Denis Clemente,,72,96,,,66,69,,6-1,PG,"Miami, FL",Miami (FL)
96,new,NA,NA,,Austin Johnson,,,86,53,,,63,,6-3,WG,"Amarillo, TX",Oklahoma
97,-9,NA,NA,,Ryan Ayers,,,75,70,96,,62,,6-6,WF,"Ft. Washington, MD",Notre Dame
98,new,NA,NA,,Darren Collison,,,,100,78,67,58,,6-0,PG,"Etiwanda, CA",UCLA
99,new,NA,NA,,Kendric Price,,95,83,,98,71,57,,6-7,WF,"Cambridge, MA",Michigan
99,new,NA,NA,,Jared Carter,,,,,77,68,57,,7-1,C,"Georgetown, KY",Kentucky
