RSCI,Chg,Avg,Dev,,Player,ESPN,Rivals/On3,247Sports,Total,,Ht,Pos,City,College
86,new,NA,NA,,Dhani Miller,60,100,,42,,6-3,SG,"Montverde, FL",Kent State
87,-8,NA,NA,,Kevin Thomas,77,,85,40,,6-7,SF,"Montverde, FL",North Carolina
88,-6,88,11.6,,Joseph Hartman,94,75,96,38,,6-5,SG,"Gainesville, FL",Michigan
89,new,NA,NA,,Kalek House,65,,,36,,6-3,SG,"Chandler, AZ",Xavier
90,-15,NA,NA,,Sam Funches,,74,94,34,,6-10,C,"Madison, MS",Gonzaga
91,-6,NA,NA,,Gallagher Placide,86,,83,33,,6-8,PF,"Dallas, TX",Wake Forest
92,new,NA,NA,,Harris Reynolds,,69,,32,,6-5,SG,"Atlanta, GA",Clemson
92,-37,90,8.7,,Jalen Montonati,88,83,100,32,,6-7,SF,"Owasso, OK",Oklahoma State
92,6,90,10.8,,Willie Burnett III,78,95,98,32,,6-4,CG,"Springfield, VA",Mississippi State
95,-5,NA,NA,,Felipe Quinones,71,,,30,,6-4,CG,"Miami, FL",Florida Atlantic
96,new,NA,NA,,Aiden Chronister,95,,80,27,,6-6,SF,"Rogers, AR",Missouri
97,-1,NA,NA,,Cody Peck,100,,76,26,,6-10,C,"Davidson, NC",Dayton
98,-10,NA,NA,,Fred Smith Jr.,87,,90,25,,6-6,PF,"Memphis, TN",Memphis
99,new,NA,NA,,Trent Perry,89,,92,21,,6-4,SF,"Branson, MO",Kansas
100,new,NA,NA,,Favour Ibe,,82,,19,,7-1,C,"Lanham, MD",Virginia
100,-10,NA,NA,,Kendre Harrison,82,,,19,,6-7,C,"Reidsville, NC",Oregon
