,,,,,Rankings from: July 2018,,,,,,,,,,
,,,,,,,,,,,,,,,
RSCI,Chg,Avg,Dev,,,VC,ESPN,247Sports,Rivals,Total,,Ht,Pos,City,College
67,-3,70,15.6,,Brandon Johns,68,60,93,60,123,,"6’9""",PF,"East Lansing, MI",Michigan
68,-2,NA,NA,,Luther Muhammad,47,64,,70,122,,"6’3""",SG,"Jersey City, NJ",Ohio State
69,new,72,7.9,,Keyontae Johnson,78,70,79,62,115,,"6'5""",SF,"Oak Hill, WV",Florida
69,-5,72,13.2,,Jairus Hamilton,70,58,71,90,115,,"6’7""",CF,"Concord, NC",Boston College
71,3,73,7,,Devonaire Doutrive,71,72,65,82,114,,"6’4""",SG,"Inglewood , CA",Arizona
72,4,75,21.4,,Landers Nolley,92,93,66,49,104,,"6’6""",SF,"Fairborn, GA",Virginia Tech
73,5,NA,NA,,Matt Bradley,64,,81,55,103,,"6’4""",SG,"San Bernardino, CA",California
74,,NA,NA,,Ignas Brazdeikis,62,,41,,99,,"6’8""",CF,"Orangeville , ON, Canada",Michigan
75,5,NA,NA,,Jaedon LeDee,73,61,,78,91,,"6’7""",SF,"Houston, TX",Ohio State
76,,NA,NA,,Lugentz Dort,83,,33,,86,,"6’4""",SG,"Orlando, FL",Arizona State
77,-8,NA,NA,,Noah Locke,81,73,,64,85,,"6’2""",CG,"Owings Mills, MD",Florida
77,8,NA,NA,,Foster Loyer,82,71,,65,85,,"5’11""",PG,"Clarkston, MI",Michigan State
79,-7,82,8.3,,A.J. Green,77,78,77,94,78,,"6’2""",PG,"Cedar Falls, IA",Northern Iowa
80,,NA,NA,,Tyler Harris,53,,,72,77,,"5’10""",PG,"Memphis, TN",Memphis
81,,NA,NA,,Filip Petrusev,79,56,,95,73,,"6’10""",C,"Montverde, FL",Gonzaga
82,4,83,5.4,,J’Raan Brooks,84,84,89,76,71,,"6’8""",PF,"Seattle, WA",USC
83,-22,84,17.1,,David Singleton III,75,96,64,100,69,,"6’4""",SG,"Torrance, CA",UCLA
84,-1,85,14.6,,Eric Ayala,97,97,69,75,66,,"6’3""",CG,"Putnam, CT",Maryland
85,new,NA,NA,,Derek Culver,87,63,92,,61,,"6'10""",C,"Youngstown, OH",West Virginia
86,3,NA,NA,,Pete Nance,100,79,,67,57,,"6’8""",PF,"Richfield, OH",Northwestern
86,-26,NA,NA,,Matthew Mayer,63,95,88,,57,,"6’7""",SF,"Austin, TX",Baylor
88,-1,87,9.3,,Jermaine Harris,96,90,74,88,56,,"6’8""",PF,"Clinton, MD",Rhode Island
89,5,NA,NA,,James Akinjo,76,,,71,55,,"5’11""",PG,"Richmond, CA",Connecticut
90,new,NA,NA,,Miller Kopp,,,82,66,54,,"6’6""",SF,"Houston, TX",Northwestern
91,new,NA,NA,,A.J. Lawson,,,48,,53,,"6'6""",CG,"Mississauga, ON, Canada",South Carolina
92,-4,90,6.4,,Robby Carmody,99,85,86,91,43,,"6’4""",SG,"Mars, PA",Notre Dame
92,-21,90,12,,Prentiss Hubb,91,98,73,99,43,,"6’2""",SG,"Washington, DC",Notre Dame
92,-17,NA,NA,,Isaiah Mucius,85,74,,,43,,"6’8""",CF,"St. James, MD",Wake Forest
95,-3,NA,NA,,Bryce Hamilton,88,,,73,41,,"6’4""",SG,"Pasadena, CA",UNLV
95,new,NA,NA,,Elias Valtonen,,,60,,41,,"6'6""",SG,"Helsinki, Finland",Arizona State
95,-2,NA,NA,,Jared Butler,90,88,84,,41,,"6’3""",CG,"Reserve, LA",Alabama
98,2,NA,NA,,Immanuel Bates,80,83,,,39,,"6'9""",C,"Fayetteville, NC",NC State
99,new,NA,NA,,Noah Kirkwood,,,70,,31,,"6'7""",SG,"Northfield, MA",Harvard
100,new,NA,NA,,Colin Castleton,,,87,89,26,,"6'10""",PF,"Daytona Beach, FL",Michigan
100,-3,NA,NA,,Gabe Brown,89,87,,,26,,"6’8""",CF,"Bellevue, MI",Michigan State
