79,-3,NA,NA,,Myles Cale,71,77,,76,,79,,"6'3""",SG,"Middletown, DE",Seton Hall
81,-9,NA,NA,,Wabissa Bede,85,73,,73,95,78,,"6'1""",PG,"Ashburnham, MA",Virginia Tech
82,new,NA,NA,,Kellan Grady,,,93,65,68,77,,"6'3""",PG,"Northfield, MA",Davidson
83,3,84,10.0,,Kaleb Wesson,92,72,82,87,96,76,,"6'8""",C,"Westerville, OH",Ohio State
83,4,NA,NA,,Xavier Tillman,82,74,,86,86,76,,"6'8""",PF,"Grand Rapids, MI",Michigan State
85,new,NA,NA,,Branden Carlson,,,61,66,,75,,"6'10""",C,"South Jordan, UT",Utah
86,6,NA,NA,,Khalil Garland,70,58,,,,74,,"6'6""",SF,"Providence, RI",Arkansas
87,-3,NA,NA,,Justin Smith,65,91,95,,80,73,,"6'6""",SF,"Des Plaines, IL",Indiana
88,new,NA,NA,,JaMarko Pickett,,95,55,81,,72,,"6'7""",PF,"Washington, DC",Mississippi
89,1,NA,NA,,Darryl Morsell,,,64,67,,71,,"6'3""",SG,"Baltimore, MD",Maryland
90,new,NA,NA,,Mark Smith,,,80,55,,67,,"6'5""",SG,"Edwardsville, IL",Illinois
91,4,NA,NA,,Jacob Epperson,95,,65,79,,64,,"6'11""",C,"La Porte, IN",Creighton
92,1,NA,NA,,DeAundre Ballard,74,65,,,,63,,"6'6""",SG,"Atlanta, GA",Florida
93,-22,NA,NA,,Alex Reese,,,62,99,81,61,,"6'9""",PF,"Pelham, AL",Alabama
93,new,NA,NA,,Luke Garza,41,100,,,,61,,"6'11""",C,"Washington, DC",Iowa
93,2,NA,NA,,Terrance Lewis,80,61,,,,61,,"6'6""",SF,"Milwaukee, WI",Iowa State
96,-18,NA,NA,,Ty-Shon Alexander,87,78,,85,94,60,,"6'3""",SG,"Mouth of Wilson, VA",Creighton
97,-14,NA,NA,,Isaiah Stokes,84,62,,,,56,,"6'8""",C,"Memphis, TN",Florida
98,new,NA,NA,,Oscar da Silva,,,,,47,54,,"6'10""",PF,Germany,Stanford
99,new,NA,NA,,Hameir Wright,,,90,,61,51,,"6'7""",SF,"Albany, NY",Washington
99,-10,NA,NA,,Jordan Poole,100,51,,,,51,,"6'4""",SG,"Milwaukee, WI",Michigan
