18,-3,21,4.7,,Stanley Robinson,,25,25,14,21,23,16,482,,6-9,PF,"Birmingham, AL",Connecticut
19,2,22,7.3,,Robin Lopez,,19,27,28,27,21,9,475,,6-11,C,"Fresno, CA",Stanford
20, ,23,10.1,,Lance Thomas,,26,15,42,17,18,19,469,,6-8,WF,"Newark, NJ",Duke
21,1,23,3.9,,Mike Conley,,27,23,18,20,28,23,467,,6-1,PG,"Indianapolis, IN",Ohio State
22,1,23,4.9,,Duke Crews,,22,14,26,25,27,26,466,,6-7,PF,"Hampton, VA",Tennessee
23,1,NA,NA,,Paul Harris,*,11,,12,5,10,17,450,,6-4,WF,"Niagara Falls, NY",Syracuse
24,-6,27,13.4,,Earl Clark,,18,54,22,22,24,22,444,,6-7,WG,"Rahway, NJ",Louisville
25,8,28,7.1,,Brian Zoubek,,23,20,24,28,38,35,438,,7-0,C,"Haddonfield, NJ",Duke
26,10,29,8.2,,DaJuan Summers,,44,26,23,26,22,32,433,,6-8,PF,"Pomfret, MD",Georgetown
27,1,29,11.5,,Quincy Pondexter,,31,30,48,32,16,18,431,,6-7,WF,"Fresno, CA",Washington
28,2,29,21.0,,Jon Scheyer,,28,13,71,23,20,21,430,,6-5,WG,"North Glenbrook, IL",Duke
29,-3,32,12.6,,D.J. Augustin,,24,16,49,29,29,45,414,,6-0,PG,"New Orleans, LA",Texas
30,-5,33,3.9,,Curtis Kelly,,34,28,27,35,35,36,411,,6-9,PF,"New York, NY",Connecticut
31, ,35,5.9,,David Lighty,,35,46,36,34,31,29,395,,6-5,WG,"Cleveland, OH",Ohio State
32,-3,36,5.4,,Deshawn Sims,,30,44,31,38,32,38,393,,6-7,WF,"Detroit, MI",Michigan
33,-6,36,11.2,,Ramar Smith,,33,34,20,33,47,51,388,,6-3,WG,"Detroit, MI",Tennessee
34,-2,37,3.1,,Raymar Morgan,,36,42,33,37,34,37,387,,6-7,WF,"Canton, OH",Michigan State
35,-1,40,20.5,,Obi Muonelo,,54,36,19,30,26,74,367,,6-4,WG,"Edmond, OK",Oklahoma State
36,10,43,10.1,,Jerome Dyson,,42,40,52,53,43,25,351,,6-3,WG,"Andover, MA",Connecticut
37,3,43,17.1,,Scott Reynolds,,32,31,76,42,33,43,349,,6-1,PG,"Herndon, VA",Villanova
38,5,43,14.5,,James Keefe,,41,69,50,36,30,33,347,,6-8,PF,"Margarita, CA",UCLA
39,-1,45,13.4,,Alex Stepheson,,29,65,41,44,55,34,338,,6-9,C,"North Hollywood, CA",North Carolina
40,-5,NA,NA,,Davon Jefferson,*,15,,15,19,,20,335,,6-7,WF,"Lynwood, CA",USC
41,-4,46,5.8,,Willie Kemp,,46,39,53,46,40,52,330,,6-2,PG,"Bolivar, TN",Memphis
42,3,53,18.4,,Jason Bennett,,51,86,30,45,50,54,290,,7-1,C,"Jacksonville, FL",Kansas State
43,-2,53,21.3,,Deon Thompson,,43,87,72,40,36,39,289,,6-8,C-PF,"Torrance, CA",North Carolina
44,2,54,20.2,,Mike Jones,,49,93,40,43,41,55,285,,6-7,WF,"Hopkins, SC",Syracuse
45,-4,54,23.6,,Jerry Smith,,45,29,82,39,44,85,282,,6-3,WG,"Wauwatosa, WI",Louisville
46,-7,NA,NA,,Taj Gibson,*,40,,32,41,75,40,277,,6-8,PF,"Brooklyn, NY",USC
47,-1,55,10.8,,Patrick Christopher,,48,53,44,63,73,50,275,,6-3,WG,"Lakewood, CA",California
47,11,55,7.1,,Tom Herzog,,52,67,54,60,49,49,275,,7-0,C,"Flint, MI",Michigan State
49,-5,NA,NA,,Brian Carlwell,,37,,77,58,37,30,266,,6-10,C,"Maywood, IL",Illinois
50,1,58,15.0,,Jamie Skeen,,39,55,85,54,54,59,260,,6-8,PF,"Huntersville, NC",Wake Forest
51,7,NA,NA,,Jonathan Kreft,,50,,29,64,72,31,259,,7-0,C,"Parkland, FL",Florida State
52,1,58,17.3,,Derrick Jasper,,83,45,38,49,60,73,258,,6-4,PG-WG,"Paso Robles, CA",Kentucky
53,-4,NA,NA,,Michael Washington,*,47,,35,48,76,46,253,,6-9,C,"Cleveland, TX",Arkansas
54,8,59,17.2,,Wayne Chism,,86,61,34,51,57,66,251,,6-8,PF,"Jackson, TN",Tennessee
55, ,61,14.5,,Doug Wiggins,,61,51,84,65,62,41,242,,6-0,PG,"East Hartford, CT",Connecticut
55,-5,61,14.9,,Edgar Sosa,,71,33,74,66,64,56,242,,6-2,PG,"New York, NY",Louisville
57,4,61,11.2,,Perry Stevenson,,79,57,63,52,48,67,240,,6-9,C,"Lafayette, LA",Kentucky
57,12,NA,NA,,Jodie Meeks,,,56,39,47,45,78,240,,6-4,WG,"Roswell, GA",Kentucky
59,-5,61,16.9,,Anthony Gurley,,38,63,79,81,58,48,239,,6-3,WG,"Newton, MA",Wake Forest
60,15,NA,NA,,Tyler Smith,*,55,,43,31,,47,228,,6-7,WF,"Pulaski, TN",Iowa
60,13,63,14.7,,Marreese Speights,,92,60,51,57,56,62,228,,6-10,C-PF,"Chatham, VA",Florida
62,5,64,23.0,,Jason Bohannon,,97,47,88,50,42,61,221,,6-2,WG,"Marion, IA",Wisconsin
63,-11,64,16.4,,Bryan Davis,,53,41,59,73,74,86,220,,6-8,PF,"Grand Prairie, TX",Texas A&M
64,new,NA,NA,,Hasheem Thabeet,,59,,,67,39,57,182,,7-2,C,"Houston, TX",
65, ,NA,NA,,Matt Bouldin,,,80,45,71,65,68,176,,6-4,WG,"Highlands Ranch, CO",Gonzaga
66,6,73,13.2,,Jamil Tucker,,82,95,60,72,67,63,167,,6-8,PF,"Gary, IN",Virginia
67,-10,NA,NA,,Isaiah Dahlman,,69,50,,68,61,92,165,,6-6,WF,"Braham, MN",Michigan State
67,-11,74,13.9,,Keith Clark,,78,82,57,56,78,90,165,,6-8,PF,"Oklahoma City, OK",Oklahoma
69,2,NA,NA,,Demond Carter,,75,35,91,77,63,,164,,6-0,PG,"LaPlace, LA",Baylor
70,new,NA,NA,,Nigel Munson,,58,43,,79,87,76,162,,6-3,PG,"Hyattsville, MD",Virginia Tech
71,5,NA,NA,,Phil Nelson,,63,90,61,,,42,148,,6-6,WF,"Keizer, OR",Washington
72,-9,NA,NA,,Pierre Niles,,60,32,,70,,,141,,6-7,PF,"Memphis, TN",Memphis
73,new,NA,NA,,Eugene Harvey,*,73,,67,75,97,53,140,,5-11,PG,"Newark, NJ",Seton Hall
74,new,NA,NA,,Mamadou Diarra,,57,21,,,,87,138,,6-10,C,"Simi Valley, CA",
75,-5,NA,NA,,Antonio Pena,*,56,,75,95,,44,134,,6-7,PF,"Oakdale, CT",Villanova
76,new,NA,NA,,Patrick Beverly,,94,,65,55,59,,131,,6-3,PG-WG,"Chicago, IL",Arkansas
77,18,NA,NA,,Jarvis Varnado,,,,62,61,53,100,128,,6-9,PF,"Brownsville, TN",Mississippi State
78,-18,NA,NA,,Marques Johnson,,80,37,,80,91,98,119,,6-5,PG,"Ft. Wayne, IN",Tennessee
79,8,NA,NA,,William Graves,,67,49,,94,79,,115,,6-6,WF,"Greensboro, NC",North Carolina
80,new,NA,NA,,Adrian Oliver,,,,81,59,52,,111,,6-2,WG-PG,"Modesto, CA",Washington
81,11,NA,NA,,Leon Freeman,,,,78,78,46,96,106,,6-4,WG,"Belleville, MI",
82,-14,NA,NA,,Dexter Pittman,,81,64,,92,86,77,105,,6-9,C,"Rosenberg, TX",Texas
83,-17,NA,NA,,Luke Harangody,,,66,,82,71,81,104,,6-8,C,"Merrilville, IN",Notre Dame
84,new,NA,NA,,Doneal Mack,*,,,47,84,83,89,101,,6-5,WG,"Statesville, NC",Florida
85,-21,NA,NA,,Josue Soto,,70,38,,97,,,98,,5-11,PG,"Jacksonville, FL",Florida State
86,new,NA,NA,,Jeff Allen,,,94,,62,51,,96,,6-8,PF,"Hyattsville, MD",Virginia Tech
87,4,NA,NA,,Jon Mitchell,,,58,94,,,58,93,,6-7,PF,"Mount Vernon, NY",Florida
88,-3,NA,NA,,Trevon Hughes,,,,58,83,69,,93,,6-1,PG,"Delafield, WI",Wisconsin
89,3,NA,NA,,Taylor Harrison,,72,74,,,,65,92,,6-9,C,"San Clemente, CA",California
90,new,NA,NA,,Donald Sloan,,,59,55,,99,,90,,6-2,WG,"Dallas, TX",Texas A&M
91,9,NA,NA,,Gilbert Brown,*,,,66,87,94,69,88,,6-6,WG,"South Kent, CT",Pittsburgh
92,8,NA,NA,,Solomon Tat,*,76,71,,,,72,84,,6-4,WG,"Stockbridge, GA",Virginia
93,new,NA,NA,,Greivis Vasquez,,74,,46,,,,82,,6-5,WG,"Rockville, MD",Maryland
94,new,88,9.9,,Dan Werner,,84,98,89,90,70,95,80,,6-7,WF,"Lincoln, NJ",
94,new,NA,NA,,Jeremy Mayfield,,,,69,74,,80,80,,6-10,PF,"Irving, TX",UAB
96,new,NA,NA,,Cameron Tatum,,,,64,85,77,,77,,6-5,WG,"Tucker, GA",
97,-7,NA,NA,,Daniel Deane,,62,,,,,64,76,,6-7,PF,"Salt Lake City, UT",Utah
97,-16,NA,NA,,Hamady N'diaye,,,73,68,86,,,76,,6-10,C,"Simi Valley, CA",Rutgers
99,new,NA,NA,,Desean Butler,,,,,,68,60,74,,6-7,WF,"Bloomfield, NJ",West Virginia
100,-21,NA,NA,,Adrion Graves,,85,76,,,90,82,71,,6-4,WG,"Cincinnati, OH",Xavier
