,,,,,Rankings from: May 2019,,,,,,,,,* = updated rankings,
,,,,,,*,*,*,*,,,,,,
RSCI,Chg,Avg,Dev,,,VC,ESPN,Rivals,247Sports,Total,,Ht,Pos,City,College
83,-14,86,12.5,,Marcus Watson,73,99,93,77,62,,"6’6""",SF,"Buford, GA",Oklahoma State
85,-3,NA,NA,,Sahvir Wheeler,76,78,88,,61,,"5’9""",PG,"Houston, TX",Georgia
86,9,86,12.3,,Tre Mitchell,96,72,80,97,59,,"6’10""",C,"Woodstock, CT",Massachusetts
87,-1,NA,NA,,Martynas Araluskas,,,,43,58,,"6'6""",SF,Lithuania,Gonzaga
88,-9,NA,NA,,Tyrell Terry,100,,75,73,55,,"6’3""",PG,"Minneapolis, MN",Stanford
89,new,NA,NA,,Nah'shon Hyland,,,91,60,51,,"6'3""",SG,"Wilmington, DE",
90,-5,NA,NA,,Robbie Beran,98,,,56,48,,"6'9""",PF,"Richmond, VA",Northwestern
91,-10,NA,NA,,Brycen Goodine,93,75,89,,46,,"6’5""",SG,"Barrington, RI",Syracuse
92,-21,NA,NA,,Dontaie Allen,,,67,91,44,,"6'6""",SF,"Falmouth, KY",Kentucky
93,-42,NA,NA,,Chol Marial,,58,,,43,,"7’2""",C,"Bradenton, FL",Maryland
94,-24,NA,NA,,Chandler Lawson,86,82,,95,40,,"6’8""",PF,"Mouth of Wilson, VA",Oregon
95,new,NA,NA,,Oumar Ballo,,,,62,39,,"6'10""",C,Mali,Gonzaga
96,-5,NA,NA,,Cole Bajema,,,95,69,38,,"6'7""",SF,"Lynden, WA",Michigan
96,new,NA,NA,,Jaimie Jacquez,72,92,,,38,,"6’6""",SF,"Camarillo, CA",UCLA
98,-8,NA,NA,,Jaylen Forbes,81,84,,,37,,"6’4""",SG,"Florence, SC",Alabama
98,new,NA,NA,,Jaden Shackelford,75,90,,,37,,"6'2""",PG,"Hesperi, CA",Alabama
100,-2,NA,NA,,Rylan Jones,95,,87,85,36,,"6’2""",PG,"Logan, UT",Utah
