pid,draft_year,vcons_mock_mean_rank,vcons_mock_best_rank,vcons_mock_rank_range,vcons_mock_n_sources
P57703dc960,2017,,,,
P5351e63d76,2017,50.0,47.0,6.0,2.0
P964dd1e5f4,2017,41.5,36.0,11.0,2.0
P10187f6389,2017,58.0,58.0,,1.0
Pc32fe4a167,2017,44.5,41.0,7.0,2.0
P1804943702,2017,46.0,43.0,6.0,2.0
P5f230da818,2017,51.0,51.0,,1.0
P74d19df6a2,2017,37.0,37.0,,1.0
Pa76a1ce248,2017,55.0,54.0,2.0,2.0
Pea59b43adb,2017,52.0,52.0,,1.0
P22340c4458,2017,45.0,45.0,,1.0
Pa4877bedac,2017,,,,
P3e5c820c70,2017,50.0,49.0,2.0,2.0
P7697c4ecb8,2017,,,,
Pba3a4faeb9,2017,60.0,60.0,,1.0
P27a35575e9,2017,53.0,53.0,,1.0
Pfde95d41d3,2017,,,,
P4396f0664b,2017,56.0,56.0,,1.0
P2a1ab2724b,2017,,,,
Pa0580e3001,2017,,,,
Pc5ec91aab0,2017,,,,
Pe204bd6fa0,2017,,,,
Pd13759b893,2017,,,,
Pd9320fa884,2017,,,,
P00fdb72e43,2017,,,,
P4d32b8b12e,2017,,,,
P420fe29f13,2017,,,,
P6358a22feb,2017,,,,
Pcac223d7f8,2017,,,,
P5fd682a91b,2017,,,,
Pba3d18fabf,2017,,,,
P2cac6d11e4,2017,,,,
P7dfb5a7395,2017,,,,
P73cc673745,2017,,,,
P95ea622240,2017,,,,
Pf0bc046ece,2017,,,,
Pf5a8190f4f,2018,,,,
P163e85d6f0,2017,,,,
P705a98169f,2017,,,,
P35bbbcf03e,2017,,,,
Pf3d3c05896,2018,,,,
P1ee493f763,2017,,,,
Pc0a7512363,2017,,,,
Pf3241f5074,2018,,,,
P9bb134b52c,2018,,,,
Pcdc707f847,2017,,,,
Pa84706eb34,2018,,,,
P3f77f707c0,2018,42.0,42.0,,1.0
Pdb9cad4004,2018,38.0,38.0,,1.0
P4f854a47d9,2018,,,,
P42b9d239c3,2018,2.0,2.0,,1.0
P35e592001a,2018,,,,
P6786e0dd88,2018,41.0,41.0,,1.0
Peb77360d78,2018,7.5,7.0,1.0,2.0
P57ab80ef44,2018,14.5,14.0,1.0,2.0
Pe581c6d22f,2018,54.0,54.0,,1.0
Pcabff956fe,2018,,,,
P9f769e6678,2018,31.0,31.0,,1.0
P15b5ca7021,2018,44.0,44.0,,1.0
P6f990ff013,2018,9.0,9.0,,1.0
P8ecb19c544,2018,57.0,57.0,,1.0
P58e5b2eaa8,2018,18.0,18.0,,1.0
Pa08fe4841f,2018,37.0,37.0,,1.0
Pbe6b6d05a9,2018,25.0,25.0,,1.0
Pb53e68dfee,2018,,,,
P50c2524b85,2018,12.0,12.0,,1.0
P15b4774186,2018,,,,
P1597c7370a,2018,,,,
Pbb5225b691,2018,52.0,52.0,,1.0
P75b2e5cfed,2018,24.0,24.0,,1.0
P26d2a90c5b,2018,19.0,19.0,,1.0
P4d03279429,2018,22.0,22.0,,1.0
Pae17b87a4a,2018,4.0,4.0,,1.0
Pa129b1725d,2018,55.0,55.0,,1.0
P004efe3965,2018,,,,
Pfc813e5d63,2018,,,,
P27d264f43c,2018,39.0,39.0,,1.0
P1a46c41bff,2018,49.0,49.0,,1.0
Paa92a86ff3,2018,33.0,33.0,,1.0
P0ca52587ca,2018,,,,
P82bbff96e6,2018,32.0,32.0,,1.0
P17f11f33c2,2018,5.0,5.0,,1.0
P6ab3598ab0,2018,16.0,16.0,,1.0
Pd064221ae2,2018,23.0,23.0,,1.0
P4467431c36,2018,11.0,11.0,0.0,2.0
